Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
DeShone Kizer,2,,QB,5500,CLE,NYJ,20.0,NYJ by 1.5,-14%,34%,-4%,37.3,35.5,35.0,2.3,5.4,5.7,5.5,4.0,1.5,4.4,0.0,0.0,0.0,0.0,0.0,70,11.9,13.8,13.8,3.7,23.9,17.1,3.1,4.4,0.8
Derek Anderson,,,QB,5400,CAR,@DET,20.0,DET by 2,4%,-19%,-28%,7.0,7.0,0.3,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0
DeMarco Murray,3,,RB,5400,TEN,@MIA,20.8,TEN by 0,20%,-27%,-19%,0.0,0.0,0.0,0.0,0.0,10.0,10.5,15.9,0.5,5.1,2.0,2.0,3.1,0.0,3.5,33,10.4,9.8,9.8,1.5,18.1,14.6,2.7,9.9,1.8
Rishard Matthews,9,,WR,5400,TEN,@MIA,20.8,TEN by 0,20%,-27%,-19%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,8.0,6.3,1.0,7.8,11,12.0,12.0,12.0,5.8,18.2,11.6,2.1,6.1,1.1
DeSean Jackson,6,Q,WR,5400,TB,NE,25.5,NE by 3.5,43%,24%,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.5,0.3,7.2,11,9.8,9.8,9.8,2.2,17.4,13.7,2.5,18.6,3.4
Mike Gillislee,,,RB,5300,NE,@TB,29.0,NE by 3.5,39%,-27%,-28%,0.0,0.0,0.0,0.0,0.0,14.0,14.3,14.2,4.0,3.4,0.0,0.0,0.3,0.0,0.0,24,7.0,10.8,10.8,2.0,19.7,10.0,1.9,5.2,1.0
Jared Goff,2,,QB,5300,LAR,SEA,24.3,LAR by 2,-19%,25%,-20%,29.3,29.3,33.0,5.0,9.2,1.7,1.5,1.7,0.8,0.2,0.0,0.0,0.0,0.0,0.0,60,17.8,18.2,18.2,13.4,23.1,14.0,2.6,10.7,2.0
Tyrell Williams,0,,WR,5300,LAC,@NYG,21.3,NYG by 3,-5%,33%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,6.0,6.0,0.3,9.9,10,12.8,12.2,12.2,2.8,21.6,11.6,2.2,3.2,0.6
Tarik Cohen,1,,RB,5300,CHI,MIN,18.8,MIN by 3.5,9%,-33%,-33%,0.0,0.0,0.0,0.0,0.0,8.3,7.5,5.7,0.5,6.0,5.7,7.3,4.6,1.3,5.2,18,12.3,15.5,15.5,8.6,22.5,12.0,2.3,2.2,0.4
Derrick Henry,0,,RB,5200,TEN,@MIA,20.8,TEN by 0,20%,-27%,-19%,0.0,0.0,0.0,0.0,0.0,11.0,9.8,10.5,1.5,4.6,0.3,0.3,1.3,0.0,10.0,21,7.8,6.5,6.5,0.0,12.9,8.8,1.7,0.9,0.2
Sterling Shepard,5,Q,WR,5200,NYG,LAC,24.3,NYG by 3,-15%,53%,6%,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.2,0.0,4.3,6.3,6.8,5.9,1.5,9.4,10,14.9,14.2,14.2,3.7,24.7,10.5,2.0,1.9,0.4
