"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"QB","Tyrod Taylor (7498680)","Tyrod Taylor",7498680,5400,"Buf@NE 01:00PM ET","Buf","Tyrod","Taylor","NE",17.4,18.7,16.04,18.7,0,0,17.3533447802994,15.6479491390415,1,16.6,0,6
"WR","Sammy Watkins (7498876)","Sammy Watkins",7498876,5400,"Buf@NE 01:00PM ET","Buf","Sammy","Watkins","NE",0,0,0,0,4,0.128205128205128,0,0,0,0,0,0
"QB","Trevor Siemian (7498703)","Trevor Siemian",7498703,5400,"Den@TB 04:05PM ET","Den","Trevor","Siemian","TB",14.62,16.3,14.66,16.3,0,0,15.0035494939404,13.5278696897016,1,6.7,0,0
"QB","Jameis Winston (7498704)","Jameis Winston",7498704,5400,"Den@TB 04:05PM ET","TB","Jameis","Winston","Den",17.24,16.3,15.08,16.3,0,0,15.5910752402099,14.0634523568896,1,13.1,0,0
"RB","Jamaal Charles (7498824)","Jamaal Charles",7498824,5400,"KC@Pit 08:30PM ET","KC","Jamaal","Charles","Pit",8.82,10.1,10.03,10.1,12,0,9.24307887419062,8.33343927451694,0,0.7,0,7
"WR","Will Fuller (7498843)","Will Fuller",7498843,5300,"Ten@Hou 01:00PM ET","Hou","Will","Fuller","Ten",15.34,12.1,13.97,12.1,2,0.233644859813084,12.1438242668255,10.9594211862747,1,27.1,0,6
"QB","Ryan Fitzpatrick (7498674)","Ryan Fitzpatrick",7498674,5300,"Sea@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","Sea",15.36,16.7,14.41,16.7,0,0,15.4572235644918,13.937772704002,1,11.9,0,8
"QB","Jay Cutler (7498695)","Jay Cutler",7498695,5300,"Det@Chi 01:00PM ET","Chi","Jay","Cutler","Det",0,0,0,0,0,0,0,0,1,0,0,0
"RB","Doug Martin (7498787)","Doug Martin",7498787,5300,"Den@TB 04:05PM ET","TB","Doug","Martin","Den",0,0,0,0,6,0.0357142857142857,0,0,0,0,0,0
"QB","Jimmy Garoppolo (7498682)","Jimmy Garoppolo",7498682,5200,"Buf@NE 01:00PM ET","NE","Jimmy","Garoppolo","Buf",0,0,0,0,8,0.0104166666666667,0,0,1,0,0,0
"WR","Mike Wallace (7498893)","Mike Wallace",7498893,5200,"Oak@Bal 01:00PM ET","Bal","Mike","Wallace","Oak",13.65,10.6,12.05,10.6,3,0.179245283018868,10.6858539200831,9.64408152154093,1,10.7,0,7
"RB","Theo Riddick (7498779)","Theo Riddick",7498779,5200,"Det@Chi 01:00PM ET","Det","Theo","Riddick","Chi",13.7,13.1,13.98,13.1,4,0.154471544715447,12.4953892697381,11.2707499019929,1,9.8,0,5
"QB","Jacoby Brissett (7498683)","Jacoby Brissett",7498683,5100,"Buf@NE 01:00PM ET","NE","Jacoby","Brissett","Buf",15.42,18.5,12.46,18.5,0,0,16.7654709314764,15.1138800386956,1,9.5,0,6
"WR","Michael Floyd (7498926)","Michael Floyd",7498926,5100,"LA@Ari 04:25PM ET","Ari","Michael","Floyd","LA",11.22,13.1,13.22,13.1,2,0.185483870967742,11.9392580289945,10.7637861559524,0,12.6,0,5
"QB","Matt Cassel (7498663)","Matt Cassel",7498663,5000,"Ten@Hou 01:00PM ET","Ten","Matt","Cassel","Hou",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Brandon Weeden (7498664)","Brandon Weeden",7498664,5000,"Ten@Hou 01:00PM ET","Hou","Brandon","Weeden","Ten",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Tom Savage (7498666)","Tom Savage",7498666,5000,"Ten@Hou 01:00PM ET","Hou","Tom","Savage","Ten",0,0,0,0,0,0,0,0,1,0,0,0
"WR","Tajae Sharpe (7498841)","Tajae Sharpe",7498841,5000,"Ten@Hou 01:00PM ET","Ten","Tajae","Sharpe","Hou",11.06,12.5,10.81,12.5,1,0.240740740740741,11.4717810678071,10.3431314565738,0,3.5,0,5
"TE","Delanie Walker (7498966)","Delanie Walker",7498966,5000,"Ten@Hou 01:00PM ET","Ten","Delanie","Walker","Hou",12.4,11.7,11.36,11.7,5,0.101851851851852,11.1968079665821,10.0997922682287,0,5.4,0,3
"QB","Josh McCown (7498668)","Josh McCown",7498668,5000,"Cle@Was 01:00PM ET","Cle","Josh","McCown","Was",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Charlie Whitehurst (7498669)","Charlie Whitehurst",7498669,5000,"Cle@Was 01:00PM ET","Cle","Charlie","Whitehurst","Was",0,0,0,0,0,0,0,0,0,0,0,0
"QB","Colt McCoy (7498670)","Colt McCoy",7498670,5000,"Cle@Was 01:00PM ET","Was","Colt","McCoy","Cle",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Cody Kessler (7498672)","Cody Kessler",7498672,5000,"Cle@Was 01:00PM ET","Cle","Cody","Kessler","Was",12.6,15.5,10.83,15.5,0,0,13.975108260095,12.5976763938178,1,12.1,0,0
"QB","Nate Sudfeld (7498673)","Nate Sudfeld",7498673,5000,"Cle@Was 01:00PM ET","Was","Nate","Sudfeld","Cle",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Bryce Petty (7498676)","Bryce Petty",7498676,5000,"Sea@NYJ 01:00PM ET","NYJ","Bryce","Petty","Sea",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Geno Smith (7498677)","Geno Smith",7498677,5000,"Sea@NYJ 01:00PM ET","NYJ","Geno","Smith","Sea",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Trevone Boykin (7498678)","Trevone Boykin",7498678,5000,"Sea@NYJ 01:00PM ET","Sea","Trevone","Boykin","NYJ",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Christian Hackenberg (7498679)","Christian Hackenberg",7498679,5000,"Sea@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Sea",0,0,0,0,0,0,0,0,1,0,0,0
"QB","EJ Manuel (7498681)","EJ Manuel",7498681,5000,"Buf@NE 01:00PM ET","Buf","EJ","Manuel","NE",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Cardale Jones (7498684)","Cardale Jones",7498684,5000,"Buf@NE 01:00PM ET","Buf","Cardale","Jones","NE",0,0,0,0,0,0,0,0,1,0,0,0
"RB","LeGarrette Blount (7498755)","LeGarrette Blount",7498755,5000,"Buf@NE 01:00PM ET","NE","LeGarrette","Blount","Buf",15.7,14.1,13.78,14.1,11,0,13.6632114163229,12.3261705675448,1,8.8,0,4
"QB","Derek Anderson (7498685)","Derek Anderson",7498685,5000,"Car@Atl 01:00PM ET","Car","Derek","Anderson","Atl",0,0,0,0,0,0,0,0,1,14.9,0,0
"QB","Matt Schaub (7498687)","Matt Schaub",7498687,5000,"Car@Atl 01:00PM ET","Atl","Matt","Schaub","Car",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Joe Webb (7498688)","Joe Webb",7498688,5000,"Car@Atl 01:00PM ET","Car","Joe","Webb","Atl",0,0,0,0,11,0,0,0,1,1.3,0,0
"QB","Ryan Mallett (7498691)","Ryan Mallett",7498691,5000,"Oak@Bal 01:00PM ET","Bal","Ryan","Mallett","Oak",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt McGloin (7498692)","Matt McGloin",7498692,5000,"Oak@Bal 01:00PM ET","Oak","Matt","McGloin","Bal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Connor Cook (7498694)","Connor Cook",7498694,5000,"Oak@Bal 01:00PM ET","Oak","Connor","Cook","Bal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Dan Orlovsky (7498696)","Dan Orlovsky",7498696,5000,"Det@Chi 01:00PM ET","Det","Dan","Orlovsky","Chi",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Brian Hoyer (7498697)","Brian Hoyer",7498697,5000,"Det@Chi 01:00PM ET","Chi","Brian","Hoyer","Det",14.08,18.6,13.65,18.6,0,0,16.5369135853506,14.9046139726289,1,22.8,0,6
"QB","Matt Barkley (7498699)","Matt Barkley",7498699,5000,"Det@Chi 01:00PM ET","Chi","Matt","Barkley","Det",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Austin Davis (7498700)","Austin Davis",7498700,5000,"Den@TB 04:05PM ET","Den","Austin","Davis","TB",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Mike Glennon (7498701)","Mike Glennon",7498701,5000,"Den@TB 04:05PM ET","TB","Mike","Glennon","Den",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Ryan Griffin (7498702)","Ryan Griffin",7498702,5000,"Den@TB 04:05PM ET","TB","Ryan","Griffin","Den",0,0,0,0,3,0.130841121495327,0,0,1,0,0,0
"QB","Paxton Lynch (7498705)","Paxton Lynch",7498705,5000,"Den@TB 04:05PM ET","Den","Paxton","Lynch","TB",0,0,0,0,0,0,0,0,1,10.4,0,0
"QB","Drew Stanton (7498707)","Drew Stanton",7498707,5000,"LA@Ari 04:25PM ET","Ari","Drew","Stanton","LA",0,0,0,0,0,0,0,0,1,-0.5,0,0
"QB","Case Keenum (7498708)","Case Keenum",7498708,5000,"LA@Ari 04:25PM ET","LA","Case","Keenum","Ari",10.67,11.4,10.31,11.4,0,0,10.5930628137195,9.55217049073017,1,19,0,0
