Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
QB,Alex Smith (7498721),Alex Smith,7498721,5600,KC@Pit 08:30PM ET,KC
QB,Marcus Mariota (7498667),Marcus Mariota,7498667,5500,Ten@Hou 01:00PM ET,Ten
RB,Devonta Freeman (7498765),Devonta Freeman,7498765,5500,Car@Atl 01:00PM ET,Atl
QB,Tyrod Taylor (7498680),Tyrod Taylor,7498680,5400,Buf@NE 01:00PM ET,Buf
WR,Sammy Watkins (7498876),Sammy Watkins,7498876,5400,Buf@NE 01:00PM ET,Buf
QB,Trevor Siemian (7498703),Trevor Siemian,7498703,5400,Den@TB 04:05PM ET,Den
QB,Jameis Winston (7498704),Jameis Winston,7498704,5400,Den@TB 04:05PM ET,TB
RB,Jamaal Charles (7498824),Jamaal Charles,7498824,5400,KC@Pit 08:30PM ET,KC
WR,Will Fuller (7498843),Will Fuller,7498843,5300,Ten@Hou 01:00PM ET,Hou
QB,Ryan Fitzpatrick (7498674),Ryan Fitzpatrick,7498674,5300,Sea@NYJ 01:00PM ET,NYJ
QB,Jay Cutler (7498695),Jay Cutler,7498695,5300,Det@Chi 01:00PM ET,Chi
RB,Doug Martin (7498787),Doug Martin,7498787,5300,Den@TB 04:05PM ET,TB
QB,Jimmy Garoppolo (7498682),Jimmy Garoppolo,7498682,5200,Buf@NE 01:00PM ET,NE
WR,Mike Wallace (7498893),Mike Wallace,7498893,5200,Oak@Bal 01:00PM ET,Bal
RB,Theo Riddick (7498779),Theo Riddick,7498779,5200,Det@Chi 01:00PM ET,Det
QB,Jacoby Brissett (7498683),Jacoby Brissett,7498683,5100,Buf@NE 01:00PM ET,NE
WR,Michael Floyd (7498926),Michael Floyd,7498926,5100,LA@Ari 04:25PM ET,Ari
QB,Matt Cassel (7498663),Matt Cassel,7498663,5000,Ten@Hou 01:00PM ET,Ten
QB,Brandon Weeden (7498664),Brandon Weeden,7498664,5000,Ten@Hou 01:00PM ET,Hou
QB,Tom Savage (7498666),Tom Savage,7498666,5000,Ten@Hou 01:00PM ET,Hou
WR,Tajae Sharpe (7498841),Tajae Sharpe,7498841,5000,Ten@Hou 01:00PM ET,Ten
TE,Delanie Walker (7498966),Delanie Walker,7498966,5000,Ten@Hou 01:00PM ET,Ten
QB,Josh McCown (7498668),Josh McCown,7498668,5000,Cle@Was 01:00PM ET,Cle
QB,Charlie Whitehurst (7498669),Charlie Whitehurst,7498669,5000,Cle@Was 01:00PM ET,Cle
QB,Colt McCoy (7498670),Colt McCoy,7498670,5000,Cle@Was 01:00PM ET,Was
QB,Cody Kessler (7498672),Cody Kessler,7498672,5000,Cle@Was 01:00PM ET,Cle
QB,Nate Sudfeld (7498673),Nate Sudfeld,7498673,5000,Cle@Was 01:00PM ET,Was
QB,Bryce Petty (7498676),Bryce Petty,7498676,5000,Sea@NYJ 01:00PM ET,NYJ
QB,Geno Smith (7498677),Geno Smith,7498677,5000,Sea@NYJ 01:00PM ET,NYJ
QB,Trevone Boykin (7498678),Trevone Boykin,7498678,5000,Sea@NYJ 01:00PM ET,Sea
QB,Christian Hackenberg (7498679),Christian Hackenberg,7498679,5000,Sea@NYJ 01:00PM ET,NYJ
QB,EJ Manuel (7498681),EJ Manuel,7498681,5000,Buf@NE 01:00PM ET,Buf
QB,Cardale Jones (7498684),Cardale Jones,7498684,5000,Buf@NE 01:00PM ET,Buf
RB,LeGarrette Blount (7498755),LeGarrette Blount,7498755,5000,Buf@NE 01:00PM ET,NE
QB,Derek Anderson (7498685),Derek Anderson,7498685,5000,Car@Atl 01:00PM ET,Car
QB,Matt Schaub (7498687),Matt Schaub,7498687,5000,Car@Atl 01:00PM ET,Atl
QB,Joe Webb (7498688),Joe Webb,7498688,5000,Car@Atl 01:00PM ET,Car
QB,Ryan Mallett (7498691),Ryan Mallett,7498691,5000,Oak@Bal 01:00PM ET,Bal
QB,Matt McGloin (7498692),Matt McGloin,7498692,5000,Oak@Bal 01:00PM ET,Oak
QB,Connor Cook (7498694),Connor Cook,7498694,5000,Oak@Bal 01:00PM ET,Oak
QB,Dan Orlovsky (7498696),Dan Orlovsky,7498696,5000,Det@Chi 01:00PM ET,Det
QB,Brian Hoyer (7498697),Brian Hoyer,7498697,5000,Det@Chi 01:00PM ET,Chi
QB,Matt Barkley (7498699),Matt Barkley,7498699,5000,Det@Chi 01:00PM ET,Chi
QB,Austin Davis (7498700),Austin Davis,7498700,5000,Den@TB 04:05PM ET,Den
QB,Mike Glennon (7498701),Mike Glennon,7498701,5000,Den@TB 04:05PM ET,TB
QB,Ryan Griffin (7498702),Ryan Griffin,7498702,5000,Den@TB 04:05PM ET,TB
QB,Paxton Lynch (7498705),Paxton Lynch,7498705,5000,Den@TB 04:05PM ET,Den
QB,Drew Stanton (7498707),Drew Stanton,7498707,5000,LA@Ari 04:25PM ET,Ari
QB,Case Keenum (7498708),Case Keenum,7498708,5000,LA@Ari 04:25PM ET,LA
QB,Sean Mannion (7498709),Sean Mannion,7498709,5000,LA@Ari 04:25PM ET,LA
QB,Jared Goff (7498710),Jared Goff,7498710,5000,LA@Ari 04:25PM ET,LA
QB,Kellen Clemens (7498712),Kellen Clemens,7498712,5000,NO@SD 04:25PM ET,SD
QB,Luke McCown (7498714),Luke McCown,7498714,5000,NO@SD 04:25PM ET,NO
QB,Mark Sanchez (7498716),Mark Sanchez,7498716,5000,Dal@SF 04:25PM ET,Dal
QB,Colin Kaepernick (7498717),Colin Kaepernick,7498717,5000,Dal@SF 04:25PM ET,SF
QB,Christian Ponder (7498718),Christian Ponder,7498718,5000,Dal@SF 04:25PM ET,SF
QB,Blaine Gabbert (7498719),Blaine Gabbert,7498719,5000,Dal@SF 04:25PM ET,SF
QB,Nick Foles (7498723),Nick Foles,7498723,5000,KC@Pit 08:30PM ET,KC
QB,Landry Jones (7498724),Landry Jones,7498724,5000,KC@Pit 08:30PM ET,Pit
QB,Zach Mettenberger (7498725),Zach Mettenberger,7498725,5000,KC@Pit 08:30PM ET,Pit
QB,Tyler Bray (7498726),Tyler Bray,7498726,5000,KC@Pit 08:30PM ET,KC
RB,Thomas Rawls (7498747),Thomas Rawls,7498747,4900,Sea@NYJ 01:00PM ET,Sea
RB,Latavius Murray (7498771),Latavius Murray,7498771,4900,Oak@Bal 01:00PM ET,Oak
WR,Corey Coleman (7498854),Corey Coleman,7498854,4800,Cle@Was 01:00PM ET,Cle
RB,Jonathan Stewart (7498762),Jonathan Stewart,7498762,4800,Car@Atl 01:00PM ET,Car
RB,Jeremy Langford (7498781),Jeremy Langford,7498781,4800,Det@Chi 01:00PM ET,Chi
TE,Travis Kelce (7499044),Travis Kelce,7499044,4800,KC@Pit 08:30PM ET,KC
TE,Antonio Gates (7499029),Antonio Gates,7499029,4600,NO@SD 04:25PM ET,SD
RB,Tevin Coleman (7498766),Tevin Coleman,7498766,4500,Car@Atl 01:00PM ET,Atl
WR,Steve Smith Sr. (7498890),Steve Smith Sr.,7498890,4500,Oak@Bal 01:00PM ET,Bal
TE,Jason Witten (7499036),Jason Witten,7499036,4500,Dal@SF 04:25PM ET,Dal
RB,Isaiah Crowell (7498739),Isaiah Crowell,7498739,4400,Cle@Was 01:00PM ET,Cle
WR,Quincy Enunwa (7498860),Quincy Enunwa,7498860,4400,Sea@NYJ 01:00PM ET,NYJ
WR,Tyrell Williams (7498942),Tyrell Williams,7498942,4400,NO@SD 04:25PM ET,SD
RB,Matt Jones (7498742),Matt Jones,7498742,4300,Cle@Was 01:00PM ET,Was
WR,Terrelle Pryor Sr. (7498847),Terrelle Pryor Sr.,7498847,4300,Cle@Was 01:00PM ET,Cle
WR,John Brown (7498928),John Brown,7498928,4300,LA@Ari 04:25PM ET,Ari
WR,Jamison Crowder (7498851),Jamison Crowder,7498851,4200,Cle@Was 01:00PM ET,Was
WR,Anquan Boldin (7498901),Anquan Boldin,7498901,4200,Det@Chi 01:00PM ET,Det
RB,Carlos Hyde (7498817),Carlos Hyde,7498817,4200,Dal@SF 04:25PM ET,SF
WR,Markus Wheaton (7498957),Markus Wheaton,7498957,4100,KC@Pit 08:30PM ET,Pit
RB,Duke Johnson Jr. (7498741),Duke Johnson Jr.,7498741,4000,Cle@Was 01:00PM ET,Cle
WR,Pierre Garcon (7498846),Pierre Garcon,7498846,4000,Cle@Was 01:00PM ET,Was
TE,Jimmy Graham (7498980),Jimmy Graham,7498980,4000,Sea@NYJ 01:00PM ET,Sea
WR,Tavon Austin (7498929),Tavon Austin,7498929,4000,LA@Ari 04:25PM ET,LA
WR,Tyler Lockett (7498864),Tyler Lockett,7498864,3900,Sea@NYJ 01:00PM ET,Sea
RB,Fozzy Whittaker (7498763),Fozzy Whittaker,7498763,3900,Car@Atl 01:00PM ET,Car
TE,Dennis Pitta (7499000),Dennis Pitta,7499000,3900,Oak@Bal 01:00PM ET,Bal
WR,Kenny Britt (7498924),Kenny Britt,7498924,3900,LA@Ari 04:25PM ET,LA
DST,Cardinals  (7499392),Cardinals ,7499392,3900,LA@Ari 04:25PM ET,Ari
RB,Alfred Morris (7498814),Alfred Morris,7498814,3900,Dal@SF 04:25PM ET,Dal
WR,Torrey Smith (7498945),Torrey Smith,7498945,3900,Dal@SF 04:25PM ET,SF
WR,Cole Beasley (7498949),Cole Beasley,7498949,3900,Dal@SF 04:25PM ET,Dal
DST,Seahawks  (7499380),Seahawks ,7499380,3800,Sea@NYJ 01:00PM ET,Sea
RB,Justin Forsett (7498768),Justin Forsett,7498768,3800,Oak@Bal 01:00PM ET,Bal
RB,Dwayne Washington (7498785),Dwayne Washington,7498785,3800,Det@Chi 01:00PM ET,Det
WR,Michael Thomas (7498943),Michael Thomas,7498943,3800,NO@SD 04:25PM ET,NO
WR,Chris Hogan (7498875),Chris Hogan,7498875,3700,Buf@NE 01:00PM ET,NE
WR,Ted Ginn Jr. (7498879),Ted Ginn Jr.,7498879,3700,Car@Atl 01:00PM ET,Car
RB,Jordan Howard (7498786),Jordan Howard,7498786,3700,Det@Chi 01:00PM ET,Chi
TE,Eric Ebron (7499011),Eric Ebron,7499011,3700,Det@Chi 01:00PM ET,Det
DST,Broncos  (7499389),Broncos ,7499389,3700,Den@TB 04:05PM ET,Den
TE,Gary Barnidge (7498974),Gary Barnidge,7498974,3600,Cle@Was 01:00PM ET,Cle
RB,James White (7498758),James White,7498758,3600,Buf@NE 01:00PM ET,NE
WR,Danny Amendola (7498868),Danny Amendola,7498868,3600,Buf@NE 01:00PM ET,NE
WR,Devin Funchess (7498888),Devin Funchess,7498888,3600,Car@Atl 01:00PM ET,Car
WR,Sammie Coates (7498960),Sammie Coates,7498960,3600,KC@Pit 08:30PM ET,Pit
RB,Derrick Henry (7498735),Derrick Henry,7498735,3500,Ten@Hou 01:00PM ET,Ten
DST,Redskins  (7499378),Redskins ,7499378,3500,Cle@Was 01:00PM ET,Was
TE,Martellus Bennett (7498987),Martellus Bennett,7498987,3500,Buf@NE 01:00PM ET,NE
WR,Seth Roberts (7498899),Seth Roberts,7498899,3500,Oak@Bal 01:00PM ET,Oak
WR,Eddie Royal (7498902),Eddie Royal,7498902,3500,Det@Chi 01:00PM ET,Chi
RB,Dexter McCluster (7498805),Dexter McCluster,7498805,3500,NO@SD 04:25PM ET,SD
WR,Eli Rogers (7498961),Eli Rogers,7498961,3500,KC@Pit 08:30PM ET,Pit
RB,Chris Thompson (7498736),Chris Thompson,7498736,3400,Cle@Was 01:00PM ET,Was
RB,Rob Kelley (7498738),Rob Kelley,7498738,3400,Cle@Was 01:00PM ET,Was
WR,Robert Woods (7498874),Robert Woods,7498874,3400,Buf@NE 01:00PM ET,Buf
RB,Cameron Artis-Payne (7498767),Cameron Artis-Payne,7498767,3400,Car@Atl 01:00PM ET,Car
TE,Jacob Tamme (7498993),Jacob Tamme,7498993,3400,Car@Atl 01:00PM ET,Atl
DST,Panthers  (7499384),Panthers ,7499384,3400,Car@Atl 01:00PM ET,Car
RB,Terrance West (7498774),Terrance West,7498774,3400,Oak@Bal 01:00PM ET,Bal
RB,Jalen Richard (7498778),Jalen Richard,7498778,3400,Oak@Bal 01:00PM ET,Oak
WR,Kevin White (7498910),Kevin White,7498910,3400,Det@Chi 01:00PM ET,Chi
WR,Vincent Jackson (7498911),Vincent Jackson,7498911,3400,Den@TB 04:05PM ET,TB
RB,Chris Johnson (7498795),Chris Johnson,7498795,3400,LA@Ari 04:25PM ET,Ari
WR,Jeremy Kerley (7498946),Jeremy Kerley,7498946,3400,Dal@SF 04:25PM ET,SF
RB,Charcandrick West (7498832),Charcandrick West,7498832,3400,KC@Pit 08:30PM ET,KC
RB,Bilal Powell (7498744),Bilal Powell,7498744,3300,Sea@NYJ 01:00PM ET,NYJ
DST,Patriots  (7499382),Patriots ,7499382,3300,Buf@NE 01:00PM ET,NE
RB,DeAndre Washington (7498776),DeAndre Washington,7498776,3300,Oak@Bal 01:00PM ET,Oak
RB,Kenneth Dixon (7498777),Kenneth Dixon,7498777,3300,Oak@Bal 01:00PM ET,Bal
WR,Jaron Brown (7498927),Jaron Brown,7498927,3300,LA@Ari 04:25PM ET,Ari
RB,Tim Hightower (7498803),Tim Hightower,7498803,3300,NO@SD 04:25PM ET,NO
WR,Dontrelle Inman (7498935),Dontrelle Inman,7498935,3300,NO@SD 04:25PM ET,SD
RB,Shaun Draughn (7498813),Shaun Draughn,7498813,3300,Dal@SF 04:25PM ET,SF
WR,Andre Johnson (7498833),Andre Johnson,7498833,3200,Ten@Hou 01:00PM ET,Ten
DST,Texans  (7499375),Texans ,7499375,3200,Ten@Hou 01:00PM ET,Hou
WR,Jermaine Kearse (7498859),Jermaine Kearse,7498859,3200,Sea@NYJ 01:00PM ET,Sea
RB,Andre Ellington (7498797),Andre Ellington,7498797,3200,LA@Ari 04:25PM ET,Ari
RB,Benny Cunningham (7498798),Benny Cunningham,7498798,3200,LA@Ari 04:25PM ET,LA
TE,Coby Fleener (7499031),Coby Fleener,7499031,3200,NO@SD 04:25PM ET,NO
RB,Alfred Blue (7498730),Alfred Blue,7498730,3100,Ten@Hou 01:00PM ET,Hou
WR,Rishard Matthews (7498838),Rishard Matthews,7498838,3100,Ten@Hou 01:00PM ET,Ten
WR,Jaelen Strong (7498842),Jaelen Strong,7498842,3100,Ten@Hou 01:00PM ET,Hou
RB,C.J. Prosise (7498748),C.J. Prosise,7498748,3100,Sea@NYJ 01:00PM ET,Sea
RB,Ka'Deem Carey (7498783),Ka'Deem Carey,7498783,3100,Det@Chi 01:00PM ET,Chi
DST,Lions  (7499388),Lions ,7499388,3100,Det@Chi 01:00PM ET,Det
RB,Travaris Cadet (7498806),Travaris Cadet,7498806,3100,NO@SD 04:25PM ET,NO
WR,Terrance Williams (7498948),Terrance Williams,7498948,3100,Dal@SF 04:25PM ET,Dal
TE,Jesse James (7499050),Jesse James,7499050,3100,KC@Pit 08:30PM ET,Pit
RB,Jonathan Grimes (7498728),Jonathan Grimes,7498728,3000,Ten@Hou 01:00PM ET,Hou
RB,Jay Prosch (7498731),Jay Prosch,7498731,3000,Ten@Hou 01:00PM ET,Hou
RB,Jalston Fowler (7498732),Jalston Fowler,7498732,3000,Ten@Hou 01:00PM ET,Ten
RB,Antonio Andrews (7498733),Antonio Andrews,7498733,3000,Ten@Hou 01:00PM ET,Ten
RB,Tyler Ervin (7498734),Tyler Ervin,7498734,3000,Ten@Hou 01:00PM ET,Hou
WR,Harry Douglas (7498834),Harry Douglas,7498834,3000,Ten@Hou 01:00PM ET,Ten
WR,Marc Mariani (7498835),Marc Mariani,7498835,3000,Ten@Hou 01:00PM ET,Ten
WR,Kendall Wright (7498836),Kendall Wright,7498836,3000,Ten@Hou 01:00PM ET,Ten
WR,Keith Mumphery (7498837),Keith Mumphery,7498837,3000,Ten@Hou 01:00PM ET,Hou
WR,Braxton Miller (7498840),Braxton Miller,7498840,3000,Ten@Hou 01:00PM ET,Hou
RB,Malcolm Johnson (7498737),Malcolm Johnson,7498737,3000,Cle@Was 01:00PM ET,Cle
RB,George Atkinson III (7498740),George Atkinson III,7498740,3000,Cle@Was 01:00PM ET,Cle
WR,Andrew Hawkins (7498844),Andrew Hawkins,7498844,3000,Cle@Was 01:00PM ET,Cle
WR,Ryan Grant (7498848),Ryan Grant,7498848,3000,Cle@Was 01:00PM ET,Was
WR,Josh Doctson (7498849),Josh Doctson,7498849,3000,Cle@Was 01:00PM ET,Was
WR,Rashad Ross (7498850),Rashad Ross,7498850,3000,Cle@Was 01:00PM ET,Was
WR,Jordan Payton (7498852),Jordan Payton,7498852,3000,Cle@Was 01:00PM ET,Cle
WR,Ricardo Louis (7498853),Ricardo Louis,7498853,3000,Cle@Was 01:00PM ET,Cle
WR,Rashard Higgins (7498855),Rashard Higgins,7498855,3000,Cle@Was 01:00PM ET,Cle
RB,Terrence Magee (7498746),Terrence Magee,7498746,3000,Sea@NYJ 01:00PM ET,Sea
RB,Troymaine Pope (7498749),Troymaine Pope,7498749,3000,Sea@NYJ 01:00PM ET,NYJ
RB,Alex Collins (7498750),Alex Collins,7498750,3000,Sea@NYJ 01:00PM ET,Sea
WR,Paul Richardson (7498861),Paul Richardson,7498861,3000,Sea@NYJ 01:00PM ET,Sea
WR,Charone Peake (7498862),Charone Peake,7498862,3000,Sea@NYJ 01:00PM ET,NYJ
WR,Tanner McEvoy (7498863),Tanner McEvoy,7498863,3000,Sea@NYJ 01:00PM ET,Sea
WR,Robby Anderson (7498865),Robby Anderson,7498865,3000,Sea@NYJ 01:00PM ET,NYJ
WR,Jalin Marshall (7498866),Jalin Marshall,7498866,3000,Sea@NYJ 01:00PM ET,NYJ
RB,Reggie Bush (7498751),Reggie Bush,7498751,3000,Buf@NE 01:00PM ET,Buf
RB,Jerome Felton (7498752),Jerome Felton,7498752,3000,Buf@NE 01:00PM ET,Buf
RB,James Develin (7498753),James Develin,7498753,3000,Buf@NE 01:00PM ET,NE
RB,Brandon Bolden (7498756),Brandon Bolden,7498756,3000,Buf@NE 01:00PM ET,NE
RB,Mike Gillislee (7498757),Mike Gillislee,7498757,3000,Buf@NE 01:00PM ET,Buf
RB,D.J. Foster (7498759),D.J. Foster,7498759,3000,Buf@NE 01:00PM ET,NE
RB,Jonathan Williams (7498760),Jonathan Williams,7498760,3000,Buf@NE 01:00PM ET,Buf
WR,Matthew Slater (7498867),Matthew Slater,7498867,3000,Buf@NE 01:00PM ET,NE
WR,Brandon Tate (7498869),Brandon Tate,7498869,3000,Buf@NE 01:00PM ET,Buf
WR,Greg Salas (7498870),Greg Salas,7498870,3000,Buf@NE 01:00PM ET,Buf
WR,Marquise Goodwin (7498872),Marquise Goodwin,7498872,3000,Buf@NE 01:00PM ET,Buf
WR,Walt Powell (7498873),Walt Powell,7498873,3000,Buf@NE 01:00PM ET,Buf
WR,Malcolm Mitchell (7498877),Malcolm Mitchell,7498877,3000,Buf@NE 01:00PM ET,NE
RB,Mike Tolbert (7498761),Mike Tolbert,7498761,3000,Car@Atl 01:00PM ET,Car
RB,Patrick DiMarco (7498764),Patrick DiMarco,7498764,3000,Car@Atl 01:00PM ET,Atl
WR,Eric Weems (7498878),Eric Weems,7498878,3000,Car@Atl 01:00PM ET,Atl
WR,Aldrick Robinson (7498880),Aldrick Robinson,7498880,3000,Car@Atl 01:00PM ET,Atl
WR,Brenton Bersin (7498882),Brenton Bersin,7498882,3000,Car@Atl 01:00PM ET,Car
WR,Justin Hardy (7498884),Justin Hardy,7498884,3000,Car@Atl 01:00PM ET,Atl
WR,Corey Brown (7498885),Corey Brown,7498885,3000,Car@Atl 01:00PM ET,Car
WR,Damiere Byrd (7498886),Damiere Byrd,7498886,3000,Car@Atl 01:00PM ET,Car
WR,Taylor Gabriel (7498889),Taylor Gabriel,7498889,3000,Car@Atl 01:00PM ET,Atl
RB,Marcel Reece (7498769),Marcel Reece,7498769,3000,Oak@Bal 01:00PM ET,Oak
RB,Taiwan Jones (7498770),Taiwan Jones,7498770,3000,Oak@Bal 01:00PM ET,Oak
RB,Kyle Juszczyk (7498772),Kyle Juszczyk,7498772,3000,Oak@Bal 01:00PM ET,Bal
RB,Jamize Olawale (7498773),Jamize Olawale,7498773,3000,Oak@Bal 01:00PM ET,Oak
RB,Javorius Allen (7498775),Javorius Allen,7498775,3000,Oak@Bal 01:00PM ET,Bal
WR,Devin Hester (7498891),Devin Hester,7498891,3000,Oak@Bal 01:00PM ET,Bal
WR,Kamar Aiken (7498894),Kamar Aiken,7498894,3000,Oak@Bal 01:00PM ET,Bal
WR,Andre Holmes (7498895),Andre Holmes,7498895,3000,Oak@Bal 01:00PM ET,Oak
WR,Chris Moore (7498896),Chris Moore,7498896,3000,Oak@Bal 01:00PM ET,Bal
WR,Breshad Perriman (7498898),Breshad Perriman,7498898,3000,Oak@Bal 01:00PM ET,Bal
WR,Johnny Holton (7498900),Johnny Holton,7498900,3000,Oak@Bal 01:00PM ET,Oak
RB,Michael Burton (7498780),Michael Burton,7498780,3000,Det@Chi 01:00PM ET,Det
RB,Zach Zenner (7498782),Zach Zenner,7498782,3000,Det@Chi 01:00PM ET,Det
