Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
24.9,Melvin,1.0,NO@SD 04:25PM ET,7498809,Gordon,Melvin Gordon,Melvin Gordon (7498809),NO,RB,20.09,18.0,18.0,16.0,17.453037332,15.7452360124,4.0,0.0961538461538,6300,SD,2.0,0.0
1.5,DeSean,1.0,Cle@Was 01:00PM ET,7498845,Jackson,DeSean Jackson,DeSean Jackson (7498845),CLE,WR,14.39,15.9,15.9,14.28,14.6642411221,13.2222213167,1.0,0.2,6200,WAS,4.0,0.0
7.9,DeAngelo,1.0,KC@Pit 08:30PM ET,7498823,Williams,DeAngelo Williams,DeAngelo Williams (7498823),KC,RB,7.96,5.3,5.3,5.88,5.59744670127,5.05405844293,2.0,0.181034482759,6200,PIT,0.0,0.0
9.4,Doug,1.0,Sea@NYJ 01:00PM ET,7498858,Baldwin,Doug Baldwin,Doug Baldwin (7498858),NYJ,WR,17.56,15.9,15.9,15.8,15.3751024258,13.8702354598,1.0,0.287128712871,6100,SEA,4.0,0.0
20.0,Christine,1.0,Sea@NYJ 01:00PM ET,7498745,Michael,Christine Michael,Christine Michael (7498745),NYJ,RB,14.32,11.2,11.2,13.89,11.26769658,10.1689908622,0.0,0.0,6000,SEA,6.0,0.0
21.6,Greg,1.0,Car@Atl 01:00PM ET,7498994,Olsen,Greg Olsen,Greg Olsen (7498994),ATL,TE,17.64,13.6,13.6,14.46,13.7385849591,12.3994575789,1.0,0.261261261261,6000,CAR,2.0,0.0
0.0,Tony,1.0,Dal@SF 04:25PM ET,7498715,Romo,Tony Romo,Tony Romo (7498715),SF,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000,DAL,0.0,0.0
12.8,Jeremy,1.0,KC@Pit 08:30PM ET,7498955,Maclin,Jeremy Maclin,Jeremy Maclin (7498955),PIT,WR,15.76,17.7,17.7,15.11,16.2662513622,14.666119985,1.0,0.25,6000,KC,3.0,0.0
23.0,Joe,1.0,Oak@Bal 01:00PM ET,7498690,Flacco,Joe Flacco,Joe Flacco (7498690),OAK,QB,18.32,17.9,17.9,16.5,16.9841881625,15.3187531873,0.0,0.0,5900,BAL,7.0,0.0
22.5,Mark,1.0,NO@SD 04:25PM ET,7498807,Ingram,Mark Ingram,Mark Ingram (7498807),SD,RB,15.99,19.1,19.1,14.79,17.3248889446,15.6183472929,7.0,0.0791366906475,5900,NO,1.0,0.0
7.8,Travis,0.0,NO@SD 04:25PM ET,7498937,Benjamin,Travis Benjamin,Travis Benjamin (7498937),NO,WR,18.87,17.0,17.0,17.26,16.4601274305,14.8492636218,1.0,0.221153846154,5900,SD,3.0,0.0
17.6,Brock,1.0,Ten@Hou 01:00PM ET,7498665,Osweiler,Brock Osweiler,Brock Osweiler (7498665),TEN,QB,16.49,18.3,18.3,17.24,16.8615488102,15.2032945776,11.0,0.0,5800,HOU,6.0,0.0
2.7,Julian,1.0,Buf@NE 01:00PM ET,7498871,Edelman,Julian Edelman,Julian Edelman (7498871),BUF,WR,14.09,13.4,13.4,14.94,12.7986441554,11.5444477199,1.0,0.270833333333,5800,NE,5.0,0.0
3.1,Golden,0.0,Det@Chi 01:00PM ET,7498905,Tate,Golden Tate,Golden Tate (7498905),CHI,WR,11.2,12.8,12.8,13.47,11.7189743365,10.5657240582,2.0,0.20325203252,5800,DET,5.0,0.0
4.2,Mohamed,0.0,Car@Atl 01:00PM ET,7498883,Sanu,Mohamed Sanu,Mohamed Sanu (7498883),CAR,WR,11.07,11.9,11.9,10.96,11.0424260062,9.9572283043,3.0,0.174757281553,5700,ATL,6.0,0.0
18.1,Dak,1.0,Dal@SF 04:25PM ET,7498720,Prescott,Dak Prescott,Dak Prescott (7498720),SF,QB,19.22,19.2,19.2,16.58,18.1211379574,16.3432845814,0.0,0.0,5700,DAL,5.0,0.0
9.6,Spencer,1.0,KC@Pit 08:30PM ET,7498828,Ware,Spencer Ware,Spencer Ware (7498828),PIT,RB,13.58,11.2,11.2,10.93,11.1017541936,10.0177194219,4.0,0.103448275862,5700,KC,6.0,0.0
4.5,Charles,1.0,Den@TB 04:05PM ET,7498789,Sims,Charles Sims,Charles Sims (7498789),DEN,RB,14.7,16.6,16.6,14.31,15.2372879745,13.7381970394,5.0,0.107142857143,5600,TB,2.0,0.0
18.7,Alex,1.0,KC@Pit 08:30PM ET,7498721,Smith,Alex Smith,Alex Smith (7498721),PIT,QB,16.93,19.2,19.2,16.31,17.6076135456,15.8751607998,10.0,0.00862068965517,5600,KC,5.0,0.0
9.1,Marcus,1.0,Ten@Hou 01:00PM ET,7498667,Mariota,Marcus Mariota,Marcus Mariota (7498667),HOU,QB,15.42,17.0,17.0,15.2,15.6864771157,14.1440116364,0.0,0.0,5500,TEN,8.0,0.0
