"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"RB","Lamar Miller (7545410)","Lamar Miller",7545410,6300,"Hou@Min 01:00PM ET","Hou","Lamar","Miller","Min",15.01,19.8,15.71,19.8,4,0.105633802816901,17.1642196772105,16.7055284269378,1,3.4,0,1
"WR","Stefon Diggs (7545526)","Stefon Diggs",7545526,6300,"Hou@Min 01:00PM ET","Min","Stefon","Diggs","Hou",0,0,0,0,1,0.265151515151515,0,0,1,0,0,0
"QB","Joe Flacco (7545319)","Joe Flacco",7545319,6200,"Was@Bal 01:00PM ET","Bal","Joe","Flacco","Was",18.09,17.1,17.47,17.1,0,0,16.0284407833366,15.822552443354,1,13,0,5
"RB","Matt Forte (7545417)","Matt Forte",7545417,6200,"NYJ@Pit 01:00PM ET","NYJ","Matt","Forte","Pit",14.89,14.8,15.05,14.8,5,0.104575163398693,13.6923615974177,13.4857086476416,1,8,0,3
"WR","Randall Cobb (7545592)","Randall Cobb",7545592,6200,"NYG@GB 08:30PM ET","GB","Randall","Cobb","NYG",13.06,13.2,12.99,13.2,2,0.203883495145631,12.160343023381,11.9678567943644,0,22.8,0,6
"QB","Kirk Cousins (7545322)","Kirk Cousins",7545322,6100,"Was@Bal 01:00PM ET","Was","Kirk","Cousins","Bal",17.69,17.9,15.61,17.9,0,0,16.4854265467551,16.2236557399794,1,13.3,0,4
"RB","DeAngelo Williams (7545416)","DeAngelo Williams",7545416,6100,"NYJ@Pit 01:00PM ET","Pit","DeAngelo","Williams","NYJ",6.45,5.3,5.96,5.3,2,0.152777777777778,5.16602046573397,5.13349636152741,1,0,0,0
"WR","Eric Decker (7545533)","Eric Decker",7545533,6000,"NYJ@Pit 01:00PM ET","NYJ","Eric","Decker","Pit",0,0,0,0,3,0.137254901960784,0,0,0,0,0,0
"QB","Tony Romo (7545341)","Tony Romo",7545341,6000,"Cin@Dal 04:25PM ET","Dal","Tony","Romo","Cin",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Eli Manning (7545359)","Eli Manning",7545359,6000,"NYG@GB 08:30PM ET","NYG","Eli","Manning","GB",16.93,16.9,15.77,16.9,0,0,15.6180957571316,15.3794199546983,1,11.1,0,5
"WR","DeSean Jackson (7545510)","DeSean Jackson",7545510,5900,"Was@Bal 01:00PM ET","Was","DeSean","Jackson","Bal",11.87,14.4,12.7,14.4,2,0.188311688311688,12.7071723309241,12.4089677456083,0,6.5,0,5
"QB","Andy Dalton (7545343)","Andy Dalton",7545343,5900,"Cin@Dal 04:25PM ET","Cin","Andy","Dalton","Dal",18.07,19,17.55,19,0,0,17.3323309273095,17.0282336442555,1,22.2,0,3
"RB","Eddie Lacy (7545460)","Eddie Lacy",7545460,5900,"NYG@GB 08:30PM ET","GB","Eddie","Lacy","NYG",11.55,14.7,12.54,14.7,6,0.0485436893203883,12.8385921830714,12.5131230429818,0,9.4,0,3
"WR","Terrelle Pryor Sr. (7545468)","Terrelle Pryor",7545468,5800,"NE@Cle 01:00PM ET","Cle","Terrelle","Pryor","NE",16.15,15.2,12.74,15.2,1,0.297872340425532,14.2639528399298,14.0835386532313,1,10.3,0,5
"WR","Will Fuller (7545530)","Will Fuller",7545530,5800,"Hou@Min 01:00PM ET","Hou","Will","Fuller","Min",14.82,14,12.37,14,1,0.23943661971831,13.1249263616859,12.9567143729886,1,1.4,0,5
"RB","Frank Gore (7545381)","Frank Gore",7545381,5700,"Chi@Ind 01:00PM ET","Ind","Frank","Gore","Chi",14.82,13.6,15.27,13.6,4,0.111111111111111,12.8494337045242,12.7017410318983,1,8.9,0,3
"WR","Donte Moncrief (7545494)","Donte Moncrief",7545494,5700,"Chi@Ind 01:00PM ET","Ind","Donte","Moncrief","Chi",0,0,0,0,7,0.0584795321637427,0,0,0,0,0,0
"QB","Ryan Tannehill (7545317)","Ryan Tannehill",7545317,5700,"Ten@Mia 01:00PM ET","Mia","Ryan","Tannehill","Ten",17.45,19,17.14,19,0,0,17.1866316234069,16.8595263966447,1,5.6,0,3
"RB","LeGarrette Blount (7545365)","LeGarrette Blount",7545365,5600,"NE@Cle 01:00PM ET","NE","LeGarrette","Blount","Cle",14.42,17,15.56,17,7,0.024,15.0971217394938,14.760171045611,1,9.7,0,2
"QB","Dak Prescott (7545345)","Dak Prescott",7545345,5600,"Cin@Dal 04:25PM ET","Dal","Dak","Prescott","Cin",18.05,15.6,15.56,15.6,0,0,14.9859433638897,14.8555180757096,1,18.5,0,6
"QB","Brian Hoyer (7545311)","Brian Hoyer",7545311,5500,"Chi@Ind 01:00PM ET","Chi","Brian","Hoyer","Ind",15.76,16,14.95,16,0,0,14.7232885921209,14.4873630344955,1,26.8,0,6
"WR","Sterling Shepard (7545598)","Sterling Shepard",7545598,5500,"NYG@GB 08:30PM ET","NYG","Sterling","Shepard","GB",14.17,11.4,13.27,11.4,2,0.170886075949367,11.1814748199144,11.1225171543738,1,3.4,0,7
"QB","Marcus Mariota (7545318)","Marcus Mariota",7545318,5400,"Ten@Mia 01:00PM ET","Ten","Marcus","Mariota","Mia",17.14,17.7,16.36,17.7,0,0,16.2184308356801,15.9465094142956,1,30.5,0,4
"QB","Jay Cutler (7545310)","Jay Cutler",7545310,5300,"Chi@Ind 01:00PM ET","Chi","Jay","Cutler","Ind",0,0,0,0,0,0,0,0,1,0,0,0
"WR","Steve Smith Sr. (7545508)","Steve Smith",7545508,5300,"Was@Bal 01:00PM ET","Bal","Steve","Smith","Was",14.2,15.2,12.97,15.2,1,0.222222222222222,13.8057050292685,13.5529271486489,1,5.9,0,5
"QB","Brock Osweiler (7545327)","Brock Osweiler",7545327,5300,"Hou@Min 01:00PM ET","Hou","Brock","Osweiler","Min",13.99,16.7,13.27,16.7,13,0,14.7894527293998,14.4519344003213,1,10.4,0,5
"QB","Jimmy Garoppolo (7545303)","Jimmy Garoppolo",7545303,5200,"NE@Cle 01:00PM ET","NE","Jimmy","Garoppolo","Cle",0,0,0,0,11,0.008,0,0,1,-0.3,0,0
"RB","Jordan Howard (7545389)","Jordan Howard",7545389,5200,"Chi@Ind 01:00PM ET","Chi","Jordan","Howard","Ind",14.45,16.9,15.02,16.9,5,0.0915492957746479,15.0352985415213,14.7045909642551,1,28.3,0,2
"QB","Trevor Siemian (7545339)","Trevor Siemian",7545339,5200,"Atl@Den 04:05PM ET","Den","Trevor","Siemian","Atl",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Paxton Lynch (7545340)","Paxton Lynch",7545340,5200,"Atl@Den 04:05PM ET","Den","Paxton","Lynch","Atl",14.67,15.9,14,15.9,0,0,14.3982666516147,14.1270214735846,1,13.7,0,6
"QB","Tyrod Taylor (7545348)","Tyrod Taylor",7545348,5200,"Buf@LA 04:25PM ET","Buf","Tyrod","Taylor","LA",17.17,17.2,15.4,17.2,0,0,15.8811149805458,15.6359559918493,1,15.8,0,5
"WR","Mike Wallace (7545511)","Mike Wallace",7545511,5100,"Was@Bal 01:00PM ET","Bal","Mike","Wallace","Was",10.13,10.6,12.08,10.6,2,0.179012345679012,9.68109404145157,9.51325227808401,1,13.3,0,7
"QB","Sam Bradford (7545325)","Sam Bradford",7545325,5100,"Hou@Min 01:00PM ET","Min","Sam","Bradford","Hou",15.62,12.3,14.15,12.3,11,0,12.1420816705585,12.0907644444653,1,18.6,0,0
"QB","Ryan Fitzpatrick (7545329)","Ryan Fitzpatrick",7545329,5100,"NYJ@Pit 01:00PM ET","NYJ","Ryan","Fitzpatrick","Pit",16.62,21,16.01,21,0,0,18.3690458410878,17.9085430770692,1,15.1,0,2
"QB","Josh McCown (7545301)","Josh McCown",7545301,5000,"NE@Cle 01:00PM ET","Cle","Josh","McCown","NE",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Charlie Whitehurst (7545302)","Charlie Whitehurst",7545302,5000,"NE@Cle 01:00PM ET","Cle","Charlie","Whitehurst","NE",0,0,0,0,0,0,0,0,0,10.4,0,0
"QB","Cody Kessler (7545304)","Cody Kessler",7545304,5000,"NE@Cle 01:00PM ET","Cle","Cody","Kessler","NE",11.63,14.5,11.61,14.5,0,0,12.7196457646715,12.4074050495477,1,6.5,0,0
"QB","Jacoby Brissett (7545305)","Jacoby Brissett",7545305,5000,"NE@Cle 01:00PM ET","NE","Jacoby","Brissett","Cle",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Dan Orlovsky (7545306)","Dan Orlovsky",7545306,5000,"Phi@Det 01:00PM ET","Det","Dan","Orlovsky","Phi",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Chase Daniel (7545307)","Chase Daniel",7545307,5000,"Phi@Det 01:00PM ET","Phi","Chase","Daniel","Det",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Scott Tolzien (7545312)","Scott Tolzien",7545312,5000,"Chi@Ind 01:00PM ET","Ind","Scott","Tolzien","Chi",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt Barkley (7545314)","Matt Barkley",7545314,5000,"Chi@Ind 01:00PM ET","Chi","Matt","Barkley","Ind",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt Cassel (7545315)","Matt Cassel",7545315,5000,"Ten@Mia 01:00PM ET","Ten","Matt","Cassel","Mia",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt Moore (7545316)","Matt Moore",7545316,5000,"Ten@Mia 01:00PM ET","Mia","Matt","Moore","Ten",0,0,0,0,0,0,0,0,1,0,0,0
"WR","DeVante Parker (7545504)","DeVante Parker",7545504,5000,"Ten@Mia 01:00PM ET","Mia","DeVante","Parker","Ten",12.35,12.9,12.65,12.9,2,0.165413533834586,11.7868743276535,11.5834297791858,1,9,1,6
"QB","Colt McCoy (7545320)","Colt McCoy",7545320,5000,"Was@Bal 01:00PM ET","Was","Colt","McCoy","Bal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Ryan Mallett (7545321)","Ryan Mallett",7545321,5000,"Was@Bal 01:00PM ET","Bal","Ryan","Mallett","Was",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Nate Sudfeld (7545323)","Nate Sudfeld",7545323,5000,"Was@Bal 01:00PM ET","Was","Nate","Sudfeld","Bal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Shaun Hill (7545324)","Shaun Hill",7545324,5000,"Hou@Min 01:00PM ET","Min","Shaun","Hill","Hou",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Brandon Weeden (7545326)","Brandon Weeden",7545326,5000,"Hou@Min 01:00PM ET","Hou","Brandon","Weeden","Min",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Tom Savage (7545328)","Tom Savage",7545328,5000,"Hou@Min 01:00PM ET","Hou","Tom","Savage","Min",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Landry Jones (7545331)","Landry Jones",7545331,5000,"NYJ@Pit 01:00PM ET","Pit","Landry","Jones","NYJ",0,0,0,0,0,0,0,0,1,-0.2,0,0
"QB","Zach Mettenberger (7545332)","Zach Mettenberger",7545332,5000,"NYJ@Pit 01:00PM ET","Pit","Zach","Mettenberger","NYJ",0,0,0,0,0,0,0,0,0,0,0,0
"QB","Bryce Petty (7545333)","Bryce Petty",7545333,5000,"NYJ@Pit 01:00PM ET","NYJ","Bryce","Petty","Pit",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Geno Smith (7545334)","Geno Smith",7545334,5000,"NYJ@Pit 01:00PM ET","NYJ","Geno","Smith","Pit",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Christian Hackenberg (7545335)","Christian Hackenberg",7545335,5000,"NYJ@Pit 01:00PM ET","NYJ","Christian","Hackenberg","Pit",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt Schaub (7545337)","Matt Schaub",7545337,5000,"Atl@Den 04:05PM ET","Atl","Matt","Schaub","Den",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Austin Davis (7545338)","Austin Davis",7545338,5000,"Atl@Den 04:05PM ET","Den","Austin","Davis","Atl",0,0,0,0,0,0,0,0,1,0,0,0
"RB","Devonta Freeman (7545425)","Devonta Freeman",7545425,5000,"Atl@Den 04:05PM ET","Atl","Devonta","Freeman","Den",11.88,12.6,13.39,12.6,5,0.079136690647482,11.469805362469,11.2643087953405,1,21.3,0,3
"QB","Mark Sanchez (7545342)","Mark Sanchez",7545342,5000,"Cin@Dal 04:25PM ET","Dal","Mark","Sanchez","Cin",0,1.5,0,1.5,0,0,1.0330974643564,0.956150029088883,1,0,0,0
"QB","AJ McCarron (7545344)","AJ McCarron",7545344,5000,"Cin@Dal 04:25PM ET","Cin","AJ","McCarron","Dal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Jeff Driskel (7545346)","Jeff Driskel",7545346,5000,"Cin@Dal 04:25PM ET","Cin","Jeff","Driskel","Dal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Case Keenum (7545347)","Case Keenum",7545347,5000,"Buf@LA 04:25PM ET","LA","Case","Keenum","Buf",12.13,12.8,10.83,12.8,0,0,11.6663014103654,11.4598225818578,1,8.8,0,0
"QB","EJ Manuel (7545349)","EJ Manuel",7545349,5000,"Buf@LA 04:25PM ET","Buf","EJ","Manuel","LA",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Sean Mannion (7545350)","Sean Mannion",7545350,5000,"Buf@LA 04:25PM ET","LA","Sean","Mannion","Buf",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Cardale Jones (7545351)","Cardale Jones",7545351,5000,"Buf@LA 04:25PM ET","Buf","Cardale","Jones","LA",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Jared Goff (7545352)","Jared Goff",7545352,5000,"Buf@LA 04:25PM ET","LA","Jared","Goff","Buf",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Kellen Clemens (7545353)","Kellen Clemens",7545353,5000,"SD@Oak 04:25PM ET","SD","Kellen","Clemens","Oak",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Matt McGloin (7545355)","Matt McGloin",7545355,5000,"SD@Oak 04:25PM ET","Oak","Matt","McGloin","SD",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Connor Cook (7545357)","Connor Cook",7545357,5000,"SD@Oak 04:25PM ET","Oak","Connor","Cook","SD",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Josh Johnson (7545360)","Josh Johnson",7545360,5000,"NYG@GB 08:30PM ET","NYG","Josh","Johnson","GB",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Ryan Nassib (7545361)","Ryan Nassib",7545361,5000,"NYG@GB 08:30PM ET","NYG","Ryan","Nassib","GB",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Brett Hundley (7545362)","Brett Hundley",7545362,5000,"NYG@GB 08:30PM ET","GB","Brett","Hundley","NYG",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Joe Callahan (7545363)","Joe Callahan",7545363,5000,"NYG@GB 08:30PM ET","GB","Joe","Callahan","NYG",0,0,0,0,0,0,0,0,1,0,0,0
"RB","Theo Riddick (7545376)","Theo Riddick",7545376,4900,"Phi@Det 01:00PM ET","Det","Theo","Riddick","Phi",12.69,14.4,12.79,14.4,3,0.16875,12.8998714102791,12.6320966859968,1,26.2,0,3
"WR","Golden Tate (7545477)","Golden Tate",7545477,4900,"Phi@Det 01:00PM ET","Det","Golden","Tate","Phi",9.39,12.8,10.22,12.8,2,0.175,11.0224044866669,10.7142453908036,0,7.5,0,6
"RB","Isaiah Crowell (7545369)","Isaiah Crowell",7545369,4800,"NE@Cle 01:00PM ET","Cle","Isaiah","Crowell","NE",13.14,9.8,11.25,9.8,6,0.0638297872340425,9.83745534768747,9.82235207220729,1,5,0,4
"WR","Phillip Dorsett (7545493)","Phillip Dorsett",7545493,4800,"Chi@Ind 01:00PM ET","Ind","Phillip","Dorsett","Chi",9.29,14.7,12.27,14.7,6,0.0994152046783626,12.3074947204588,11.8981579145941,1,4.6,0,5
"RB","Terrance West (7545402)","Terrance West",7545402,4800,"Was@Bal 01:00PM ET","Bal","Terrance","West","Was",12.51,12.2,12.24,12.2,8,0.0432098765432099,11.3423619979825,11.1807637864998,0,10.9,0,4
"WR","Mohamed Sanu (7545549)","Mohamed Sanu",7545549,4800,"Atl@Den 04:05PM ET","Atl","Mohamed","Sanu","Den",9.08,9.9,8.43,9.9,2,0.151079136690647,8.95223307029325,8.78133504409308,0,6.3,1,8
"RB","Arian Foster (7545390)","Arian Foster",7545390,4700,"Ten@Mia 01:00PM ET","Mia","Arian","Foster","Ten",0,0,0,0,8,0.037593984962406,0,0,0,0,0,0
"TE","Delanie Walker (7545624)","Delanie Walker",7545624,4700,"Ten@Mia 01:00PM ET","Ten","Delanie","Walker","Mia",13.93,11.6,11.81,11.6,4,0.135714285714286,11.2628214179523,11.1846977935858,1,17.6,0,3
"WR","Tyrell Williams (7545584)","Tyrell Williams",7545584,4700,"SD@Oak 04:25PM ET","SD","Tyrell","Williams","Oak",12.31,11.2,11.4,11.2,2,0.183673469387755,10.6066305796258,10.4889087409962,1,25.7,0,7
"WR","Corey Coleman (7545473)","Corey Coleman",7545473,4600,"NE@Cle 01:00PM ET","Cle","Corey","Coleman","NE",0,0,0,0,5,0.0851063829787234,0,0,0,0,1,0
"RB","Ryan Mathews (7545374)","Ryan Mathews",7545374,4600,"Phi@Det 01:00PM ET","Phi","Ryan","Mathews","Det",11.49,10.9,9.35,10.9,8,0.0104166666666667,10.2073120073995,10.07454979479,0,17.5,0,4
"WR","Jamison Crowder (7545517)","Jamison Crowder",7545517,4600,"Was@Bal 01:00PM ET","Was","Jamison","Crowder","Bal",10.8,9.9,9.93,9.9,3,0.175324675324675,9.35643113918428,9.24936160198108,1,12.5,0,8
"WR","Quincy Enunwa (7545537)","Quincy Enunwa",7545537,4600,"NYJ@Pit 01:00PM ET","NYJ","Quincy","Enunwa","Pit",14.36,12.7,12.92,12.7,2,0.215686274509804,12.1214757423698,12.0028811210563,1,9.1,0,6
"RB","Matt Jones (7545406)","Matt Jones",7545406,4500,"Was@Bal 01:00PM ET","Was","Matt","Jones","Bal",11.85,9.5,10.8,9.5,6,0.0454545454545455,9.32768730314791,9.28010214797351,1,6.6,0,5
"RB","Rashad Jennings (7545457)","Rashad Jennings",7545457,4500,"NYG@GB 08:30PM ET","NYG","Rashad","Jennings","GB",0,11.4,0,11.4,8,0.0253164556962025,7.85154072910862,7.26674022107551,0,0,0,4
"WR","Victor Cruz (7545589)","Victor Cruz",7545589,4500,"NYG@GB 08:30PM ET","NYG","Victor","Cruz","GB",9.78,8.3,10.26,8.3,3,0.158227848101266,8.01476165572998,7.95191760445346,0,0,0,9
"WR","Tajae Sharpe (7545507)","Tajae Sharpe",7545507,4400,"Ten@Mia 01:00PM ET","Ten","Tajae","Sharpe","Mia",10.75,10.4,10.67,10.4,1,0.25,9.6890470167733,9.55447285514962,0,3.7,0,7
