"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","TierRank"
"TE","Greg Scruggs (7147868)","Greg Scruggs",7147868,2500,"Chi@Hou 01:00PM ET","Chi","Greg","Scruggs","Hou",0,0,0,0,0
"TE","Chris Gragg (7147857)","Chris Gragg",7147857,2500,"Buf@Bal 01:00PM ET","Buf","Chris","Gragg","Bal",0,0,0,0,0
"TE","Josh Hill (7147832)","Josh Hill",7147832,2500,"Oak@NO 01:00PM ET","NO","Josh","Hill","Oak",0,2.1,0,2.1,0
"TE","James Winchester (7147844)","James Winchester",7147844,2500,"SD@KC 01:00PM ET","KC","James","Winchester","SD",0,0,0,0,0
"TE","Jack Doyle (7147918)","Jack Doyle",7147918,2500,"Det@Ind 04:25PM ET","Ind","Jack","Doyle","Det",2.34,3.2,0,3.2,0
"TE","Justin Perillo (7147879)","Justin Perillo",7147879,2500,"GB@Jax 01:00PM ET","GB","Justin","Perillo","Jax",0,0,0,0,0
"TE","Ryan Hewitt (7147818)","Ryan Hewitt",7147818,2500,"Cin@NYJ 01:00PM ET","Cin","Ryan","Hewitt","NYJ",0,0,0,0,0
"TE","Levine Toilolo (7147778)","Levine Toilolo",7147778,2500,"TB@Atl 01:00PM ET","Atl","Levine","Toilolo","TB",2.04,0,0,0,0
"TE","Matt Lengel (7147819)","Matt Lengel",7147819,2500,"Cin@NYJ 01:00PM ET","Cin","Matt","Lengel","NYJ",0,0,0,0,0
"TE","Gabe Holmes (7147833)","Gabe Holmes",7147833,2500,"Oak@NO 01:00PM ET","Oak","Gabe","Holmes","NO",0,0,0,0,0
"TE","D.J. Tialavea (7147779)","D.J. Tialavea",7147779,2500,"TB@Atl 01:00PM ET","Atl","D.J.","Tialavea","TB",0,0,0,0,0
"TE","Dion Sims (7147892)","Dion Sims",7147892,2500,"Mia@Sea 04:05PM ET","Mia","Dion","Sims","Sea",1.81,1.2,0,1.2,0
"TE","Blake Annen (7147858)","Blake Annen",7147858,2500,"Buf@Bal 01:00PM ET","Buf","Blake","Annen","Bal",0,0,0,0,0
"TE","Orson Charles (7147919)","Orson Charles",7147919,2500,"Det@Ind 04:25PM ET","Det","Orson","Charles","Ind",0,0,0,0,0
"TE","Arthur Lynch (7147780)","Arthur Lynch",7147780,2500,"TB@Atl 01:00PM ET","Atl","Arthur","Lynch","TB",0,0,0,0,0
"TE","Brandon Bostick (7147821)","Brandon Bostick",7147821,2500,"Cin@NYJ 01:00PM ET","NYJ","Brandon","Bostick","Cin",0,0,0,0,0
"TE","Jerome Cunningham (7147795)","Jerome Cunningham",7147795,2500,"Min@Ten 01:00PM ET","Ten","Jerome","Cunningham","Min",0,0,0,0,0
"TE","Nic Jacobs (7147880)","Nic Jacobs",7147880,2500,"GB@Jax 01:00PM ET","Jax","Nic","Jacobs","GB",0,0,0,0,0
"TE","Brandon Williams (7147893)","Brandon Williams",7147893,2500,"Mia@Sea 04:05PM ET","Sea","Brandon","Williams","Mia",0,0,0,0,0
"TE","Cooper Helfet (7147894)","Cooper Helfet",7147894,2500,"Mia@Sea 04:05PM ET","Sea","Cooper","Helfet","Mia",0,0,0,0,0
"TE","Kivon Cartwright (7147781)","Kivon Cartwright",7147781,2500,"TB@Atl 01:00PM ET","TB","Kivon","Cartwright","Atl",0,0,0,0,0
"TE","Trey Burton (7147806)","Trey Burton",7147806,2500,"Cle@Phi 01:00PM ET","Phi","Trey","Burton","Cle",0,2.1,0,2.1,0
"TE","Gerald Christian (7147933)","Gerald Christian",7147933,2500,"NE@Ari 08:30PM ET","Ari","Gerald","Christian","NE",0,0,0,0,0
"TE","A.J. Derby (7147934)","A.J. Derby",7147934,2500,"NE@Ari 08:30PM ET","NE","A.J.","Derby","Ari",0,1.5,0,1.5,0
"TE","Erik Swoope (7147920)","Erik Swoope",7147920,2500,"Det@Ind 04:25PM ET","Ind","Erik","Swoope","Det",0,0,0,0,0
"TE","James O'Shaughnessy (7147845)","James O'Shaughnessy",7147845,2500,"SD@KC 01:00PM ET","KC","James","O'Shaughnessy","SD",0,0,0,0,0
"TE","Colton Underwood (7147834)","Colton Underwood",7147834,2500,"Oak@NO 01:00PM ET","Oak","Colton","Underwood","NO",0,0,0,0,0
"TE","MyCole Pruitt (7147796)","MyCole Pruitt",7147796,2500,"Min@Ten 01:00PM ET","Min","MyCole","Pruitt","Ten",0,0,0,0,0
"TE","Tyler Ott (7147905)","Tyler Ott",7147905,2500,"NYG@Dal 04:25PM ET","NYG","Tyler","Ott","Dal",0,0,0,0,0
"TE","C.J. Fiedorowicz (7147870)","C.J. Fiedorowicz",7147870,2500,"Chi@Hou 01:00PM ET","Hou","C.J.","Fiedorowicz","Chi",3.32,2.4,0,2.4,0
"TE","Eric Tomlinson (7147871)","Eric Tomlinson",7147871,2500,"Chi@Hou 01:00PM ET","Hou","Eric","Tomlinson","Chi",0,0,0,0,0
"TE","Randall Telfer (7147807)","Randall Telfer",7147807,2500,"Cle@Phi 01:00PM ET","Cle","Randall","Telfer","Phi",0,0,0,0,0
"TE","Asante Cleveland (7147846)","Asante Cleveland",7147846,2500,"SD@KC 01:00PM ET","SD","Asante","Cleveland","KC",0,0,0,0,0
"TE","Brian Parker (7147847)","Brian Parker",7147847,2500,"SD@KC 01:00PM ET","KC","Brian","Parker","SD",0,0,0,0,0
"TE","Ronnie Shields (7147895)","Ronnie Shields",7147895,2500,"Mia@Sea 04:05PM ET","Sea","Ronnie","Shields","Mia",0,0,0,0,0
"TE","Connor Hamlett (7147808)","Connor Hamlett",7147808,2500,"Cle@Phi 01:00PM ET","Cle","Connor","Hamlett","Phi",0,0,0,0,0
"TE","Casey Pierce (7147882)","Casey Pierce",7147882,2500,"GB@Jax 01:00PM ET","GB","Casey","Pierce","Jax",0,0,0,0,0
"TE","RaShaun Allen (7147836)","RaShaun Allen",7147836,2500,"Oak@NO 01:00PM ET","NO","RaShaun","Allen","Oak",0,0,0,0,0
"TE","Chris Manhertz (7147837)","Chris Manhertz",7147837,2500,"Oak@NO 01:00PM ET","NO","Chris","Manhertz","Oak",0,0,0,0,0
"TE","M.J. McFarland (7147809)","M.J. McFarland",7147809,2500,"Cle@Phi 01:00PM ET","Phi","M.J.","McFarland","Cle",0,0,0,0,0
"TE","Ben McCord (7147921)","Ben McCord",7147921,2500,"Det@Ind 04:25PM ET","Det","Ben","McCord","Ind",0,0,0,0,0
"TE","Anthony Denham (7147872)","Anthony Denham",7147872,2500,"Chi@Hou 01:00PM ET","Hou","Anthony","Denham","Chi",0,0,0,0,0
"TE","C.J. Uzomah (7147823)","C.J. Uzomah",7147823,2500,"Cin@NYJ 01:00PM ET","Cin","C.J.","Uzomah","NYJ",2.24,4.2,0,4.2,0
"TE","Adam Fuehne (7147922)","Adam Fuehne",7147922,2500,"Det@Ind 04:25PM ET","Det","Adam","Fuehne","Ind",0,0,0,0,0
"TE","David Reeves (7147810)","David Reeves",7147810,2500,"Cle@Phi 01:00PM ET","Cle","David","Reeves","Phi",0,0,0,0,0
"TE","Darren Waller (7147860)","Darren Waller",7147860,2500,"Buf@Bal 01:00PM ET","Bal","Darren","Waller","Buf",0,0,0,0,0
"TE","Daniel Dillon (7147935)","Daniel Dillon",7147935,2500,"NE@Ari 08:30PM ET","Ari","Daniel","Dillon","NE",0,0,0,0,0
"TE","Ryan Malleck (7147907)","Ryan Malleck",7147907,2500,"NYG@Dal 04:25PM ET","NYG","Ryan","Malleck","Dal",0,0,0,0,0
"TE","Ross Travis (7147848)","Ross Travis",7147848,2500,"SD@KC 01:00PM ET","KC","Ross","Travis","SD",0,0,0,0,0
"TE","Demetrius Harris (7147849)","Demetrius Harris",7147849,2500,"SD@KC 01:00PM ET","KC","Demetrius","Harris","SD",0,0,0,0,0
