"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
24,7,5900,29.4067796610169,17.35,"Tyler Anderson","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5.66666666666667,0,0,5,8,1,0
25,18,3500,48.5714285714286,17,"Joe Panik","SF",NA,"2B",8,2,0,0,0,4,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8,7300,22.2602739726027,16.25,"Adam Wainwright","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,0,0,2,3,2,0
27,9,6900,23.5507246376812,16.25,"C.C. Sabathia","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,0,0,0,3,2,0
28,19,3300,48.4848484848485,16,"Travis Shaw","MIL",NA,"3B",5,1,0,2,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,20,2100,76.1904761904762,16,"Ronald Torreyes","NYY",NA,"SS/3B",9,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,21,2300,65.2173913043478,15,"Erick Aybar","SD",NA,"SS",8,0,0,0,0,3,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,22,3300,45.4545454545455,15,"Rajai Davis","OAK",NA,"OF",1,1,0,2,0,5,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,23,3000,46.6666666666667,14,"Brian McCann","HOU",NA,"C",8,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,24,0,0,14,"Melky Cabrera","CHW",NA,"OF",3,1,0,1,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,25,2700,51.8518518518518,14,"Marwin Gonzalez","HOU",NA,"3B/OF",9,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,26,2800,46.4285714285714,13,"Manuel Margot","SD",NA,"OF",2,1,0,0,1,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,10,10200,12.2058823529412,12.45,"Johnny Cueto","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,0,0,4,6,2,0
37,27,3000,40,12,"Mark Reynolds","COL",NA,"1B",7,0,0,1,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,11,8400,13.1547619047619,11.05,"Matt Shoemaker","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,2,4,3,0
39,28,4800,22.9166666666667,11,"Nolan Arenado","COL",NA,"3B",4,1,0,1,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,29,3500,31.4285714285714,11,"Domingo Santana","MIL",NA,"OF",4,2,0,0,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,4000,27.5,11,"Hunter Pence","SF",NA,"OF",3,0,0,0,0,6,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,12,4000,26.25,10.5,"Jose Leclerc","TEX",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,0,0,0,0,0,0
43,13,5700,17.719298245614,10.1,"Martin Perez","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,3,5,4,0
44,31,3400,29.4117647058824,10,"Nomar Mazara","TEX",NA,"OF",3,1,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,32,3700,27.027027027027,10,"Eduardo Nunez","SF",NA,"3B/OF",6,2,0,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,33,0,0,10,"Tyler Saladino","CHW",NA,"2B/SS",1,1,0,0,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,34,3700,27.027027027027,10,"Brandon Belt","SF",NA,"1B/OF",2,0,0,1,0,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,35,0,0,10,"Jose Abreu","CHW",NA,"1B",4,0,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,36,2800,35.7142857142857,10,"Austin Jackson","CLE",NA,"OF",9,1,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,37,4600,21.7391304347826,10,"Charlie Blackmon","COL",NA,"OF",1,1,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,38,3800,26.3157894736842,10,"Wil Myers","SD",NA,"1B",3,1,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,39,3700,27.027027027027,10,"AJ Pollock","ARI",NA,"OF",1,0,0,0,1,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,40,3000,33.3333333333333,10,"Jacoby Ellsbury","NYY",NA,"OF",5,1,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,41,4800,20.8333333333333,10,"Mike Trout","LAA",NA,"OF",3,0,0,1,0,4,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,14,7700,12.0779220779221,9.3,"Hisashi Iwakuma","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,0,0,2,4,3,0
56,42,3200,28.125,9,"Matt Holliday","NYY",NA,"1B",4,0,0,1,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,43,3100,29.0322580645161,9,"Brandon Drury","ARI",NA,"2B",6,0,0,0,0,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,44,2200,40.9090909090909,9,"Martin Maldonado","LAA",NA,"C",9,0,0,2,0,3,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,45,3000,30,9,"Marcus Semien","OAK",NA,"SS",9,1,0,0,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,46,2900,31.0344827586207,9,"Jefry Marte","LAA",NA,"1B",5,2,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,47,3600,25,9,"Mike Napoli","TEX",NA,"1B",4,0,0,1,0,3,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,48,3100,29.0322580645161,9,"Brett Gardner","NYY",NA,"OF",1,1,0,0,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,15,7400,11.7567567567568,8.7,"Sean Manaea","OAK",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,4,5,2,1
64,16,9600,8.80208333333333,8.45,"Kenta Maeda","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,3,6,2,0
65,17,4000,20.625,8.25,"Mike Dunn","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,0,0,0
66,18,7800,10.3846153846154,8.1,"Jake Odorizzi","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,4,7,2,0
67,49,3100,25.8064516129032,8,"Cameron Maybin","LAA",NA,"OF",6,1,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,50,3000,26.6666666666667,8,"Danny Valencia","SEA",NA,"1B",6,0,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,51,4500,17.7777777777778,8,"Michael Brantley","CLE",NA,"OF",3,0,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,52,3300,24.2424242424242,8,"Logan Forsythe","LAD",NA,"2B/3B",1,0,0,0,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,19,4100,17.8048780487805,7.3,"Brent Suter","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,1,1,0
72,53,2800,25,7,"Greg Bird","NYY",NA,"1B",3,0,0,0,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,54,4000,17.5,7,"Evan Longoria","TB",NA,"3B",3,0,0,0,0,2,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,55,4600,15.2173913043478,7,"Carlos Gonzalez","COL",NA,"OF",3,0,0,0,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,56,4100,17.0731707317073,7,"Robinson Cano","SEA",NA,"2B",3,0,0,0,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,57,3200,21.875,7,"Mitch Haniger","SEA",NA,"OF",2,1,0,0,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,58,3200,21.875,7,"Willson Contreras","CHC",NA,"C",5,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,59,2600,26.9230769230769,7,"Andrelton Simmons","LAA",NA,"SS",7,2,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,60,3200,21.875,7,"Kole Calhoun","LAA",NA,"OF",2,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,61,2600,26.9230769230769,7,"Yonder Alonso","OAK",NA,"1B",8,1,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,62,3200,21.875,7,"Addison Russell","CHC",NA,"SS",4,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,20,4000,15.625,6.25,"George Kontos","SF",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
83,21,4300,14.5348837209302,6.25,"Tyler Clippard","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
84,22,4100,15.2439024390244,6.25,"Liam Hendriks","OAK",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
85,23,4000,15.625,6.25,"Tom Wilhelmsen","MIL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
86,24,4200,14.8809523809524,6.25,"Andrew Bailey","LAA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0
87,25,4000,15.625,6.25,"Greg Holland","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
88,26,4300,14.5348837209302,6.25,"Aroldis Chapman","NYY",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
89,27,5100,11.9607843137255,6.1,"Ross Stripling","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,0,0,1,4,0,0
90,63,0,0,6,"Avisail Garcia","CHW",NA,"OF",7,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,64,3200,18.75,6,"Steven Souza","TB",NA,"OF",1,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,65,2500,24,6,"Jett Bandy","MIL",NA,"C",7,0,0,0,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,28,0,0,5.75,"Zach Putnam","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.66666666666667,0,0,0,0,0,0
94,29,4000,14.125,5.65,"Hunter Strickland","SF",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,1,0
95,30,4100,13.780487804878,5.65,"Ken Giles","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,1,0,0
96,31,4000,12.625,5.05,"Cody Allen","CLE",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,1,2,0,0
97,66,0,0,5,"Justin Upton","DET",NA,"OF",5,1,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,67,3800,13.1578947368421,5,"Kyle Seager","SEA",NA,"3B",5,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,68,2700,18.5185185185185,5,"Yunel Escobar","LAA",NA,"3B",1,0,0,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,69,4200,11.9047619047619,5,"DJ LeMahieu","COL",NA,"2B",2,1,0,0,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,70,3000,16.6666666666667,5,"Jesus Aguilar","MIL",NA,"1B",6,0,0,1,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,71,2500,20,5,"Manny Pina","MIL",NA,"C",6,0,0,1,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,72,3100,16.1290322580645,5,"Chris Owings","ARI",NA,"SS/OF",7,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,73,2700,18.5185185185185,5,"Jarrod Dyson","SEA",NA,"OF",9,0,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,74,3100,16.1290322580645,5,"Brandon Guyer","CLE",NA,"OF",6,1,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,75,3000,16.6666666666667,5,"Aaron Judge","NYY",NA,"OF",8,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,76,3000,16.6666666666667,5,"Ryan Schimpf","SD",NA,"3B",5,0,0,1,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,77,2900,17.2413793103448,5,"Jason Heyward","CHC",NA,"OF",6,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,32,4100,10.3658536585366,4.25,"Pedro Strop","CHC",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
110,33,4200,10.1190476190476,4.25,"Luis Avilan","LAD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
111,34,4100,10.3658536585366,4.25,"Koji Uehara","CHC",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
112,35,4300,9.88372093023256,4.25,"Dan Altavilla","SEA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
113,36,4000,10.625,4.25,"Derek Law","SF",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
114,37,4100,10.3658536585366,4.25,"Jumbo Diaz","TB",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
115,38,4100,10.3658536585366,4.25,"Will Harris","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
116,39,4100,10.3658536585366,4.25,"Matt Bowman","STL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
117,40,4200,10.1190476190476,4.25,"Cam Bedrosian","LAA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
118,78,3900,10.2564102564103,4,"Buster Posey","SF",NA,"C/1B",4,0,0,0,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,79,0,0,4,"Miguel Cabrera","DET",NA,"1B",3,0,0,0,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,80,0,0,4,"Cody Asche","CHW",NA,"1B",6,1,0,0,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,81,3600,11.1111111111111,4,"Stephen Piscotty","STL",NA,"OF",6,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,82,4100,9.75609756097561,4,"Kyle Schwarber","CHC",NA,"OF",1,0,0,0,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,83,2500,16,4,"Travis Jankowski","SD",NA,"OF",1,1,0,0,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,84,0,0,4,"Mikie Mahtook","DET",NA,"OF",6,1,0,0,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,85,2900,13.7931034482759,4,"Yan Gomes","CLE",NA,"C",8,1,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,41,4000,9.5,3.8,"Blake Parker","LAA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.33333333333333,0,0,2,2,0,0
127,42,0,0,3.65,"Bruce Rondon","DET",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0
128,43,4100,8.90243902439024,3.65,"Brett Cecil","STL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0
129,44,4100,8.90243902439024,3.65,"Ryan Madson","WAS",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0
130,45,4200,8.69047619047619,3.65,"Grant Dayton","LAD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0
131,46,4100,8.90243902439024,3.65,"Luke Gregerson","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0
132,47,4000,8.375,3.35,"Jhan Marinez","PIT",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.66666666666667,0,0,0,2,2,0
133,48,0,0,3.05,"Jake Petricka","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,2,0
134,49,4000,7.625,3.05,"Cory Gearrin","SF",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,0
135,50,0,0,3.05,"Michael Ynoa","CHW",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,0
136,86,3200,9.375,3,"Justin Turner","LAD",NA,"3B",3,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,87,2800,10.7142857142857,3,"Albert Almora","CHC",NA,"OF",9,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,88,2700,11.1111111111111,3,"Hunter Renfroe","SD",NA,"OF",6,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,89,3000,10,3,"Franklin Gutierrez","LAD",NA,"OF",4,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,90,2800,10.7142857142857,3,"Jhonny Peralta","STL",NA,"3B",4,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,91,3800,7.89473684210526,3,"Dexter Fowler","STL",NA,"OF",1,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,92,3200,9.375,3,"Josh Reddick","HOU",NA,"OF",6,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,93,3000,10,3,"Yadier Molina","STL",NA,"C",5,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,94,3400,8.82352941176471,3,"Adrian Gonzalez","LAD",NA,"1B",6,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,95,4400,6.81818181818182,3,"Jose Altuve","HOU",NA,"2B",3,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,96,3100,9.67741935483871,3,"Kevin Kiermaier","TB",NA,"OF",2,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,97,0,0,3,"Victor Martinez","DET",NA,"1B",4,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,98,2600,11.5384615384615,3,"Tim Beckham","TB",NA,"SS",5,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,99,3900,7.69230769230769,3,"Shin-Soo Choo","TEX",NA,"OF",2,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,100,2600,11.5384615384615,3,"Kolten Wong","STL",NA,"2B",8,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,101,3900,7.69230769230769,3,"Rougned Odor","TEX",NA,"2B",5,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,102,2600,11.5384615384615,3,"Mike Zunino","SEA",NA,"C",8,0,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,51,4300,6.74418604651163,2.9,"Dellin Betances","NYY",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.666666666666667,0,0,0,0,1,0
154,52,4000,6.875,2.75,"Carlos Estevez","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.333333333333333,0,0,0,0,0,0
155,53,4400,5.11363636363636,2.25,"Brad Hand","SD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0
156,54,0,0,2.25,"Francisco Rodriguez","DET",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0
