Name_Team,2017-04-02,2017-04-03
Nick Markakis_ATL,NA,0.0
Yan Gomes_CLE,NA,0.0
Yulieski Gurriel_HOU,NA,0.0
Leonys Martin_SEA,NA,0.0
Ryan Schimpf_SD,NA,17.0
Matt Wieters_WSH,NA,5.0
Justin Bour_MIA,NA,0.0
J.J. Hardy_BAL,NA,0.0
Stephen Vogt_OAK,NA,17.0
Mark Reynolds_COL,NA,27.0
Brandon Phillips_ATL,NA,3.0
Yangervis Solarte_SD,NA,5.0
Manuel Margot_SD,NA,7.0
Derek Dietrich_MIA,NA,0.0
Yunel Escobar_LAA,NA,6.0
Adonis Garcia_ATL,NA,0.0
Dansby Swanson_ATL,NA,3.0
Yandy Diaz_CLE,NA,7.0
Jarrod Dyson_SEA,NA,0.0
Hunter Renfroe_SD,NA,0.0
Sandy Leon_BOS,NA,8.0
Andrelton Simmons_LAA,NA,5.0
Tony Wolters_COL,NA,10.0
Mike Zunino_SEA,NA,0.0
Andrew Toles_LAD,NA,8.0
Jason Castro_MIN,NA,12.0
Yonder Alonso_OAK,NA,7.0
Danny Espinosa_LAA,NA,0.0
Stephen Drew_WSH,NA,0.0
James McCann_DET,NA,NA
JaCoby Jones_DET,NA,NA
Jed Lowrie_OAK,NA,8.0
Jett Bandy_MIL,NA,5.0
Tucker Barnhart_CIN,NA,5.0
Travis Jankowski_SD,NA,5.0
Mikie Mahtook_DET,NA,NA
Tyler Flowers_ATL,NA,3.0
Adeiny Hechavarria_MIA,NA,0.0
Omar Narvaez_CWS,NA,NA
Jose Iglesias_DET,NA,NA
Raul Mondesi_KC,NA,0.0
Matt Joyce_OAK,NA,2.0
Austin Hedges_SD,NA,0.0
Martin Maldonado_LAA,NA,0.0
Rene Rivera_NYM,NA,3.0
