"Player","Pos","Team","Opp","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Jean Segura","2B/SS","SEA","@ HOU","McCullers, R 3.22","R",0.321,0.375,0.18,0,0,0,1,4000,25,9.5,8.16,8.16,"%",56,2,0,NA
"Hunter Pence","OF","SF","@ ARI","Corbin, L 5.13","R",0.283,0.345,0.152,0,0,0,3,4000,23.4,7.4,9.73,9.73,"%",54,2.4,11,2.8
"Jose Ramirez","3B/OF","CLE","@ TEX","Perez, L 4.39","B",0.314,0.362,0.149,0,0,0,5,3900,23.3,8.1,9.82,9.82,"%",59,2.5,2,0.5
"Rougned Odor","2B","TEX","vs CLE","Carrasco, R 3.32","L",0.272,0.342,0.241,0,0,0,5,3900,24.3,8.7,7.31,7.31,"%",51,1.9,3,0.8
"Shin-Soo Choo","OF","TEX","vs CLE","Carrasco, R 3.32","L",0.239,0.336,0.152,0,0,0,2,3900,20.1,7.6,7.67,7.67,"%",59,2,3,0.8
"Buster Posey","1B/C","SF","@ ARI","Corbin, L 5.13","R",0.285,0.344,0.143,0,0,0,4,3900,24.7,7.6,10.77,10.77,"%",54,2.8,4,1
"Dexter Fowler","OF","STL","vs CHC","Arrieta, R 3.10","B",0.268,0.365,0.171,0,0,0,1,3800,20.5,8.4,6.61,6.61,"%",59,1.7,3,0.8
"Kyle Seager","3B","SEA","@ HOU","McCullers, R 3.22","L",0.277,0.369,0.22,0,0,0,5,3800,22.5,8.4,7.45,7.45,"%",55,2,5,1.3
"Wil Myers","1B/OF","SD","@ LAD","Maeda, R 3.70","R",0.258,0.345,0.204,0,0,0,3,3800,23.8,8.9,6.64,6.64,"%",52,1.7,10,2.6
"Matt Carpenter","1B/3B","STL","vs CHC","Arrieta, R 3.10","L",0.27,0.375,0.233,0,0,0,3,3700,22.9,8.5,6.24,6.24,"%",51,1.7,0,NA
"Brandon Belt","1B","SF","@ ARI","Corbin, L 5.13","L",0.268,0.371,0.192,0,0,0,2,3700,24.3,7.6,9.88,9.88,"%",53,2.7,10,2.7
"Eduardo Nunez","3B/SS","SF","@ ARI","Corbin, L 5.13","R",0.29,0.33,0.145,0,0,0,6,3700,24,8.4,7.57,7.57,"%",51,2,10,2.7
"A.J. Pollock","OF","ARI","vs SF","Cueto, R 2.83","R",0.283,0.362,0.196,0,0,0,1,3700,26.3,9.5,8.36,8.36,"%",53,2.3,10,2.7
"Aledmys Diaz","SS","STL","vs CHC","Arrieta, R 3.10","R",0.298,0.374,0.212,0,0,0,2,3600,20.7,8.5,6.24,6.24,"%",57,1.7,0,NA
"Keon Broxton","OF","MIL","vs COL","Anderson, L 3.54","R",0.233,0.342,0.189,0,0,0,2,3600,22.9,6.9,7.51,7.51,"%",44,2.1,2,0.6
"Stephen Piscotty","OF","STL","vs CHC","Arrieta, R 3.10","R",0.272,0.348,0.184,0,0,0,6,3600,19.6,8,4.86,4.86,"%",54,1.4,4,1.1
"Gerardo Parra","OF","COL","@ MIL","Davies, R 3.97","L",0.253,0.284,0.141,0,0,0,6,3600,19.6,6,6.05,6.05,"%",44,1.7,19,5.3
"Mike Napoli","1B","TEX","vs CLE","Carrasco, R 3.32","R",0.233,0.339,0.221,0,0,0,4,3600,22.8,8.2,7.55,7.55,"%",53,2.1,9,2.5
"Carlos Gomez","OF","TEX","vs CLE","Carrasco, R 3.32","R",0.229,0.297,0.154,0,0,0,1,3600,21.8,6.7,7.32,7.32,"%",46,2,0,NA
"Alex Bregman","3B","HOU","vs SEA","Iwakuma, R 4.12","R",0.265,0.339,0.215,0,0,0,2,3600,24.8,8.8,9.35,9.35,"%",56,2.6,0,NA
"Jake Lamb","3B","ARI","vs SF","Cueto, R 2.83","L",0.246,0.352,0.257,0,0,0,4,3600,22.8,7.8,7.55,7.55,"%",51,2.1,20,5.6
"Albert Pujols","1B","LAA","@ OAK","Manaea, L 3.86","R",0.267,0.334,0.188,0,0,0,4,3500,23.5,8.1,7.55,7.55,"%",51,2.2,0,NA
"Khris Davis","OF","OAK","vs LAA","Shoemaker, R 3.88","R",0.252,0.357,0.288,0,0,0,4,3500,25.4,8.5,6.81,6.81,"%",45,1.9,2,0.6
"Domingo Santana","OF","MIL","vs COL","Anderson, L 3.54","R",0.254,0.347,0.19,0,0,0,4,3500,20.8,6.6,7.28,7.28,"%",49,2.1,11,3.1
"Elvis Andrus","SS","TEX","vs CLE","Carrasco, R 3.32","R",0.304,0.353,0.148,0,0,0,8,3500,17.9,7.6,4.12,4.12,"%",55,1.2,2,0.6
"Evan Gattis","C","HOU","vs SEA","Iwakuma, R 4.12","R",0.251,0.347,0.255,0,0,0,7,3500,21.2,7.5,5.64,5.64,"%",48,1.6,2,0.6
"Joe Panik","2B","SF","@ ARI","Corbin, L 5.13","L",0.244,0.31,0.144,0,0,0,8,3500,18.4,6.9,5.3,5.3,"%",52,1.5,17,4.9
"Yasmany Tomas","OF","ARI","vs SF","Cueto, R 2.83","R",0.27,0.345,0.235,0,0,0,5,3500,25,7.8,6.69,6.69,"%",41,1.9,0,NA
"Javier Baez","2B/3B","CHC","@ STL","Wainwright, R 4.62","R",0.28,0.325,0.148,0,0,0,7,3400,18.1,5.8,4.55,4.55,"%",42,1.3,2,0.6
"Nomar Mazara","OF","TEX","vs CLE","Carrasco, R 3.32","L",0.266,0.322,0.152,0,0,0,3,3400,19.7,6.3,6.87,6.87,"%",49,2,10,2.9
"Carlos Beltran","OF","HOU","vs SEA","Iwakuma, R 4.12","B",0.291,0.357,0.212,0,0,0,5,3400,23.3,7.6,8.05,8.05,"%",50,2.4,0,NA
"Brandon Crawford","SS","SF","@ ARI","Corbin, L 5.13","L",0.276,0.33,0.156,0,0,0,5,3400,22.7,7.1,7.81,7.81,"%",48,2.3,21,6.2
"Adrian Gonzalez","1B","LAD","vs SD","Richard, L 3.46","L",0.285,0.34,0.152,0,0,0,6,3400,21.3,7.1,6.33,6.33,"%",47,1.9,3,0.9
"Yasiel Puig","OF","LAD","vs SD","Richard, L 3.46","R",0.254,0.319,0.147,0,0,0,5,3400,20.8,6,6.98,6.98,"%",43,2.1,0,NA
"Randal Grichuk","OF","STL","vs CHC","Arrieta, R 3.10","R",0.244,0.332,0.247,0,0,0,7,3300,18.2,7.2,3.63,3.63,"%",49,1.1,0,NA
"Brad Miller","SS","TB","vs NYY","Sabathia, L 3.91","L",0.241,0.333,0.237,0,0,0,6,3300,20.4,7.4,5.44,5.44,"%",50,1.6,0,NA
"Rajai Davis","OF","OAK","vs LAA","Shoemaker, R 3.88","R",0.241,0.295,0.135,0,0,0,1,3300,23,7.4,6.18,6.18,"%",43,1.9,17,5.2
"Joey Gallo","3B/OF","TEX","vs CLE","Carrasco, R 3.32","L",0.036,0.184,0.107,0,0,0,7,3300,11.2,2.1,4,4,"%",14,1.2,19,5.8
"Travis Shaw","1B/3B","MIL","vs COL","Anderson, L 3.54","L",0.247,0.319,0.183,0,0,0,5,3300,21.2,6.4,6.04,6.04,"%",41,1.8,16,4.8
"David Peralta","OF","ARI","vs SF","Cueto, R 2.83","L",0.246,0.302,0.177,0,0,0,2,3300,19.5,6.2,6.97,6.97,"%",49,2.1,0,NA
"Yasmani Grandal","C","LAD","vs SD","Richard, L 3.46","B",0.226,0.352,0.25,0,0,0,7,3300,22.6,6.9,5.2,5.2,"%",37,1.6,0,NA
"Logan Forsythe","2B","LAD","vs SD","Richard, L 3.46","R",0.263,0.34,0.179,0,0,0,1,3300,22.7,7.9,7.88,7.88,"%",53,2.4,8,2.4
"Willson Contreras","C/OF","CHC","@ STL","Wainwright, R 4.62","R",0.291,0.374,0.211,0,0,0,5,3200,18.7,6.9,6.3,6.3,"%",55,2,7,2.2
"Addison Russell","2B/SS","CHC","@ STL","Wainwright, R 4.62","R",0.23,0.309,0.17,0,0,0,4,3200,20.6,6.8,6.77,6.77,"%",49,2.1,7,2.2
"Matt Holliday","1B/OF","NYY","@ TB","Odorizzi, R 3.69","R",0.244,0.335,0.213,0,0,0,4,3200,23.1,7,7.01,7.01,"%",42,2.2,9,2.8
"Steven Souza Jr.","OF","TB","vs NYY","Sabathia, L 3.91","R",0.245,0.31,0.162,0,0,0,1,3200,21.6,6.6,6.34,6.34,"%",42,2,6,1.9
"Kole Calhoun","OF","LAA","@ OAK","Manaea, L 3.86","L",0.271,0.345,0.166,0,0,0,2,3200,21.7,7.6,7.43,7.43,"%",53,2.3,7,2.2
"Orlando Arcia","SS","MIL","vs COL","Anderson, L 3.54","R",0.221,0.28,0.137,0,0,0,8,3200,17.3,6.2,3.56,3.56,"%",45,1.1,0,NA
"Josh Reddick","OF","HOU","vs SEA","Iwakuma, R 4.12","L",0.274,0.316,0.118,0,0,0,6,3200,19.5,6.1,6.32,6.32,"%",46,2,3,0.9
"Mitch Haniger","OF","SEA","@ HOU","McCullers, R 3.22","R",0.225,0.308,0.171,0,0,0,2,3200,20.2,5.6,5.9,5.9,"%",36,1.8,7,2.2
"Justin Turner","3B","LAD","vs SD","Richard, L 3.46","R",0.281,0.365,0.222,0,0,0,3,3200,23.7,8.2,8.66,8.66,"%",54,2.7,3,0.9
"Brett Gardner","OF","NYY","@ TB","Odorizzi, R 3.69","L",0.261,0.321,0.1,0,0,0,1,3100,19.2,6.9,6.67,6.67,"%",55,2.2,9,2.9
"Kevin Kiermaier","OF","TB","vs NYY","Sabathia, L 3.91","L",0.249,0.333,0.165,0,0,0,2,3100,22,7.6,6.56,6.56,"%",49,2.1,3,1
"Trevor Plouffe","3B","OAK","vs LAA","Shoemaker, R 3.88","R",0.262,0.316,0.161,0,0,0,7,3100,18.4,6.9,3.8,3.8,"%",47,1.2,0,NA
"Brandon Guyer","OF","CLE","@ TEX","Perez, L 4.39","R",0.27,0.355,0.153,0,0,0,6,3100,20.1,5.9,6.34,6.34,"%",42,2,5,1.6
"Cameron Maybin","OF","LAA","@ OAK","Manaea, L 3.86","R",0.315,0.356,0.101,0,0,0,6,3100,20.1,8.4,5.41,5.41,"%",56,1.7,8,2.6
"Brandon Drury","2B/OF","ARI","vs SF","Cueto, R 2.83","R",0.28,0.337,0.175,0,0,0,6,3100,18.7,6.4,5.14,5.14,"%",47,1.7,9,2.9
"Chris Owings","OF/SS","ARI","vs SF","Cueto, R 2.83","R",0.277,0.31,0.134,0,0,0,7,3100,16.8,7.1,4.22,4.22,"%",56,1.4,5,1.6
"Yadier Molina","C","STL","vs CHC","Arrieta, R 3.10","R",0.309,0.349,0.119,0,0,0,5,3000,15.9,6.6,4.63,4.63,"%",57,1.5,3,1
"Jacoby Ellsbury","OF","NYY","@ TB","Odorizzi, R 3.69","L",0.262,0.309,0.11,0,0,0,5,3000,18.9,7,6.01,6.01,"%",54,2,10,3.3
"Aaron Judge","OF","NYY","@ TB","Odorizzi, R 3.69","R",0.182,0.271,0.171,0,0,0,8,3000,15,5.1,3.54,3.54,"%",44,1.2,5,1.7
"Ryon Healy","1B/3B","OAK","vs LAA","Shoemaker, R 3.88","R",0.3,0.361,0.216,0,0,0,3,3000,19.9,7.5,6.28,6.28,"%",55,2.1,19,6.3
"Marcus Semien","3B/SS","OAK","vs LAA","Shoemaker, R 3.88","R",0.238,0.318,0.197,0,0,0,9,3000,16.3,7,2.48,2.48,"%",51,0.8,9,3
"Jesus Aguilar","1B","MIL","vs COL","Anderson, L 3.54","",0.143,0.129,0,0,0,0,6,3000,7.6,0.5,4.59,4.59,"%",0,1.5,5,1.7
"Mark Reynolds","1B/3B","COL","@ MIL","Davies, R 3.97","R",0.286,0.359,0.177,0,0,0,7,3000,18.3,7,4.73,4.73,"%",52,1.6,12,4
"Brian McCann","C","HOU","vs SEA","Iwakuma, R 4.12","L",0.241,0.328,0.169,0,0,0,8,3000,19.1,6.3,4.48,4.48,"%",42,1.5,14,4.7
"Danny Valencia","3B/OF","SEA","@ HOU","McCullers, R 3.22","R",0.285,0.345,0.158,0,0,0,6,3000,20.1,7,4.93,4.93,"%",46,1.6,8,2.7
"Ryan Schimpf","2B/3B","SD","@ LAD","Maeda, R 3.70","L",0.218,0.365,0.306,0,0,0,5,3000,21.7,7.5,4.84,4.84,"%",44,1.6,5,1.7
"Franklin Gutierrez","OF","LAD","vs SD","Richard, L 3.46","R",0.245,0.337,0.205,0,0,0,4,3000,22.1,5.2,7.23,7.23,"%",28,2.4,3,1
"Jason Heyward","OF","CHC","@ STL","Wainwright, R 4.62","L",0.226,0.283,0.097,0,0,0,6,2900,16.5,6.1,5.08,5.08,"%",53,1.8,5,1.7
"Stephen Vogt","1B/C","OAK","vs LAA","Shoemaker, R 3.88","L",0.253,0.313,0.16,0,0,0,5,2900,19.3,6.2,5.28,5.28,"%",44,1.8,0,NA
"Jefry Marte","1B/3B","LAA","@ OAK","Manaea, L 3.86","R",0.252,0.337,0.229,0,0,0,5,2900,19,6.2,5.64,5.64,"%",46,1.9,9,3.1
"Tony Wolters","C","COL","@ MIL","Davies, R 3.97","L",0.263,0.317,0.134,0,0,0,8,2900,17.2,5.7,3.95,3.95,"%",42,1.4,2,0.7
"Yan Gomes","C","CLE","@ TEX","Perez, L 4.39","R",0.165,0.223,0.157,0,0,0,8,2900,17.7,4.7,4.92,4.92,"%",32,1.7,4,1.4
"Leonys Martin","OF","SEA","@ HOU","McCullers, R 3.22","L",0.243,0.296,0.128,0,0,0,7,2900,17.6,6.8,4.34,4.34,"%",51,1.5,0,NA
"Yangervis Solarte","2B/3B","SD","@ LAD","Maeda, R 3.70","B",0.286,0.349,0.18,0,0,0,4,2900,20,7.7,5.02,5.02,"%",51,1.7,19,6.6
"Jhonny Peralta","3B/SS","STL","vs CHC","Arrieta, R 3.10","R",0.259,0.31,0.147,0,0,0,4,2800,16.7,6,5.14,5.14,"%",52,1.8,3,1.1
"Albert Almora","OF","CHC","@ STL","Wainwright, R 4.62","R",0.27,0.32,0.174,0,0,0,9,2800,13.9,4.1,2.47,2.47,"%",31,0.9,3,1.1
"Gregory Bird","1B","NYY","@ TB","Odorizzi, R 3.69","L",0,0.144,0,0,0,0,3,2800,5.9,2,5.88,5.88,"%",0,2.1,7,2.5
"Starlin Castro","2B/SS","NYY","@ TB","Odorizzi, R 3.69","R",0.274,0.318,0.162,0,0,0,6,2800,19.7,6.8,4.74,4.74,"%",45,1.7,0,NA
"Robinson Chirinos","C","TEX","vs CLE","Carrasco, R 3.32","R",0.224,0.34,0.259,0,0,0,9,2800,16.2,5.3,2.41,2.41,"%",35,0.9,0,NA
"Austin Jackson","OF","CLE","@ TEX","Perez, L 4.39","R",0.242,0.282,0.084,0,0,0,9,2800,12.9,5.3,3.39,3.39,"%",55,1.2,10,3.6
"Manuel Margot","OF","SD","@ LAD","Maeda, R 3.70","R",0.244,0.277,0.171,0,0,0,2,2800,20.6,6.5,4.84,4.84,"%",40,1.7,13,4.6
"Yunel Escobar","3B/SS","LAA","@ OAK","Manaea, L 3.86","R",0.305,0.333,0.086,0,0,0,1,2700,17.3,6.6,6.39,6.39,"%",59,2.4,5,1.9
"Yandy Diaz","3B","CLE","@ TEX","Perez, L 4.39","R",0.25,0.31,0.25,0,0,0,7,2700,5.4,7,5.4,5.4,"%",0,2,0,NA
"Marwin Gonzalez","1B/3B","HOU","vs SEA","Iwakuma, R 4.12","B",0.251,0.296,0.148,0,0,0,9,2700,15.7,6,2.91,2.91,"%",47,1.1,14,5.2
"Jarrod Dyson","OF","SEA","@ HOU","McCullers, R 3.22","L",0.277,0.316,0.11,0,0,0,9,2700,14.2,6.2,2.63,2.63,"%",53,1,5,1.9
"Hunter Renfroe","OF","SD","@ LAD","Maeda, R 3.70","R",0.333,0.441,0.385,0,0,0,6,2700,26.4,9.9,3.33,3.33,"%",42,1.2,3,1.1
"Kolten Wong","2B","STL","vs CHC","Arrieta, R 3.10","L",0.24,0.307,0.115,0,0,0,8,2600,12.8,4.6,2.71,2.71,"%",45,1,3,1.2
"Derek Norris","C","TB","vs NYY","Sabathia, L 3.91","R",0.186,0.257,0.141,0,0,0,7,2600,16.7,5.3,3.55,3.55,"%",38,1.4,0,NA
"Tim Beckham","2B/SS","TB","vs NYY","Sabathia, L 3.91","R",0.249,0.316,0.189,0,0,0,5,2600,17.2,5.6,4.55,4.55,"%",44,1.8,3,1.2
"Chase Headley","3B","NYY","@ TB","Odorizzi, R 3.69","B",0.255,0.32,0.132,0,0,0,7,2600,16,6.2,3.81,3.81,"%",51,1.5,24,9.2
"Yonder Alonso","1B","OAK","vs LAA","Shoemaker, R 3.88","L",0.251,0.303,0.112,0,0,0,8,2600,13.6,5.1,3.09,3.09,"%",49,1.2,7,2.7
"Andrelton Simmons","SS","LAA","@ OAK","Manaea, L 3.86","R",0.282,0.307,0.084,0,0,0,7,2600,14.7,6.1,3.98,3.98,"%",56,1.5,7,2.7
"Ryan Rua","1B/OF","TEX","vs CLE","Carrasco, R 3.32","R",0.264,0.328,0.141,0,0,0,6,2600,17.4,4.9,4.25,4.25,"%",33,1.6,2,0.8
"Mike Zunino","C","SEA","@ HOU","McCullers, R 3.22","R",0.204,0.334,0.258,0,0,0,8,2600,18.3,6.2,3.41,3.41,"%",40,1.3,3,1.2
"Gorkys Hernandez","OF","SF","@ ARI","Corbin, L 5.13","R",0.242,0.299,0.177,0,0,0,1,2600,17.8,3.3,6.88,6.88,"%",17,2.6,20,7.7
"Peter Bourjos","OF","TB","vs NYY","Sabathia, L 3.91","R",0.254,0.296,0.141,0,0,0,9,2500,13.9,4.7,2.27,2.27,"%",38,0.9,2,0.8
"Jed Lowrie","2B","OAK","vs LAA","Shoemaker, R 3.88","B",0.269,0.293,0.059,0,0,0,6,2500,13.3,5.6,3.89,3.89,"%",58,1.6,24,9.6
"Danny Espinosa","2B/SS","LAA","@ OAK","Manaea, L 3.86","B",0.206,0.293,0.163,0,0,0,8,2500,17.4,6.2,3.49,3.49,"%",44,1.4,18,7.2
"Jett Bandy","C","MIL","vs COL","Anderson, L 3.54","R",0.235,0.287,0.155,0,0,0,7,2500,15.4,5,3.68,3.68,"%",42,1.5,6,2.4
"Chris Marrero","1B/OF","SF","@ ARI","Corbin, L 5.13","R",NA,0,0,0,0,0,7,2500,4.6,NA,4.64,4.64,"%",0,1.9,2,0.8
"Travis Jankowski","OF","SD","@ LAD","Maeda, R 3.70","L",0.248,0.297,0.067,0,0,0,1,2500,16.5,5,4.31,4.31,"%",39,1.7,4,1.6
"Enrique Hernandez","2B/OF","LAD","vs SD","Richard, L 3.46","R",0.189,0.276,0.134,0,0,0,8,2400,14.4,3.1,3.35,3.35,"%",11,1.4,2,0.8
"Daniel Robertson","SS","TB","vs NYY","Sabathia, L 3.91","R",NA,0,0,0,0,0,8,2300,2.7,NA,2.73,2.73,"%",0,1.2,0,NA
"Rickie Weeks","OF","TB","vs NYY","Sabathia, L 3.91","R",0.239,0.338,0.211,0,0,0,4,2300,17.1,3.7,4.62,4.62,"%",16,2,0,NA
"Matt Joyce","OF","OAK","vs LAA","Shoemaker, R 3.88","L",0.245,0.388,0.223,0,0,0,2,2300,16.9,4.2,4.92,4.92,"%",29,2.1,0,NA
"Austin Hedges","C","SD","@ LAD","Maeda, R 3.70","R",0.111,0.131,0.037,0,0,0,7,2300,7.3,2.1,2.55,2.55,"%",43,1.1,0,NA
"Erick Aybar","SS","SD","@ LAD","Maeda, R 3.70","B",0.242,0.275,0.077,0,0,0,8,2300,11.6,4.6,2.33,2.33,"%",49,1,15,6.5
"Martin Maldonado","C","LAA","@ OAK","Manaea, L 3.86","R",0.199,0.303,0.147,0,0,0,9,2200,13.4,4.7,2.25,2.25,"%",41,1,9,4.1
"Ronald Torreyes","3B/SS","NYY","@ TB","Odorizzi, R 3.69","R",0.248,0.287,0.115,0,0,0,9,2100,13.2,3.5,1.99,1.99,"%",20,0.9,16,7.6
"Jeff Mathis","C","ARI","vs SF","Cueto, R 2.83","R",0.254,0.283,0.115,0,0,0,8,2000,14.6,4.7,2.81,2.81,"%",37,1.4,0,NA
