Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_ceil,Projection_dfn,Projection_rceil,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
3.9,J.J.,0.0,SF@Ari 04:25PM ET,7725820,Nelson,J.J. Nelson,J.J. Nelson (7725820),SF,WR,11.01,18.8,12.6,12.6,11.2030385049,11.128862723,5.0,0.0808383233533,4200,ARI,6.0,1.0
4.9,Tavon,0.0,LA@NYJ 01:00PM ET,7725736,Austin,Tavon Austin,Tavon Austin (7725736),NYJ,WR,11.17,19.0,13.6,13.6,11.8173705444,11.7231377478,1.0,0.228873239437,4100,LA,5.0,1.0
8.8,Kendall,0.0,GB@Ten 01:00PM ET,7725792,Wright,Kendall Wright,Kendall Wright (7725792),GB,WR,8.91,22.7,7.3,7.3,7.46509143507,7.47236400235,6.0,0.0860927152318,4100,TEN,0.0,1.0
1.4,DuJuan,0.0,SF@Ari 04:25PM ET,7725681,Harris,DuJuan Harris,DuJuan Harris (7725681),ARI,RB,5.78,27.6,8.1,8.1,6.7023122636,6.62886367908,8.0,0.036,4100,SF,2.0,0.0
2.2,Kapri,0.0,Den@NO 01:00PM ET,7725622,Bibbs,Kapri Bibbs,Kapri Bibbs (7725622),NO,RB,7.8,10.1,7.1,7.1,6.92722321692,6.91710748426,11.0,0.00961538461538,4000,DEN,2.0,0.0
0.0,Knile,0.0,KC@Car 01:00PM ET,7725646,Davis,Knile Davis,Knile Davis (7725646),CAR,RB,0.0,3.3,0.0,0.0,0.0,0.0,10.0,0.0137931034483,4000,KC,0.0,0.0
5.6,Chris,1.0,Min@Was 01:00PM ET,7725661,Thompson,Chris Thompson,Chris Thompson (7725661),MIN,RB,8.57,14.5,9.0,9.0,8.27385190616,8.23487855181,5.0,0.0936555891239,4000,WAS,2.0,0.0
0.0,Sammie,1.0,Dal@Pit 04:25PM ET,7725833,Coates,Sammie Coates,Sammie Coates (7725833),DAL,WR,11.45,21.2,8.4,8.4,9.05093485985,9.08307318735,3.0,0.120743034056,4000,PIT,7.0,1.0
11.9,Jason,1.0,Dal@Pit 04:25PM ET,7725923,Witten,Jason Witten,Jason Witten (7725923),PIT,TE,11.34,20.1,10.6,10.6,10.2246074282,10.2034490219,1.0,0.217898832685,4000,DAL,4.0,0.0
9.6,Marqise,1.0,Hou@Jax 01:00PM ET,7725716,Lee,Marqise Lee,Marqise Lee (7725716),HOU,WR,8.75,16.1,7.8,7.8,7.67986373086,7.67234347841,3.0,0.149122807018,3900,JAX,0.0,1.0
3.8,Peyton,0.0,Chi@TB 01:00PM ET,7725657,Barber,Peyton Barber,Peyton Barber (7725657),CHI,RB,6.87,13.1,5.3,5.3,5.57427233404,5.58751469255,10.0,0.0157232704403,3900,TB,0.0,0.0
0.0,Russell,0.0,Chi@TB 01:00PM ET,7725769,Shepard,Russell Shepard,Russell Shepard (7725769),CHI,WR,0.0,13.2,0.0,0.0,0.0,0.0,6.0,0.0471698113208,3900,TB,0.0,1.0
15.0,Damien,0.0,Mia@SD 04:05PM ET,7725678,Williams,Damien Williams,Damien Williams (7725678),SD,RB,4.36,10.5,5.0,5.0,4.44216710361,4.41255266252,4.0,0.0663900414938,3900,MIA,0.0,0.0
16.3,Antonio,1.0,Mia@SD 04:05PM ET,7725907,Gates,Antonio Gates,Antonio Gates (7725907),MIA,TE,12.48,15.3,10.9,10.9,10.8292984842,10.8238005946,4.0,0.148484848485,3900,SD,4.0,0.0
0.0,Thomas,0.0,Sea@NE 08:30PM ET,7725706,Rawls,Thomas Rawls,Thomas Rawls (7725706),NE,RB,0.0,9.8,0.0,0.0,0.0,0.0,8.0,0.0244897959184,3900,SEA,0.0,0.0
22.3,C.J.,0.0,Sea@NE 08:30PM ET,7725708,Prosise,C.J. Prosise,C.J. Prosise (7725708),NE,RB,9.44,11.5,10.9,10.9,9.6589779804,9.59313213449,7.0,0.0408163265306,3900,SEA,2.0,0.0
20.1,Tyreek,1.0,KC@Car 01:00PM ET,7725766,Hill,Tyreek Hill,Tyreek Hill (7725766),CAR,WR,8.74,15.5,10.5,10.5,9.16840179601,9.09795332834,4.0,0.0965517241379,3800,KC,7.0,1.0
8.5,Matt,0.0,Min@Was 01:00PM ET,7725659,Asiata,Matt Asiata,Matt Asiata (7725659),WAS,RB,9.27,14.4,10.5,10.5,9.37243793648,9.31251065855,5.0,0.080985915493,3800,MIN,2.0,0.0
6.3,Jerick,0.0,Min@Was 01:00PM ET,7725664,McKinnon,Jerick McKinnon,Jerick McKinnon (7725664),WAS,RB,10.4,12.1,7.2,7.2,7.98342884913,8.0226031778,7.0,0.0528169014085,3800,MIN,2.0,0.0
0.0,Matt,1.0,Min@Was 01:00PM ET,7725666,Jones,Matt Jones,Matt Jones (7725666),MIN,RB,0.0,20.8,0.0,0.0,0.0,0.0,7.0,0.0332326283988,3800,WAS,0.0,0.0
12.2,Adam,0.0,Min@Was 01:00PM ET,7725787,Thielen,Adam Thielen,Adam Thielen (7725787),WAS,WR,9.79,17.9,8.4,8.4,8.41187826895,8.41106343612,3.0,0.144366197183,3800,MIN,0.0,1.0
4.6,Torrey,0.0,SF@Ari 04:25PM ET,7725814,Smith,Torrey Smith,Torrey Smith (7725814),ARI,WR,7.3,12.3,8.0,8.0,7.23219889316,7.19124760907,3.0,0.14,3800,SF,0.0,0.0
18.1,Michael,0.0,SF@Ari 04:25PM ET,7725816,Floyd,Michael Floyd,Michael Floyd (7725816),SF,WR,4.4,13.1,6.5,6.5,5.28667039297,5.22300016938,4.0,0.131736526946,3800,ARI,0.0,0.0
8.9,T.J.,1.0,Hou@Jax 01:00PM ET,7725615,Yeldon,T.J. Yeldon,T.J. Yeldon (7725615),HOU,RB,8.3,16.1,8.3,8.3,7.78299361018,7.75492366057,4.0,0.114035087719,3700,JAX,2.0,0.0
7.7,Benny,0.0,LA@NYJ 01:00PM ET,7725630,Cunningham,Benny Cunningham,Benny Cunningham (7725630),NYJ,RB,2.33,6.5,5.1,5.1,3.71594381058,3.64370790535,7.0,0.0457746478873,3700,LA,0.0,0.0
