"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"C.J. Miles","SG/SFSGSF","TOR","vs IND","1st",112.25,3900,2.5,29.5,16.9,0.91,22.5,8.3,18.6,18.15,14.03,14.03,"%",54,3.6,16,17.25,4.4
"Tony Parker","PG","SAS","@ MEM","11th",97.75,3900,12.6,25.8,15.8,1.02,25.1,7,15.5,18.5,18.26,18.26,"%",0,4.7,16,13.75,3.5
"Stanley Johnson","SG/SFSGSF","DET","@ WAS","25th",101.5,3800,9.5,34,16.9,0.58,13.1,7.6,29,30.26,19.97,19.97,"%",59,5.3,24,10,2.6
"David Nwaba","PG/SGPGSG","CHI","vs SAC","10th",97.25,3800,0,26.6,18.3,0.89,12.6,4.8,20.6,10.4,9.01,9.01,"%",52,2.4,22,27.25,7.2
"Tomas Satoransky","PG/SGPGSG","WAS","vs DET","8th",102.5,3800,7.1,35.9,10.6,0.82,17,3.2,13,25.7,19.48,19.48,"%",22,5.1,23,31,8.2
"Wayne Ellington","SG/SFSGSF","MIA","vs CHA","11th",103.75,3800,3.5,37.1,14,0.73,16.7,6.3,19.1,25.54,17.9,17.9,"%",31,4.7,17,26.5,7
"Gorgui Dieng","PF/CPFC","MIN","@ OKC","3rd",101.75,3800,0.8,32.8,15.1,0.96,18.8,4.9,15.8,15.8,14.49,14.49,"%",39,3.8,21,15.75,4.1
"Dillon Brooks","SG/SFSGSF","MEM","vs SAS","21st",94.75,3800,6.7,35.4,17.9,0.61,15.3,7.5,29.2,30.4,19,19,"%",54,5,22,7.25,1.9
"Chandler Parsons","SF/PFSFPF","MEM","vs SAS","21st",94.75,3800,11.1,35.4,16.9,0.86,18,6.2,19.7,24,21.5,21.5,"%",59,5.7,22,14,3.7
"Frank Mason III","PG/SGPGSG","SAC","@ CHI","27th",98.25,3700,9.6,35.8,14.7,0.88,26.9,6.4,16.7,20.82,20.8,20.8,"%",49,5.6,15,12.25,3.3
"Bryn Forbes","PG/SGPGSG","SAS","@ MEM","11th",97.75,3700,0,26.7,10.3,0.65,17.3,5.8,15.8,17.06,11.46,11.46,"%",26,3.1,18,16,4.3
"Thabo Sefolosha","SG/SFSGSF","UTA","vs NOP","15th",101,3700,3.9,31.8,17.6,0.87,15.7,5.8,20.2,17.8,15.9,15.9,"%",55,4.3,26,14,3.8
"Manu Ginobili","SG/SFSGSF","SAS","@ MEM","3rd",97.75,3700,1.7,27.3,14.7,0.75,22.3,7.1,19.6,18.98,12.68,12.68,"%",50,3.4,24,32.25,8.7
"Marvin Williams","SF/PFSFPF","CHA","@ MIA","1st",101.75,3700,4.2,31.3,18.5,0.74,13.5,6.8,25,23.79,15.84,15.84,"%",58,4.3,31,29.5,8
"Shaun Livingston","PG/SGPGSG","GSW","@ ORL","29th",119.25,3700,6.1,26.2,11.6,0.76,15.9,4.5,15.2,16.7,14.7,14.7,"%",51,4,16,5,1.4
"Bogdan Bogdanovic","SG/SFSGSF","SAC","@ CHI","30th",98.25,3600,9.5,27.5,17.3,0.76,20.2,8.2,22.8,21.93,17.19,17.19,"%",70,4.8,30,29.75,8.3
"Alec Burks","PG/SGPGSG","UTA","vs NOP","25th",101,3600,0,33.6,15.8,0.9,21.6,7,17.6,14.6,11.55,11.55,"%",30,3.2,31,35.75,9.9
"Dejounte Murray","PG","SAS","@ MEM","11th",97.75,3600,0,24.4,18.1,0.95,20,6.5,19.1,3.7,3.14,3.14,"%",41,0.9,9,3.5,1
"Brandon Paul","SG","SAS","@ MEM","3rd",97.75,3600,0,21.6,8.5,0.69,13.5,2.8,12.4,4.53,3.11,3.11,"%",0,0.9,4,2,0.6
"Omri Casspi","SF/PFSFPF","GSW","@ ORL","22nd",119.25,3600,0,27.4,14,1.05,16.2,3.9,13.3,9.2,10.7,10.7,"%",40,3,20,19.5,5.4
"Jamal Crawford","SG","MIN","@ OKC","14th",101.75,3600,2.6,30.9,14.8,0.88,26.5,7.6,16.8,17,14.72,14.72,"%",45,4.1,18,17.75,4.9
"E'Twaun Moore","SG/SFSGSF","NOP","@ UTA","1st",104,3600,6.2,31,19.9,0.67,15.5,9.5,29.8,26.66,16.8,16.8,"%",64,4.7,36,30.25,8.4
"Cody Zeller","C","CHA","@ MIA","21st",101.75,3600,10.6,27.9,17.3,0.91,16.7,4.8,19,18.54,18.02,18.02,"%",71,5,31,26.75,7.4
"James Ennis","SG/SFSGSF","MEM","vs SAS","21st",94.75,3600,0,25.6,15.5,0.61,11.9,5,25.5,14.16,8.5,8.5,"%",45,2.4,25,14.5,4
"Patrick McCaw","SG/SFSGSF","GSW","@ ORL","19th",119.25,3600,0,26.7,8.6,0.65,10.9,3.2,13.2,10.9,8.27,8.27,"%",0,2.3,21,18.25,5.1
"OG Anunoby","SF/PFSFPF","TOR","vs IND","1st",112.25,3500,4,20.6,12.5,0.68,13.7,4.8,18.3,19.74,11.09,11.09,"%",62,3.2,19,9.25,2.6
"Shabazz Muhammad","SG/SFSGSF","MIN","@ OKC","6th",101.75,3500,0,18.4,7.6,0.67,18.6,4.3,11.4,9.98,7.58,7.58,"%",29,2.2,3,0,NA
"Paul Zipser","SG/SFSGSF","CHI","vs SAC","2nd",97.25,3500,0,17.7,11,0.65,17.7,5.3,16.8,10.2,5.78,5.78,"%",46,1.7,23,24.25,6.9
"David West","PF/CPFC","GSW","@ ORL","19th",119.25,3500,9.5,31.1,16,1.42,22,4.4,11.3,12.88,18.78,18.78,"%",61,5.4,11,14.75,4.2
"Cory Joseph","PG","IND","@ TOR","10th",105.25,3500,3.6,33.4,18,0.75,15.4,6.7,24,25.21,16.36,16.36,"%",53,4.7,21,18.5,5.3
"Jodie Meeks","SG","WAS","vs DET","8th",102.5,3500,2,24.3,11.8,0.7,20.3,6.2,16.8,18.82,11.56,11.56,"%",46,3.3,14,7.75,2.2
"Ben McLemore","SG/SFSGSF","MEM","vs SAS","4th",94.75,3500,5,23.7,11.9,0.63,20.5,7,18.8,22.39,12.99,12.99,"%",55,3.7,19,22.5,6.4
"Jameer Nelson","PG/SGPGSG","NOP","@ UTA","5th",104,3500,3.8,30.5,18.1,0.72,12.4,5.3,25.1,22.56,15.23,15.23,"%",58,4.4,18,14.25,4.1
"Anthony Tolliver","SF/PFSFPF","DET","@ WAS","22nd",101.5,3400,6.3,25.5,14.2,0.82,16.3,5,17.3,15.98,14.54,14.54,"%",61,4.3,24,16.75,4.9
"Ian Mahinmi","C","WAS","vs DET","26th",102.5,3400,5.5,23.9,9.6,0.7,13.9,2.5,13.8,19.57,13.39,13.39,"%",45,3.9,14,14.25,4.2
"Jakob Poeltl","PF/CPFC","TOR","vs IND","13th",112.25,3400,0,31.8,14.7,1.02,19.3,4.3,14.4,14.85,13.41,13.41,"%",37,3.9,25,31.5,9.3
"Andre Roberson","SG/SFSGSF","OKC","vs MIN","9th",106.75,3400,7.9,29.4,13.9,0.58,10.4,4.1,23.9,30.25,17.12,17.12,"%",56,5,31,19.5,5.7
"Fred VanVleet","PG","TOR","vs IND","18th",112.25,3400,6.9,34.3,13.9,0.9,18.9,5.5,15.4,19.97,18.65,18.65,"%",44,5.5,24,27.5,8.1
"Darius Miller","SF","NOP","@ UTA","3rd",104,3400,5.5,36.1,12,0.7,16.4,4.9,17.2,24.8,18.62,18.62,"%",27,5.5,27,23,6.8
"Skal Labissiere","PF/CPFC","SAC","@ CHI","13th",98.25,3400,3.2,28.9,16.1,0.93,24.2,7.1,17.4,16.71,14.22,14.22,"%",54,4.2,14,14.5,4.3
