"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Cory Joseph",3500,"IND@HOU 11/29/2017 08:00PM ET",18.69,"IND","HOU",18.41,18.6,3.5
"SF/PF","Luc Richard Mbah a Moute",3500,"IND@HOU 11/29/2017 08:00PM ET",18.111,"HOU","IND",11.97,12.5,0
"PF/C","Dwight Powell",3500,"BKN@DAL 11/29/2017 08:30PM ET",14.563,"DAL","BKN",16.59,16.4,30.75
"PG/SG","Isaiah Whitehead",3500,"BKN@DAL 11/29/2017 08:30PM ET",13.167,"BKN","DAL",12.27,0,9.25
"SG","Jodie Meeks",3500,"WAS@PHI 11/29/2017 07:00PM ET",10.658,"WAS","PHI",11.93,11.7,31
"PG/SG","Jameer Nelson",3500,"MIN@NO 11/29/2017 08:00PM ET",18.181,"NO","MIN",16.92,14.9,16.75
"SG/SF","Shabazz Muhammad",3500,"MIN@NO 11/29/2017 08:00PM ET",7.938,"MIN","NO",3.66,7.5,0
"SG/SF","Ben McLemore",3500,"MEM@SA 11/29/2017 08:30PM ET",11.156,"MEM","SA",16.05,18.5,17.75
"PG/SG","Delon Wright",3500,"CHA@TOR 11/29/2017 07:30PM ET",16.536,"TOR","CHA",0,0,0
"PF","Jared Dudley",3400,"PHO@DET 11/29/2017 07:00PM ET",11.893,"PHO","DET",0,0,12.5
"PF/C","Dragan Bender",3400,"PHO@DET 11/29/2017 07:00PM ET",13.893,"PHO","DET",14.56,13.2,10.5
"SF/PF","Anthony Tolliver",3400,"PHO@DET 11/29/2017 07:00PM ET",14.063,"DET","PHO",13.67,14.2,16.25
"C","Ivica Zubac",3400,"GS@LAL 11/29/2017 10:30PM ET",1.6,"LAL","GS",0,0,0
"SG/SF","Andre Roberson",3400,"OKC@ORL 11/29/2017 07:00PM ET",13.289,"OKC","ORL",16.86,17.2,24.75
"PG","Shelvin Mack",3400,"OKC@ORL 11/29/2017 07:00PM ET",15.647,"ORL","OKC",0,0,0
"PF/C","Guillermo Hernangomez",3400,"MIA@NY 11/29/2017 07:30PM ET",9.896,"NY","MIA",0,0,0
"C","Joakim Noah",3400,"MIA@NY 11/29/2017 07:30PM ET",5.25,"NY","MIA",0,0,0
"PF/C","Al Jefferson",3400,"IND@HOU 11/29/2017 08:00PM ET",16.725,"IND","HOU",0,0,0
"C","Nene Hilario",3400,"IND@HOU 11/29/2017 08:00PM ET",15.268,"HOU","IND",15.93,14.8,9.5
"C","Tyler Zeller",3400,"BKN@DAL 11/29/2017 08:30PM ET",14.938,"BKN","DAL",14.62,15.6,26.25
"PF/C","Jarrett Allen",3400,"BKN@DAL 11/29/2017 08:30PM ET",11.896,"BKN","DAL",13.05,14.4,15.5
"PF","Mike Scott",3400,"WAS@PHI 11/29/2017 07:00PM ET",13.309,"WAS","PHI",13.6,11.7,2.75
"C","Ian Mahinmi",3400,"WAS@PHI 11/29/2017 07:00PM ET",8.882,"WAS","PHI",11.9,12.6,15.5
"PF/C","Jason Smith",3400,"WAS@PHI 11/29/2017 07:00PM ET",5.938,"WAS","PHI",0,0,0
"PF/C","Amir Johnson",3400,"WAS@PHI 11/29/2017 07:00PM ET",15.588,"PHI","WAS",12.87,14.5,12.5
"PG/SG","Jerryd Bayless",3400,"WAS@PHI 11/29/2017 07:00PM ET",17.077,"PHI","WAS",14.64,14.3,20.75
"SF","Darius Miller",3400,"MIN@NO 11/29/2017 08:00PM ET",11.7,"NO","MIN",17.9,14,17
"PF/C","Jarell Martin",3400,"MEM@SA 11/29/2017 08:30PM ET",12.278,"MEM","SA",11.35,10.3,9.5
"PG/SG","Andrew Harrison",3400,"MEM@SA 11/29/2017 08:30PM ET",8.808,"MEM","SA",17.02,13.7,24
