"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Raimel Tapia",3300,"COL@MIL 07:40PM ET",2.864,"COL","MIL",NA,0,NA,NA,"x","x",NA
"3B/OF","Joey Gallo",3300,"CLE@TEX 08:05PM ET",1.824,"TEX","CLE",5.31,6.7,6.68,NA,"x","7",19
"OF","David Peralta",3300,"SF@ARI 09:40PM ET",6.286,"ARI","SF",6.22,7.7,6.62,NA,"2","2",0
"C","Yasmani Grandal",3300,"SD@LAD 10:10PM ET",6.613,"LAD","SD",6.17,6.7,6.7,NA,"5","7",0
"2B","Logan Forsythe",3300,"SD@LAD 10:10PM ET",7.929,"LAD","SD",7.87,8,8.12,NA,"1","1",8
"OF","Joc Pederson",3300,"SD@LAD 10:10PM ET",6.953,"LAD","SD",NA,NA,NA,NA,"7","x",NA
"C/OF","Willson Contreras",3200,"CHC@STL 08:15PM ET",6.484,"CHC","STL",5.9,6.3,6.33,NA,"7","5",7
"2B/SS","Addison Russell",3200,"CHC@STL 08:15PM ET",7.024,"CHC","STL",6.14,6.3,6.64,NA,"5","4",7
"1B/OF","Matt Holliday",3200,"NYY@TB 07:10PM ET",6.964,"NYY","TB",6.31,7.6,7.17,NA,"4","4",9
"OF","Steven Souza",3200,"NYY@TB 07:10PM ET",6.642,"TB","NYY",NA,8.1,8.12,NA,"5","1",6
"OF","Kole Calhoun",3200,"LAA@OAK 10:05PM ET",7.592,"LAA","OAK",5.27,7.3,7.4,NA,"2","2",7
"C","Dustin Garneau",3200,"COL@MIL 07:40PM ET",4.375,"COL","MIL",NA,0,1.5,NA,"x","x",NA
"3B/OF","Hernan Perez",3200,"COL@MIL 07:40PM ET",7.252,"MIL","COL",6.64,0,6.85,NA,"x","x",NA
"SS","Orlando Arcia",3200,"COL@MIL 07:40PM ET",6.2,"MIL","COL",5.51,5.9,6.06,NA,"7","8",0
"1B","Bobby Bradley",3200,"CLE@TEX 08:05PM ET",0,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"3B/OF","Lonnie Chisenhall",3200,"CLE@TEX 08:05PM ET",5.681,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"OF","Abraham Almonte",3200,"CLE@TEX 08:05PM ET",5.164,"CLE","TEX",5.52,0,1.82,NA,"x","x",NA
"OF","Delino DeShields",3200,"CLE@TEX 08:05PM ET",4.373,"TEX","CLE",4.66,0,1.66,NA,"x","x",NA
"OF","Josh Reddick",3200,"SEA@HOU 08:10PM ET",6.286,"HOU","SEA",6.54,8.3,7.96,NA,"7","6",3
"OF","Mitch Haniger",3200,"SEA@HOU 08:10PM ET",5.794,"SEA","HOU",4.99,8.4,7.37,NA,"6","2",7
"3B","Justin Turner",3200,"SD@LAD 10:10PM ET",8.031,"LAD","SD",7.87,6.8,8.47,NA,"3","3",3
"2B/3B","Jedd Gyorko",3100,"CHC@STL 08:15PM ET",6.5,"STL","CHC",4.65,0,1.4,NA,"x","x",NA
"C","Wilson Ramos",3100,"NYY@TB 07:10PM ET",7.618,"TB","NYY",NA,0,NA,NA,"x","x",NA
"OF","Brett Gardner",3100,"NYY@TB 07:10PM ET",6.913,"NYY","TB",6.2,7.3,7.38,NA,"1","1",9
"OF","Kevin Kiermaier",3100,"NYY@TB 07:10PM ET",7.495,"TB","NYY",5.85,6.6,8.18,NA,"2","2",3
"1B","CJ Cron",3100,"LAA@OAK 10:05PM ET",7.095,"LAA","OAK",NA,NA,NA,NA,"5","x",NA
"3B","Trevor Plouffe",3100,"LAA@OAK 10:05PM ET",6.765,"OAK","LAA",5.75,5.8,5.93,NA,"7","7",0
"OF","Cameron Maybin",3100,"LAA@OAK 10:05PM ET",8.298,"LAA","OAK",5.76,6.8,1.56,NA,"x","6",8
"C","Tom Murphy",3100,"COL@MIL 07:40PM ET",6.286,"COL","MIL",NA,0,NA,NA,"x","x",NA
"OF","Brandon Guyer",3100,"CLE@TEX 08:05PM ET",5.741,"CLE","TEX",5.49,8.6,7.61,NA,"x","6",5
"OF","Bradley Zimmer",3100,"CLE@TEX 08:05PM ET",0,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"OF","Greg Allen",3100,"CLE@TEX 08:05PM ET",0,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"OF","Norichika Aoki",3100,"SEA@HOU 08:10PM ET",6.381,"HOU","SEA",NA,NA,NA,NA,"9","x",NA
"2B/OF","Brandon Drury",3100,"SF@ARI 09:40PM ET",6.463,"ARI","SF",4.41,5.9,6.17,NA,"6","6",9
"OF/SS","Chris Owings",3100,"SF@ARI 09:40PM ET",7.21,"ARI","SF",5.59,6.1,7.33,NA,"8","7",5
"OF","Jarrett Parker",3100,"SF@ARI 09:40PM ET",4,"SF","ARI",NA,NA,NA,NA,"8","x",NA
"C","Yadier Molina",3000,"CHC@STL 08:15PM ET",6.544,"STL","CHC",5.09,5,5.75,NA,"5","5",3
"OF","Colby Rasmus",3000,"NYY@TB 07:10PM ET",6.009,"TB","NYY",NA,0,NA,NA,"x","x",NA
"OF","Jacoby Ellsbury",3000,"NYY@TB 07:10PM ET",7.007,"NYY","TB",6.25,6.7,6.24,NA,"2","5",10
"OF","Corey Dickerson",3000,"NYY@TB 07:10PM ET",6.446,"TB","NYY",NA,NA,NA,NA,"1","x",NA
"OF","Aaron Judge",3000,"NYY@TB 07:10PM ET",5.074,"NYY","TB",5.08,6.7,6.11,NA,"9","8",5
"1B/3B","Luis Valbuena",3000,"LAA@OAK 10:05PM ET",6.767,"LAA","OAK",NA,0,NA,NA,"x","x",NA
"1B/3B","Ryon Healy",3000,"LAA@OAK 10:05PM ET",7.625,"OAK","LAA",6.24,6.9,7.31,NA,"3","3",19
"3B/SS","Marcus Semien",3000,"LAA@OAK 10:05PM ET",6.943,"OAK","LAA",5.86,5.7,5.68,NA,"6","9",9
"1B","Jesus Aguilar",3000,"COL@MIL 07:40PM ET",0,"MIL","COL",NA,6.2,7.17,NA,"x","6",5
"1B/3B","Mark Reynolds",3000,"COL@MIL 07:40PM ET",6.756,"COL","MIL",5.79,5.8,5.99,NA,"7","7",12
"2B/3B","Jurickson Profar",3000,"CLE@TEX 08:05PM ET",4.922,"TEX","CLE",NA,NA,NA,NA,"9","x",NA
"C","Brian McCann",3000,"SEA@HOU 08:10PM ET",6.408,"HOU","SEA",6.15,6.5,6.46,NA,"6","8",14
"3B/OF","Danny Valencia",3000,"SEA@HOU 08:10PM ET",6.962,"SEA","HOU",5.63,7.1,6.15,NA,"7","6",8
"C","Nick Hundley",3000,"SF@ARI 09:40PM ET",6.524,"SF","ARI",NA,0,1.75,NA,"x","x",NA
"2B","Chase Utley",3000,"SD@LAD 10:10PM ET",6.446,"LAD","SD",NA,0,1.47,NA,"x","x",NA
"2B/3B","Ryan Schimpf",3000,"SD@LAD 10:10PM ET",7.685,"SD","LAD",6.2,7,6.16,NA,"6","5",5
"OF","Franklin Gutierrez",3000,"SD@LAD 10:10PM ET",5.172,"LAD","SD",6.33,7.5,7.16,NA,"x","4",3
"OF","Jason Heyward",2900,"CHC@STL 08:15PM ET",5.842,"CHC","STL",6,6.9,6.56,NA,"6","6",5
"1B","Logan Morrison",2900,"NYY@TB 07:10PM ET",6.29,"TB","NYY",NA,NA,NA,NA,"6","x",NA
"2B/3B","Matt Duffy",2900,"NYY@TB 07:10PM ET",6.12,"TB","NYY",NA,0,NA,NA,"x","x",NA
"1B/C","Stephen Vogt",2900,"LAA@OAK 10:05PM ET",6.095,"OAK","LAA",6.21,6.5,6.5,NA,"2","5",0
"1B/3B","Jefry Marte",2900,"LAA@OAK 10:05PM ET",6.227,"LAA","OAK",5.76,7.3,1.58,NA,"x","5",9
"C","Tony Wolters",2900,"COL@MIL 07:40PM ET",5.577,"COL","MIL",5.01,5.3,4.93,NA,"8","8",2
"OF","Michael Reed",2900,"COL@MIL 07:40PM ET",3.375,"MIL","COL",NA,0,NA,NA,"x","x",NA
"OF","Jordan Patterson",2900,"COL@MIL 07:40PM ET",3.4,"COL","MIL",NA,0,1.67,NA,"x","x",NA
"C","Yan Gomes",2900,"CLE@TEX 08:05PM ET",4.487,"CLE","TEX",6.4,7.4,6.82,NA,"8","8",4
"3B","Yuli Gurriel",2900,"SEA@HOU 08:10PM ET",5.833,"HOU","SEA",NA,NA,NA,NA,NA,NA,NA
"3B/SS","Taylor Motter",2900,"SEA@HOU 08:10PM ET",3.794,"SEA","HOU",4.32,0,1.48,NA,"x","x",NA
"OF","Leonys Martin",2900,"SEA@HOU 08:10PM ET",6.923,"SEA","HOU",5.73,7,6.37,NA,"9","7",0
"OF","Derek Fisher",2900,"SEA@HOU 08:10PM ET",0,"HOU","SEA",NA,0,NA,NA,"x","x",NA
"OF","Jeremy Hazelbaker",2900,"SF@ARI 09:40PM ET",3.868,"ARI","SF",NA,0,1.78,NA,"x","x",NA
"OF","Mac Williamson",2900,"SF@ARI 09:40PM ET",3.907,"SF","ARI",NA,0,NA,NA,"x","x",NA
"2B/3B","Yangervis Solarte",2900,"SD@LAD 10:10PM ET",7.609,"SD","LAD",5.99,6.4,6.41,NA,"4","4",19
"3B/SS","Jhonny Peralta",2800,"CHC@STL 08:15PM ET",6.024,"STL","CHC",5.32,5.1,5.47,NA,"6","4",3
"OF","Albert Almora",2800,"CHC@STL 08:15PM ET",3.661,"CHC","STL",NA,5.2,1.61,NA,"x","9",3
"1B","Greg Bird",2800,"NYY@TB 07:10PM ET",0,"NYY","TB",NA,7.8,8.03,NA,"5","3",NA
"2B/OF","Nick Franklin",2800,"NYY@TB 07:10PM ET",5.933,"TB","NYY",NA,0,1.67,NA,"x","x",NA
"2B/SS","Starlin Castro",2800,"NYY@TB 07:10PM ET",6.742,"NYY","TB",5.77,6.7,5.89,NA,"6","6",0
"SS","Didi Gregorius",2800,"NYY@TB 07:10PM ET",6.797,"NYY","TB",NA,0,NA,NA,"x","x",NA
"C","Andrew Susac",2800,"COL@MIL 07:40PM ET",3.5,"MIL","COL",NA,0,NA,NA,"x","x",NA
"SS","Pat Valaika",2800,"COL@MIL 07:40PM ET",2.615,"COL","MIL",NA,0,NA,NA,"x","x",NA
"OF","Kirk Nieuwenhuis",2800,"COL@MIL 07:40PM ET",5.28,"MIL","COL",NA,0,1.66,NA,"x","x",NA
"C","Robinson Chirinos",2800,"CLE@TEX 08:05PM ET",5.31,"TEX","CLE",NA,5.3,1.54,NA,"x","9",0
"3B","Giovanny Urshela",2800,"CLE@TEX 08:05PM ET",0,"CLE","TEX",NA,NA,NA,NA,"9","x",NA
"SS","Erik Gonzalez",2800,"CLE@TEX 08:05PM ET",1,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"OF","Austin Jackson",2800,"CLE@TEX 08:05PM ET",5.593,"CLE","TEX",5.95,6.9,6.59,NA,"x","9",10
"C/OF","Chris Herrmann",2800,"SF@ARI 09:40PM ET",6.214,"ARI","SF",NA,0,1.48,NA,"x","x",NA
"2B/SS","Kelby Tomlinson",2800,"SF@ARI 09:40PM ET",3.455,"SF","ARI",NA,0,NA,NA,"x","x",NA
"1B","Cody Bellinger",2800,"SD@LAD 10:10PM ET",0,"LAD","SD",NA,0,NA,NA,"x","x",NA
"2B/SS","Chris Taylor",2800,"SD@LAD 10:10PM ET",2.722,"LAD","SD",NA,0,NA,NA,"x","x",NA
"OF","Andre Ethier",2800,"SD@LAD 10:10PM ET",2.375,"LAD","SD",NA,0,NA,NA,"x","x",NA
"OF","Manuel Margot",2800,"SD@LAD 10:10PM ET",6.4,"SD","LAD",6,5.9,6.58,NA,"2","2",13
"C","Miguel Montero",2700,"CHC@STL 08:15PM ET",4.969,"CHC","STL",NA,0,1.37,NA,"x","x",NA
"1B","Matt Adams",2700,"CHC@STL 08:15PM ET",5.05,"STL","CHC",5.79,0,1.46,NA,"x","x",NA
"OF","Jon Jay",2700,"CHC@STL 08:15PM ET",6.489,"CHC","STL",NA,NA,NA,NA,"8","x",NA
"C","Josh Phegley",2700,"LAA@OAK 10:05PM ET",5.192,"OAK","LAA",NA,0,1.51,NA,"x","x",NA
"1B/OF","Mark Canha",2700,"LAA@OAK 10:05PM ET",3.625,"OAK","LAA",NA,0,1.53,NA,"x","x",NA
"3B/SS","Yunel Escobar",2700,"LAA@OAK 10:05PM ET",6.47,"LAA","OAK",6.01,7.4,7.13,NA,"1","1",5
"OF","Ben Revere",2700,"LAA@OAK 10:05PM ET",5.272,"LAA","OAK",NA,NA,NA,NA,"8","x",NA
"C","Brett Nicholas",2700,"CLE@TEX 08:05PM ET",5.667,"TEX","CLE",NA,0,NA,NA,"x","x",NA
"3B","Yandy Diaz",2700,"CLE@TEX 08:05PM ET",0,"CLE","TEX",5.92,7,6.4,NA,"x","7",0
"1B/3B","Marwin Gonzalez",2700,"SEA@HOU 08:10PM ET",6.05,"HOU","SEA",5.1,5.9,1.71,NA,"x","9",14
"OF","Jarrod Dyson",2700,"SEA@HOU 08:10PM ET",6.299,"SEA","HOU",5.7,7.1,6.23,NA,"1","9",5
"OF","Preston Tucker",2700,"SEA@HOU 08:10PM ET",3.604,"HOU","SEA",NA,0,NA,NA,"x","x",NA
"OF","Socrates Brito",2700,"SF@ARI 09:40PM ET",3.7,"ARI","SF",NA,0,NA,NA,"x","x",NA
"2B/C","Austin Barnes",2700,"SD@LAD 10:10PM ET",1.696,"LAD","SD",NA,0,1.56,NA,"x","x",NA
"2B","Willie Calhoun",2700,"SD@LAD 10:10PM ET",0,"LAD","SD",NA,0,NA,NA,"x","x",NA
"OF","Trayce Thompson",2700,"SD@LAD 10:10PM ET",5.938,"LAD","SD",NA,0,NA,NA,"x","x",NA
"OF","Alex Dickerson",2700,"SD@LAD 10:10PM ET",6.476,"SD","LAD",NA,0,NA,NA,"x","x",NA
"OF","Andrew Toles",2700,"SD@LAD 10:10PM ET",4.847,"LAD","SD",NA,NA,NA,NA,"8","x",NA
"OF","Hunter Renfroe",2700,"SD@LAD 10:10PM ET",10.818,"SD","LAD",5.1,5.4,6.47,NA,"5","6",3
"2B","Kolten Wong",2600,"CHC@STL 08:15PM ET",4.579,"STL","CHC",4.81,5.2,5.38,NA,"8","8",3
"3B","Jeimer Candelario",2600,"CHC@STL 08:15PM ET",1.8,"CHC","STL",NA,0,NA,NA,"x","x",NA
"OF","Mark Zagunis",2600,"CHC@STL 08:15PM ET",0,"CHC","STL",NA,0,NA,NA,"x","x",NA
"C","Derek Norris",2600,"NYY@TB 07:10PM ET",5.376,"TB","NYY",5.95,7.2,5.44,NA,"9","7",0
"1B","Jake Bauers",2600,"NYY@TB 07:10PM ET",0,"TB","NYY",NA,0,NA,NA,"x","x",NA
"2B/SS","Tim Beckham",2600,"NYY@TB 07:10PM ET",5.516,"TB","NYY",5.41,6.5,5.83,NA,"7","5",3
"3B","Chase Headley",2600,"NYY@TB 07:10PM ET",6.092,"NYY","TB",5.41,5.7,5.64,NA,"7","7",24
"1B","Yonder Alonso",2600,"LAA@OAK 10:05PM ET",5.167,"OAK","LAA",5.54,5.8,5.56,NA,"8","8",7
"2B","Joey Wendle",2600,"LAA@OAK 10:05PM ET",5.357,"OAK","LAA",NA,NA,NA,NA,NA,NA,NA
"SS","Andrelton Simmons",2600,"LAA@OAK 10:05PM ET",6.032,"LAA","OAK",5.25,6.5,5.8,NA,"7","7",7
"1B/OF","Ryan Rua",2600,"CLE@TEX 08:05PM ET",4.92,"TEX","CLE",NA,5.9,1.58,NA,"x","6",2
"2B","Andy Ibanez",2600,"CLE@TEX 08:05PM ET",0,"TEX","CLE",NA,0,NA,NA,"x","x",NA
"C","Mike Zunino",2600,"SEA@HOU 08:10PM ET",6.214,"SEA","HOU",5.36,6.8,5.47,NA,"8","8",3
"3B","JD Davis",2600,"SEA@HOU 08:10PM ET",0,"HOU","SEA",NA,0,NA,NA,"x","x",NA
"OF","Ben Gamel",2600,"SEA@HOU 08:10PM ET",2.364,"SEA","HOU",NA,0,NA,NA,"x","x",NA
"3B","Aaron Hill",2600,"SF@ARI 09:40PM ET",5.315,"SF","ARI",6.03,0,NA,NA,"x","x",NA
"OF","Gorkys Hernandez",2600,"SF@ARI 09:40PM ET",3.345,"SF","ARI",NA,8.9,8.24,NA,"x","1",20
"2B/3B","Cory Spangenberg",2600,"SD@LAD 10:10PM ET",6.429,"SD","LAD",NA,0,NA,NA,"x","x",NA
"3B/OF","Rob Segedin",2600,"SD@LAD 10:10PM ET",3.3,"LAD","SD",NA,0,NA,NA,"x","x",NA
"OF","Alex Verdugo",2600,"SD@LAD 10:10PM ET",0,"LAD","SD",NA,0,NA,NA,"x","x",NA
"1B/OF","Jose Martinez",2500,"CHC@STL 08:15PM ET",3.083,"STL","CHC",NA,0,1.5,NA,"x","x",NA
"2B","Ian Happ",2500,"CHC@STL 08:15PM ET",0,"CHC","STL",NA,0,NA,NA,"x","x",NA
"2B/3B","Tommy La Stella",2500,"CHC@STL 08:15PM ET",3.453,"CHC","STL",NA,0,1.54,NA,"x","x",NA
"OF","Matt Szczur",2500,"CHC@STL 08:15PM ET",3.222,"CHC","STL",NA,0,1.47,NA,"x","x",NA
"OF","Harrison Bader",2500,"CHC@STL 08:15PM ET",0,"STL","CHC",NA,0,NA,NA,"x","x",NA
"OF","Peter Bourjos",2500,"NYY@TB 07:10PM ET",4.675,"TB","NYY",NA,5.7,5.39,NA,"x","9",2
"OF","Aaron Hicks",2500,"NYY@TB 07:10PM ET",4.073,"NYY","TB",NA,0,1.53,NA,"x","x",NA
"OF","Tyler Austin",2500,"NYY@TB 07:10PM ET",5.097,"NYY","TB",NA,0,NA,NA,"x","x",NA
"2B","Jed Lowrie",2500,"LAA@OAK 10:05PM ET",5.494,"OAK","LAA",5.45,5.4,5.74,NA,"9","6",24
"2B/SS","Danny Espinosa",2500,"LAA@OAK 10:05PM ET",6.253,"LAA","OAK",5.52,6.2,6.13,NA,"6","8",18
