"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Andrew Wiggins","SF/PFSFPF","MIN","@ NOP","13th",105.25,7000,19.8,45.2,30.1,0.83,23.7,15.5,36.2,38.5,30.72,30.72,"%",76,4.4,36,48,6.9
"Spencer Dinwiddie","PG/SGPGSG","BKN","@ DAL","24th",102.5,6900,19.2,58.7,27.6,1.1,20.2,10.1,25.1,30.5,36.14,36.14,"%",59,5.2,32,34.25,5
"Lonzo Ball","PG","LAL","vs GSW","6th",108,6800,7.3,57.6,32.9,1.01,18.3,11.2,32.5,32.51,28.9,28.9,"%",56,4.3,43,36.5,5.4
"Otto Porter","SF/PFSFPF","WAS","@ PHI","28th",103.75,6700,16.7,56.3,32.9,1.01,18.2,12,32.7,33.51,33.64,33.64,"%",66,5,25,21,3.1
"Jeff Teague","PG","MIN","@ NOP","23rd",105.25,6600,17.9,55.9,33.2,1,21.3,11.5,33.3,33.7,34.17,34.17,"%",67,5.2,0,0,NA
"Tyreke Evans","SG/SFSGSF","MEM","@ SAS","11th",93.5,6600,26.4,56.3,32.1,1.14,27.8,13.4,28.1,34.76,39.21,39.21,"%",73,5.9,30,32.75,5
"Tim Hardaway Jr.","SG/SFSGSF","NYK","vs MIA","18th",103.75,6500,14.3,65.4,32,0.95,24,15.3,33.8,35.54,36.22,36.22,"%",54,5.6,29,16.5,2.5
"Tobias Harris","SF/PFSFPF","DET","vs PHX","20th",113.25,6500,19.6,54.6,31.1,0.95,22.7,15.4,32.7,34.39,34.63,34.63,"%",68,5.3,26,31.25,4.8
"Jrue Holiday","PG/SGPGSG","NOP","vs MIN","20th",110.25,6500,15.6,48.5,31.6,0.89,20.7,13.3,35.6,32.15,29.67,29.67,"%",70,4.6,38,42.75,6.6
"Dion Waiters","SG/SFSGSF","MIA","@ NYK","22nd",102.75,6400,12.5,45.2,26.3,0.85,26.9,15.3,31.1,30.88,26.5,26.5,"%",64,4.1,29,27.25,4.3
"Myles Turner","C","IND","@ HOU","2nd",106.5,6300,12.7,47,30.5,1.09,21.5,11.1,28.1,28.5,27.42,27.42,"%",68,4.4,31,36.5,5.8
"Pau Gasol","PF/CPFC","SAS","vs MEM","5th",101.5,6200,17.3,47.6,30,1.2,20.7,8.7,25,26.96,30.25,30.25,"%",71,4.9,28,19,3.1
"Robert Covington","SF/PFSFPF","PHI","vs WAS","27th",109.75,6200,21.3,57.9,30.6,0.99,18.7,11.2,30.8,33.03,36.96,36.96,"%",66,6,33,28.5,4.6
"James Johnson","PF","MIA","@ NYK","25th",102.75,6100,9.7,48.8,27.8,1.01,20.2,8.6,27.4,26.36,26.47,26.47,"%",60,4.3,18,17.5,2.9
"Harrison Barnes","SF/PFSFPF","DAL","vs BKN","10th",107.5,6100,23.3,49.7,32.3,0.93,25.2,15.5,34.9,36.45,34.59,34.59,"%",77,5.7,36,39.5,6.5
"Avery Bradley","PG/SGPGSG","DET","vs PHX","23rd",113.25,6100,19.3,45.5,26.2,0.84,25.5,14.2,31.3,32.45,30.54,30.54,"%",71,5,28,26,4.3
"Brandon Ingram","SG/SFSGSF","LAL","vs GSW","30th",108,6000,26.8,60.4,28.5,0.87,21.3,12.3,32.8,37.4,41.18,41.18,"%",66,6.9,44,50.25,8.4
"Kyle Kuzma","SF/PFSFPF","LAL","vs GSW","30th",108,6000,21.8,50.1,28,0.91,21.7,12.8,30.7,29.57,33.92,33.92,"%",71,5.7,NA,NA,NA
"Darren Collison","PG","IND","@ HOU","5th",106.5,6000,9.4,50.1,28.8,0.92,17,9.5,31.3,31.46,26.84,26.84,"%",60,4.5,32,21.5,3.6
"Elfrid Payton","PG","ORL","vs OKC","1st",103.25,5900,9.8,50.3,27.4,1.08,22.3,9.1,25.4,29.07,27.18,27.18,"%",58,4.6,30,43.25,7.3
"Reggie Jackson","PG","DET","vs PHX","28th",113.25,5900,24.5,50.3,29.2,1.06,25,12.1,27.5,30.46,35.55,35.55,"%",75,6,21,34.75,5.9
"Taj Gibson","PF/CPFC","MIN","@ NOP","30th",105.25,5900,16.9,49.8,26.2,0.82,14.2,8.2,31.8,34.75,31,31,"%",64,5.3,37,31,5.3
"Nicolas Batum","SG/SFSGSF","CHA","@ TOR","6th",98.75,5800,12,49.1,22.1,0.89,20.2,9.7,24.8,30.4,27.88,27.88,"%",52,4.8,32,19.75,3.4
"DeMarre Carroll","SF/PFSFPF","BKN","@ DAL","11th",102.5,5800,18.2,44.2,28.5,0.99,19.4,10.2,28.8,33.7,29.35,29.35,"%",74,5.1,33,33.25,5.7
"Kentavious Caldwell-Pope","SG","LAL","vs GSW","17th",108,5800,19.6,49.1,28.4,0.83,17.9,11.5,34.1,36.62,32.23,32.23,"%",70,5.6,41,31.75,5.5
"Enes Kanter","PF/CPFC","NYK","vs MIA","16th",103.75,5800,15.7,47.2,30.4,1.19,20.5,9.4,25.5,25.5,29.2,29.2,"%",70,5,25,44,7.6
"Dennis Smith Jr.","PG/SGPGSG","DAL","vs BKN","30th",107.5,5600,18.7,50.8,27.6,0.99,30.1,14.9,27.9,26.74,32.49,32.49,"%",67,5.8,25,16,2.9
"Thaddeus Young","SF/PFSFPF","IND","@ HOU","2nd",106.5,5600,13.5,40.5,27.6,0.84,18.1,11.9,32.8,32.5,25.09,25.09,"%",72,4.5,31,30.5,5.4
"Evan Fournier","SG/SFSGSF","ORL","vs OKC","9th",103.25,5600,11.5,44.4,29.5,0.94,23.8,13.9,31.4,33.29,25.63,25.63,"%",68,4.6,32,23.75,4.2
"Domantas Sabonis","PF/CPFC","IND","@ HOU","2nd",106.5,5500,13.5,43.2,28.8,1.13,22.2,8.7,25.4,26.93,26.2,26.2,"%",70,4.8,19,14.25,2.6
"Steven Adams","C","OKC","@ ORL","23rd",109.25,5500,14.9,48.1,28.5,0.93,16.1,8.3,30.8,31.8,29.13,29.13,"%",67,5.3,28,20,3.6
"Jeremy Lamb","SG/SFSGSF","CHA","@ TOR","6th",98.75,5500,19.8,48.8,30.4,1.07,24.5,12.4,28.5,27.71,32.2,32.2,"%",73,5.9,28,30.75,5.6
"Larry Nance Jr.","SF/PFSFPF","LAL","vs GSW","30th",108,5400,30.6,62.5,25.7,1.1,17.5,7.1,23.3,32.6,44.27,44.27,"%",65,8.2,22,22.5,4.2
"Kyle Anderson","PG/SFPGSF","SAS","vs MEM","17th",101.5,5300,15.3,41.6,25.4,0.93,15.3,7.1,27.3,30.17,26.58,26.58,"%",70,5,29,25.5,4.8
"J.J. Redick","SG/SFSGSF","PHI","vs WAS","12th",109.75,5200,14.7,45.2,26.8,0.82,19.2,13.1,32.7,33.55,27.78,27.78,"%",68,5.3,30,15.5,3
"Marcin Gortat","C","WAS","@ PHI","12th",103.75,5200,13,44.8,25.9,0.87,15.1,7.7,29.7,31.91,26.61,26.61,"%",65,5.1,20,12,2.3
"Brook Lopez","C","LAL","vs GSW","10th",108,5200,2.4,46.2,26.6,1.15,25.8,11.6,23.1,19.83,21.18,21.18,"%",53,4.1,16,11.75,2.3
"Julius Randle","PF/CPFC","LAL","vs GSW","13th",108,5100,19.5,45.9,24.8,1.16,25,8.5,21.3,26.7,30.81,30.81,"%",70,6,31,29.5,5.8
"Trevor Ariza","SG/SFSGSF","HOU","vs IND","1st",117.5,5100,9,33.6,24.9,0.73,14,9.5,34,29.9,19.55,19.55,"%",72,3.8,26,24.5,4.8
"Dario Saric","PF/CPFC","PHI","vs WAS","22nd",109.75,5000,13.5,47,22.4,0.82,17.8,9.7,27.2,29.65,27.84,27.84,"%",57,5.6,32,39,7.8
"Eric Gordon","SG","HOU","vs IND","8th",117.5,5000,15.2,46.1,28.9,0.92,27.8,15.5,31.3,31.6,28.41,28.41,"%",69,5.7,26,16.75,3.4
"Rudy Gay","SF/PFSFPF","SAS","vs MEM","17th",101.5,4900,2,30.4,23.2,1.07,26,9.6,21.6,14.38,14.18,14.18,"%",65,2.9,22,20.25,4.1
"Trevor Booker","PF/CPFC","BKN","@ DAL","24th",102.5,4900,15.8,48.4,22.7,1.05,20.8,8.3,21.6,27.3,29.78,29.78,"%",59,6.1,28,31.5,6.4
"Rajon Rondo","PG","NOP","vs MIN","20th",110.25,4900,12.8,38.1,18.2,0.88,17.3,6.1,20.7,24.9,23.63,23.63,"%",60,4.8,26,15.75,3.2
"Markieff Morris","SF/PFSFPF","WAS","@ PHI","21st",103.75,4800,13.4,36.4,18.4,0.81,21.9,8.6,22.6,28.41,23.24,23.24,"%",64,4.8,16,9.5,2
"Dirk Nowitzki","PF/CPFC","DAL","vs BKN","12th",107.5,4800,12.8,40.3,23.1,0.95,20.4,9.6,24.3,25.69,24.56,24.56,"%",66,5.1,26,21.25,4.4
"Courtney Lee","SG/SFSGSF","NYK","vs MIA","18th",103.75,4800,15.6,40.9,24.8,0.77,15.7,9.7,32.3,33.61,26.42,26.42,"%",71,5.5,28,34.75,7.2
"Jordan Clarkson","PG/SGPGSG","LAL","vs GSW","17th",108,4800,12.8,43.3,23.9,1.11,29.4,12,21.6,22.6,25.85,25.85,"%",64,5.4,35,41,8.5
"Greg Monroe","PF/CPFC","PHX","@ DET","26th",102.25,4700,8.6,54.3,19.3,1.06,21.8,7.5,18.2,25.04,28.17,28.17,"%",32,6,25,32.75,7
"Bojan Bogdanovic","SG/SFSGSF","IND","@ HOU","19th",106.5,4700,11.6,44.5,22.9,0.75,18.7,10.9,30.4,32.61,25.7,25.7,"%",59,5.5,31,19.25,4.1
"Serge Ibaka","PF/CPFC","TOR","vs CHA","19th",105.75,4700,10.5,32.2,22.9,0.87,19.7,9.6,26.3,24.1,19.83,19.83,"%",73,4.2,29,22.5,4.8
"Ryan Anderson","PF/CPFC","HOU","vs IND","27th",117.5,4700,11.5,36.5,22.9,0.77,15.7,9.3,29.6,23.4,22.23,22.23,"%",69,4.7,31,34.25,7.3
"Mike James","PG","PHX","@ DET","13th",102.25,4700,5.8,37.3,22.9,1.02,25.1,10.4,22.5,18.61,19.32,19.32,"%",61,4.1,15,22,4.7
"Juan Jose Barea","PG/SGPGSG","DAL","vs BKN","30th",107.5,4600,18.1,42.5,24.5,1.13,27.1,10.3,21.7,21.46,28.54,28.54,"%",72,6.2,21,21.25,4.6
"T.J. McConnell","PG","PHI","vs WAS","9th",109.75,4600,5.5,43.7,22.3,0.92,14.2,6,24.3,24.5,21.85,21.85,"%",51,4.8,15,7.5,1.6
"Jonas Valanciunas","C","TOR","vs CHA","11th",105.75,4600,0.4,39,21.3,1.09,22,7,19.5,16.9,16.93,16.93,"%",48,3.7,22,20.25,4.4
"Caris LeVert","SG/SFSGSF","BKN","@ DAL","15th",102.5,4600,17.9,36.4,22.5,0.9,21.5,9.7,25.1,29.61,25.82,25.82,"%",77,5.6,27,31,6.7
"Wesley Matthews","SG/SFSGSF","DAL","vs BKN","29th",107.5,4600,9.3,46.1,23.4,0.68,16.8,10.5,34.4,34.71,25.1,25.1,"%",55,5.5,36,15.25,3.3
"Jonathon Simmons","SG/SFSGSF","ORL","vs OKC","16th",103.25,4500,13.6,41.2,21.8,0.89,25.5,10.5,24.6,29.61,25.41,25.41,"%",64,5.6,33,8,1.8
"Alex Len","PF/CPFC","PHX","@ DET","26th",102.25,4500,9.3,43.4,24.8,1.09,16.2,5.9,22.8,20.5,23.94,23.94,"%",61,5.3,16,11.25,2.5
"Tyus Jones","PG/SGPGSG","MIN","@ NOP","23rd",105.25,4500,0,33.2,12.5,0.75,11.3,3.2,16.6,15.3,12.91,12.91,"%",19,2.9,41,38.5,8.6
"Danny Green","SG/SFSGSF","SAS","vs MEM","3rd",101.5,4500,5.6,41.8,23.1,0.81,17.9,9.6,28.5,28.91,21.13,21.13,"%",55,4.7,27,17,3.8
"Kyle O'Quinn","PF/CPFC","NYK","vs MIA","3rd",103.75,4500,0,37.9,19.9,1.21,19.2,4.7,16.4,14.7,15.29,15.29,"%",43,3.4,13,19.75,4.4
"Tim Frazier","PG","WAS","@ PHI","18th",103.75,4400,10.2,31.7,13.7,0.83,13.9,3.4,16.6,24.77,19.44,19.44,"%",55,4.4,19,10.75,2.4
"JaMychal Green","SF/PFSFPF","MEM","@ SAS","6th",93.5,4400,13.2,40,19.4,0.81,17.8,7,23.9,33.96,24.72,24.72,"%",61,5.6,28,23.5,5.3
"Josh Richardson","SG/SFSGSF","MIA","@ NYK","22nd",102.75,4400,2.9,34,18.7,0.59,16,8.8,31.9,29.8,16.24,16.24,"%",53,3.7,30,26.25,6
"Tyler Johnson","PG/SGPGSG","MIA","@ NYK","22nd",102.75,4300,7.8,36,19.3,0.72,18.3,8.8,26.8,25.3,19.86,19.86,"%",58,4.6,29,24.25,5.6
"Tyson Chandler","C","PHX","@ DET","26th",102.25,4300,4.8,28.1,21.2,0.86,11.2,4.5,24.6,15.33,14.75,14.75,"%",69,3.4,0,0,NA
"Joe Harris","SG/SFSGSF","BKN","@ DAL","15th",102.5,4300,14.8,40.7,18.1,0.81,17.2,8,22.3,31.92,25.89,25.89,"%",59,6,30,19.5,4.5
"Tyler Ulis","PG","PHX","@ DET","13th",102.25,4300,6.9,34.6,17.5,0.79,20.2,7.8,22.1,25.36,18.77,18.77,"%",55,4.4,22,23,5.3
"Lance Stephenson","SG/SFSGSF","IND","@ HOU","19th",106.5,4300,11.1,42.1,19.2,0.92,19.6,7,20.9,25,24.38,24.38,"%",54,5.7,24,24.5,5.7
"Jerami Grant","SF/PFSFPF","OKC","@ ORL","23rd",109.25,4200,4.8,29.1,18.1,0.82,16.9,6.2,22.1,17.08,15.2,15.2,"%",62,3.6,20,19.25,4.6
"Michael Carter-Williams","PG","CHA","@ TOR","12th",98.75,4200,13.6,38.9,14.3,0.95,17.6,4.1,15.1,29.7,24.44,24.44,"%",49,5.8,32,21.5,5.1
"C.J. Miles","SG/SFSGSF","TOR","vs CHA","29th",105.75,4200,9.3,36.7,17.3,0.92,22.6,8.3,18.8,20.7,21.03,21.03,"%",55,5,17,11,2.6
"Kelly Olynyk","PF/CPFC","MIA","@ NYK","8th",102.75,4200,5.4,37.2,19.5,1.07,20.4,5.9,18.3,20.4,18.99,18.99,"%",53,4.5,25,28.75,6.8
"Patrick Mills","PG","SAS","vs MEM","11th",101.5,4200,8.2,36.5,19.5,0.76,18.2,8.8,25.8,26.97,20.34,20.34,"%",59,4.8,26,26.25,6.3
"Kelly Oubre Jr.","SG/SFSGSF","WAS","@ PHI","28th",103.75,4200,8.2,38.1,22.5,0.82,18.9,9.2,27.5,22.48,20.97,20.97,"%",62,5,28,39.75,9.5
"Josh Jackson","SG/SFSGSF","PHX","@ DET","21st",102.25,4100,0.4,26.9,17.3,0.84,24.4,8.8,20.5,14.7,11.75,11.75,"%",56,2.9,31,35.25,8.6
"Jarrett Jack","PG","NYK","vs MIA","4th",103.75,4100,10.2,36.9,19.3,0.74,13.8,6.2,26,32.5,21.65,21.65,"%",60,5.3,23,17.75,4.3
"Norman Powell","SG/SFSGSF","TOR","vs CHA","4th",105.75,4000,6.4,33.7,18.2,0.79,18.9,8.1,22.9,24.8,18.08,18.08,"%",57,4.5,17,15.5,3.9
"Justise Winslow","SF/PFSFPF","MIA","@ NYK","19th",102.75,4000,8.3,32.1,18.1,0.79,16.1,6.5,22.8,21.14,18.5,18.5,"%",62,4.6,16,16.75,4.2
"Michael Kidd-Gilchrist","SF","CHA","@ TOR","6th",98.75,4000,5.2,37.2,17.3,0.7,15.4,7.7,24.6,30.32,18.89,18.89,"%",47,4.7,27,14.75,3.7
"Omri Casspi","SF/PFSFPF","GSW","@ LAL","15th",120,4000,0,26.1,14,1.05,16.2,3.9,13.3,8.8,9.34,9.34,"%",40,2.3,0,0,NA
"Tony Parker","PG","SAS","vs MEM","11th",101.5,4000,11.2,11.2,12,0.86,23.7,7,14,14,11.24,11.24,"%",0,2.8,17,19.5,4.9
"Dillon Brooks","SG/SFSGSF","MEM","@ SAS","22nd",93.5,3900,10.3,39.4,18.1,0.62,15.4,7.5,29,35.45,22.76,22.76,"%",54,5.8,33,13,3.3
"Andre Iguodala","SG/SFSGSF","GSW","@ LAL","20th",120,3900,11.3,27.2,17.3,0.69,11.3,4.9,25,25,18.15,18.15,"%",74,4.7,34,16,4.1
"Stanley Johnson","SG/SFSGSF","DET","vs PHX","20th",113.25,3900,9.5,34.4,17.2,0.58,13.1,7.8,29.5,32.9,20.13,20.13,"%",59,5.2,21,12.75,3.3
"Wayne Ellington","SG/SFSGSF","MIA","@ NYK","22nd",102.75,3900,4.1,38.3,14.3,0.76,17,6.3,18.8,25.29,18.71,18.71,"%",32,4.8,27,8.75,2.2
"Frank Kaminsky","PF/CPFC","CHA","@ TOR","4th",98.75,3800,0.7,31.6,19.2,0.8,20.5,9.3,23.9,20.89,13.95,13.95,"%",54,3.7,27,30.75,8.1
"Ishmael Smith","PG","DET","vs PHX","28th",113.25,3800,14.8,34.6,18.9,0.98,23.5,8.5,19.2,20.18,23.27,23.27,"%",70,6.1,20,28.25,7.4
"Terrence Ross","SG/SFSGSF","ORL","vs OKC","9th",103.25,3800,5.3,34,19.1,0.72,16.6,8.3,26.4,25.75,17.59,17.59,"%",57,4.6,13,13.25,3.5
"Gorgui Dieng","PF/CPFC","MIN","@ NOP","21st",105.25,3800,3.7,27.7,13.7,0.93,18.7,4.5,14.7,14.14,13.98,13.98,"%",50,3.7,36,41.5,10.9
"Pascal Siakam","PF","TOR","vs CHA","19th",105.75,3800,11.2,39.9,18.8,0.91,16.9,6.5,20.6,27.66,23.51,23.51,"%",56,6.2,18,15,3.9
"Dejounte Murray","PG","SAS","vs MEM","11th",101.5,3800,0,26.6,18.8,0.94,19.8,6.8,19.9,7.2,5.91,5.91,"%",45,1.6,4,3,0.8
"Marquese Chriss","PF/CPFC","PHX","@ DET","11th",102.25,3800,4.1,34.7,17.1,0.88,16.3,5.8,19.5,20.5,17.24,17.24,"%",49,4.5,22,23,6.1
"Yogi Ferrell","PG/SGPGSG","DAL","vs BKN","30th",107.5,3800,5.5,31.9,17.2,0.61,16,7.4,28.1,24.32,16.83,16.83,"%",56,4.4,21,17.75,4.7
"D.J. Augustin","PG/SGPGSG","ORL","vs OKC","1st",103.25,3700,0,31,17.6,0.89,17.6,5.4,19.8,16.32,12.52,12.52,"%",48,3.4,17,19.75,5.3
"Devin Harris","PG/SGPGSG","DAL","vs BKN","30th",107.5,3700,11.5,34.3,15.6,0.9,24.5,6.9,17.4,19.38,21.28,21.28,"%",58,5.8,22,21.5,5.8
"E'Twaun Moore","SG/SFSGSF","NOP","vs MIN","5th",110.25,3700,8.4,32.8,20.3,0.68,15.6,9.6,30,27.12,18.9,18.9,"%",66,5.1,26,11,3
"Manu Ginobili","SG/SFSGSF","SAS","vs MEM","3rd",101.5,3700,1.2,27.2,15,0.77,22.7,7.2,19.4,17.43,12.31,12.31,"%",51,3.3,23,10.25,2.8
"Bryn Forbes","PG/SGPGSG","SAS","vs MEM","11th",101.5,3700,0,26.6,10.3,0.66,17.1,5.7,15.7,16.73,10.97,10.97,"%",24,3,17,10.75,2.9
"Marvin Williams","SF/PFSFPF","CHA","@ TOR","14th",98.75,3700,7.8,35.4,18.7,0.74,13.7,6.9,25.2,25.32,19.62,19.62,"%",58,5.3,20,15.25,4.1
"Shaun Livingston","PG/SGPGSG","GSW","@ LAL","26th",120,3700,3,23.3,11.9,0.77,15.7,4.6,15.5,13.57,11.72,11.72,"%",51,3.2,9,7.25,2
"Michael Beasley","SF/PFSFPF","NYK","vs MIA","26th",103.75,3600,0,32.9,13.7,0.94,27.2,6.5,14.6,12.39,12.92,12.92,"%",27,3.6,18,14.75,4.1
"P.J. Tucker","SF/PFSFPF","HOU","vs IND","1st",117.5,3600,4.9,27.8,19,0.69,10.6,5.1,27.4,25.5,14.71,14.71,"%",66,4.1,20,6,1.7
"Malik Monk","PG/SGPGSG","CHA","@ TOR","12th",98.75,3600,0,33.5,13.1,0.77,20.4,7.8,17,16.2,12.54,12.54,"%",20,3.5,15,21,5.8
"Sean Kilpatrick","PG/SGPGSG","BKN","@ DAL","15th",102.5,3600,9.3,35,9.3,0.87,23.3,5.5,10.7,22.5,20.32,20.32,"%",21,5.6,17,9.25,2.6
"Nemanja Bjelica","SF/PFSFPF","MIN","@ NOP","30th",105.25,3600,1.4,23.7,13.5,0.91,16.4,4.6,14.8,11.5,10.96,10.96,"%",53,3,0,0,NA
"Bam Adebayo","PF/CPFC","MIA","@ NYK","8th",102.75,3600,1.8,40.2,11.5,0.92,12.6,3,12.5,26.3,18.28,18.28,"%",5,5.1,30,18.75,5.2
"Jamal Crawford","SG","MIN","@ NOP","25th",105.25,3600,0,28.5,14.7,0.9,26.6,7.5,16.4,13.07,11.99,11.99,"%",44,3.3,25,17.25,4.8
"James Ennis","SG/SFSGSF","MEM","@ SAS","22nd",93.5,3600,1.7,31.2,15,0.59,11.3,4.9,25.6,25.76,14.32,14.32,"%",44,4,23,25.75,7.2
"Cody Zeller","C","CHA","@ TOR","4th",98.75,3600,8.1,25.2,17.7,0.92,16.5,5.1,19.3,19.68,15.43,15.43,"%",72,4.3,15,12,3.3
"OG Anunoby","SF/PFSFPF","TOR","vs CHA","29th",105.75,3600,8.6,24.5,12.9,0.7,14.2,4.9,18.3,20.29,15.4,15.4,"%",65,4.3,19,5.25,1.5
"Brandon Paul","SG","SAS","vs MEM","3rd",101.5,3600,0,21.9,9,0.7,14.2,3,12.8,4.7,3.33,3.33,"%",0,0.9,4,0,NA
"Ben McLemore","SG/SFSGSF","MEM","@ SAS","11th",93.5,3500,7.7,26,11.2,0.63,20.5,6.6,17.8,25.89,15.51,15.51,"%",53,4.4,27,17.75,5.1
"Dwight Powell","PF/CPFC","DAL","vs BKN","12th",107.5,3500,6.9,31.2,14.7,0.89,17,4.6,16.6,18.75,17.31,17.31,"%",53,4.9,20,30.75,8.8
"Cory Joseph","PG","IND","@ HOU","5th",106.5,3500,6.8,35.1,18.7,0.78,15.9,6.9,23.9,25.11,18.93,18.93,"%",57,5.4,25,3.5,1
