player,salary,team,pos,opp,ceil,floor,fpts
"Tyler Kroft",2500,CIN,TE,DEN,,,6.33
"John Phillips",2500,DEN,TE,CIN,,,7.14
"Brandon LaFell",3400,CIN,WR,DEN,,,9.14
"A.J. Green",8100,CIN,WR,DEN,,,18.56
"Jordan Norwood",3000,DEN,WR,CIN,,,4.7
"Bennie Fowler",3000,DEN,WR,CIN,,,2.76
"Jeff Heuerman",2500,DEN,TE,CIN,,,4.05
"Giovani Bernard",4300,CIN,RB,DEN,,,10.6
"Jeremy Hill",3700,CIN,RB,DEN,,,8.62

