"player","salary","team","pos","opp","ceil","floor","fpts"
"Marvin Jones",4100,"DET","WR","ARI",15.3714,7.0686,11.22
"Golden Tate",6500,"DET","WR","ARI",20.5348,8.1852,14.36
"John Brown",4800,"ARI","WR","DET",13.9055,5.2745,9.59
"J.J. Nelson",3700,"ARI","WR","DET",13.4472,3.7928,8.62
"Delanie Walker",4300,"TEN","TE","OAK",20.692,8.868,14.78
"Taywan Taylor",3600,"TEN","WR","OAK",5.28,1.76,3.52
"David Johnson",9400,"ARI","RB","DET",35.9216,14.3184,25.12
"Kerwynn Williams",3800,"ARI","RB","DET",3.752,1.608,2.68
"Jaron Brown",3300,"ARI","WR","DET",6.8985,6.2415,6.57
"Larry Fitzgerald",5900,"ARI","WR","DET",21.0174,9.4426,15.23
"Kenny Golladay",3600,"DET","WR","ARI",14.5725,5.5275,10.05
"Jared Abbrederis",3000,"DET","WR","ARI",3.2943,1.4457,2.37
"Levine Toilolo",2500,"ATL","TE","CHI",3.0625,0.4375,1.75
"Austin Hooper",3000,"ATL","TE","CHI",11.5344,2.7056,7.12
"Jordan Howard",6300,"CHI","RB","ATL",18.1525,8.3475,13.25
"Tarik Cohen",3000,"CHI","RB","ATL",10.545,3.515,7.03
"Kendall Wright",3200,"CHI","WR","ATL",17.5938,7.1862,12.39
"Kevin White",4200,"CHI","WR","ATL",14.1708,5.1092,9.64
"Justin Hardy",3000,"ATL","WR","CHI",2.6,2.4,2.5
"Taylor Gabriel",4000,"ATL","WR","CHI",12.7798,3.5002,8.14
"Andre Ellington",3400,"ARI","RB","DET",3.7536,1.7664,2.76
"Eric Ebron",3600,"DET","TE","ARI",12.6716,3.3684,8.02
"Devonta Freeman",7000,"ATL","RB","CHI",26.1725,9.9275,18.05
"Tevin Coleman",5400,"ATL","RB","CHI",17.58,5.86,11.72
"Mohamed Sanu",4200,"ATL","WR","CHI",16.6424,6.7976,11.72
"Julio Jones",8500,"ATL","WR","CHI",29.9406,13.1394,21.54
"Eric Decker",5000,"TEN","WR","OAK",20.878,7.722,14.3
"Corey Davis",4000,"TEN","WR","OAK",11.58,3.86,7.72
"Brandin Cooks",7700,"NEP","WR","KCC",23.8012,6.5188,15.16
"Dion Lewis",3800,"NEP","RB","KCC",9.045,3.015,6.03
"James White",3900,"NEP","RB","KCC",13.11,4.37,8.74
"Chris Hogan",4800,"NEP","WR","KCC",17.7688,5.6112,11.69
"Malcolm Mitchell",3700,"NEP","WR","KCC",3.4882,3.0318,3.26
"Rob Gronkowski",6800,"NEP","TE","KCC",26.0784,10.1416,18.11
"Danny Amendola",4300,"NEP","WR","KCC",9.135,3.045,6.09
"Mike Gillislee",4800,"NEP","RB","KCC",17.0324,4.5276,10.78
"Demetrius Harris",2500,"KCC","TE","NEP",2.5696,0.3504,1.46
"Tyreek Hill",5700,"KCC","WR","NEP",21.5986,5.7414,13.67
"Charcandrick West",4000,"KCC","RB","NEP",8.784,2.196,5.49
"Chris Conley",3300,"KCC","WR","NEP",11.6208,4.5192,8.07
"Albert Wilson",3200,"KCC","WR","NEP",8.442,3.618,6.03
"Travis Kelce",5600,"KCC","TE","NEP",25.9602,9.3598,17.66
"De'Anthony Thomas",3000,"KCC","WR","NEP",2.72,0.48,1.6
"Dwayne Allen",2700,"NEP","TE","KCC",5.6446,1.0354,3.34
"C.J. Spiller",3000,"KCC","RB","NEP",4.539,0.801,2.67
"Jared Cook",3300,"OAK","TE","TEN",10.6764,2.3436,6.51
"Cordarrelle Patterson",3000,"OAK","WR","TEN",6.762,2.898,4.83
"Clive Walford",2500,"OAK","TE","TEN",3.08,0.44,1.76
"DeMarco Murray",7400,"TEN","RB","OAK",23.902,8.398,16.15
"Rishard Matthews",4200,"TEN","WR","OAK",17.1171,6.8229,11.97
"Derrick Henry",5500,"TEN","RB","OAK",13.7676,4.1124,8.94
"Seth Roberts",3300,"OAK","WR","TEN",8.5072,7.8528,8.18
"Michael Crabtree",6000,"OAK","WR","TEN",21.5424,8.3776,14.96
"Rex Burkhead",4400,"NEP","RB","KCC",9.936,2.484,6.21
"Demarcus Robinson",3000,"KCC","WR","NEP",3.621,0.639,2.13
"Marshawn Lynch",5300,"OAK","RB","TEN",17.355,5.785,11.57
"DeAndre Washington",4100,"OAK","RB","TEN",10.992,2.748,6.87
"Amari Cooper",7200,"OAK","WR","TEN",27.7736,9.5064,18.64
"Jalen Richard",3900,"OAK","RB","TEN",4.755,1.585,3.17
"Zach Miller",2800,"CHI","TE","ATL",9.3687,1.8513,5.61
"Benny Cunningham",3600,"CHI","RB","ATL",5.698,2.442,4.07
"ArDarius Stewart",3700,"NYJ","WR","BUF",12.4555,4.7245,8.59
"Charone Peake",3500,"NYJ","WR","BUF",9.3862,3.8338,6.61
"Robby Anderson",3800,"NYJ","WR","BUF",17.8352,7.2848,12.56
"Chad Hansen",3000,"NYJ","WR","BUF",4.3776,1.7024,3.04
"LeSean McCoy",8200,"BUF","RB","NYJ",26.9514,12.1086,19.53
"Andre Holmes",3000,"BUF","WR","NYJ",9.436,4.044,6.74
"Jordan Matthews",4400,"BUF","WR","NYJ",18.734,7.106,12.92
"Bilal Powell",4900,"NYJ","RB","BUF",18.0424,5.6976,11.87
"Matt Forte",4800,"NYJ","RB","BUF",17.323,3.057,10.19
"DeAndre Hopkins",5900,"HOU","WR","JAC",24.122,10.338,17.23
"D'Onta Foreman",4100,"HOU","RB","JAC",3.5372,1.2428,2.39
"Braxton Miller",3900,"HOU","WR","JAC",14.7832,6.9568,10.87
"C.J. Fiedorowicz",3100,"HOU","TE","JAC",11.259,2.641,6.95
"Bruce Ellington",3000,"HOU","WR","JAC",9.49,5.11,7.3
"Ryan Griffin",2700,"HOU","TE","JAC",8.965,2.035,5.5
"Zay Jones",3500,"BUF","WR","NYJ",15.9182,6.5018,11.21
"Brandon Tate",3000,"BUF","WR","NYJ",3.886,1.474,2.68
"Mike Wallace",4500,"BAL","WR","CIN",17.52,6.48,12
"Javorius Allen",3000,"BAL","RB","CIN",5.436,1.764,3.6
"Breshad Perriman",3500,"BAL","WR","CIN",10.766,4.614,7.69
"Jeremy Maclin",5000,"BAL","WR","CIN",20.8257,8.7143,14.77
"Benjamin Watson",2800,"BAL","TE","CIN",6.806,1.494,4.15
"Michael Campanaro",3000,"BAL","WR","CIN",2.9492,2.8908,2.92
"Danny Woodhead",5200,"BAL","RB","CIN",16.6239,6.9561,11.79
"Terrance West",4700,"BAL","RB","CIN",14.0836,6.4764,10.28
"Jordan Leggett",2500,"NYJ","TE","BUF",3.8233,0.5967,2.21
"Charles Clay",3200,"BUF","TE","NYJ",9.266,2.034,5.65
"Jermaine Kearse",3400,"NYJ","WR","BUF",9.24,3.96,6.6
"Kaelin Clay",3000,"NYJ","WR","BUF",5.88,2.52,4.2
"Mike Tolbert",3000,"BUF","RB","NYJ",3.24,1.08,2.16
"Eric Tomlinson",2500,"NYJ","TE","BUF",3.604,0.636,2.12
"Alfred Blue",4200,"HOU","RB","JAC",5.502,2.358,3.93
"Lamar Miller",5100,"HOU","RB","JAC",17.724,7.596,12.66
"Sammie Coates",3800,"CLE","WR","PIT",3.9888,1.5512,2.77
"Juju Smith-Schuster",3600,"PIT","WR","CLE",NA,NA,3.57
"Jesse James",3000,"PIT","TE","CLE",6.7155,1.4245,4.07
"Isaiah Crowell",5300,"CLE","RB","PIT",19.0986,8.3814,13.74
"Corey Coleman",4400,"CLE","WR","PIT",17.4344,6.1256,11.78
"Duke Johnson",4600,"CLE","RB","PIT",15.7765,6.9235,11.35
