Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
8.0,Matt,1.0,SF@Chi 01:00PM ET,7852109,Barkley,Matt Barkley,Matt Barkley (7852109),SF,QB,16.26,16.7,15.9293120635,16.4053279993,0.0,0.0,5000,CHI,6.0,0.0
0.0,David,1.0,SF@Chi 01:00PM ET,7852110,Fales,David Fales,David Fales (7852110),SF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CHI,0.0,0.0
0.0,EJ,1.0,Buf@Oak 04:05PM ET,7852112,Manuel,EJ Manuel,EJ Manuel (7852112),OAK,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Matt,1.0,Buf@Oak 04:05PM ET,7852113,McGloin,Matt McGloin,Matt McGloin (7852113),BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
0.0,Connor,1.0,Buf@Oak 04:05PM ET,7852115,Cook,Connor Cook,Connor Cook (7852115),BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
0.0,Cardale,1.0,Buf@Oak 04:05PM ET,7852116,Jones,Cardale Jones,Cardale Jones (7852116),OAK,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Josh,1.0,NYG@Pit 04:25PM ET,7852119,Johnson,Josh Johnson,Josh Johnson (7852119),PIT,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
-0.1,Landry,1.0,NYG@Pit 04:25PM ET,7852120,Jones,Landry Jones,Landry Jones (7852120),NYG,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,Ryan,1.0,NYG@Pit 04:25PM ET,7852121,Nassib,Ryan Nassib,Ryan Nassib (7852121),PIT,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
0.0,Zach,0.0,NYG@Pit 04:25PM ET,7852122,Mettenberger,Zach Mettenberger,Zach Mettenberger (7852122),NYG,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,Drew,1.0,Was@Ari 04:25PM ET,7852124,Stanton,Drew Stanton,Drew Stanton (7852124),WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,ARI,0.0,0.0
0.0,Colt,1.0,Was@Ari 04:25PM ET,7852125,McCoy,Colt McCoy,Colt McCoy (7852125),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
0.0,Nate,1.0,Was@Ari 04:25PM ET,7852127,Sudfeld,Nate Sudfeld,Nate Sudfeld (7852127),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
6.9,DeSean,1.0,Was@Ari 04:25PM ET,7852372,Jackson,DeSean Jackson,DeSean Jackson (7852372),ARI,WR,11.92,13.4,12.2896981995,12.6495802592,3.0,0.16814159292,5000,WAS,5.0,1.0
0.0,Kellen,1.0,TB@SD 04:25PM ET,7852128,Clemens,Kellen Clemens,Kellen Clemens (7852128),TB,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SD,0.0,0.0
0.0,Mike,1.0,TB@SD 04:25PM ET,7852130,Glennon,Mike Glennon,Mike Glennon (7852130),SD,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
0.0,Ryan,1.0,TB@SD 04:25PM ET,7852131,Griffin,Ryan Griffin,Ryan Griffin (7852131),SD,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
-1.0,Derek,1.0,Car@Sea 08:30PM ET,7852133,Anderson,Derek Anderson,Derek Anderson (7852133),SEA,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CAR,0.0,0.0
0.0,Joe,1.0,Car@Sea 08:30PM ET,7852134,Webb,Joe Webb,Joe Webb (7852134),SEA,QB,0.0,0.0,0.0,0.0,10.0,0.0025,5000,CAR,0.0,0.0
1.6,Trevone,1.0,Car@Sea 08:30PM ET,7852137,Boykin,Trevone Boykin,Trevone Boykin (7852137),CAR,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SEA,0.0,0.0
0.0,Charcandrick,0.0,KC@Atl 01:00PM ET,7852145,West,Charcandrick West,Charcandrick West (7852145),ATL,RB,6.22,4.6,5.14773743656,5.31295634708,7.0,0.0738916256158,4900,KC,0.0,0.0
12.1,Sterling,1.0,NYG@Pit 04:25PM ET,7852369,Shepard,Sterling Shepard,Sterling Shepard (7852369),PIT,WR,10.36,13.6,11.7145386196,12.0457556825,2.0,0.172169811321,4900,NYG,5.0,1.0
1.9,Tim,1.0,Det@NO 01:00PM ET,7852146,Hightower,Tim Hightower,Tim Hightower (7852146),DET,RB,11.79,10.6,10.7521537244,11.0830709411,8.0,0.0413043478261,4800,NO,5.0,0.0
2.4,Martellus,1.0,LA@NE 01:00PM ET,7852419,Bennett,Martellus Bennett,Martellus Bennett (7852419),LA,TE,11.54,9.8,10.2199443848,10.538417199,3.0,0.151898734177,4800,NE,4.0,0.0
10.6,Tyler,0.0,Phi@Cin 01:00PM ET,7852324,Boyd,Tyler Boyd,Tyler Boyd (7852324),PHI,WR,13.47,13.2,12.860492837,13.2488440469,3.0,0.143540669856,4800,CIN,5.0,0.0
17.3,Rashad,1.0,NYG@Pit 04:25PM ET,7852220,Jennings,Rashad Jennings,Rashad Jennings (7852220),PIT,RB,11.83,12.0,11.5100136058,11.8549236277,5.0,0.0660377358491,4800,NYG,5.0,0.0
25.0,Travis,1.0,KC@Atl 01:00PM ET,7852404,Kelce,Travis Kelce,Travis Kelce (7852404),ATL,TE,14.61,15.2,14.415810723,14.8453590346,1.0,0.209359605911,4700,KC,1.0,0.0
10.9,Will,1.0,Hou@GB 01:00PM ET,7852311,Fuller,Will Fuller,Will Fuller (7852311),GB,WR,10.66,9.4,9.62428655892,9.9217507599,2.0,0.151741293532,4700,HOU,0.0,1.0
6.3,Rob,1.0,Was@Ari 04:25PM ET,7852235,Kelley,Rob Kelley,Rob Kelley (7852235),ARI,RB,0.0,12.6,6.66360100375,6.78248577622,9.0,0.0176991150442,4700,WAS,4.0,0.0
12.2,Tyreek,1.0,KC@Atl 01:00PM ET,7852267,Hill,Tyreek Hill,Tyreek Hill (7852267),ATL,WR,12.59,21.5,16.8658928471,17.3153225485,2.0,0.14039408867,4600,KC,4.0,1.0
16.9,Mike,1.0,Buf@Oak 04:05PM ET,7852214,Gillislee,Mike Gillislee,Mike Gillislee (7852214),OAK,RB,5.77,3.3,4.26380063637,4.40794056443,9.0,0.0342679127726,4600,BUF,0.0,0.0
4.4,Travis,1.0,TB@SD 04:25PM ET,7852384,Benjamin,Travis Benjamin,Travis Benjamin (7852384),TB,WR,8.94,8.9,8.60908784375,8.8681487942,3.0,0.155555555556,4600,SD,0.0,1.0
6.0,Jacquizz,0.0,TB@SD 04:25PM ET,7852238,Rodgers,Jacquizz Rodgers,Jacquizz Rodgers (7852238),SD,RB,0.0,4.1,2.16831461233,2.20699933988,8.0,0.0306603773585,4500,TB,0.0,0.0
4.6,Mohamed,1.0,KC@Atl 01:00PM ET,7852260,Sanu,Mohamed Sanu,Mohamed Sanu (7852260),KC,WR,10.89,12.7,11.4699090699,11.8030142288,2.0,0.184415584416,4400,ATL,5.0,1.0
0.0,Marvin,0.0,Det@NO 01:00PM ET,7852271,Jones,Marvin Jones,Marvin Jones Jr. (7852271),NO,WR,0.0,0.0,0.0,0.0,2.0,0.216417910448,4400,DET,0.0,1.0
12.3,Chris,1.0,LA@NE 01:00PM ET,7852284,Hogan,Chris Hogan,Chris Hogan (7852284),LA,WR,9.03,9.6,9.0185723817,9.28600066037,5.0,0.101265822785,4400,NE,6.0,1.0
0.1,James,1.0,Hou@GB 01:00PM ET,7852176,Starks,James Starks,James Starks (7852176),HOU,RB,12.13,11.2,11.2178761017,11.5611132796,7.0,0.0531914893617,4400,GB,5.0,0.0
16.9,Darren,1.0,Phi@Cin 01:00PM ET,7852186,Sproles,Darren Sproles,Darren Sproles (7852186),CIN,RB,9.93,14.1,11.7912747048,12.1187880173,3.0,0.144702842377,4400,PHI,3.0,0.0
4.9,Tevin,1.0,KC@Atl 01:00PM ET,7852144,Coleman,Tevin Coleman,Tevin Coleman (7852144),KC,RB,10.18,8.8,9.09745498711,9.37985737566,6.0,0.0675324675325,4300,ATL,5.0,0.0
6.1,Alfred,0.0,Hou@GB 01:00PM ET,7852180,Blue,Alfred Blue,Alfred Blue (7852180),GB,RB,0.0,3.0,1.58657166756,1.61487756577,11.0,0.00995024875622,4300,HOU,0.0,0.0
12.5,Jeremy,1.0,Phi@Cin 01:00PM ET,7852191,Hill,Jeremy Hill,Jeremy Hill (7852191),PHI,RB,13.59,14.9,13.8119294249,14.2186708019,7.0,0.0478468899522,4300,CIN,3.0,0.0
1.9,Wendell,0.0,Phi@Cin 01:00PM ET,7852192,Smallwood,Wendell Smallwood,Wendell Smallwood (7852192),CIN,RB,6.86,10.0,8.28292275589,8.51162646025,9.0,0.0258397932817,4300,PHI,5.0,0.0
20.5,Brandon,0.0,Phi@Cin 01:00PM ET,7852314,LaFell,Brandon LaFell,Brandon LaFell (7852314),PHI,WR,11.98,10.1,10.57065902,10.9005796708,2.0,0.162679425837,4300,CIN,6.0,1.0
22.9,Zach,1.0,Phi@Cin 01:00PM ET,7852440,Ertz,Zach Ertz,Zach Ertz (7852440),CIN,TE,10.99,9.4,9.76832966025,10.0722567963,2.0,0.149870801034,4300,PHI,4.0,0.0
7.6,Ty,0.0,Hou@GB 01:00PM ET,7852307,Montgomery,Ty Montgomery,Ty Montgomery (7852307),HOU,WR,9.17,6.3,7.33445274189,7.57348638376,5.0,0.0808510638298,4200,GB,0.0,1.0
0.0,Fitzgerald,0.0,NYG@Pit 04:25PM ET,7852223,Toussaint,Fitzgerald Toussaint,Fitzgerald Toussaint (7852223),NYG,RB,2.39,3.8,3.05287869461,3.13554014978,13.0,0.00229885057471,4200,PIT,0.0,0.0
14.8,Pierre,1.0,Was@Ari 04:25PM ET,7852373,Garcon,Pierre Garcon,Pierre Garcon (7852373),ARI,WR,10.54,12.9,11.4229075282,11.7510451189,2.0,0.176991150442,4200,WAS,5.0,1.0
10.8,Michael,0.0,Was@Ari 04:25PM ET,7852374,Floyd,Michael Floyd,Michael Floyd (7852374),WAS,WR,9.3,10.2,9.45374016175,9.73211747601,3.0,0.134328358209,4200,ARI,6.0,0.0
