"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
12,718354999,"ChipotleAddict (76/150)",0,164.9,"P Chris Sale P Brandon Finnegan C Chris Iannetta 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF A.J. Pollock OF Eric Thames",NA,"Daniel Murphy","16.51%",10
13,718433205,"juanshen (16/150)",0,164.55,"P Charlie Morton P Rich Hill C J.T. Realmuto 1B Ryan Zimmerman 2B Daniel Murphy 3B José Ramírez SS Francisco Lindor OF Brandon Guyer OF Bryce Harper OF Adam Eaton",NA,"Paul Goldschmidt","15.90%",11
14,718871567,"Lunacy3 (28/76)",0,164.1,"P Wily Peralta P Rich Hill C Buster Posey 1B Paul Goldschmidt 2B Daniel Murphy 3B Justin Turner SS Francisco Lindor OF Gorkys Hernández OF A.J. Pollock OF Bryce Harper",NA,"Carlos González","15.61%",0
15,718628253,"GeForce",0,163.75,"P Michael Pineda P Tanner Roark C J.T. Realmuto 1B Carlos Santana 2B Rougned Odor 3B José Ramírez SS Francisco Lindor OF Adam Jones OF Yoenis Céspedes OF Nomar Mazara",NA,"Brandon Crawford","14.82%",7
16,718226750,"texansl",0,163.55,"P Michael Pineda P Garrett Richards C J.T. Realmuto 1B Kendrys Morales 2B José Altuve 3B Jonathan Villar SS Francisco Lindor OF Yoenis Céspedes OF George Springer OF A.J. Pollock",NA,"Eduardo Núñez","13.82%",13
17,718522924,"jasonwebber0331",0,163.1,"P J.A. Happ P Chris Sale C J.T. Realmuto 1B Greg Bird 2B Rougned Odor 3B Pablo Sandoval SS Francisco Lindor OF Andrew Benintendi OF Mike Trout OF Jay Bruce",NA,"Nolan Arenado","13.82%",3
17,718828738,"Fallen1891",0,163.1,"P J.A. Happ P Dylan Bundy C Evan Gattis 1B Buster Posey 2B José Altuve 3B Nolan Arenado SS Francisco Lindor OF Mike Trout OF Yasmany Tomás OF Bryce Harper",NA,"Hunter Pence","13.16%",15
19,718722883,"SethKegler (7/7)",0,160.6,"P Chris Sale P Rich Hill C Sandy León 1B Brandon Belt 2B Joe Panik 3B Ryan Zimmerman SS Brandon Crawford OF Joey Rickard OF Brandon Drury OF Chris Owings",NA,"Danny Salazar","12.60%",17.35
20,718133771,"suidmach (92/150)",0,160.45,"P Garrett Richards P Danny Salazar C J.T. Realmuto 1B Paul Goldschmidt 2B José Altuve 3B Jonathan Villar SS Chris Owings OF Charlie Blackmon OF George Springer OF Eric Thames",NA,"Greg Bird","11.75%",0
20,718663945,"TinkyTyler (17/58)",0,160.45,"P Chris Sale P Garrett Richards C Roberto Pérez 1B Edwin Encarnación 2B Brandon Drury 3B Jake Lamb SS Francisco Lindor OF A.J. Pollock OF José Ramírez OF Chris Owings",NA,"Eric Thames","11.66%",17
22,718833205,"A_playa_named_gus (1/112)",0,159.4,"P Jacob deGrom P James Paxton C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Andrew Toles","11.27%",2
23,718133763,"suidmach (84/150)",0,159.05,"P Chris Sale P Tyler Chatwood C Buster Posey 1B Brandon Belt 2B Robinson Canó 3B Kyle Seager SS Francisco Lindor OF Gorkys Hernández OF A.J. Pollock OF Bryce Harper",NA,"Gary Sánchez","11.17%",3
24,718663984,"TinkyTyler (56/58)",0,158.1,"P J.A. Happ P Chris Sale C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Travis Shaw SS Jonathan Villar OF Kirk Nieuwenhuis OF Hunter Pence OF Eric Thames",NA,"Charlie Morton","10.59%",13.3
25,718524114,"klink (5/6)",0,158.05,"P Chris Sale P James Paxton C Matt Wieters 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Marcell Ozuna OF Bryce Harper",NA,"Jonathan Villar","10.05%",19
26,718506096,"jjwd (37/150)",0,158,"P Jacob deGrom P Tanner Roark C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Jake Lamb SS Brandon Crawford OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Neil Walker","9.67%",0
27,718025366,"youdacao (92/150)",0,157.8,"P Chris Sale P Michael Pineda C Matt Wieters 1B Brandon Belt 2B Daniel Murphy 3B Ryan Zimmerman SS Chris Owings OF Matt Joyce OF Bryce Harper OF Adam Eaton",NA,"Giancarlo Stanton","9.04%",0
28,718663959,"TinkyTyler (31/58)",0,157.65,"P Chris Sale P Tanner Roark C Manny Piña 1B Travis Shaw 2B Brandon Drury 3B Jake Lamb SS Jonathan Villar OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"J.T. Realmuto","8.99%",23
29,717992211,"petteytheft89 (48/60)",0,157.05,"P Jacob deGrom P Danny Salazar C Roberto Pérez 1B Edwin Encarnación 2B Jean Segura 3B Ryan Zimmerman SS Francisco Lindor OF Brandon Guyer OF Eric Thames OF José Ramírez",NA,"Chris Owings","8.70%",26
30,718003477,"windchimesRrude (42/50)",0,156.7,"P Chris Sale P Danny Salazar C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF Gorkys Hernández OF A.J. Pollock",NA,"Yasmany Tomás","8.67%",10
31,718133744,"suidmach (65/150)",0,155.7,"P Michael Pineda P Rich Hill C J.T. Realmuto 1B Brandon Belt 2B José Altuve 3B Travis Shaw SS Chris Owings OF George Springer OF Yasmany Tomás OF Andrew Toles",NA,"Corey Seager","8.60%",7
31,718493662,"TStubler10",0,155.7,"P J.A. Happ P Jameson Taillon C J.T. Realmuto 1B Buster Posey 2B Robinson Canó 3B Manny Machado SS Francisco Lindor OF Mike Trout OF Carlos González OF Bryce Harper",NA,"Yasmani Grandal","8.59%",0
33,718804638,"CAPTAINROMEO",0,155.65,"P Chris Sale P Cole Hamels C J.T. Realmuto 1B Travis Shaw 2B Daniel Murphy 3B Mark Reynolds SS Chris Owings OF Jackie Bradley Jr. OF Gerardo Parra OF Nick Markakis",NA,"Travis Shaw","8.47%",16
34,718595248,"TheHaba (51/100)",0,155,"P J.A. Happ P Rich Hill C Sandy León 1B Paul Goldschmidt 2B Dustin Pedroia 3B Jake Lamb SS Chris Owings OF Jackie Bradley Jr. OF Andrew Benintendi OF A.J. Pollock",NA,"Ryan Zimmerman","8.40%",18
35,718133814,"suidmach (135/150)",0,154.7,"P Chris Sale P Danny Salazar C J.T. Realmuto 1B Brandon Belt 2B José Altuve 3B Yunel Escobar SS Chris Owings OF Andrew Toles OF Bryce Harper OF Eric Thames",NA,"Mike Trout","8.31%",10
36,718078859,"scout326 (3/150)",0,154.65,"P Chris Sale P Charlie Morton C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Tyler Chatwood","8.02%",10.7
37,718003436,"windchimesRrude (1/50)",0,154.45,"P Chris Sale P Garrett Richards C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Derek Dietrich SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Dee Gordon","8.02%",12
38,718787710,"StealthFactor (67/75)",0,153.8,"P Chris Sale P Michael Pineda C Sandy León 1B Carlos Santana 2B Dustin Pedroia 3B Yandy Díaz SS Francisco Lindor OF Chris Young OF Jackie Bradley Jr. OF Brandon Guyer",NA,"Trevor Story","7.91%",7
39,718871598,"Lunacy3 (59/76)",0,153.2,"P Chris Sale P Wily Peralta C J.T. Realmuto 1B Paul Goldschmidt 2B Daniel Murphy 3B Justin Turner SS Yunel Escobar OF A.J. Pollock OF Bryce Harper OF Adam Eaton",NA,"DJ LeMahieu","7.79%",4
40,718199195,"CoryFF",0,152.9,"P Chris Sale P Brandon Finnegan C Matt Wieters 1B Adrián González 2B Neil Walker 3B Manny Machado SS Corey Seager OF Steven Souza Jr. OF Corey Dickerson OF George Springer",NA,"Garrett Richards","7.57%",16.1
41,718865517,"Primal1 (11/20)",0,152.45,"P Chris Sale P Garrett Richards C Buster Posey 1B Brandon Belt 2B Logan Forsythe 3B Mark Reynolds SS Francisco Lindor OF Charlie Blackmon OF Hunter Pence OF Gorkys Hernández",NA,"Brandon Drury","7.12%",7
42,718566546,"XOStars",0,152.05,"P Dylan Bundy P Jacob deGrom C Matt Wieters 1B Lucas Duda 2B Daniel Murphy 3B Jonathan Villar SS Asdrúbal Cabrera OF Jay Bruce OF Bryce Harper OF Adam Eaton",NA,"Andrew Benintendi","6.94%",3
42,718833206,"A_playa_named_gus (2/112)",0,152.05,"P Chris Sale P Tyler Chatwood C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"James Paxton","6.80%",21.7
44,718354970,"ChipotleAddict (47/150)",0,151.8,"P Chris Sale P Michael Pineda C Chris Iannetta 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF A.J. Pollock OF Yasmany Tomás",NA,"Ryan Braun","6.51%",9
45,718314345,"Awesemo (141/150)",0,151.4,"P Jacob deGrom P James Paxton C J.T. Realmuto 1B Brandon Belt 2B Dee Gordon 3B Jonathan Villar SS Eduardo Núñez OF Hunter Pence OF Gorkys Hernández OF Giancarlo Stanton",NA,"Robinson Canó","6.44%",2
46,718663951,"TinkyTyler (23/58)",0,151.1,"P J.A. Happ P Chris Sale C Chris Iannetta 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Orlando Arcia OF Ryan Braun OF A.J. Pollock OF Chris Owings",NA,"Curtis Granderson","6.41%",0
47,718078928,"scout326 (72/150)",0,150.65,"P Chris Sale P Charlie Morton C Matt Wieters 1B Travis Shaw 2B Anthony Rendón 3B Ryan Zimmerman SS Jonathan Villar OF Ryan Braun OF Bryce Harper OF Eric Thames",NA,"Chris Iannetta","6.29%",5
48,718518987,"forcewithme (28/39)",0,150.55,"P Wily Peralta P Jacob deGrom C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Brandon Crawford OF Hunter Pence OF Bryce Harper OF Adam Eaton",NA,"Mark Reynolds","6.29%",10
49,718871571,"Lunacy3 (32/76)",0,150.2,"P Chris Sale P Wily Peralta C Stephen Vogt 1B Adrián González 2B Daniel Murphy 3B Justin Turner SS Chris Owings OF Mike Trout OF Bryce Harper OF Adam Eaton",NA,"Matt Joyce","6.19%",3
49,718871606,"Lunacy3 (67/76)",0,150.2,"P Chris Sale P Wily Peralta C Gary Sánchez 1B Mark Trumbo 2B Daniel Murphy 3B Justin Turner SS Francisco Lindor OF Matt Joyce OF Bryce Harper OF Adam Eaton",NA,"Anthony Rendón","6.02%",0
51,718273615,"chubbsta",0,150.05,"P J.A. Happ P Tanner Roark C Matt Wieters 1B Wil Myers 2B Dustin Pedroia 3B Evan Longoria SS Francisco Lindor OF José Bautista OF Ryan Braun OF Bryce Harper",NA,"Justin Turner","5.92%",13
51,718850300,"stmwizkid40 (11/11)",0,150.05,"P Chris Sale P James Paxton C Buster Posey 1B Paul Goldschmidt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Yasmany Tomás OF Chris Owings",NA,"Joc Pederson","5.75%",2
53,718355032,"ChipotleAddict (109/150)",0,149.8,"P Chris Sale P Michael Pineda C Chris Iannetta 1B Brandon Belt 2B Dee Gordon 3B Eduardo Núñez SS Brandon Crawford OF Jay Bruce OF Hunter Pence OF Eric Thames",NA,"Dustin Pedroia","5.75%",5
54,718003452,"windchimesRrude (17/50)",0,149.7,"P Chris Sale P Danny Salazar C J.T. Realmuto 1B Justin Bour 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Logan Forsythe","5.73%",0
55,718117774,"MoneyRamirez (1/7)",0,149.6,"P Danny Salazar P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF Hunter Pence OF Yasmany Tomás OF Chris Owings",NA,"Yoenis Céspedes","5.70%",5
56,718833273,"A_playa_named_gus (69/112)",0,149.45,"P Chris Sale P Garrett Richards C Roberto Pérez 1B Carlos Santana 2B Rougned Odor 3B José Ramírez SS Francisco Lindor OF Shin-soo Choo OF Brandon Guyer OF Nomar Mazara",NA,"Mark Trumbo","5.68%",0
57,718787664,"StealthFactor (21/75)",0,149.15,"P Michael Pineda P Jacob deGrom C Chris Iannetta 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Jonathan Villar OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"Adrián González","5.66%",11
58,718871604,"Lunacy3 (65/76)",0,149.1,"P Wily Peralta P Rich Hill C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Justin Turner SS Brandon Crawford OF A.J. Pollock OF Bryce Harper OF Adam Eaton",NA,"Manny Machado","5.63%",3
58,718871612,"Lunacy3 (73/76)",0,149.1,"P Wily Peralta P Rich Hill C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Justin Turner SS Corey Seager OF Kole Calhoun OF A.J. Pollock OF Bryce Harper",NA,"Asdrúbal Cabrera","5.63%",2
60,718510983,"forcewithme (16/39)",0,149.05,"P Chris Sale P James Paxton C Buster Posey 1B Brandon Belt 2B Rougned Odor 3B Eduardo Núñez SS Brandon Crawford OF Carlos Gómez OF Nomar Mazara OF Hunter Pence",NA,"Jake Lamb","5.36%",7
61,718079006,"scout326 (150/150)",0,149,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Eric Thames OF Hernán Pérez",NA,"Matt Wieters","5.32%",17
62,718355045,"ChipotleAddict (122/150)",0,148.8,"P Chris Sale P Michael Pineda C Matt Wieters 1B Brandon Belt 2B Daniel Murphy 3B Ryan Zimmerman SS Eduardo Núñez OF Kirk Nieuwenhuis OF Hunter Pence OF Eric Thames",NA,"Adam Eaton","5.29%",11
63,718333871,"tomjk321 (7/150)",0,148.7,"P Michael Pineda P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"Josh Donaldson","5.13%",3
63,718599191,"tomjk321 (145/150)",0,148.7,"P Michael Pineda P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"Xander Bogaerts","5.08%",0
65,718433254,"juanshen (65/150)",0,148.45,"P Alex Cobb P Jacob deGrom C Roberto Pérez 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Francisco Lindor OF Brandon Guyer OF A.J. Pollock OF Yasmany Tomás",NA,"Brett Gardner","5.05%",5
65,718755092,"dhornsey",0,148.45,"P J.A. Happ P Taijuan Walker C Evan Gattis 1B Chris Davis 2B Rougned Odor 3B Joey Gallo SS Francisco Lindor OF Mike Trout OF Giancarlo Stanton OF Bryce Harper",NA,"José Reyes","5.03%",0
67,718314290,"Awesemo (86/150)",0,148.4,"P Jacob deGrom P James Paxton C Manny Piña 1B Brandon Belt 2B Daniel Murphy 3B Hernán Pérez SS Jonathan Villar OF Ryan Braun OF A.J. Pollock OF Eric Thames",NA,"Justin Bour","5.02%",2
68,718506128,"jjwd (69/150)",0,147.95,"P Jacob deGrom P Rich Hill C J.T. Realmuto 1B Justin Bour 2B Dee Gordon 3B Jake Lamb SS Nick Ahmed OF A.J. Pollock OF Marcell Ozuna OF Chris Owings",NA,"Joe Panik","5.00%",5
69,718355034,"ChipotleAddict (111/150)",0,147.9,"P Chris Sale P Brandon Finnegan C Evan Gattis 1B Brandon Belt 2B Ryan Schimpf 3B Eduardo Núñez SS Brandon Crawford OF Charlie Blackmon OF Hunter Pence OF Adam Duvall",NA,"José Altuve","4.66%",0
70,718868457,"nicknc22 (8/20)",0,147.65,"P Jameson Taillon P Jacob deGrom C Yasmani Grandal 1B Carlos Santana 2B Logan Forsythe 3B Travis Shaw SS Francisco Lindor OF Carlos Gómez OF A.J. Pollock OF José Ramírez",NA,"Jay Bruce","4.27%",22
71,718429494,"Snoopaloop55",0,147.05,"P Chris Sale P James Paxton C Stephen Vogt 1B Joey Votto 2B Devon Travis 3B Evan Longoria SS Francisco Lindor OF Corey Dickerson OF Rajai Davis OF Billy Hamilton",NA,"Kyle Seager","4.15%",8
71,718711841,"sportsart (6/22)",0,147.05,"P Chris Sale P Jacob deGrom C Derek Norris 1B Edwin Encarnación 2B Tim Beckham 3B José Ramírez SS Francisco Lindor OF Matt Joyce OF Jay Bruce OF Brandon Guyer",NA,"Kirk Nieuwenhuis","4.13%",0
71,718746922,"marques5450 (2/3)",0,147.05,"P Chris Sale P Bartolo Colón C Sandy León 1B Travis Shaw 2B Rougned Odor 3B Justin Turner SS Trea Turner OF Jackie Bradley Jr. OF Andrew Benintendi OF Jay Bruce",NA,"Starlin Castro","4.11%",0
74,718025309,"youdacao (35/150)",0,146.8,"P Chris Sale P Michael Pineda C Buster Posey 1B Brandon Belt 2B Jed Lowrie 3B Eduardo Núñez SS Brandon Crawford OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Tanner Roark","4.01%",21.3
74,718355037,"ChipotleAddict (114/150)",0,146.8,"P Chris Sale P Michael Pineda C J.T. Realmuto 1B Brandon Belt 2B Dee Gordon 3B Travis Shaw SS Eduardo Núñez OF Jarrett Parker OF Eric Thames OF Hernán Pérez",NA,"Francisco Lindor","4.00%",46
74,718440824,"ehafner (7/150)",0,146.8,"P Chris Sale P Michael Pineda C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF Gorkys Hernández OF A.J. Pollock",NA,"Christian Yelich","3.94%",8
77,718133781,"suidmach (102/150)",0,146.7,"P Chris Sale P Danny Salazar C Buster Posey 1B Brandon Belt 2B Robinson Canó 3B Kyle Seager SS Chris Owings OF Corey Dickerson OF Kevin Kiermaier OF Yasmany Tomás",NA,"Hanley Ramírez","3.94%",5
77,718640753,"mrtracyc",0,146.7,"P Jerad Eickhoff P Tanner Roark C Gary Sánchez 1B Buster Posey 2B Dustin Pedroia 3B Evan Longoria SS Francisco Lindor OF Jackie Bradley Jr. OF Adam Eaton OF Chris Davis",NA,"Tony Wolters","3.93%",0
79,718663949,"TinkyTyler (21/58)",0,146.45,"P Chris Sale P Garrett Richards C Manny Piña 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Jonathan Villar OF A.J. Pollock OF Hernán Pérez OF Chris Owings",NA,"Matt Holliday","3.84%",3
80,718779606,"FinnsterPuP",0,146.3,"P Chris Sale P Jameson Taillon C Travis d'Arnaud 1B Carlos Santana 2B Rougned Odor 3B Adonis Garcia SS Francisco Lindor OF Jacoby Ellsbury OF Charlie Blackmon OF Mark Trumbo",NA,"Jharel Cotton","3.71%",1.75
81,718078990,"scout326 (134/150)",0,146.15,"P Michael Pineda P Jacob deGrom C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF Gorkys Hernández OF Eric Thames",NA,"Joey Rickard","3.59%",0
81,718440954,"ehafner (137/150)",0,146.15,"P Michael Pineda P Jacob deGrom C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF Gorkys Hernández OF Eric Thames",NA,"Jarrett Parker","3.59%",0
83,718078864,"scout326 (8/150)",0,146.05,"P Chris Sale P Jacob deGrom C Chris Iannetta 1B Eric Thames 2B Brandon Drury 3B Travis Shaw SS Chris Owings OF Kirk Nieuwenhuis OF A.J. Pollock OF Hernán Pérez",NA,"Gerardo Parra","3.57%",5
84,718078982,"scout326 (126/150)",0,146,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Bryce Harper OF Eric Thames",NA,"Yunel Escobar","3.50%",4
84,718354930,"ChipotleAddict (7/150)",0,146,"P Michael Pineda P Brandon Finnegan C Matt Wieters 1B Eric Thames 2B Daniel Murphy 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Bryce Harper OF Trea Turner",NA,"Corey Dickerson","3.45%",19
84,718355031,"ChipotleAddict (108/150)",0,146,"P Michael Pineda P Brandon Finnegan C Evan Gattis 1B Paul Goldschmidt 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Charlie Blackmon OF Eric Thames",NA,"José Peraza","3.40%",0
84,718864395,"cjbeast1",0,146,"P Jacob deGrom P Charlie Morton C Yasmani Grandal 1B Paul Goldschmidt 2B Neil Walker 3B Manny Machado SS Francisco Lindor OF Jay Bruce OF A.J. Pollock OF Yasmany Tomás",NA,"José Ramírez","3.37%",7
88,718355007,"ChipotleAddict (84/150)",0,145.9,"P Chris Sale P Brandon Finnegan C Matt Wieters 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Brandon Crawford OF Jarrett Parker OF Adam Eaton OF Trea Turner",NA,"Nelson Cruz","3.33%",7
88,718355057,"ChipotleAddict (134/150)",0,145.9,"P Chris Sale P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Trevor Story OF Kevin Kiermaier OF Hunter Pence OF Jarrett Parker",NA,"Cole Hamels","3.30%",11.3
90,718833287,"A_playa_named_gus (83/112)",0,145.8,"P Garrett Richards P Jacob deGrom C J.T. Realmuto 1B Justin Bour 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Christian Yelich OF Eric Thames",NA,"Jean Segura","3.18%",19
90,718868455,"nicknc22 (6/20)",0,145.8,"P Dylan Bundy P Michael Pineda C Gary Sánchez 1B Carlos Santana 2B Dee Gordon 3B Jake Lamb SS Francisco Lindor OF Carlos Gómez OF A.J. Pollock OF José Ramírez",NA,"Brad Miller","3.16%",0
92,717938613,"ocdobv (51/75)",0,145.65,"P Chris Sale P Charlie Morton C J.T. Realmuto 1B Eric Thames 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Yasmany Tomás OF Giancarlo Stanton OF Christian Yelich",NA,"Jacoby Ellsbury","3.09%",20
93,718228906,"DukeofDeathPA",0,145.4,"P Jacob deGrom P Taijuan Walker C J.T. Realmuto 1B Adrián González 2B Dee Gordon 3B Alex Bregman SS Brad Miller OF Corey Dickerson OF Charlie Blackmon OF George Springer",NA,"Matt Moore","3.08%",6
94,718261869,"Zeechamp (8/20)",0,145.1,"P J.A. Happ P Danny Salazar C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Brandon Crawford OF Mike Trout OF Hunter Pence OF Bryce Harper",NA,"Hernán Pérez","3.06%",7
95,718506133,"jjwd (74/150)",0,145.05,"P Chris Sale P Jacob deGrom C J.T. Realmuto 1B Justin Bour 2B Derek Dietrich 3B Jake Lamb SS Nick Ahmed OF A.J. Pollock OF Christian Yelich OF Chris Owings",NA,"José Bautista","3.04%",3
96,718261544,"ARaven52 (6/150)",0,145,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF José Ramírez",NA,"Welington Castillo","2.98%",3
96,718374518,"ARaven52 (7/150)",0,145,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF José Ramírez",NA,"Derek Dietrich","2.96%",4
96,718374534,"ARaven52 (14/150)",0,145,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF José Ramírez",NA,"Brandon Guyer","2.94%",2
96,718374557,"ARaven52 (21/150)",0,145,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF José Ramírez",NA,"Travis d'Arnaud","2.84%",3
