"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"OF","Matt Szczur",2800,"ChC@StL 08:35PM ET",3.222,"ChC"
"OF","Harrison Bader",2800,"ChC@StL 08:35PM ET",0,"StL"
"C","Derek Norris",2800,"NYY@TB 01:10PM ET",5.376,"TB"
"OF","Aaron Hicks",2800,"NYY@TB 01:10PM ET",4.073,"NYY"
"3B","Conor Gillaspie",2800,"SF@Ari 04:10PM ET",3.877,"SF"
"1B/OF","Jose Martinez",2700,"ChC@StL 08:35PM ET",3.083,"StL"
"2B/3B","Tommy La Stella",2700,"ChC@StL 08:35PM ET",3.453,"ChC"
"3B/SS","Greg Garcia",2600,"ChC@StL 08:35PM ET",4.090,"StL"
"SS","Gleyber Torres",2600,"NYY@TB 01:10PM ET",0,"NYY"
"C","Oscar Hernandez",2600,"SF@Ari 04:10PM ET",4.250,"Ari"
"C","Austin Romine",2500,"NYY@TB 01:10PM ET",4.435,"NYY"
"C","Curt Casali",2500,"NYY@TB 01:10PM ET",4.190,"TB"
"C","Chris Iannetta",2500,"SF@Ari 04:10PM ET",4.649,"Ari"
"C","Trevor Brown",2500,"SF@Ari 04:10PM ET",3.500,"SF"
"C","Carson Kelly",2400,"ChC@StL 08:35PM ET",1.400,"StL"
"3B/SS","Ronald Torreyes",2400,"NYY@TB 01:10PM ET",3.569,"NYY"
"SS","Daniel Robertson",2400,"NYY@TB 01:10PM ET",0,"TB"
"2B/SS","Daniel Descalso",2400,"SF@Ari 04:10PM ET",5.303,"Ari"
"C","Eric Fryer",2300,"ChC@StL 08:35PM ET",3.267,"StL"
"C","Luke Maile",2300,"NYY@TB 01:10PM ET",4.143,"TB"
"SS","Nick Ahmed",2300,"SF@Ari 04:10PM ET",4.356,"Ari"
"OF","Eloy Jimenez",2100,"ChC@StL 08:35PM ET",0,"ChC"
"C","Jeff Mathis",2100,"SF@Ari 04:10PM ET",4.415,"Ari"
