id,last_name,first_name,team,position,opponent,games,innings,singles,doubles,triples,home_runs,walks,strikeouts,runs,earned_runs,opp_ba,cg,qs,wins,losses,saves,blown_saves,holds,hbp,outs,odds,weather,injury, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
5561,Duensing,Brian,CHC,RP,MIA,1.00,0.20,0.14,0.04,0.01,0.02,0.05,0.16,0.09,0.08,0.29,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5456,Young,Chris,KC,SP,HOU,1.00,0.30,0.20,0.07,0.01,0.05,0.12,0.19,0.20,0.19,0.27,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,+1.5 (-140) (o/u 10.0) (+124),71 I CF 5-7 5% H61%outdoor,,5500,25,5000,0,0,0,0,0,0,P,P,SP,,,,,,,0,
3185,McGowan,Dustin,MIA,RP,@ CHC,1.00,0.20,0.09,0.04,0.01,0.02,0.12,0.17,0.11,0.10,0.23,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5900,Wood,Travis,KC,RP,HOU,1.00,0.25,0.19,0.06,0.01,0.03,0.09,0.16,0.14,0.13,0.28,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.74,+1.5 (-140) (o/u 10.0) (+124),71 I CF 5-7 5% H61%outdoor,,5500,25,4400,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8322,Buchanan,Jake,CIN,RP,STL,1.00,0.20,0.13,0.05,0.01,0.02,0.06,0.16,0.10,0.10,0.30,0.000,0.000,0.00,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8461,Morgan,Adam,PHI,SP,@ ATL,1.00,0.20,0.19,0.04,0.01,0.03,0.05,0.15,0.11,0.10,0.39,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,5500,0,5500,0,0,0,0,0,0,P,,SP,,,,,,,0,
9981,Garcia,Jarlin,MIA,RP,@ CHC,1.00,0.20,0.12,0.04,0.00,0.04,0.10,0.13,0.14,0.12,0.30,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4400,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10796,McCarthy,Kevin,KC,RP,HOU,1.00,0.20,0.17,0.05,0.01,0.03,0.07,0.11,0.12,0.11,0.31,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-140) (o/u 10.0) (+124),71 I CF 5-7 5% H61%outdoor,,5500,25,4000,0,0,0,0,0,0,P,P,RP,,,,,,,0,
4392,Samardzija,Jeff,SF,SP,@ MIL,1.00,7.67,4.00,2.00,0.00,0.00,0.00,10.00,2.00,1.00,0.22,0.000,1.000,1.00,0.00,0.00,0.00,0.00,0.000,23.00,-1.5 (+120) (o/u 8.0) (-126),56 N RL 7-13 3% H62% retractable,,8900,43,8900,0,0,0,0,0,0,P,P,SP,,,,,,,0,
9854,Manaea,Sean,OAK,SP,TOR,1.00,6.00,1.00,3.00,0.00,0.00,3.00,7.00,2.00,2.00,0.19,0.000,1.000,1.00,0.00,0.00,0.00,0.00,0.000,18.00,+1.5 (-175) (o/u 8.0) (-110),56 N RL 8-11 8% H83%outdoor,Probable,7700,41,7800,0,0,0,0,0,0,P,P,SP,,,,,,,0,
9123,Butler,Eddie,CHC,SP,MIA,1.00,5.67,0.00,3.00,0.00,0.00,1.00,4.00,1.00,1.00,0.16,0.000,0.000,1.00,0.00,0.00,0.00,0.00,0.000,17.00,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,7000,30,5400,0,0,0,0,0,0,P,P,SP,,,,,,,0,
1818,Gonzalez,Gio,WAS,SP,@ LAD,1.00,6.00,3.00,1.00,0.00,0.00,2.00,5.00,2.00,2.00,0.19,0.000,1.000,1.00,0.00,0.00,0.00,0.00,0.000,18.00,+1.5 (-175) (o/u 8.5) (+125),63 O CF 1-2 6% H84%outdoor,,8700,34,8000,0,0,0,0,0,0,P,P,SP,,,,,,,0,
8355,Martinez,Carlos,STL,SP,@ CIN,1.00,6.33,3.00,1.00,0.00,0.00,2.00,8.00,4.00,4.00,0.20,0.000,0.000,0.00,1.00,0.00,0.00,0.00,0.000,19.00,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,10000,49,12500,0,0,0,0,0,0,P,P,SP,,,,,,,0,
8384,Straily,Dan,MIA,SP,@ CHC,1.00,7.00,3.00,1.00,0.00,2.00,0.00,5.00,3.00,3.00,0.23,0.000,1.000,0.00,1.00,0.00,0.00,0.00,0.000,21.00,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,Questionable,8500,39,9100,0,0,0,0,0,0,P,P,SP,,,,,,,0,
