"id","last_name","first_name","team","position","opponent","games","pa","ab","singles","doubles","triples","home_runs","walks","strikeouts","sb","cs","runs","rbi","hbp","sac_flies","gidp","errors","outs","matchup","odds","weather","injury","bvp","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
5515,"Alonso","Yonder","OAK","1B","@ SEA",1,4.24,3.79,0.71,0.24,0.01,0.09,0.42,0.67,0.02,0.01,0.46,0.53,0,0.03,0,0.05,2.7,"@SEA (Gallardo R) L Ord 4","+1.5 (-192) (o/u 8.0) (+106)","49 N RL 9-10 90% H88% retractable","","25ab .400/.400/.680 0sb 1hr",3800,21,4100,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
6239,"Crawford","Brandon","SF","SS","LAD",1,4.17,3.79,0.63,0.22,0.06,0.1,0.32,0.78,0.03,0.01,0.48,0.52,0,0.05,0,0.11,2.79,"LAD (McCarthy R) L Ord 5","","54 O CF 12-22 16% H75%outdoor","","11ab .455/.500/.909 0sb 0hr",2800,10,3400,0,0,0,0,0,0,"SS","SS","SS","SS;DH",NA,NA,NA,NA,NA,0,NA
10217,"Healy","Ryon","OAK","1B/3B","@ SEA",1,4.13,3.91,0.67,0.25,0.01,0.15,0.2,0.98,0.01,0.01,0.44,0.49,0,0.02,0,0.12,2.79,"@SEA (Gallardo R) R Ord 5","+1.5 (-192) (o/u 8.0) (+106)","49 N RL 9-10 90% H88% retractable","","2ab .000/.000/.000 0sb 0hr",3400,14,3500,0,0,0,0,0,0,"1B","3B","1B;3B","1B;3B;DH",NA,NA,NA,NA,NA,0,NA
8651,"Travis","Devon","TOR","2B","ATL",1,4.03,3.8,0.67,0.28,0.01,0.11,0.22,0.72,0.07,0.03,0.43,0.45,0,0.02,0,0.11,2.72,"ATL (Colon R) R Ord 6","-1.5 (+161) (o/u 9.0) (-132)","49 O RF 4-11 9% H78% retractable","","",2600,10,3700,0,0,0,0,0,0,"2B","2B","2B","2B;DH",NA,NA,NA,NA,NA,0,NA
6247,"Owings","Chris","ARI","SS/OF","NYM",1,3.99,3.76,0.67,0.21,0.07,0.06,0.22,0.88,0.19,0.04,0.38,0.43,0,0.02,0,0.08,2.76,"NYM (Wheeler R) R Ord 7","-1.5 (+182) (o/u 9.5) (-111)","71 N LR 7-14 0% H25% retractable","","",3200,17,3900,0,0,0,0,0,0,"SS","SS","SS;OF","SS;DH;OF",NA,NA,NA,NA,NA,0,NA
8378,"Puig","Yasiel","LAD","OF","@ SF",1,3.97,3.61,0.61,0.19,0.05,0.13,0.34,0.76,0.09,0.05,0.37,0.38,0,0.02,0,0,2.63,"@SF (Cain R) R Ord 8","","54 O CF 12-22 16% H75%outdoor","","11ab .364/.417/.818 0sb 1hr",2800,11,4100,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
6305,"Garcia","Avisail","CHW","OF","@ LAA",1,4.29,4.02,0.79,0.15,0.02,0.12,0.24,1.11,0.03,0.03,0.46,0.53,0,0.03,0,0.03,2.94,"@LAA (Chavez R) R Ord 4","+1.5 (-131) (o/u 8.5) (+156)","60 O CF 2-8 6% H68%outdoor","","3ab 1.000/1.000/1.333 0sb 0hr",3400,16,3700,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
8286,"Schimpf","Ryan","SD","3B","MIL",1,4.01,3.42,0.29,0.17,0.03,0.22,0.54,1.14,0.01,0.01,0.44,0.45,0,0.05,0,0.07,2.72,"MIL (Anderson R) L Ord 5","-1.5 (+182) (o/u 7.5) (-115)","60 N LR 6-11 43% H67%outdoor","","",3300,13,3800,0,0,0,0,0,0,"2B","3B","3B","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
6027,"Morrison","Logan","TB","1B","@ CLE",1,4.25,3.84,0.57,0.17,0.01,0.15,0.39,0.92,0.03,0.02,0.46,0.52,0,0.02,0,0.04,2.93,"@CLE (Carrasco R) L Ord 4","+1.5 (-153) (o/u 7.5) (+141)","55 O LF 2-6 4% H56%outdoor","","3ab .333/.333/.333 0sb 0hr",3200,14,3700,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
2922,"Lowrie","Jed","OAK","2B","@ SEA",1,4.45,4.02,0.75,0.24,0.01,0.08,0.39,0.8,0.01,0.01,0.53,0.43,0,0.05,0,0.09,2.92,"@SEA (Gallardo R) S Ord 2","+1.5 (-192) (o/u 8.0) (+106)","49 N RL 9-10 90% H88% retractable","","12ab .250/.400/.250 0sb 0hr",2900,14,3600,0,0,0,0,0,0,"2B","2B","2B","2B;DH",NA,NA,NA,NA,NA,0,NA
6199,"Gordon","Dee","MIA","2B","HOU",1,3.83,3.63,0.84,0.13,0.06,0.01,0.18,0.57,0.35,0.09,0.31,0.31,0,0.02,0,0.11,2.59,"HOU (Musgrove R) L Ord 8","+1.5 (-159) (o/u 9.0) (+108)","79 I RF 5-9 39% H80% retractable","","",3200,13,4100,0,0,0,0,0,0,"2B","2B","2B","2B;DH",NA,NA,NA,NA,NA,0,NA
7896,"Drury","Brandon","ARI","2B","NYM",1,4.1,3.81,0.67,0.26,0.02,0.1,0.27,0.8,0.02,0.02,0.46,0.5,0,0.02,0,0.04,2.76,"NYM (Wheeler R) R Ord 6","-1.5 (+182) (o/u 9.5) (-111)","71 N LR 7-14 0% H25% retractable","","",3000,16,3500,0,0,0,0,0,0,"2B","2B","2B","2B;DH;OF",NA,NA,NA,NA,NA,0,NA
7697,"Bandy","Jett","MIL","C","@ SD",1,4.1,3.85,0.6,0.19,0,0.18,0.19,0.88,0.03,0.01,0.47,0.48,0,0.06,0,0.06,2.89,"@SD (Perdomo R) R Ord 6","+1.5 (-199) (o/u 7.5) (+106)","60 N LR 6-11 43% H67%outdoor","","",2600,13,3300,0,0,0,0,0,0,"C","C","C","C;DH",NA,NA,NA,NA,NA,0,NA
6204,"Chisenhall","Lonnie","CLE","OF","TB",1,4.16,3.83,0.64,0.25,0.02,0.1,0.3,0.82,0.05,0.01,0.43,0.43,0,0.03,0,0.09,2.82,"TB (Archer R) L Ord 7","-1.5 (+141) (o/u 7.5) (-153)","55 O LF 2-6 4% H56%outdoor","","9ab .111/.111/.222 0sb 0hr",2500,9,3200,0,0,0,0,0,0,"OF","OF","OF","3B;DH;OF",NA,NA,NA,NA,NA,0,NA
11386,"Gurriel","Yulieski","HOU","1B","@ MIA",1,4.21,3.92,0.65,0.26,0.01,0.12,0.27,0.72,0.03,0.02,0.42,0.43,0,0.02,0,0.03,2.88,"@MIA (Straily R) R Ord 7","-1.5 (+146) (o/u 9.0) (-117)","79 I RF 5-9 39% H80% retractable","","",2400,12,3100,0,0,0,0,0,0,"1B","1B","1B","1B;3B;DH",NA,NA,NA,NA,NA,0,NA
