"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Rafael Martin",4000,"Mia@Was 01:05PM ET",1.956,"Was"
"RP","Matt Grace",4000,"Mia@Was 01:05PM ET",2.358,"Was"
"RP","Blake Treinen",4000,"Mia@Was 01:05PM ET",2.898,"Was"
"RP","Severino Gonzalez",4000,"Mia@Was 01:05PM ET",2.811,"Mia"
"RP","Jarlin Garcia",4000,"Mia@Was 01:05PM ET",0,"Mia"
"RP","Kyle Barraclough",4000,"Mia@Was 01:05PM ET",4.172,"Mia"
"RP","Trevor Gott",4000,"Mia@Was 01:05PM ET",1.944,"Was"
"RP","Nick Wittgren",4000,"Mia@Was 01:05PM ET",2.993,"Mia"
"RP","Brian Ellington",4000,"Mia@Was 01:05PM ET",3.414,"Mia"
"RP","Odrisamer Despaigne",4000,"Mia@Was 01:05PM ET",1.603,"Mia"
"RP","Koda Glover",4000,"Mia@Was 01:05PM ET",2.550,"Was"
"OF","Lorenzo Cain",3900,"KC@Min 04:10PM ET",7.845,"KC"
"OF","Melky Cabrera",3900,"Det@CWS 04:10PM ET",7.553,"CWS"
"C","Russell Martin",3900,"Tor@Bal 03:05PM ET",6.429,"Tor"
"2B/3B","Jonathan Schoop",3900,"Tor@Bal 03:05PM ET",6.988,"Bal"
"OF","Keon Broxton",3900,"Col@Mil 02:10PM ET",6.920,"Mil"
"1B","Freddie Freeman",3900,"Atl@NYM 01:10PM ET",9.506,"Atl"
"2B/3B","Anthony Rendon",3900,"Mia@Was 01:05PM ET",7.882,"Was"
"1B/2B","Steve Pearce",3800,"Tor@Bal 03:05PM ET",6.635,"Tor"
"OF","Kevin Pillar",3800,"Tor@Bal 03:05PM ET",6.115,"Tor"
"2B","Josh Harrison",3800,"Pit@Bos 02:05PM ET",6.818,"Pit"
"1B/OF","Eric Thames",3800,"Col@Mil 02:10PM ET",0,"Mil"
"OF","Gerardo Parra",3800,"Col@Mil 02:10PM ET",5.971,"Col"
"OF","Domingo Santana",3800,"Col@Mil 02:10PM ET",6.300,"Mil"
"2B","Cesar Hernandez",3800,"Phi@Cin 04:10PM ET",6.673,"Phi"
"OF","Michael Saunders",3800,"Phi@Cin 04:10PM ET",7.074,"Phi"
"1B","Adrian Gonzalez",3800,"SD@LAD 04:10PM ET",7.048,"LAD"
"1B/OF","Wil Myers",3800,"SD@LAD 04:10PM ET",8.862,"SD"
"1B","Eric Hosmer",3700,"KC@Min 04:10PM ET",7.722,"KC"
"OF","Max Kepler",3700,"KC@Min 04:10PM ET",7.062,"Min"
"C","Welington Castillo",3700,"Tor@Bal 03:05PM ET",6.765,"Bal"
"OF","Melvin Upton Jr.",3700,"Tor@Bal 03:05PM ET",6.456,"Tor"
"3B","Pablo Sandoval",3700,"Pit@Bos 02:05PM ET",0.667,"Bos"
