Name_Team,2017-04-02,2017-04-03,2017-04-04
Matt Shoemaker_LAA,NA,NA,11.05
Jake Odorizzi_TB,NA,NA,8.1
Hisashi Iwakuma_SEA,NA,NA,9.3
Sean Manaea_OAK,NA,NA,8.7
Adam Wainwright_STL,NA,NA,16.25
CC Sabathia_NYY,NA,NA,16.25
Zach Davies_MIL,NA,NA,-8.05
Tyler Anderson_COL,NA,NA,17.35
Martin Perez_TEX,NA,NA,10.1
Clayton Richard_SD,NA,NA,27.8
Patrick Corbin_ARI,NA,NA,1.6
Evan Gattis_HOU,NA,NA,2.0
Brandon Guyer_CLE,NA,NA,5.0
Jesus Aguilar_MIL,NA,NA,5.0
Franklin Gutierrez_LAD,NA,NA,3.0
Jefry Marte_LAA,NA,NA,9.0
Albert Almora_CHC,NA,NA,3.0
Robinson Chirinos_TEX,NA,NA,0.0
Austin Jackson_CLE,NA,NA,10.0
Marwin Gonzalez_HOU,NA,NA,14.0
Kolten Wong_STL,NA,NA,3.0
Ryan Rua_TEX,NA,NA,2.0
Gorkys Hernandez_SF,NA,NA,20.0
Peter Bourjos_TB,NA,NA,2.0
Chris Marrero_SF,NA,NA,2.0
Enrique Hernandez_LAD,NA,NA,2.0
Daniel Robertson_TB,NA,NA,0.0
Rickie Weeks_TB,NA,NA,0.0
Erick Aybar_SD,NA,NA,15.0
