"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
15,7,5100,44.8039215686274,22.85,"Wily Peralta","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,0,0,0,3,1,0
16,8,4100,54.6341463414634,22.4,"Chris Devenski","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,4,0,0,0,0,1,0
17,9,3600,61.1111111111111,22,"Jay Bruce","NYM",NA,"OF",6,1,1,1,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,9,6700,32.3880597014925,21.7,"Bartolo Colon","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,1,2,1,0
19,10,6900,31.4492753623188,21.7,"James Paxton","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,6,0,0,0,2,1,0
20,11,8200,25.9756097560976,21.3,"Tanner Roark","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,2,3,2,2
21,10,3700,56.7567567567568,21,"Matt Kemp","ATL",NA,"OF",4,0,0,2,0,5,0,3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,12,10800,18.75,20.25,"Rich Hill","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,0,0,1,2,3,0
23,11,3400,58.8235294117647,20,"Jacoby Ellsbury","NYY",NA,"OF",5,1,1,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,12,4200,47.6190476190476,20,"Miguel Sano","MIN",NA,"3B",5,2,0,3,0,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,13,7600,25.9868421052632,19.75,"Alex Cobb","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5.66666666666667,0,0,1,4,1,0
26,14,7400,26.2162162162162,19.4,"Jerad Eickhoff","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6.66666666666667,0,0,2,5,1,0
27,13,5000,38,19,"Brian Dozier","MIN",NA,"2B",1,1,0,1,2,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,14,3300,57.5757575757576,19,"Corey Dickerson","TB",NA,"OF",1,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,15,4400,43.1818181818182,19,"Jean Segura","SEA",NA,"SS",1,1,1,2,0,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,15,7500,24.9333333333333,18.7,"Taijuan Walker","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,0,0,4,7,1,0
31,16,3400,52.9411764705882,18,"Ryan Zimmerman","WAS",NA,"1B",5,2,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,16,8100,21.4197530864198,17.35,"Danny Salazar","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,5.66666666666667,0,0,4,5,4,0
33,17,4400,39.4318181818182,17.35,"Trevor Cahill","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5.66666666666667,0,0,2,5,3,1
34,18,5700,29.9122807017544,17.05,"Hector Santiago","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,0,0,1,4,2,1
35,17,3800,44.7368421052632,17,"Elvis Andrus","TEX",NA,"SS",9,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,18,3200,53.125,17,"Matt Wieters","WAS",NA,"C",8,0,0,2,0,3,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,19,3900,43.5897435897436,17,"Eric Thames","MIL",NA,"1B/OF",2,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,20,3800,44.7368421052632,17,"Yasiel Puig","LAD",NA,"OF",8,1,1,1,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,21,4600,36.9565217391304,17,"Jonathan Villar","MIL",NA,"2B",1,1,1,2,0,4,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,19,7100,22.6760563380282,16.1,"Garrett Richards","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4.66666666666667,0,0,0,3,1,0
41,22,4300,37.2093023255814,16,"Adam Jones","BAL",NA,"OF",2,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,23,3700,43.2432432432432,16,"Travis Shaw","MIL",NA,"3B",4,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,24,4100,36.5853658536585,15,"AJ Pollock","ARI",NA,"OF",1,1,0,1,0,5,1,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,25,4200,35.7142857142857,15,"Hunter Pence","SF",NA,"OF",3,1,0,1,0,5,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,26,4300,34.8837209302326,15,"Jackie Bradley","BOS",NA,"OF",7,1,0,0,1,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,27,4900,28.5714285714286,14,"Joey Votto","CIN",NA,"1B",3,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,28,3000,46.6666666666667,14,"Hunter Renfroe","SD",NA,"OF",4,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,29,2500,56,14,"Derek Norris","TB",NA,"C",9,1,0,2,1,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,30,3800,36.8421052631579,14,"Evan Gattis","HOU",NA,"C",7,2,0,0,0,5,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,31,4500,31.1111111111111,14,"Chris Davis","BAL",NA,"1B",5,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,20,4400,31.5909090909091,13.9,"Jim Johnson","ATL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,0,0,0,1,0,0
52,21,6100,21.8032786885246,13.3,"Charlie Morton","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,2,5,2,0
53,22,4800,27.6041666666667,13.25,"Adam Warren","NYY",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2.33333333333333,0,0,0,0,0,0
54,32,4000,32.5,13,"Eduardo Nunez","SF",NA,"3B/OF",6,1,0,0,1,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,33,4200,30.952380952381,13,"Justin Turner","LAD",NA,"3B",3,0,0,0,1,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,23,4200,30.4761904761905,12.8,"J.C. Ramirez","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2.66666666666667,0,0,0,2,0,0
57,34,2900,41.3793103448276,12,"Andrelton Simmons","LAA",NA,"SS",7,1,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,35,3200,37.5,12,"Nick Markakis","ATL",NA,"OF",5,1,0,0,0,5,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,36,5000,24,12,"Bryce Harper","WAS",NA,"OF",3,1,0,2,0,4,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,37,3000,40,12,"Jason Castro","MIN",NA,"C",6,2,0,0,0,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,38,3300,36.3636363636364,12,"Leonys Martin","SEA",NA,"OF",9,1,0,0,1,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,39,4200,28.5714285714286,12,"Dee Gordon","MIA",NA,"2B",1,1,0,0,1,4,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,24,8700,12.9885057471264,11.3,"Cole Hamels","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,3,5,1,1
64,40,3800,28.9473684210526,11,"Adrian Gonzalez","LAD",NA,"1B",4,1,0,1,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,41,4700,23.4042553191489,11,"Carlos Santana","CLE",NA,"1B",1,2,0,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,42,3600,30.5555555555556,11,"Kole Calhoun","LAA",NA,"OF",2,1,0,0,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,43,3600,30.5555555555556,11,"Mitch Haniger","SEA",NA,"OF",2,1,0,0,1,4,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,44,5000,22,11,"Paul Goldschmidt","ARI",NA,"1B",3,1,0,0,1,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,45,4400,25,11,"Adam Eaton","WAS",NA,"OF",2,2,0,0,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,25,5900,18.135593220339,10.7,"Tyler Chatwood","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,6,0,0,4,7,1,0
71,26,8600,12.1511627906977,10.45,"Ian Kennedy","KC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,0,0,3,3,5,0
72,46,3700,27.027027027027,10,"Mallex Smith","TB",NA,"OF",8,1,0,0,1,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,47,3600,27.7777777777778,10,"Marcell Ozuna","MIA",NA,"OF",6,0,0,2,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,48,5200,19.2307692307692,10,"Mike Trout","LAA",NA,"OF",3,0,0,1,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,49,4100,24.390243902439,10,"Buster Posey","SF",NA,"C/1B",4,1,0,0,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,50,3900,25.6410256410256,10,"Yasmany Tomas","ARI",NA,"OF",5,0,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,51,2900,34.4827586206897,10,"Chase Headley","NYY",NA,"3B",7,0,0,0,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,52,2900,34.4827586206897,10,"Yandy Diaz","CLE",NA,"3B/OF",6,2,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,53,4500,22.2222222222222,10,"Daniel Murphy","WAS",NA,"2B",4,1,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,54,3400,29.4117647058824,10,"Mark Reynolds","COL",NA,"1B",7,0,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,55,3500,28.5714285714286,10,"Justin Smoak","TOR",NA,"1B",8,1,0,0,0,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,27,6100,15.8196721311475,9.65,"Brad Peacock","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,0,1,0
83,56,4800,18.75,9,"Ryan Braun","MIL",NA,"OF",3,2,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,57,3300,27.2727272727273,9,"Jeremy Hazelbaker","ARI",NA,"OF",9,1,0,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,58,3100,29.0322580645161,9,"Adonis Garcia","ATL",NA,"3B",7,0,0,1,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,28,0,0,8.4,"Jose Torres","SD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.33333333333333,0,0,0,1,0,0
87,59,3400,23.5294117647059,8,"Zack Cozart","CIN",NA,"SS",7,0,0,1,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,60,3200,25,8,"Logan Morrison","TB",NA,"1B",6,1,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,61,3500,22.8571428571429,8,"Orlando Arcia","MIL",NA,"SS",8,0,0,0,0,3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,62,4200,19.047619047619,8,"Shin-Soo Choo","TEX",NA,"OF",2,2,0,0,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,63,4100,19.5121951219512,8,"Kyle Seager","SEA",NA,"3B",5,0,0,1,0,3,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,64,4300,18.6046511627907,8,"Christian Yelich","MIA",NA,"OF",3,1,0,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,65,3100,25.8064516129032,8,"Jarrod Dyson","SEA",NA,"OF",8,0,0,0,1,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,66,3400,23.5294117647059,8,"C.J. Cron","LAA",NA,"1B",5,1,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,67,4300,18.6046511627907,8,"Odubel Herrera","PHI",NA,"OF",3,0,0,0,1,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,29,4000,19.75,7.9,"Joe Kelly","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,0,1,0,0
97,30,8400,8.86904761904762,7.45,"Michael Pineda","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3.66666666666667,0,0,4,8,0,0
98,31,4300,16.9767441860465,7.3,"Edwin Diaz","SEA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,1,1,0
99,68,3700,18.9189189189189,7,"Hernan Perez","MIL",NA,"3B/OF",5,0,0,1,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,69,3700,18.9189189189189,7,"Brandon Crawford","SF",NA,"SS",5,1,0,1,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,70,4200,16.6666666666667,7,"Adam Duvall","CIN",NA,"OF",4,1,0,0,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,71,2800,25,7,"Danny Espinosa","LAA",NA,"2B",8,0,0,2,0,3,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,72,4500,15.5555555555556,7,"Nelson Cruz","SEA",NA,"OF",4,0,0,0,0,5,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,73,3900,17.9487179487179,7,"Max Kepler","MIN",NA,"OF",2,1,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,74,4700,14.8936170212766,7,"Trevor Story","COL",NA,"SS",5,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,75,4200,16.6666666666667,7,"Jose Ramirez","CLE",NA,"2B/3B",5,0,0,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,76,4500,15.5555555555556,7,"Corey Seager","LAD",NA,"SS",2,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,77,4000,17.5,7,"Jake Lamb","ARI",NA,"3B",4,1,0,0,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,78,3500,20,7,"Brandon Drury","ARI",NA,"2B",6,1,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,79,3800,18.4210526315789,7,"Joe Mauer","MIN",NA,"1B",4,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,80,3500,20,7,"Cameron Maybin","LAA",NA,"OF",6,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,81,4100,17.0731707317073,7,"Billy Hamilton","CIN",NA,"OF",1,0,0,0,1,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,82,3400,20.5882352941176,7,"Norichika Aoki","HOU",NA,"OF",9,1,0,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,83,3900,17.9487179487179,7,"Alex Bregman","HOU",NA,"3B",2,0,0,0,0,5,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,84,4500,15.5555555555556,7,"Lorenzo Cain","KC",NA,"OF",3,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,32,4000,16.875,6.75,"Shawn Armstrong","CLE",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.333333333333333,0,0,0,0,0,0
117,33,0,0,6.7,"Jose A. Ramirez","ATL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,1,2,0
118,34,4000,15.625,6.25,"Pat Neshek","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
119,35,4400,14.2045454545455,6.25,"Jorge de la Rosa","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
120,36,4000,15.625,6.25,"Juan Nicasio","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
121,85,4700,12.7659574468085,6,"Carlos Correa","HOU",NA,"SS",4,0,0,0,0,6,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,86,3700,16.2162162162162,6,"Carlos Beltran","HOU",NA,"OF",5,0,0,0,0,6,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,87,4100,14.6341463414634,6,"Wil Myers","SD",NA,"1B",2,0,0,0,0,4,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,37,7200,8.33333333333333,6,"Matt Moore","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,5.33333333333333,0,0,3,8,2,0
125,88,3600,16.6666666666667,6,"Jayson Werth","WAS",NA,"OF",7,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,38,7400,7.97297297297297,5.9,"Alex Wood","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,0,1,0
127,39,4000,14.5,5.8,"Neil Ramirez","NYM",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1.33333333333333,0,0,2,2,0,0
128,40,4000,14.125,5.65,"Brad Brach","BAL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,1,0,0
129,41,4000,14.125,5.65,"Matt Bush","TEX",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,1,0
130,42,5700,9.91228070175439,5.65,"Raisel Iglesias","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,1,0,0
131,43,4100,13.4146341463415,5.5,"Ryan Pressly","MIN",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.666666666666667,0,0,0,0,0,0
132,44,4100,12.9268292682927,5.3,"Erasmo Ramirez","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,1,1,0
133,45,4000,12.625,5.05,"Michael Lorenzen","CIN",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,2,0,0
134,89,3300,15.1515151515152,5,"Jesus Aguilar","MIL",NA,"1B",9,1,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,90,3500,14.2857142857143,5,"Paulo Orlando","KC",NA,"OF",6,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,91,3500,14.2857142857143,5,"Steven Souza","TB",NA,"OF",5,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,92,3600,13.8888888888889,5,"Eddie Rosario","MIN",NA,"OF",8,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,93,3700,13.5135135135135,5,"Tyler Naquin","CLE",NA,"OF",7,1,0,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,94,2700,18.5185185185185,5,"Tucker Barnhart","CIN",NA,"C",8,0,0,0,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,95,3900,12.8205128205128,5,"Albert Pujols","LAA",NA,"1B",4,0,0,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,96,2500,20,5,"Nick Ahmed","ARI",NA,"SS",8,0,0,1,0,4,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,97,4700,10.6382978723404,5,"Hanley Ramirez","BOS",NA,"1B",4,0,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,98,4200,11.9047619047619,5,"Dustin Pedroia","BOS",NA,"2B",1,0,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,99,3800,13.1578947368421,5,"Khris Davis","OAK",NA,"OF",4,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,100,2700,18.5185185185185,5,"Roberto Perez","CLE",NA,"C",8,0,0,1,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,101,2300,21.7391304347826,5,"Martin Maldonado","LAA",NA,"C",9,0,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,102,3100,16.1290322580645,5,"Stephen Vogt","MIL",NA,"C",5,0,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,103,4000,12.5,5,"Jonathan Lucroy","TEX",NA,"C",7,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,104,2200,22.7272727272727,5,"Kurt Suzuki","ATL",NA,"C",8,0,0,0,0,4,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,105,3800,13.1578947368421,5,"Joe Panik","SF",NA,"2B",8,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,106,4300,11.6279069767442,5,"Yoenis Cespedes","NYM",NA,"OF",3,0,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,107,3100,16.1290322580645,5,"David Freese","PIT",NA,"3B",5,0,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,108,3800,13.1578947368421,5,"Jonathan Schoop","BAL",NA,"2B",8,1,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,109,3200,15.625,5,"Yulieski Gurriel","HOU",NA,"1B",6,1,0,0,0,6,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
