"Player","Pos","Team","Opp","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Kevin Kiermaier","OF","TB","vs NYY","Tanaka, R 3.11","L",0.246,0.328,0.164,0,0,0,2,3400,21.1,7.5,5.82,5.82,"%",49,1.7,21,6.2
"Jarrett Parker","OF","SF","@ ARI","Greinke, R 4.37","L",0.236,0.34,0.158,0,0,0,7,3400,16.2,4.1,4.91,4.91,"%",31,1.4,0,NA
"Yadier Molina","C","STL","vs CHC","Lester, L 2.32","R",0.307,0.347,0.12,0,0,0,5,3300,16.4,6.5,5.12,5.12,"%",56,1.6,10,3
"Starlin Castro","2B/SS","NYY","@ TB","Archer, R 4.02","R",0.271,0.316,0.163,0,0,0,6,3300,19.6,6.7,4.6,4.6,"%",44,1.4,11,3.3
"Corey Dickerson","OF","TB","vs NYY","Tanaka, R 3.11","L",0.244,0.32,0.224,0,0,0,1,3300,20.4,6.4,5.55,5.55,"%",42,1.7,5,1.5
"Brandon Drury","2B/OF","ARI","vs SF","Bumgarner, L 2.73","R",0.28,0.338,0.176,0,0,0,6,3300,18.7,6.4,5.17,5.17,"%",47,1.6,3,0.9
"Jason Heyward","OF","CHC","@ STL","Martinez, R 3.04","L",0.226,0.283,0.097,0,0,0,6,3200,16.6,6.1,5.12,5.12,"%",53,1.6,5,1.6
"Chris Owings","OF/SS","ARI","vs SF","Bumgarner, L 2.73","R",0.276,0.309,0.136,0,0,0,2,3300,19,7.1,6.43,6.43,"%",56,1.9,8,2.4
"Logan Morrison","1B","TB","vs NYY","Tanaka, R 3.11","L",0.233,0.317,0.175,0,0,0,6,3200,18.1,6.2,3.95,3.95,"%",43,1.2,24,7.5
"Gregory Bird","1B","NYY","@ TB","Archer, R 4.02","L",NA,0,0,0,0,0,3,3200,4,NA,3.98,3.98,"%",0,1.2,2,0.6
"Jhonny Peralta","3B/SS","STL","vs CHC","Lester, L 2.32","R",0.26,0.311,0.149,0,0,0,4,3100,17.3,6,5.69,5.69,"%",52,1.8,3,1
"Chase Headley","3B","NYY","@ TB","Archer, R 4.02","B",0.251,0.317,0.133,0,0,0,7,3000,15.8,6.1,3.64,3.64,"%",50,1.2,13,4.3
"Tim Beckham","2B/SS","TB","vs NYY","Tanaka, R 3.11","R",0.249,0.316,0.188,0,0,0,7,2900,15.7,5.6,3,3,"%",43,1,7,2.4
"Derek Norris","C","TB","vs NYY","Tanaka, R 3.11","R",0.186,0.258,0.142,0,0,0,9,2800,15.2,5.4,2.03,2.03,"%",39,0.7,3,1.1
"Ronald Torreyes","3B/SS","NYY","@ TB","Archer, R 4.02","R",0.252,0.291,0.116,0,0,0,9,2400,13.2,3.5,1.94,1.94,"%",19,0.8,2,0.8
"Jeff Mathis","C","ARI","vs SF","Bumgarner, L 2.73","R",0.238,0.263,0.095,0,0,0,8,2100,14,4.4,2.8,2.8,"%",37,1.3,18,8.6
