Name_Team,2017-04-02,2017-04-03,2017-04-04,2017-04-05
Khris Davis_OAK,NA,31.0,2.0,5.0
Eric Thames_MIL,NA,13.0,NA,17.0
Gerardo Parra_COL,NA,8.0,19.0,5.0
Domingo Santana_MIL,NA,9.0,11.0,NA
Cesar Hernandez_PHI,NA,14.0,NA,0.0
Nomar Mazara_TEX,NA,10.0,10.0,24.0
Michael Saunders_PHI,NA,9.0,NA,NA
Alex Bregman_HOU,NA,12.0,0.0,7.0
Adrian Gonzalez_LAD,NA,13.0,3.0,11.0
Wil Myers_SD,NA,2.0,10.0,8.0
Eric Hosmer_KC,NA,0.0,NA,3.0
Max Kepler_MIN,NA,5.0,NA,7.0
Welington Castillo_BAL,NA,8.0,NA,3.0
Pablo Sandoval_BOS,NA,7.0,NA,4.0
Albert Pujols_LAA,NA,2.0,0.0,5.0
Andrew Benintendi_BOS,NA,18.0,NA,3.0
Curtis Granderson_NYM,NA,5.0,NA,0.0
Joey Gallo_TEX,NA,7.0,19.0,4.0
Tommy Joseph_PHI,NA,0.0,NA,0.0
Jose Peraza_CIN,NA,6.0,NA,0.0
Joe Mauer_MIN,NA,6.0,NA,7.0
Carlos Beltran_HOU,NA,0.0,0.0,6.0
Nick Castellanos_DET,NA,NA,NA,NA
Tim Anderson_CWS,NA,NA,NA,NA
Rajai Davis_OAK,NA,0.0,17.0,0.0
Neil Walker_NYM,NA,4.0,NA,0.0
Scott Schebler_CIN,NA,7.0,NA,0.0
Howie Kendrick_PHI,NA,11.0,NA,2.0
Logan Forsythe_LAD,NA,11.0,8.0,0.0
Joc Pederson_LAD,NA,22.0,NA,2.0
Jayson Werth_WSH,NA,0.0,NA,6.0
Marcell Ozuna_MIA,NA,5.0,NA,10.0
Brandon Moss_KC,NA,0.0,NA,NA
Alex Gordon_KC,NA,3.0,NA,2.0
Robbie Grossman_MIN,NA,8.0,NA,2.0
Victor Martinez_DET,NA,NA,NA,NA
Seth Smith_BAL,NA,7.0,NA,NA
