Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Name.Clean,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
21.2,Joe,0.0,Bal@Cle 01:00PM ET,7395330,Flacco,Joe Flacco,Joe Flacco (7395330),Joe Flacco,CLE,QB,17.63,19.9,19.9,18.36,19.535193345,,0.0,0.0,6500,BAL,3.0,0.0
22.3,Andy,0.0,Cin@Pit 01:00PM ET,7395303,Dalton,Andy Dalton,Andy Dalton (7395303),Andy Dalton,PIT,QB,19.43,19.6,19.6,17.55,20.3910663702,,0.0,0.0,6400,CIN,4.0,0.0
25.7,Jarvis,0.0,Mia@NE 01:00PM ET,7395538,Landry,Jarvis Landry,Jarvis Landry (7395538),Jarvis Landry,NE,WR,17.33,16.9,16.9,14.2,17.9031748303,,1.0,0.37037037037,6400,MIA,3.0,0.0
20.1,Larry,1.0,TB@Ari 04:05PM ET,7395589,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7395589),Larry Fitzgerald,TB,WR,16.63,16.4,16.4,17.7,17.2692052583,,1.0,0.25641025641,6400,ARI,4.0,0.0
24.8,Philip,0.0,Jax@SD 04:25PM ET,7395345,Rivers,Philip Rivers,Philip Rivers (7395345),Philip Rivers,JAX,QB,17.1,19.6,19.6,18.82,19.0935557348,,0.0,0.0,6400,SD,4.0,0.0
16.0,Demaryius,0.0,Ind@Den 04:25PM ET,7395622,Thomas,Demaryius Thomas,Demaryius Thomas (7395622),Demaryius Thomas,IND,WR,13.81,16.1,16.1,14.78,15.5523318735,,1.0,0.28,6400,DEN,4.0,0.0
1.9,Donte,1.0,Ind@Den 04:25PM ET,7395628,Moncrief,Donte Moncrief,Donte Moncrief (7395628),Donte Moncrief,DEN,WR,11.96,12.3,12.3,12.17,12.6665072911,,2.0,0.152173913043,6400,IND,5.0,0.0
7.0,DeSean,1.0,Dal@Was 01:00PM ET,7395499,Jackson,DeSean Jackson,DeSean Jackson (7395499),DeSean Jackson,DAL,WR,13.45,12.5,12.5,13.91,13.5939096559,,1.0,0.261904761905,6300,WAS,5.0,0.0
5.6,Alex,0.0,KC@Hou 01:00PM ET,7395318,Smith,Alex Smith,Alex Smith (7395318),Alex Smith,HOU,QB,16.89,16.6,16.6,16.27,17.5116556567,,8.0,0.0222222222222,6300,KC,8.0,0.0
0.0,Jamaal,0.0,KC@Hou 01:00PM ET,7395410,Charles,Jamaal Charles,Jamaal Charles (7395410),Jamaal Charles,HOU,RB,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,6300,KC,0.0,0.0
12.8,Jeremy,1.0,KC@Hou 01:00PM ET,7395543,Maclin,Jeremy Maclin,Jeremy Maclin (7395543),Jeremy Maclin,HOU,WR,14.27,15.7,15.7,14.39,15.6131651635,,4.0,0.133333333333,6300,KC,4.0,0.0
8.7,Mark,0.0,NO@NYG 01:00PM ET,7395395,Ingram,Mark Ingram,Mark Ingram (7395395),Mark Ingram,NYG,RB,16.36,16.5,16.5,17.8,17.1676818506,,6.0,0.047619047619,6200,NO,2.0,0.0
14.6,Julian,1.0,Mia@NE 01:00PM ET,7395534,Edelman,Julian Edelman,Julian Edelman (7395534),Julian Edelman,MIA,WR,17.42,18.5,18.5,16.81,18.7346036986,,1.0,0.222222222222,6200,NE,2.0,0.0
9.6,Jameis,0.0,TB@Ari 04:05PM ET,7395343,Winston,Jameis Winston,Jameis Winston (7395343),Jameis Winston,ARI,QB,18.93,16.3,16.3,18.52,18.5011778461,,0.0,0.0,6200,TB,8.0,0.0
12.4,Brock,0.0,KC@Hou 01:00PM ET,7395321,Osweiler,Brock Osweiler,Brock Osweiler (7395321),Brock Osweiler,KC,QB,15.23,15.4,15.4,16.1,16.0012661142,,0.0,0.0,6100,HOU,0.0,0.0
11.5,Spencer,1.0,KC@Hou 01:00PM ET,7395416,Ware,Spencer Ware,Spencer Ware (7395416),Spencer Ware,HOU,RB,16.39,15.3,15.3,16.71,16.5984051723,,1.0,0.177777777778,6100,KC,2.0,0.0
9.3,Devonta,0.0,Atl@Oak 04:25PM ET,7395468,Freeman,Devonta Freeman,Devonta Freeman (7395468),Devonta Freeman,OAK,RB,14.91,15.2,15.2,17.84,15.7254034247,,5.0,0.105263157895,6100,ATL,2.0,0.0
13.1,Michael,1.0,Atl@Oak 04:25PM ET,7395610,Crabtree,Michael Crabtree,Michael Crabtree (7395610),Michael Crabtree,ATL,WR,14.67,13.8,13.8,15.3,14.9081076328,,2.0,0.243902439024,6100,OAK,4.0,0.0
0.0,Tony,0.0,Dal@Was 01:00PM ET,7395296,Romo,Tony Romo,Tony Romo (7395296),Tony Romo,WAS,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6000,DAL,0.0,0.0
0.9,Arian,0.0,Mia@NE 01:00PM ET,7395400,Foster,Arian Foster,Arian Foster (7395400),Arian Foster,NE,RB,15.14,13.4,13.4,10.82,14.974509638,,2.0,0.185185185185,6000,MIA,4.0,0.0
17.6,Marcus,0.0,Ten@Det 01:00PM ET,7395327,Mariota,Marcus Mariota,Marcus Mariota (7395327),Marcus Mariota,DET,QB,18.28,19.2,19.2,18.46,19.5553365174,,0.0,0.0,6000,TEN,5.0,0.0
6.9,Emmanuel,0.0,Ind@Den 04:25PM ET,7395621,Sanders,Emmanuel Sanders,Emmanuel Sanders (7395621),Emmanuel Sanders,IND,WR,14.49,13.7,13.7,13.91,14.7590388577,,2.0,0.24,6000,DEN,4.0,0.0
