"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Will Fuller (0000000)","Will Fuller",0,5800,"Hou@Min 00:00PM ET","Hou","Will","Fuller","Min",14.82,14,1,0.23943661971831,0
"WR","Donte Moncrief (0000000)","Donte Moncrief",0,5700,"Chi@Ind 00:00PM ET","Ind","Donte","Moncrief","Chi",0,0,7,0.0584795321637427,0
"RB","Frank Gore (0000000)","Frank Gore",0,5700,"Chi@Ind 00:00PM ET","Ind","Frank","Gore","Chi",14.82,13.6,4,0.111111111111111,0
"QB","Ryan Tannehill (0000000)","Ryan Tannehill",0,5700,"Ten@Mia 00:00PM ET","Mia","Ryan","Tannehill","Ten",17.45,19,0,0,0
"QB","Dak Prescott (0000000)","Dak Prescott",0,5600,"Cin@Dal 00:00PM ET","Dal","Dak","Prescott","Cin",18.05,15.6,0,0,0
"RB","LeGarrette Blount (0000000)","LeGarrette Blount",0,5600,"NE@Cle 00:00PM ET","NE","LeGarrette","Blount","Cle",14.42,17,7,0.024,0
"QB","Brian Hoyer (0000000)","Brian Hoyer",0,5500,"Chi@Ind 00:00PM ET","Chi","Brian","Hoyer","Ind",15.76,16,0,0,0
"RB","Charles Sims (0000000)","Charles Sims",0,5500,"TB@Car 00:00PM ET","TB","Charles","Sims","Car",0,0,5,0.102272727272727,0
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,5500,"NYG@GB 00:00PM ET","NYG","Sterling","Shepard","GB",14.17,11.4,2,0.170886075949367,0
"QB","Derek Anderson (0000000)","Derek Anderson",0,5500,"TB@Car 00:00PM ET","Car","Derek","Anderson","TB",14.85,17.2,0,0,0
"QB","Marcus Mariota (0000000)","Marcus Mariota",0,5400,"Ten@Mia 00:00PM ET","Ten","Marcus","Mariota","Mia",17.14,17.7,0,0,0
"QB","Brock Osweiler (0000000)","Brock Osweiler",0,5300,"Hou@Min 00:00PM ET","Hou","Brock","Osweiler","Min",13.99,16.7,0,0,0
"RB","Doug Martin (0000000)","Doug Martin",0,5300,"TB@Car 00:00PM ET","TB","Doug","Martin","Car",0,0,6,0.0284090909090909,0
"QB","Jay Cutler (0000000)","Jay Cutler",0,5300,"Chi@Ind 00:00PM ET","Chi","Jay","Cutler","Ind",0,0,0,0,0
"WR","Steve Smith (0000000)","Steve Smith",0,5300,"Was@Bal 00:00PM ET","Bal","Steve","Smith","Was",14.2,15.2,1,0.222222222222222,0
"QB","Trevor Siemian (0000000)","Trevor Siemian",0,5200,"Atl@Den 00:00PM ET","Den","Trevor","Siemian","Atl",0,0,0,0,0
"RB","Jordan Howard (0000000)","Jordan Howard",0,5200,"Chi@Ind 00:00PM ET","Chi","Jordan","Howard","Ind",14.45,16.9,5,0.0915492957746479,0
"QB","Tyrod Taylor (0000000)","Tyrod Taylor",0,5200,"Buf@LA 00:00PM ET","Buf","Tyrod","Taylor","LA",17.17,17.2,0,0,0
"QB","Jimmy Garoppolo (0000000)","Jimmy Garoppolo",0,5200,"NE@Cle 00:00PM ET","NE","Jimmy","Garoppolo","Cle",0,0,11,0.008,0
"QB","Paxton Lynch (0000000)","Paxton Lynch",0,5200,"Atl@Den 00:00PM ET","Den","Paxton","Lynch","Atl",14.67,15.9,0,0,0
"WR","Mike Wallace (0000000)","Mike Wallace",0,5100,"Was@Bal 00:00PM ET","Bal","Mike","Wallace","Was",10.13,10.6,2,0.179012345679012,0
"QB","Sam Bradford (0000000)","Sam Bradford",0,5100,"Hou@Min 00:00PM ET","Min","Sam","Bradford","Hou",15.62,12.3,11,0,0
"QB","Ryan Fitzpatrick (0000000)","Ryan Fitzpatrick",0,5100,"NYJ@Pit 00:00PM ET","NYJ","Ryan","Fitzpatrick","Pit",16.62,21,0,0,0
"QB","Colin Kaepernick (0000000)","Colin Kaepernick",0,5000,"Ari@SF 00:00PM ET","SF","Colin","Kaepernick","Ari",0,1.3,0,0,0
"QB","Christian Ponder (0000000)","Christian Ponder",0,5000,"Ari@SF 00:00PM ET","SF","Christian","Ponder","Ari",0,0,0,0,0
"QB","Blaine Gabbert (0000000)","Blaine Gabbert",0,5000,"Ari@SF 00:00PM ET","SF","Blaine","Gabbert","Ari",14.59,14.5,11,0.00840336134453781,0
"QB","Josh McCown (0000000)","Josh McCown",0,5000,"NE@Cle 00:00PM ET","Cle","Josh","McCown","NE",0,0,0,0,0
"QB","Charlie Whitehurst (0000000)","Charlie Whitehurst",0,5000,"NE@Cle 00:00PM ET","Cle","Charlie","Whitehurst","NE",0,0,0,0,0
"QB","Cody Kessler (0000000)","Cody Kessler",0,5000,"NE@Cle 00:00PM ET","Cle","Cody","Kessler","NE",11.63,14.5,0,0,0
"QB","Jacoby Brissett (0000000)","Jacoby Brissett",0,5000,"NE@Cle 00:00PM ET","NE","Jacoby","Brissett","Cle",0,0,0,0,0
"QB","Dan Orlovsky (0000000)","Dan Orlovsky",0,5000,"Phi@Det 00:00PM ET","Det","Dan","Orlovsky","Phi",0,0,0,0,0
"QB","Chase Daniel (0000000)","Chase Daniel",0,5000,"Phi@Det 00:00PM ET","Phi","Chase","Daniel","Det",0,0,0,0,0
"QB","Scott Tolzien (0000000)","Scott Tolzien",0,5000,"Chi@Ind 00:00PM ET","Ind","Scott","Tolzien","Chi",0,0,0,0,0
"QB","Matt Barkley (0000000)","Matt Barkley",0,5000,"Chi@Ind 00:00PM ET","Chi","Matt","Barkley","Ind",0,0,0,0,0
