Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tom Murphy,,,C,3100,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.505,4%,0.500,19,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Allen,,,OF,3100,CLE,@TEX,5.04,Perez,0.339,4%,L,S,,3%,,8,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Parker,0,,OF,3100,SF,@ARI,4.84,Corbin,0.280,-8%,L,L,0.286,-8%,0.200,-18,x,8,-,14%,-3%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Drury,0,,2B/OF,3100,ARI,SF,4.16,Cueto,0.281,-9%,R,R,0.322,-2%,0.155,-8,6,6,0,3%,-2%,0%,3.0,3.0,3.0,3.0,3.0,5.9,1.9,9.0,2.9
Brandon Guyer,8,,OF,3100,CLE,@TEX,5.04,Perez,0.339,4%,L,R,0.385,14%,0.173,25,6,x,0,3%,-2%,0%,0.0,0.0,0.0,0.0,0.0,8.6,2.8,5.0,1.6
Trevor Plouffe,,,3B,3100,OAK,LAA,3.63,Shoemaker,0.311,-2%,R,R,0.316,-3%,0.172,-1,7,7,0,-2%,-2%,0%,5.0,5.0,5.0,5.0,5.0,5.8,1.9,0.0,0.0
Cameron Maybin,1,,OF,3100,LAA,@OAK,3.87,Manaea,0.322,1%,L,R,0.305,-1%,0.121,16,6,x,0,0%,-1%,0%,0.0,0.0,0.0,0.0,0.0,6.8,2.2,8.0,2.6
Jedd Gyorko,,,2B/3B,3100,STL,CHC,3.22,Arrieta,0.242,-17%,R,R,0.297,-4%,0.184,1,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilson Ramos,,,C,3100,TB,NYY,3.75,Sabathia,0.350,7%,L,R,0.335,7%,0.173,15,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Cron,1,,1B,3100,LAA,@OAK,3.87,Manaea,0.322,1%,L,R,0.298,-5%,0.156,-8,x,5,-,-2%,-2%,0%,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
Danny Valencia,,,3B/OF,3000,SEA,@HOU,3.77,McCullers,0.320,-1%,R,R,0.320,-8%,0.168,-6,6,7,0,6%,1%,4%,2.0,2.0,2.0,2.0,2.0,7.1,2.4,8.0,2.7
Ryon Healy,5,,1B/3B,3000,OAK,LAA,3.63,Shoemaker,0.311,-2%,R,R,0.361,1%,0.213,6,3,3,0,-2%,-2%,0%,0.0,0.0,0.0,0.0,0.0,6.9,2.3,19.0,6.3
Ryan Schimpf,8,,2B/3B,3000,SD,@LAD,3.02,Maeda,0.313,-4%,R,L,0.377,5%,0.324,16,5,6,0,-1%,-4%,0%,17.0,17.0,17.0,17.0,17.0,7.0,2.3,5.0,1.7
Yadier Molina,,,C,3000,STL,CHC,3.22,Arrieta,0.242,-17%,R,R,0.317,-1%,0.102,-5,5,5,0,0%,-6%,-1%,10.0,10.0,10.0,10.0,10.0,5.0,1.7,3.0,1.0
Jacoby Ellsbury,1,,OF,3000,NYY,@TB,3.75,Odorizzi,0.280,-9%,R,L,0.312,1%,0.122,9,5,2,0,-2%,0%,0%,2.0,2.0,2.0,2.0,2.0,6.7,2.2,10.0,3.3
Chase Utley,,,2B,3000,LAD,SD,4.48,Richard,0.275,-7%,L,L,0.287,-7%,0.133,-7,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Reynolds,3,,1B/3B,3000,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.331,3%,0.192,8,7,7,0,-12%,-9%,0%,27.0,27.0,27.0,27.0,27.0,5.8,1.9,12.0,4.0
Nick Hundley,1,,C,3000,SF,@ARI,4.84,Corbin,0.355,8%,L,R,0.308,0%,0.134,-6,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Rasmus,,,OF,3000,TB,NYY,3.75,Sabathia,0.276,-10%,L,L,0.306,-3%,0.175,-13,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Valbuena,,,1B/3B,3000,LAA,@OAK,3.87,Manaea,,-4%,L,L,0.286,-13%,0.125,-32,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin Gutierrez,12,,OF,3000,LAD,SD,4.48,Richard,0.346,4%,L,R,0.374,4%,0.246,1,4,x,0,-3%,-4%,0%,0.0,0.0,0.0,0.0,0.0,7.5,2.5,3.0,1.0
Aaron Judge,1,,OF,3000,NYY,@TB,3.75,Odorizzi,0.332,3%,R,R,0.291,-2%,0.203,5,8,9,0,-7%,0%,0%,7.0,7.0,7.0,7.0,7.0,6.7,2.2,5.0,1.7
Jurickson Profar,1,,2B/3B,3000,TEX,CLE,3.96,Carrasco,0.293,-6%,R,S,0.322,6%,0.129,16,x,9,-,2%,-2%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Semien,1,,3B/SS,3000,OAK,LAA,3.63,Shoemaker,0.311,-2%,R,R,0.295,-5%,0.153,-9,9,6,0,-2%,-2%,0%,4.0,4.0,4.0,4.0,4.0,5.7,1.9,9.0,3.0
Jesus Aguilar,1,,1B,3000,MIL,COL,4.00,Anderson,0.333,3%,L,R,0.240,2%,0.000,1,6,x,0,0%,-9%,0%,0.0,0.0,0.0,0.0,0.0,6.2,2.1,5.0,1.7
Brian McCann,4,,C,3000,HOU,SEA,4.73,Iwakuma,0.298,-5%,R,L,0.314,-1%,0.181,2,8,6,0,1%,1%,4%,0.0,0.0,0.0,0.0,0.0,6.5,2.2,14.0,4.7
Corey Dickerson,,,OF,3000,TB,NYY,3.75,Sabathia,0.276,-10%,L,L,0.285,-15%,0.110,-41,x,1,-,0%,0%,0%,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
Yangervis Solarte,2,,2B/3B,2900,SD,@LAD,3.02,Maeda,0.313,-4%,R,S,0.331,1%,0.149,1,4,4,-1,-3%,-3%,0%,5.0,5.0,5.0,5.0,5.0,6.4,2.2,19.0,6.6
Jason Heyward,3,,OF,2900,CHC,@STL,3.78,Wainwright,0.303,-4%,R,L,0.337,5%,0.133,9,6,6,0,0%,-6%,-1%,5.0,5.0,5.0,5.0,5.0,6.9,2.4,5.0,1.7
Jordan Patterson,,,OF,2900,COL,@MIL,4.00,Davies,0.312,-2%,R,L,,2%,,6,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefry Marte,3,,1B/3B,2900,LAA,@OAK,3.87,Manaea,0.322,1%,L,R,0.357,5%,0.250,12,5,x,0,-2%,-2%,0%,0.0,0.0,0.0,0.0,0.0,7.3,2.5,9.0,3.1
Yulieski Gurriel,1,,3B,2900,HOU,SEA,4.73,Iwakuma,0.294,-6%,R,R,0.319,-1%,0.135,0,x,8,-,0%,1%,3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonys Martin,,,OF,2900,SEA,@HOU,3.77,McCullers,0.287,-6%,R,L,0.300,4%,0.116,12,7,9,0,3%,1%,3%,0.0,0.0,0.0,0.0,0.0,7.0,2.4,0.0,0.0
Mac Williamson,1,,OF,2900,SF,@ARI,4.84,Corbin,0.355,8%,L,R,0.285,1%,0.173,9,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Motter,,,3B/SS,2900,SEA,@HOU,3.77,McCullers,0.320,-1%,R,R,0.192,-6%,0.070,-5,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Reed,,,OF,2900,MIL,COL,4.00,Anderson,0.333,3%,L,R,,3%,,8,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Hazelbaker,,,OF,2900,ARI,SF,4.16,Cueto,0.268,-11%,R,L,0.342,3%,0.258,15,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7
Logan Morrison,,,1B,2900,TB,NYY,3.75,Sabathia,0.276,-10%,L,L,0.280,-8%,0.088,-39,x,6,-,0%,0%,0%,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0
Matt Duffy,,,2B/3B,2900,TB,NYY,3.75,Sabathia,0.350,7%,L,R,0.307,0%,0.089,-10,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Wolters,2,,C,2900,COL,@MIL,4.00,Davies,0.312,-2%,R,L,0.325,2%,0.152,5,8,8,0,0%,-7%,0%,10.0,10.0,10.0,10.0,10.0,5.3,1.8,2.0,0.7
Yan Gomes,7,,C,2900,CLE,@TEX,5.04,Perez,0.339,4%,L,R,0.339,11%,0.171,-4,8,8,-2,2%,-3%,0%,0.0,0.0,0.0,0.0,0.0,7.4,2.6,4.0,1.4
Stephen Vogt,4,,1B/C,2900,OAK,LAA,3.63,Shoemaker,0.307,-3%,R,L,0.336,4%,0.177,7,5,2,0,-3%,-2%,0%,17.0,17.0,17.0,17.0,17.0,6.5,2.2,0.0,0.0
Derek Fisher,,,OF,2900,HOU,SEA,4.73,Iwakuma,,%,R,,,%,,,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Franklin,,,2B/OF,2800,TB,NYY,3.75,Sabathia,0.350,7%,L,S,0.258,-1%,0.085,-11,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Bellinger,,,1B,2800,LAD,SD,4.48,Richard,0.275,-7%,L,L,,-7%,,-22,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starlin Castro,1,,2B/SS,2800,NYY,@TB,3.75,Odorizzi,0.332,3%,R,R,0.314,1%,0.146,6,6,6,0,-5%,0%,0%,11.0,11.0,11.0,11.0,11.0,6.7,2.4,0.0,0.0
Manuel Margot,,,OF,2800,SD,@LAD,3.02,Maeda,0.253,-13%,R,R,,-1%,,2,2,2,-1,-7%,-3%,0%,7.0,7.0,7.0,7.0,7.0,5.9,2.1,13.0,4.6
Chris Herrmann,,,C/OF,2800,ARI,SF,4.16,Cueto,0.268,-11%,R,L,0.284,0%,0.160,7,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Taylor,,,2B/SS,2800,LAD,SD,4.48,Richard,0.346,4%,L,R,0.298,3%,0.097,4,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Valaika,,,SS,2800,COL,@MIL,4.00,Davies,0.303,-4%,R,R,,-1%,,2,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanny Urshela,1,,3B,2800,CLE,@TEX,5.04,Perez,0.339,4%,L,R,0.299,3%,0.087,3,x,9,-,4%,-3%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Susac,,,C,2800,MIL,COL,4.00,Anderson,0.333,3%,L,R,0.411,8%,0.218,13,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Jackson,,,OF,2800,CLE,@TEX,5.04,Perez,0.339,4%,L,R,0.313,5%,0.119,12,9,x,0,4%,-2%,0%,0.0,0.0,0.0,0.0,0.0,6.9,2.5,10.0,3.6
Andre Ethier,,,OF,2800,LAD,SD,4.48,Richard,0.275,-7%,L,L,0.258,-14%,0.089,-32,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
