Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marcell Ozuna,1,,OF,3600,MIA,@WAS,,Strasburg,0.301,-4%,R,R,0.316,-3%,0.154,-9,6,6,0,3%,-3%,0%,0,0,0,0,0,6.8,1.9,0,0
Joe Mauer,,,1B,3600,MIN,KC,,Duffy,0.222,-19%,L,L,0.317,-2%,0.103,-12,4,3,0,0%,-5%,0%,0,0,0,0,0,5.3,1.5,0,0
Joc Pederson,14,,OF,3600,LAD,SD,,Chacin,0.328,2%,R,L,0.362,5%,0.237,8,6,7,0,-2%,-1%,0%,0,0,0,0,0,7.9,2.2,0,0
Scooter Gennett,,,2B,3600,MIL,@CIN,,Feldman,0.311,-2%,R,L,0.323,5%,0.147,9,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Scott Schebler,4,,OF,3600,CIN,PHI,,Hellickson,0.326,1%,R,L,0.344,4%,0.185,8,6,6,0,1%,-3%,-2%,0,0,0,0,0,7.3,2,0,0
Howie Kendrick,3,,2B/OF,3600,PHI,@CIN,,Feldman,0.327,2%,R,R,0.319,-1%,0.114,-2,2,2,0,1%,-2%,-2%,0,0,0,0,0,7.4,2.1,0,0
Alen Hanson,,,SS,3600,PIT,@BOS,,Porcello,0.319,0%,R,S,,2%,,6,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Phillip Ervin,,,OF,3600,CIN,PHI,,Hellickson,0.323,1%,R,R,,-1%,,2,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Evan Gattis,,,C,3600,HOU,SEA,,Hernandez,0.287,-7%,R,R,0.334,-1%,0.237,1,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Rajai Davis,3,,OF,3600,OAK,LAA,,Nolasco,0.346,6%,R,R,0.298,-6%,0.12,-17,1,1,0,-2%,-2%,0%,0,0,0,0,0,7.8,2.2,0,0
Delino DeShields,,,OF,3600,TEX,CLE,,Kluber,0.25,-15%,R,R,0.298,-1%,0.11,0,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Roman Quinn,,,OF,3500,PHI,@CIN,,Feldman,0.311,-2%,R,S,0.293,1%,0.048,-1,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Matt Kemp,1,,OF,3500,ATL,@NYM,,Syndergaard,0.256,-14%,R,R,0.337,-2%,0.202,-3,4,4,0,-8%,-4%,3%,0,0,0,0,0,6,1.7,0,0
Justin Turner,15,,3B,3500,LAD,SD,,Chacin,0.318,0%,R,R,0.388,7%,0.213,13,3,3,0,-4%,-1%,0%,0,0,0,0,0,8.1,2.3,0,0
David Wright,,,3B,3500,NYM,ATL,,Teheran,0.254,-14%,R,R,0.305,-11%,0.117,-21,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Hernan Perez,,,3B/OF,3500,MIL,COL,,Gray,0.331,2%,R,R,0.28,-2%,0.094,-21,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Asdrubal Cabrera,10,,SS,3500,NYM,ATL,,Teheran,0.342,5%,R,S,0.325,2%,0.176,7,2,6,0,-3%,-4%,3%,0,0,0,0,0,7.6,2.2,0,0
Kennys Vargas,1,,1B,3500,MIN,KC,,Duffy,0.323,1%,L,S,0.357,7%,0.172,2,x,6,-,2%,-6%,0%,0,0,0,0,0,0,0,0,0
Victor Martinez,5,,1B,3500,DET,@CWS,,TBA,,%,,S,,%,,,x,4,-,3%,-8%,0%,0,0,0,0,0,0,0,0,0
Robbie Grossman,3,,OF,3500,MIN,KC,,Duffy,0.323,1%,L,S,0.34,4%,0.136,8,2,x,0,2%,-5%,0%,0,0,0,0,0,0,0,0,0
Brandon Moss,5,,1B/OF,3500,KC,@MIN,,Santana,0.313,-2%,R,L,0.329,2%,0.233,10,6,8,0,0%,-7%,0%,0,0,0,0,0,7,2,0,0
Eugenio Suarez,1,,3B/SS,3500,CIN,PHI,,Hellickson,0.323,1%,R,R,0.305,-3%,0.136,-9,5,5,0,1%,-3%,-2%,0,0,0,0,0,6.7,1.9,0,0
J.T. Realmuto,1,,C,3500,MIA,@WAS,,Strasburg,0.301,-4%,R,R,0.318,1%,0.128,-5,2,2,0,3%,-3%,0%,0,0,0,0,0,7.3,2.1,0,0
Freddy Galvis,2,,3B/SS,3500,PHI,@CIN,,Feldman,0.311,-2%,R,S,0.293,4%,0.141,13,8,7,0,4%,-3%,-2%,0,0,0,0,0,6.2,1.8,0,0
Alex Gordon,2,,OF,3500,KC,@MIN,,Santana,0.313,-2%,R,L,0.333,-2%,0.16,-5,1,6,0,0%,-6%,0%,0,0,0,0,0,7.2,2.1,0,0
Travis Shaw,1,,1B/3B,3500,MIL,COL,,Gray,0.305,-3%,R,L,0.321,0%,0.178,-7,4,6,0,8%,-10%,-2%,0,0,0,0,0,6.7,1.9,0,0
Brock Holt,,,2B/OF,3500,BOS,PIT,,Cole,0.304,-3%,R,L,0.314,-1%,0.108,2,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Seth Smith,2,,OF,3500,BAL,TOR,,Estrada,0.284,-8%,R,L,0.347,3%,0.188,8,1,6,0,2%,-4%,1%,0,0,0,0,0,7.7,2.2,0,0
Jorge Soler,,,OF,3500,KC,@MIN,,Santana,0.297,-5%,R,R,0.329,0%,0.182,4,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Michael Taylor,,,OF,3500,WAS,MIA,,Volquez,0.311,-2%,R,R,0.267,-4%,0.126,-7,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Raimel Tapia,,,OF,3500,COL,@MIL,,Guerra,0.274,-8%,R,L,0.255,0%,0,-1,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Rhys Hoskins,,,1B,3500,PHI,@CIN,,Feldman,,%,R,,,%,,,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Kole Calhoun,2,,OF,3500,LAA,@OAK,,Graveman,0.324,1%,R,L,0.336,1%,0.176,3,2,2,0,-1%,-2%,0%,0,0,0,0,0,8,2.3,0,0
Josh Reddick,4,,OF,3500,HOU,SEA,,Hernandez,0.283,-8%,R,L,0.364,10%,0.195,20,6,7,0,1%,1%,0%,0,0,0,0,0,7.8,2.2,0,0
Mitch Haniger,2,,OF,3500,SEA,@HOU,,Keuchel,0.297,-5%,L,R,0.249,2%,0.138,7,2,6,0,6%,1%,0%,0,0,0,0,0,8.1,2.3,0,0
Lonnie Chisenhall,,,3B/OF,3500,CLE,@TEX,,Darvish,0.297,-5%,R,L,0.326,3%,0.154,8,x,6,-,-1%,-2%,0%,0,0,0,0,0,0,0,0,0
