Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Lucas Duda,1,1B,4100,NYM,CHC,4.45,Lackey,0.321,0%,R,L,0.354,6%,0.234,12,,6,,-1%,3%,6%,7.7,8.7,8.7,-0.2,17.6,8.4,2.0,0.0,0.0
Kole Calhoun,1,OF,4100,LAA,NYY,4.05,Tanaka,0.294,-6%,R,L,0.326,0%,0.160,-1,,2,,-5%,-3%,0%,12.9,7.0,7.0,0.2,13.7,6.5,1.6,0.0,0.0
Scooter Gennett,1,2B/OF,4100,CIN,@SD,4.12,Perdomo,0.368,10%,R,L,0.319,6%,0.156,11,,6,,-6%,-3%,0%,11.9,9.4,9.4,-3.7,22.5,6.6,1.6,0.0,0.0
Kyle Seager,,3B,4100,SEA,@MIN,4.85,Mejia,,-3%,L,L,0.318,-5%,0.175,-5,,5,,2%,3%,-3%,8.1,7.1,7.1,0.6,13.6,7.8,1.9,0.0,0.0
Dustin Pedroia,,2B,4100,BOS,PHI,6.19,Eickhoff,0.266,-12%,R,R,0.348,-2%,0.128,-5,,2,,4%,3%,5%,9.4,7.1,7.1,1.9,12.4,8.7,2.1,0.0,0.0
Jackie Bradley Jr.,1,OF,4100,BOS,PHI,6.19,Eickhoff,0.351,7%,R,L,0.352,4%,0.243,18,,7,,3%,3%,5%,8.9,7.6,7.6,-0.3,15.5,9.8,2.4,0.0,0.0
David Freese,2,3B,4000,PIT,COL,4.74,Freeland,0.320,1%,L,R,0.362,7%,0.182,16,,5,,-3%,2%,0%,8.7,7.2,7.2,0.9,13.4,7.2,1.8,0.0,0.0
Aaron Altherr,1,OF,4000,PHI,@BOS,4.31,Porcello,0.315,-1%,R,R,0.337,1%,0.180,-3,,2,,8%,3%,5%,6.6,9.2,9.2,0.8,17.6,9.7,2.4,0.0,0.0
DJ LeMahieu,,2B,4000,COL,@PIT,4.26,Taillon,0.309,-3%,R,R,0.343,0%,0.107,4,,2,,-14%,2%,0%,9.0,7.3,7.3,0.5,14.1,6.4,1.6,0.0,0.0
Leury Garcia,1,OF,4000,CWS,BAL,4.83,Miley,0.343,5%,L,S,0.226,-6%,0.030,-22,,1,,0%,3%,0%,8.2,7.7,7.7,1.0,14.4,7.8,1.9,0.0,0.0
Adam Eaton,,OF,4000,WAS,ATL,5.43,Foltynewicz,0.364,10%,R,L,0.361,5%,0.172,28,,x,,0%,0%,0%,10.9,10.6,10.6,3.0,18.2,0.0,0.0,0.0,0.0
Ender Inciarte,,OF,4000,ATL,@WAS,3.57,Strasburg,0.267,-12%,R,L,0.333,4%,0.113,17,,1,,1%,2%,0%,10.1,8.6,8.6,0.7,16.5,7.1,1.8,0.0,0.0
Josh Reddick,1,OF,4000,HOU,TEX,4.35,Darvish,0.300,-4%,R,L,0.357,11%,0.180,22,,2,,1%,3%,6%,8.0,7.8,7.8,1.2,14.5,9.1,2.3,0.0,0.0
Danny Valencia,1,1B,4000,SEA,@MIN,4.85,Mejia,0.364,6%,L,R,0.380,7%,0.185,1,,4,,10%,3%,-3%,10.4,7.0,7.0,-1.1,15.1,9.1,2.3,0.0,0.0
Yuli Gurriel,,1B,3900,HOU,TEX,4.35,Darvish,0.286,-7%,R,R,0.347,5%,0.177,11,,8,,0%,4%,6%,11.5,6.9,6.9,-0.1,14.0,6.7,1.7,0.0,0.0
Odubel Herrera,2,OF,3900,PHI,@BOS,4.31,Porcello,0.315,-1%,R,L,0.337,2%,0.147,10,,1,,15%,3%,5%,13.2,7.1,7.1,0.5,13.8,10.0,2.6,0.0,0.0
Shin-soo Choo,2,OF,3900,TEX,@HOU,4.15,Musgrove,0.337,4%,R,L,0.366,8%,0.187,25,,1,,0%,3%,5%,10.6,8.3,8.3,0.3,16.4,9.7,2.5,0.0,0.0
Jarrod Dyson,,OF,3900,SEA,@MIN,4.85,Mejia,,-3%,L,L,0.277,-7%,0.055,-33,,x,,0%,0%,0%,8.1,6.9,6.9,0.9,12.9,0.0,0.0,0.0,0.0
Carlos Beltran,,OF,3900,HOU,TEX,4.35,Darvish,0.300,-4%,R,S,0.344,3%,0.203,4,,5,,0%,4%,6%,7.2,7.0,7.0,-0.4,14.4,7.4,1.9,0.0,0.0
Kyle Schwarber,1,OF,3900,CHC,@NYM,4.05,deGrom,0.293,-6%,R,L,0.352,6%,0.248,12,,1,,0%,3%,6%,7.6,7.0,7.0,0.0,14.0,9.0,2.3,0.0,0.0
Andrelton Simmons,1,SS,3900,LAA,NYY,4.05,Tanaka,0.300,-4%,R,R,0.306,2%,0.091,-8,,1,,-3%,-3%,0%,9.4,7.3,7.3,1.2,13.4,6.7,1.7,0.0,0.0
Matt Kemp,,OF,3900,ATL,@WAS,3.57,Strasburg,0.294,-6%,R,R,0.329,-3%,0.197,-4,,x,,0%,0%,0%,4.9,8.9,8.9,0.2,17.7,0.0,0.0,0.0,0.0
Billy Hamilton,,OF,3900,CIN,@SD,4.12,Perdomo,0.368,10%,R,S,0.278,1%,0.062,-17,,1,,-4%,-2%,0%,3.5,8.8,8.8,1.0,16.6,8.7,2.2,0.0,0.0
Mike Zunino,,C,3900,SEA,@MIN,4.85,Mejia,0.364,6%,L,R,0.296,5%,0.149,-7,,8,,10%,3%,-3%,11.2,5.9,5.9,-2.0,13.7,7.6,1.9,0.0,0.0
Ian Happ,,2B,3800,CHC,@NYM,4.05,deGrom,0.293,-6%,R,S,0.360,3%,0.297,15,,x,,0%,0%,0%,6.7,7.6,7.6,-1.0,16.2,0.0,0.0,0.0,0.0
Adrian Beltre,,3B,3800,TEX,@HOU,4.15,Musgrove,0.337,3%,R,R,0.338,-8%,0.173,-12,,4,,-2%,4%,6%,8.8,8.8,8.8,2.3,15.3,8.4,2.2,0.0,0.0
Ryan Schimpf,,3B,3800,SD,CIN,4.38,Arroyo,0.329,4%,R,L,0.352,3%,0.303,3,,x,,0%,0%,0%,7.5,6.9,6.9,-0.4,14.2,0.0,0.0,0.0,0.0
Joey Gallo,2,3B,3800,TEX,@HOU,4.15,Musgrove,0.337,4%,R,L,0.330,3%,0.273,10,,5,,3%,4%,6%,8.1,8.4,8.4,0.2,16.6,9.5,2.5,0.0,0.0
Josh Bell,1,1B,3800,PIT,COL,4.74,Freeland,0.320,1%,L,S,0.265,0%,0.186,8,,3,,-3%,2%,0%,8.3,7.3,7.3,0.3,14.3,7.8,2.1,0.0,0.0
Evan Gattis,,C,3800,HOU,TEX,4.35,Darvish,0.286,-7%,R,R,0.334,0%,0.229,0,,x,,0%,0%,0%,7.7,7.1,7.1,0.3,13.9,0.0,0.0,0.0,0.0
Seth Smith,2,OF,3800,BAL,@CWS,5.17,Pelfrey,0.362,9%,R,L,0.338,3%,0.185,9,,1,,-4%,3%,0%,6.5,7.6,7.6,0.4,14.8,9.1,2.4,0.0,0.0
Scott Schebler,,OF,3800,CIN,@SD,4.12,Perdomo,0.368,10%,R,L,0.343,1%,0.222,0,,5,,-7%,-3%,0%,8.0,8.3,8.3,-0.3,16.9,7.1,1.9,0.0,0.0
Adam Jones,1,OF,3800,BAL,@CWS,5.17,Pelfrey,0.322,0%,R,R,0.339,2%,0.201,6,,3,,0%,4%,0%,7.6,7.4,7.4,-0.1,14.8,9.0,2.4,0.0,0.0
Trevor Story,,SS,3800,COL,@PIT,4.26,Taillon,0.309,-3%,R,R,0.340,-4%,0.244,-7,,7,,-18%,2%,0%,5.3,7.0,7.0,1.0,13.0,5.8,1.5,0.0,0.0
Howie Kendrick,2,OF,3800,PHI,@BOS,4.31,Porcello,0.315,-1%,R,R,0.321,-2%,0.130,1,,3,,9%,3%,5%,9.2,8.8,8.8,0.9,16.7,8.5,2.2,0.0,0.0
Chris Carter,,1B,3800,NYY,@LAA,4.45,Meyer,0.316,-1%,R,R,0.329,-2%,0.243,-1,,9,,-7%,-4%,0%,7.3,6.1,6.1,-0.4,12.6,6.0,1.6,0.0,0.0
Adam Lind,1,1B,3700,WAS,ATL,5.43,Foltynewicz,0.364,10%,R,L,0.351,9%,0.215,17,,x,,0%,0%,0%,9.9,7.8,7.8,0.2,15.4,0.0,0.0,0.0,0.0
Robbie Grossman,1,OF,3700,MIN,SEA,5.15,Gallardo,0.318,0%,R,S,0.337,-1%,0.153,8,,2,,0%,2%,-2%,9.1,8.3,8.3,1.1,15.6,7.7,2.1,0.0,0.0
Max Kepler,1,OF,3700,MIN,SEA,5.15,Gallardo,0.318,0%,R,L,0.343,9%,0.212,16,,5,,0%,3%,-2%,6.0,7.8,7.8,0.5,15.0,8.6,2.3,0.0,0.0
Carlos Gomez,,OF,3700,TEX,@HOU,4.15,Musgrove,0.337,3%,R,R,0.323,-1%,0.173,-3,,x,,0%,0%,0%,6.5,7.6,7.6,-0.3,15.4,0.0,0.0,0.0,0.0
Curtis Granderson,1,OF,3700,NYM,CHC,4.45,Lackey,0.321,0%,R,L,0.362,6%,0.228,12,,x,,0%,0%,0%,8.5,6.4,6.4,0.0,12.8,0.0,0.0,0.0,0.0
Mark Trumbo,2,OF,3700,BAL,@CWS,5.17,Pelfrey,0.322,0%,R,R,0.349,1%,0.226,-2,,4,,0%,4%,0%,5.4,7.3,7.3,-0.3,14.8,9.6,2.6,0.0,0.0
David Wright,,3B,3700,NYM,CHC,4.45,Lackey,0.278,-9%,R,R,0.343,-6%,0.162,-6,,x,,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoan Moncada,,2B/3B,3700,CWS,BAL,4.83,Miley,0.343,5%,L,S,,3%,,8,,x,,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yangervis Solarte,1,2B,3700,SD,CIN,4.38,Arroyo,0.329,4%,R,S,0.338,3%,0.166,9,,2,,-3%,-3%,0%,7.6,6.5,6.5,0.6,12.5,7.4,2.0,0.0,0.0
Dansby Swanson,1,SS,3700,ATL,@WAS,3.57,Strasburg,0.294,-6%,R,R,0.277,-6%,0.102,-16,,8,,2%,3%,0%,9.5,6.1,6.1,-0.2,12.4,5.5,1.5,0.0,0.0
Mike Napoli,,1B,3700,TEX,@HOU,4.15,Musgrove,0.337,3%,R,R,0.304,-10%,0.195,-8,,x,,0%,0%,0%,7.8,6.8,6.8,-1.2,14.7,0.0,0.0,0.0,0.0
Joe Mauer,1,1B,3600,MIN,SEA,5.15,Gallardo,0.318,0%,R,L,0.331,2%,0.126,9,,3,,0%,2%,-2%,6.8,7.4,7.4,0.9,13.9,8.0,2.2,0.0,0.0
Nick Markakis,1,OF,3600,ATL,@WAS,3.57,Strasburg,0.267,-12%,R,L,0.340,7%,0.116,28,,3,,2%,2%,0%,6.4,6.9,6.9,1.7,12.0,6.3,1.8,0.0,0.0
Phillip Ervin,,OF,3600,CIN,@SD,4.12,Perdomo,0.343,5%,R,R,,-1%,,2,,x,,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Haniger,,OF,3600,SEA,@MIN,4.85,Mejia,0.364,6%,L,R,0.293,2%,0.214,9,,x,,0%,0%,0%,11.1,11.0,11.0,3.8,18.2,0.0,0.0,0.0,0.0
Wil Myers,1,1B,3600,SD,CIN,4.38,Arroyo,0.383,7%,R,R,0.336,1%,0.207,12,,3,,-2%,-3%,0%,5.8,8.1,8.1,0.9,15.3,8.5,2.4,0.0,0.0
Tim Anderson,,SS,3600,CWS,BAL,4.83,Miley,0.343,5%,L,R,0.328,4%,0.099,-4,,7,,0%,3%,0%,6.0,6.7,6.7,-0.2,13.7,7.0,1.9,0.0,0.0
Manuel Margot,,OF,3600,SD,CIN,4.38,Arroyo,0.383,7%,R,R,0.289,-3%,0.140,0,,x,,0%,0%,0%,3.0,6.6,6.6,-0.1,13.4,0.0,0.0,0.0,0.0
Hanley Ramirez,,1B,3600,BOS,PHI,6.19,Eickhoff,0.266,-12%,R,R,0.333,-6%,0.176,-15,,6,,4%,4%,6%,6.6,7.3,7.3,0.5,14.1,9.1,2.5,0.0,0.0
Tyler Flowers,,C,3600,ATL,@WAS,3.57,Strasburg,0.294,-6%,R,R,0.324,2%,0.130,-2,,4,,2%,3%,0%,7.7,7.6,7.6,1.5,13.7,6.5,1.8,0.0,0.0
Brandon Phillips,1,2B,3600,ATL,@WAS,3.57,Strasburg,0.294,-6%,R,R,0.324,3%,0.120,3,,2,,3%,3%,0%,6.7,7.3,7.3,0.5,14.2,6.8,1.9,0.0,0.0
Jayson Werth,,OF,3600,WAS,ATL,5.43,Foltynewicz,0.330,2%,R,R,0.303,-12%,0.142,-22,,x,,0%,0%,0%,8.1,8.1,8.1,0.0,16.2,0.0,0.0,0.0,0.0
Jordy Mercer,1,SS,3600,PIT,COL,4.74,Freeland,0.320,1%,L,R,0.357,15%,0.164,36,,1,,-2%,2%,0%,8.8,6.5,6.5,0.5,12.4,8.3,2.3,0.0,0.0
Welington Castillo,,C,3500,BAL,@CWS,5.17,Pelfrey,0.322,0%,R,R,0.311,-5%,0.164,-7,,7,,0%,3%,0%,2.4,7.3,7.3,-0.7,15.2,7.3,2.1,0.0,0.0
Melky Cabrera,1,OF,3500,CWS,BAL,4.83,Miley,0.343,5%,L,S,0.311,-3%,0.137,1,,2,,0%,3%,0%,5.0,6.9,6.9,0.8,13.0,8.0,2.3,0.0,0.0
Matt Adams,1,1B/OF,3500,ATL,@WAS,3.57,Strasburg,0.267,-12%,R,L,0.325,7%,0.203,11,,5,,-1%,3%,0%,10.1,7.7,7.7,-1.4,16.8,6.8,1.9,0.0,0.0
Asdrubal Cabrera,,SS,3500,NYM,CHC,4.45,Lackey,0.321,0%,R,S,0.329,3%,0.183,11,,2,,-2%,3%,5%,5.1,7.0,7.0,0.0,14.0,7.8,2.2,0.0,0.0
Gerardo Parra,,OF,3500,COL,@PIT,4.26,Taillon,0.303,-3%,R,L,0.328,8%,0.168,30,,x,,0%,0%,0%,12.6,8.1,8.1,0.6,15.7,0.0,0.0,0.0,0.0
Kennys Vargas,,1B,3500,MIN,SEA,5.15,Gallardo,0.318,0%,R,S,0.289,-3%,0.195,9,,6,,0%,3%,-3%,5.9,7.3,7.3,0.5,14.0,7.2,2.1,0.0,0.0
Javier Baez,,2B/SS,3500,CHC,@NYM,4.05,deGrom,0.271,-11%,R,R,0.295,-5%,0.151,-9,,x,,0%,0%,0%,5.7,7.5,7.5,-1.5,16.4,0.0,0.0,0.0,0.0
Jason Castro,4,C,3500,MIN,SEA,5.15,Gallardo,0.318,0%,R,L,0.318,7%,0.193,21,,7,,0%,3%,-2%,8.9,6.3,6.3,0.9,11.7,7.0,2.0,0.0,0.0
