"Name","Salary","Team","Position","OppTeam","Projections"
"Kolten Wong",3200,"STL","2B","NYM",4.63
"Domingo Santana",4200,"MIL","OF","PIT",6.47
"Eric Thames",4300,"MIL","1B/OF","PIT",8.74
"Joey Rickard",3300,"BAL","OF","TEX",5.71
"Ryan Braun",4300,"MIL","OF","PIT",7.46
"Orlando Arcia",3700,"MIL","SS","PIT",5.62
"Travis Shaw",4500,"MIL","3B","PIT",9.81
"Keon Broxton",3100,"MIL","OF","PIT",5.78
"Ruben Tejada",3500,"BAL","3B/SS","TEX",4.91
"Welington Castillo",3300,"BAL","C","TEX",6.27
"Manny Machado",4600,"BAL","3B","TEX",9.05
"Adam Jones",4000,"BAL","OF","TEX",8.23
"Robinson Chirinos",3500,"TEX","C","BAL",5.86
"Mark Trumbo",4300,"BAL","OF","TEX",8.47
"Jonathan Schoop",4100,"BAL","2B","TEX",8.26
"Chris Davis",3500,"BAL","1B","TEX",5.91
"Trey Mancini",3600,"BAL","1B/OF","TEX",7.2
"Jonathan Villar",3700,"MIL","2B","PIT",7.05
"Manuel Pina",3000,"MIL","C","PIT",4.92
"Dexter Fowler",3500,"STL","OF","NYM",5.29
"Matt Carpenter",3600,"STL","1B","NYM",6.54
"Jedd Gyorko",3500,"STL","3B","NYM",5.55
"Yadier Molina",2900,"STL","C","NYM",4.39
"Magneuris Sierra",2700,"STL","OF","NYM",3.99
"Paul DeJong",3300,"STL","2B/SS","NYM",4.83
"Thomas Pham",3800,"STL","OF","NYM",6.17
"Josh Bell",4300,"PIT","1B","MIL",7.73
"Jordy Mercer",3800,"PIT","SS","MIL",5.36
"Josh Harrison",3800,"PIT","2B/3B","MIL",7.01
"Starling Marte",4500,"PIT","OF","MIL",7.85
"Andrew McCutchen",4700,"PIT","OF","MIL",8.47
"Gregory Polanco",4100,"PIT","OF","MIL",7.26
"Francisco Cervelli",3400,"PIT","C","MIL",5.74
"David Freese",2800,"PIT","3B","MIL",5.94
"Troy Tulowitzki",3400,"TOR","SS","BOS",6.06
"Dustin Pedroia",4200,"BOS","2B","TOR",7.23
"Jorge Bonifacio",3700,"KCR","OF","DET",5.92
"Alcides Escobar",2800,"KCR","SS","DET",4.8
"Whit Merrifield",4000,"KCR","2B","DET",6.35
"Brandon Moss",2300,"KCR","OF","DET",4.94
