"Name","Salary","Team","Position","OppTeam","Projections","NA","NA","NA","NA","NA","NA","NA"
"player_id","stat_id","name","team","pos","home_moneyline","away_moneyline","home_total","away_total","opp","order","rpos","fpts"
"10512","443558","Nelson Cruz","SEA","OF","-143","133","5.16","4.34","WAS","4B","X","0"
"10513","518792","Jason Heyward","CHC","OF","-111","101","0","0","SFG","6B","RF","0"
"10516","425783","Shin-Soo Choo","TEX","OF","-184","174","5.24","3.76","BOS","","","0"
"10517","457705","Andrew McCutchen","PIT","OF","110","-120","4.34","4.66","ATL","3B","X","0"
"10522","434158","Curtis Granderson","NYM","OF","-210","194","4.51","2.99","SDP","5B","CF","0"
"10525","150029","Jayson Werth","WAS","OF","-143","133","5.16","4.34","SEA","2B","X","0"
"10526","444843","Andre Ethier","LAD","OF","-140","130","4.05","3.45","STL","","","0"
"10528","489149","Logan Morrison","TBR","1B","-128","118","4.48","4.02","LAA","4B","1B","0"
"10533","455976","Nick Markakis","ATL","OF","110","-120","4.34","4.66","PIT","3B","RF","0"
"10534","461314","Matt Kemp","ATL","OF","110","-120","4.34","4.66","PIT","4B","LF","0"
"10535","452254","Hunter Pence","SFG","OF","-111","101","0","0","CHC","","","0"
"10536","457803","Jay Bruce","NYM","1B/OF","-210","194","4.51","2.99","SDP","3B","RF","0"
"10538","453211","Drew Stubbs","TEX","OF","-184","174","5.24","3.76","BOS","","","0"
"10540","457706","Austin Jackson","CLE","OF","-200","185","5.64","3.86","CIN","","","0"
"10541","452655","Denard Span","SFG","OF","-111","101","0","0","CHC","1B","X","0"
"10542","460075","Ryan Braun","MIL","OF","-101","-109","4.44","4.56","ARI","4B","X","0"
"10548","458731","Brett Gardner","NYY","OF","-178","168","4.91","3.59","KCR","1B","X","0"
"10554","457708","Justin Upton","DET","OF","-119","109","4.65","4.35","HOU","6B","LF","0"
"10556","458675","Colby Rasmus","TBR","OF","-128","118","4.48","4.02","LAA","6B","LF","0"
"10560","136860","Carlos Beltran","HOU","OF","-119","109","4.65","4.35","DET","5B","X","0"
"10562","451594","Dexter Fowler","STL","OF","-140","130","4.05","3.45","LAD","1B","X","0"
"10564","488726","Michael Brantley","CLE","OF","-200","185","5.64","3.86","CIN","3B","X","0"
"10572","453056","Jacoby Ellsbury","NYY","OF","-178","168","4.91","3.59","KCR","","","0"
"10573","457727","Cameron Maybin","LAA","OF","-128","118","4.48","4.02","TBR","1B","LF","0"
"10580","460086","Alex Gordon","KCR","OF","-178","168","4.91","3.59","NYY","9B","X","0"
"10583","488721","Peter Bourjos","TBR","OF","-128","118","4.48","4.02","LAA","","","0"
"10587","434604","Michael Morse","SFG","1B/OF","-111","101","0","0","CHC","","","0"
"10591","467827","Gerardo Parra","COL","OF","106","-116","4.14","4.36","PHI","6B","X","0"
"10602","459431","Michael Saunders","PHI","OF","106","-116","4.14","4.36","COL","","","0"
"10605","466988","Emilio Bonifacio","ATL","OF","110","-120","4.34","4.66","PIT","","","0"
"10610","445055","Jon Jay","CHC","OF","-111","101","0","0","SFG","","","0"
"10614","502481","Jarrod Dyson","SEA","OF","-143","133","5.16","4.34","WAS","8B","X","0"
"10615","446263","Lucas Duda","NYM","1B","-210","194","4.51","2.99","SDP","7B","1B","0"
"10616","460576","Carlos Gomez","TEX","OF","-184","174","5.24","3.76","BOS","","","0"
"10622","502317","Chris Heisey","WAS","OF","-143","133","5.16","4.34","SEA","","","0"
"10652","475243","Travis Wood","KCR","RP","-178","168","4.91","3.59","NYY","","","0"
"10653","430912","Matt Cain","SFG","SP","-111","101","0","0","CHC","","","0"
"10656","474463","Brett Anderson","CHC","SP","-111","101","0","0","SFG","","","0"
"10657","445060","Ricky Nolasco","LAA","SP","-128","118","4.48","4.02","TBR","","","0"
"10664","407822","Jorge De La Rosa","ARI","SP","-101","-109","4.44","4.56","MIL","","","0"
"10666","450306","Jason Vargas","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"10670","543339","Daniel Hudson","PIT","RP","110","-120","4.34","4.66","ATL","","","0"
"10671","407793","John Lackey","CHC","SP","-111","101","0","0","SFG","","","0"
"10674","453385","Clayton Richard","SDP","SP","-210","194","4.51","2.99","NYM","","","0"
"10678","471911","Carlos Carrasco","CLE","SP","-200","185","5.64","3.86","CIN","","","0"
"10682","519240","Marc Rzepczynski","SEA","RP","-143","133","5.16","4.34","WAS","","","0"
"10687","456696","David Hernandez","LAA","RP","-128","118","4.48","4.02","TBR","","","0"
"10697","452718","Kyle Kendrick","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
"10701","452666","Tom Wilhelmsen","ARI","RP","-101","-109","4.44","4.56","MIL","","","0"
"10702","112526","Bartolo Colon","ATL","SP","110","-120","4.34","4.66","PIT","9B","P","0"
"10707","491703","Neftali Feliz","MIL","RP","-101","-109","4.44","4.56","ARI","","","0"
"10715","434718","Huston Street","LAA","RP","-128","118","4.48","4.02","TBR","","","0"
"10716","407845","Fernando Rodney","ARI","RP","-101","-109","4.44","4.56","MIL","","","0"
"10718","465657","Joakim Soria","KCR","RP","-178","168","4.91","3.59","NYY","","","0"
"10727","408061","Francisco Rodriguez","DET","RP","-119","109","4.65","4.35","HOU","","","0"
"10728","518886","Craig Kimbrel","BOS","RP","-184","174","5.24","3.76","TEX","","","0"
"10733","493157","Koji Uehara","CHC","RP","-111","101","0","0","SFG","","","0"
"10737","519322","Drew Storen","CIN","RP","-200","185","5.64","3.86","CLE","","","0"
"10741","461325","Tyler Clippard","NYY","RP","-178","168","4.91","3.59","KCR","","","0"
"10754","547973","Aroldis Chapman","NYY","RP","-178","168","4.91","3.59","KCR","","","0"
