"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
11,718716880,"dkiefr19 (7/10)",0,171,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Brandon Belt 2B Neil Walker 3B Justin Turner SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF Bryce Harper",NA,"Daniel Murphy","16.89%",10
12,718354759,"ChipotleAddict (39/150)",0,167.9,"P Chris Sale P Brandon Finnegan C J.T. Realmuto 1B Eric Thames 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Kirk Nieuwenhuis OF Christian Yelich",NA,"Nolan Arenado","15.59%",3
13,718354741,"ChipotleAddict (21/150)",0,166.9,"P Chris Sale P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Travis Shaw SS Brandon Crawford OF Ryan Braun OF Hunter Pence OF Eric Thames",NA,"Brandon Belt","14.78%",24
13,718354765,"ChipotleAddict (45/150)",0,166.9,"P Chris Sale P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Jean Segura 3B Eduardo Núñez SS Brandon Crawford OF Nelson Cruz OF Jarrod Dyson OF Hunter Pence",NA,"Carlos González","14.62%",0
15,718462372,"SmokeAndMirrors",0,166.7,"P Chris Sale P Trevor Cahill C J.T. Realmuto 1B Travis Shaw 2B Brandon Drury 3B Manny Machado SS Francisco Lindor OF Andrew Benintendi OF Mike Trout OF Bryce Harper",NA,"Gorkys Hernández","13.56%",0
16,718718292,"Blitz2187",0,166.25,"P Jacob deGrom P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Eduardo Núñez SS Manny Machado OF Adam Jones OF Jacoby Ellsbury OF Hunter Pence",NA,"Danny Salazar","13.18%",17.35
17,718354796,"ChipotleAddict (76/150)",0,164.9,"P Chris Sale P Brandon Finnegan C Chris Iannetta 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF A.J. Pollock OF Eric Thames",NA,"Gary Sánchez","12.75%",3
17,718830482,"DollarBillW (129/150)",0,164.9,"P Chris Sale P Brandon Finnegan C Chris Iannetta 1B Paul Goldschmidt 2B Brandon Drury 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF A.J. Pollock OF Eric Thames",NA,"Charlie Morton","11.98%",13.3
19,718433148,"juanshen (109/150)",0,164.55,"P Charlie Morton P Rich Hill C J.T. Realmuto 1B Ryan Zimmerman 2B Daniel Murphy 3B José Ramírez SS Francisco Lindor OF Brandon Guyer OF Bryce Harper OF Adam Eaton",NA,"Yasmani Grandal","11.74%",0
20,718001998,"windchimesRrude (144/150)",0,163.8,"P Garrett Richards P Jacob deGrom C J.T. Realmuto 1B Eric Thames 2B Dee Gordon 3B Jonathan Villar SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Giancarlo Stanton",NA,"Brandon Crawford","11.70%",7
21,718196743,"djfallon0428",0,163.05,"P Chris Sale P James Paxton C Stephen Vogt 1B Justin Smoak 2B Dustin Pedroia 3B Eduardo Núñez SS Francisco Lindor OF Jackie Bradley Jr. OF Jacoby Ellsbury OF Trea Turner",NA,"Corey Seager","10.87%",7
22,718408093,"Frontliner (1/3)",0,162.95,"P James Paxton P Rich Hill C J.T. Realmuto 1B Brandon Belt 2B Daniel Murphy 3B Jonathan Villar SS Trea Turner OF A.J. Pollock OF Andrew Toles OF Chris Owings",NA,"Greg Bird","10.83%",0
23,718723795,"Drolson22 (30/81)",0,162.45,"P Chris Sale P Garrett Richards C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Jake Lamb SS Eduardo Núñez OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Andrew Toles","10.73%",2
24,718150484,"TeamMisanthrope (6/12)",0,162,"P Alex Cobb P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF A.J. Pollock OF Yasmany Tomás",NA,"Chris Owings","9.93%",26
25,718008116,"bigchuck94",0,161.05,"P Chris Sale P James Paxton C Cameron Rupp 1B Paul Goldschmidt 2B Brandon Drury 3B José Ramírez SS Francisco Lindor OF Brandon Guyer OF Yasmany Tomás OF Chris Owings",NA,"Eduardo Núñez","9.92%",13
26,718001982,"windchimesRrude (128/150)",0,160.9,"P Chris Sale P Brandon Finnegan C J.T. Realmuto 1B Justin Bour 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Giancarlo Stanton OF Christian Yelich OF Eric Thames",NA,"Trevor Story","9.65%",7
27,718433113,"juanshen (74/150)",0,160.8,"P Brandon Finnegan P Rich Hill C Buster Posey 1B Travis Shaw 2B Joe Panik 3B Jonathan Villar SS Eduardo Núñez OF Yasiel Puig OF Eric Thames OF Hernán Pérez",NA,"Yasmany Tomás","9.42%",10
27,718900520,"tumorgroomer (6/27)",0,160.8,"P Chris Sale P Michael Pineda C Yasmani Grandal 1B Brandon Belt 2B Jed Lowrie 3B Travis Shaw SS Jonathan Villar OF Nomar Mazara OF A.J. Pollock OF Chris Owings",NA,"Eric Thames","9.20%",17
29,717938403,"ocdobv (17/150)",0,160.4,"P Tyler Chatwood P Jacob deGrom C J.T. Realmuto 1B Edwin Encarnación 2B Daniel Murphy 3B Ryan Zimmerman SS Francisco Lindor OF Brandon Guyer OF Bryce Harper OF Adam Eaton",NA,"Hunter Pence","9.03%",15
30,718314085,"Awesemo (75/150)",0,160.05,"P Chris Sale P Jacob deGrom C J.T. Realmuto 1B Brandon Belt 2B Joe Panik 3B Eduardo Núñez SS Chris Owings OF Matt Joyce OF Hunter Pence OF Gorkys Hernández",NA,"Neil Walker","8.95%",0
31,717938523,"ocdobv (137/150)",0,159.65,"P Chris Sale P Charlie Morton C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Eduardo Núñez SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Bryce Harper",NA,"J.T. Realmuto","8.77%",23
32,718861658,"Savan1986 (16/42)",0,159.35,"P Garrett Richards P Rich Hill C Chris Iannetta 1B Adrián González 2B Joe Panik 3B Jonathan Villar SS Francisco Lindor OF Gerardo Parra OF Hunter Pence OF A.J. Pollock",NA,"Garrett Richards","8.76%",16.1
33,718936343,"Turk610",0,159,"P Jacob deGrom P Tanner Roark C J.T. Realmuto 1B Brandon Belt 2B Howie Kendrick 3B Travis Shaw SS Chris Owings OF Charlie Blackmon OF A.J. Pollock OF Andrew Toles",NA,"Brandon Drury","8.62%",7
34,718847992,"ql81 (87/100)",0,158.95,"P Jacob deGrom P Rich Hill C Chris Iannetta 1B Brandon Belt 2B Brandon Drury 3B Hernán Pérez SS Andrelton Simmons OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"Jonathan Villar","8.40%",19
35,718901680,"rvmpj10 (21/25)",0,158.65,"P Chris Sale P Charlie Morton C Buster Posey 1B Paul Goldschmidt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF George Springer OF A.J. Pollock OF Chris Owings",NA,"Tyler Chatwood","8.05%",10.7
36,718741922,"bngoss",0,158.6,"P Dylan Bundy P Rich Hill C Matt Wieters 1B Buster Posey 2B Dustin Pedroia 3B José Ramírez SS Francisco Lindor OF Carlos González OF Curtis Granderson OF Jay Bruce",NA,"Manny Machado","7.97%",3
37,718829670,"alanbr (5/5)",0,158.45,"P Chris Sale P Garrett Richards C J.T. Realmuto 1B Travis Shaw 2B Brandon Phillips 3B Jonathan Villar SS Jean Segura OF Ryan Braun OF Eric Thames OF Hernán Pérez",NA,"Giancarlo Stanton","7.88%",0
38,718514143,"klink (5/7)",0,158.05,"P Chris Sale P James Paxton C Matt Wieters 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Marcell Ozuna OF Bryce Harper",NA,"Travis Shaw","7.84%",16
39,718025216,"youdacao (92/150)",0,157.8,"P Chris Sale P Michael Pineda C Matt Wieters 1B Brandon Belt 2B Daniel Murphy 3B Ryan Zimmerman SS Chris Owings OF Matt Joyce OF Bryce Harper OF Adam Eaton",NA,"Ryan Zimmerman","7.54%",18
40,717998288,"petteytheft89 (48/120)",0,157.05,"P Jacob deGrom P Danny Salazar C Roberto Pérez 1B Edwin Encarnación 2B Jean Segura 3B Ryan Zimmerman SS Francisco Lindor OF Brandon Guyer OF Eric Thames OF José Ramírez",NA,"Dee Gordon","7.53%",12
41,718187422,"nomoreiloveyous (104/120)",0,156.8,"P Michael Pineda P Danny Salazar C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Francisco Lindor OF Hunter Pence OF Jarrett Parker OF Bryce Harper",NA,"Andrew Benintendi","7.47%",3
41,718461232,"tkoblow (125/150)",0,156.8,"P Chris Sale P Michael Pineda C Buster Posey 1B Travis Shaw 2B Dustin Pedroia 3B Jonathan Villar SS Francisco Lindor OF Joey Rickard OF Gorkys Hernández OF Chris Owings",NA,"Joc Pederson","7.47%",2
43,718001923,"windchimesRrude (69/150)",0,156.7,"P Chris Sale P Danny Salazar C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF Gorkys Hernández OF A.J. Pollock",NA,"James Paxton","7.14%",21.7
44,718825301,"LuCassch0utside (19/28)",0,156.55,"P Charlie Morton P Rich Hill C Welington Castillo 1B Paul Goldschmidt 2B Brandon Drury 3B Nolan Arenado SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF Chris Owings",NA,"Robinson Canó","7.13%",2
45,718461221,"tkoblow (114/150)",0,155.8,"P Chris Sale P Michael Pineda C Buster Posey 1B Greg Bird 2B DJ LeMahieu 3B Travis Shaw SS Francisco Lindor OF Andrew Toles OF Eric Thames OF Chris Owings",NA,"Adrián González","6.93%",11
45,718851817,"bw5126 (128/150)",0,155.8,"P Garrett Richards P Jacob deGrom C J.T. Realmuto 1B Joey Votto 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Brandon Drury",NA,"Curtis Granderson","6.80%",0
47,718311552,"bric75 (10/20)",0,155.55,"P Charlie Morton P Rich Hill C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Eduardo Núñez SS Francisco Lindor OF Charlie Blackmon OF Hunter Pence OF Gorkys Hernández",NA,"DJ LeMahieu","6.71%",4
48,718005056,"dgw38579",0,155.25,"P Jacob deGrom P Brandon Finnegan C J.T. Realmuto 1B Kendrys Morales 2B José Altuve 3B Travis Shaw SS Corey Seager OF Corey Dickerson OF George Springer OF Mark Trumbo",NA,"Matt Joyce","6.70%",3
49,718314054,"Awesemo (44/150)",0,155.05,"P Jacob deGrom P Danny Salazar C Matt Wieters 1B Eric Thames 2B Daniel Murphy 3B Ryan Zimmerman SS Chris Owings OF Ryan Braun OF Jayson Werth OF Adam Eaton",NA,"Mike Trout","6.69%",10
50,718353577,"doughma12 (2/2)",0,154.95,"P James Paxton P Rich Hill C J.T. Realmuto 1B Brandon Belt 2B Daniel Murphy 3B Jonathan Villar SS Trea Turner OF Matt Joyce OF A.J. Pollock OF Eric Thames",NA,"Logan Forsythe","6.59%",0
51,718461189,"tkoblow (82/150)",0,154.8,"P Chris Sale P Michael Pineda C Buster Posey 1B Brandon Belt 2B Devon Travis 3B DJ LeMahieu SS Francisco Lindor OF Matt Joyce OF Andrew Toles OF Chris Owings",NA,"Mark Trumbo","6.49%",0
51,718654384,"Scott1214 (2/2)",0,154.8,"P Chris Sale P Michael Pineda C Sandy León 1B Paul Goldschmidt 2B Brandon Drury 3B Ryan Zimmerman SS Chris Owings OF Gerardo Parra OF A.J. Pollock OF Yasmany Tomás",NA,"Josh Donaldson","6.47%",3
51,718861653,"Savan1986 (11/42)",0,154.8,"P Garrett Richards P Jacob deGrom C Derek Norris 1B Paul Goldschmidt 2B Jean Segura 3B Josh Donaldson SS Francisco Lindor OF Corey Dickerson OF Curtis Granderson OF Matt Holliday",NA,"José Altuve","6.34%",0
51,718958445,"tumorgroomer (24/27)",0,154.8,"P Garrett Richards P Jacob deGrom C J.T. Realmuto 1B Brandon Belt 2B Logan Forsythe 3B Evan Longoria SS Chris Owings OF Ryan Braun OF Nomar Mazara OF José Ramírez",NA,"Mark Reynolds","6.17%",10
55,718613696,"anomz24 (1/2)",0,154.7,"P Dylan Bundy P Chris Sale C Matt Wieters 1B Paul Goldschmidt 2B Dee Gordon 3B Manny Machado SS Chris Owings OF Joey Rickard OF A.J. Pollock OF Yasmany Tomás",NA,"Joey Rickard","6.11%",0
56,718078705,"scout326 (3/150)",0,154.65,"P Chris Sale P Charlie Morton C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Yoenis Céspedes","5.97%",5
57,718839356,"isupol (33/41)",0,154.6,"P Dylan Bundy P Rich Hill C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Derek Dietrich SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Giancarlo Stanton",NA,"Adam Eaton","5.90%",11
58,718001882,"windchimesRrude (28/150)",0,154.45,"P Chris Sale P Garrett Richards C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Derek Dietrich SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Justin Turner","5.88%",13
59,718875517,"Jmatthys (1/2)",0,153.8,"P Chris Sale P Michael Pineda C Matt Wieters 1B Brandon Belt 2B Logan Forsythe 3B Eduardo Núñez SS Brandon Crawford OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Matt Wieters","5.83%",17
60,718954038,"nrh917 (3/3)",0,153.55,"P Charlie Morton P Rich Hill C Gary Sánchez 1B Paul Goldschmidt 2B Neil Walker 3B José Ramírez SS Francisco Lindor OF A.J. Pollock OF Yasmany Tomás OF Chris Owings",NA,"Chris Iannetta","5.43%",5
61,718433088,"juanshen (49/150)",0,153.15,"P Michael Pineda P Jacob deGrom C Mike Zunino 1B Carlos Santana 2B Jean Segura 3B Yandy Díaz SS Francisco Lindor OF Brandon Guyer OF Leonys Martin OF Eric Thames",NA,"José Reyes","5.37%",0
62,718882976,"jordanh415 (1/4)",0,153.05,"P Chris Sale P Jacob deGrom C Tony Wolters 1B Brandon Belt 2B Jed Lowrie 3B Ryan Zimmerman SS Chris Owings OF Matt Joyce OF A.J. Pollock OF Bryce Harper",NA,"Dustin Pedroia","5.20%",5
63,718851778,"bw5126 (89/150)",0,152.7,"P Michael Pineda P Rich Hill C Evan Gattis 1B Eric Thames 2B Daniel Murphy 3B Yuli Gurriel SS Francisco Lindor OF Carlos Beltrán OF Jake Marisnick OF George Springer",NA,"Corey Dickerson","5.20%",19
64,718873716,"xmen",0,152.45,"P Chris Sale P Garrett Richards C Matt Wieters 1B Ryan Zimmerman 2B Jean Segura 3B Eduardo Núñez SS Xander Bogaerts OF Jacoby Ellsbury OF A.J. Pollock OF Hanley Ramírez",NA,"Asdrúbal Cabrera","5.06%",2
65,718354767,"ChipotleAddict (47/150)",0,151.8,"P Chris Sale P Michael Pineda C Chris Iannetta 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF Hunter Pence OF A.J. Pollock OF Yasmany Tomás",NA,"Anthony Rendón","5.05%",0
66,718322874,"nawmsayin (11/51)",0,151.6,"P Danny Salazar P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Yasmany Tomás OF Chris Owings",NA,"Xander Bogaerts","4.94%",0
67,718830380,"DollarBillW (27/150)",0,151.55,"P Charlie Morton P Rich Hill C Derek Norris 1B Carlos Santana 2B José Altuve 3B Jonathan Villar SS Francisco Lindor OF Ryan Braun OF Brandon Guyer OF Eric Thames",NA,"Jay Bruce","4.72%",22
68,718862936,"marcomichael (4/5)",0,151.45,"P Chris Sale P Garrett Richards C Buster Posey 1B Brandon Belt 2B Howie Kendrick 3B Jonathan Villar SS Eduardo Núñez OF Jarrod Dyson OF Hunter Pence OF A.J. Pollock",NA,"Ryan Braun","4.46%",9
69,718314025,"Awesemo (15/150)",0,151.4,"P Jacob deGrom P James Paxton C Matt Wieters 1B Brandon Belt 2B Joe Panik 3B Ryan Zimmerman SS Eduardo Núñez OF Carlos González OF Hunter Pence OF Bryce Harper",NA,"Jharel Cotton","4.40%",1.75
69,718682362,"l4feh4cks (3/3)",0,151.4,"P Jacob deGrom P James Paxton C Chris Iannetta 1B Paul Goldschmidt 2B Daniel Murphy 3B Travis Shaw SS Jonathan Villar OF Corey Dickerson OF Ryan Braun OF Eric Thames",NA,"Tanner Roark","4.40%",21.3
71,718828606,"j3lly",0,151.1,"P J.A. Happ P Chris Sale C Evan Gattis 1B Hanley Ramírez 2B Brandon Drury 3B Eduardo Núñez SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF José Ramírez",NA,"Brett Gardner","4.38%",5
72,718904783,"sheesheenees",0,151.05,"P Chris Sale P Jacob deGrom C J.T. Realmuto 1B Eric Thames 2B Starlin Castro 3B Jonathan Villar SS Orlando Arcia OF Joey Rickard OF Corey Dickerson OF Hunter Renfroe",NA,"Cole Hamels","4.29%",11.3
73,718834470,"AndreGV (10/10)",0,151,"P Michael Pineda P Brandon Finnegan C Evan Gattis 1B Brandon Belt 2B José Altuve 3B Alex Bregman SS Jonathan Villar OF Mike Trout OF Carlos Beltrán OF George Springer",NA,"Starlin Castro","4.23%",0
74,718496911,"moklovin (107/150)",0,150.95,"P Tyler Chatwood P Rich Hill C Buster Posey 1B Paul Goldschmidt 2B Joe Panik 3B Jonathan Villar SS Chris Owings OF Hunter Pence OF A.J. Pollock OF Eric Thames",NA,"Jake Lamb","4.22%",7
75,718078774,"scout326 (72/150)",0,150.65,"P Chris Sale P Charlie Morton C Matt Wieters 1B Travis Shaw 2B Anthony Rendón 3B Ryan Zimmerman SS Jonathan Villar OF Ryan Braun OF Bryce Harper OF Eric Thames",NA,"Stephen Vogt","4.20%",5
76,718322875,"nawmsayin (12/51)",0,150.6,"P Danny Salazar P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Jake Lamb SS Brandon Crawford OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Jed Lowrie","4.14%",0
77,718496952,"moklovin (148/150)",0,150.35,"P Garrett Richards P Rich Hill C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Yunel Escobar SS Chris Owings OF Mike Trout OF Kole Calhoun OF A.J. Pollock",NA,"Welington Castillo","4.02%",3
78,718461129,"tkoblow (22/150)",0,150.3,"P Chris Sale P Jameson Taillon C Chris Iannetta 1B Travis Shaw 2B Daniel Murphy 3B Ryan Zimmerman SS Trea Turner OF Bryce Harper OF Adam Eaton OF Chris Owings",NA,"Steven Souza Jr.","4.00%",5
79,717938464,"ocdobv (78/150)",0,150.15,"P Michael Pineda P Jacob deGrom C Matt Wieters 1B Eric Thames 2B Anthony Rendón 3B Ryan Zimmerman SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Bryce Harper",NA,"José Bautista","3.91%",3
80,718760924,"snipeshow72",0,149.85,"P Brandon Finnegan P Tanner Roark C Evan Gattis 1B David Freese 2B José Altuve 3B Daniel Murphy SS Jean Segura OF José Bautista OF George Springer OF Bryce Harper",NA,"Hanley Ramírez","3.89%",5
81,718354829,"ChipotleAddict (109/150)",0,149.8,"P Chris Sale P Michael Pineda C Chris Iannetta 1B Brandon Belt 2B Dee Gordon 3B Eduardo Núñez SS Brandon Crawford OF Jay Bruce OF Hunter Pence OF Eric Thames",NA,"Yunel Escobar","3.87%",4
82,718001898,"windchimesRrude (44/150)",0,149.7,"P Chris Sale P Danny Salazar C J.T. Realmuto 1B Justin Bour 2B Dee Gordon 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Christian Yelich",NA,"Kyle Seager","3.69%",8
82,718461244,"tkoblow (137/150)",0,149.7,"P Dylan Bundy P Chris Sale C Buster Posey 1B Travis Shaw 2B Logan Forsythe 3B Jonathan Villar SS Francisco Lindor OF Joey Rickard OF Delino DeShields OF Trea Turner",NA,"Matt Holliday","3.66%",3
84,718710863,"dahladino (21/150)",0,149.65,"P Cole Hamels P Danny Salazar C Matt Wieters 1B Paul Goldschmidt 2B Brandon Drury 3B Ryan Zimmerman SS Chris Owings OF A.J. Pollock OF Bryce Harper OF Adam Eaton",NA,"Brad Miller","3.60%",0
85,718322870,"nawmsayin (7/51)",0,149.6,"P Danny Salazar P Rich Hill C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Yasmany Tomás OF Chris Owings",NA,"Christian Yelich","3.57%",8
86,718194567,"Al_Smizzle (56/100)",0,149.35,"P Garrett Richards P Rich Hill C Matt Wieters 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Chris Owings OF Charlie Blackmon OF Nomar Mazara OF A.J. Pollock",NA,"Tony Wolters","3.53%",0
87,718157333,"chflaher (2/2)",0,149.2,"P Chris Sale P Wily Peralta C Evan Gattis 1B Paul Goldschmidt 2B Brandon Drury 3B Jake Lamb SS Carlos Correa OF George Springer OF A.J. Pollock OF Yasmany Tomás",NA,"Gerardo Parra","3.47%",5
87,718710887,"dahladino (45/150)",0,149.2,"P Chris Sale P Wily Peralta C Evan Gattis 1B Brandon Belt 2B José Altuve 3B Eduardo Núñez SS Carlos Correa OF George Springer OF Hunter Pence OF Jarrett Parker",NA,"Matt Moore","3.38%",6
89,718078852,"scout326 (150/150)",0,149,"P Jacob deGrom P Charlie Morton C Buster Posey 1B Brandon Belt 2B Daniel Murphy 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Eric Thames OF Hernán Pérez",NA,"Brandon Guyer","3.34%",2
90,718723811,"Drolson22 (46/81)",0,148.95,"P Jacob deGrom P Rich Hill C Mike Zunino 1B Brandon Belt 2B Starlin Castro 3B Ryan Zimmerman SS Chris Owings OF Kirk Nieuwenhuis OF Hunter Pence OF A.J. Pollock",NA,"Joe Panik","3.33%",5
91,718354842,"ChipotleAddict (122/150)",0,148.8,"P Chris Sale P Michael Pineda C Matt Wieters 1B Brandon Belt 2B Daniel Murphy 3B Ryan Zimmerman SS Eduardo Núñez OF Kirk Nieuwenhuis OF Hunter Pence OF Eric Thames",NA,"George Springer","3.27%",27
92,718333369,"tomjk321 (7/50)",0,148.7,"P Michael Pineda P Rich Hill C Buster Posey 1B Brandon Belt 2B Brandon Drury 3B Eduardo Núñez SS Brandon Crawford OF A.J. Pollock OF Eric Thames OF Chris Owings",NA,"Devon Travis","3.22%",5
92,718517940,"massbboy",0,148.7,"P Dylan Bundy P Chris Sale C Sandy León 1B Travis Shaw 2B Dustin Pedroia 3B Daniel Murphy SS Trea Turner OF Corey Dickerson OF Billy Hamilton OF Adam Duvall",NA,"Justin Bour","3.21%",2
94,718783185,"imblotto",0,148.6,"P Chris Sale P Rich Hill C Chris Iannetta 1B Brandon Belt 2B Danny Espinosa 3B Jake Lamb SS Chris Owings OF Matt Joyce OF A.J. Pollock OF Yasmany Tomás",NA,"Nelson Cruz","3.19%",7
95,718051807,"russelld07 (8/43)",0,148.55,"P Charlie Morton P Rich Hill C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Hunter Pence OF Eric Thames",NA,"Francisco Lindor","3.17%",46
95,718309031,"stoufqua (3/3)",0,148.55,"P Wily Peralta P Jacob deGrom C Matt Wieters 1B Paul Goldschmidt 2B Daniel Murphy 3B Jake Lamb SS Chris Owings OF A.J. Pollock OF Bryce Harper OF Trea Turner",NA,"Adam Jones","3.12%",16
95,718830440,"DollarBillW (87/150)",0,148.55,"P Charlie Morton P Rich Hill C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Hunter Pence OF Eric Thames",NA,"J.A. Happ","3.11%",24.75
98,718594324,"Backyard20 (1/2)",0,148.45,"P Chris Sale P Garrett Richards C Gary Sánchez 1B Adrián González 2B Daniel Murphy 3B Travis Shaw SS Brandon Crawford OF George Springer OF A.J. Pollock OF Hunter Renfroe",NA,"José Ramírez","2.95%",7
98,718901204,"bw1gshock",0,148.45,"P J.A. Happ P Jacob deGrom C Matt Wieters 1B Paul Goldschmidt 2B Daniel Murphy 3B Jonathan Villar SS Brandon Crawford OF Chris Young OF Khris Davis OF George Springer",NA,"Jean Segura","2.92%",19
100,718872388,"gbonura (2/2)",0,148.1,"P Jacob deGrom P Jerad Eickhoff C J.T. Realmuto 1B Trey Mancini 2B Rougned Odor 3B Eduardo Núñez SS Francisco Lindor OF Gerardo Parra OF Christian Yelich OF José Ramírez",NA,"Lucas Duda","2.86%",2
