Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
17.9,Ryan,NE@NYJ 04:25PM ET,7809658,Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick (7809658),NE,QB,15.92,14.3,0.0,0.0,5100,NYJ,0.0,0.0
0.0,Matt,Ten@Chi 01:00PM ET,7809598,Cassel,Matt Cassel,Matt Cassel (7809598),CHI,QB,0.0,0.0,0.0,0.0,5000,TEN,0.0,0.0
25.6,Matt,Ten@Chi 01:00PM ET,7809600,Barkley,Matt Barkley,Matt Barkley (7809600),TEN,QB,11.78,13.8,0.0,0.0,5000,CHI,0.0,0.0
0.0,Chad,Jax@Buf 01:00PM ET,7809602,Henne,Chad Henne,Chad Henne (7809602),BUF,QB,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
0.0,EJ,Jax@Buf 01:00PM ET,7809604,Manuel,EJ Manuel,EJ Manuel (7809604),JAX,QB,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Brandon,Jax@Buf 01:00PM ET,7809606,Allen,Brandon Allen,Brandon Allen (7809606),BUF,QB,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
0.0,Cardale,Jax@Buf 01:00PM ET,7809607,Jones,Cardale Jones,Cardale Jones (7809607),JAX,QB,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
11.0,Sammy,Jax@Buf 01:00PM ET,7809788,Watkins,Sammy Watkins,Sammy Watkins (7809788),JAX,WR,9.81,9.6,9.0,0.0331125827815,5000,BUF,10.0,0.0
0.0,Ryan,Cin@Bal 01:00PM ET,7809610,Mallett,Ryan Mallett,Ryan Mallett (7809610),CIN,QB,0.0,0.0,0.0,0.0,5000,BAL,0.0,0.0
0.0,AJ,Cin@Bal 01:00PM ET,7809611,McCarron,AJ McCarron,AJ McCarron (7809611),BAL,QB,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Jeff,Cin@Bal 01:00PM ET,7809612,Driskel,Jeff Driskel,Jeff Driskel (7809612),BAL,QB,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Drew,Ari@Atl 01:00PM ET,7809614,Stanton,Drew Stanton,Drew Stanton (7809614),ATL,QB,0.0,0.0,0.0,0.0,5000,ARI,0.0,0.0
0.0,Matt,Ari@Atl 01:00PM ET,7809616,Schaub,Matt Schaub,Matt Schaub (7809616),ARI,QB,0.0,0.0,0.0,0.0,5000,ATL,0.0,0.0
17.9,Josh,NYG@Cle 01:00PM ET,7809617,McCown,Josh McCown,Josh McCown (7809617),NYG,QB,16.1,15.2,0.0,0.0,5000,CLE,0.0,0.0
0.0,Josh,NYG@Cle 01:00PM ET,7809619,Johnson,Josh Johnson,Josh Johnson (7809619),CLE,QB,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
0.0,Robert,NYG@Cle 01:00PM ET,7809620,Griffin III,Robert Griffin III,Robert Griffin III (7809620),NYG,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Ryan,NYG@Cle 01:00PM ET,7809621,Nassib,Ryan Nassib,Ryan Nassib (7809621),CLE,QB,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
0.0,Cody,NYG@Cle 01:00PM ET,7809622,Kessler,Cody Kessler,Cody Kessler (7809622),NYG,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Kevin,NYG@Cle 01:00PM ET,7809623,Hogan,Kevin Hogan,Kevin Hogan (7809623),NYG,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Joe,NYG@Cle 01:00PM ET,7809624,Callahan,Joe Callahan,Joe Callahan (7809624),NYG,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Luke,LA@NO 01:00PM ET,7809626,McCown,Luke McCown,Luke McCown (7809626),LA,QB,0.0,0.0,0.0,0.0,5000,NO,0.0,0.0
0.0,Case,LA@NO 01:00PM ET,7809627,Keenum,Case Keenum,Case Keenum (7809627),NO,QB,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
0.0,Sean,LA@NO 01:00PM ET,7809628,Mannion,Sean Mannion,Sean Mannion (7809628),NO,QB,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
32.7,Mark,LA@NO 01:00PM ET,7809709,Ingram,Mark Ingram,Mark Ingram (7809709),LA,RB,11.68,12.0,5.0,0.080378250591,5000,NO,4.0,0.0
