Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
7.3,Marcus,DEN@TEN,6200,Mariota,Marcus Mariota,Marcus Mariota (1000000),DEN,QB,18.67,16.7,16.9688306523,17.6702981886,0.0,0.0,6200,TEN,6.0,0.0
16.9,Andy,CIN@CLE,6100,Dalton,Andy Dalton,Andy Dalton (1000000),CLE,QB,17.67,20.2,18.351515851,19.1192691962,0.0,0.0,6100,CIN,2.0,0.0
8.8,Tyrell,SD@CAR,6100,Williams,Tyrell Williams,Tyrell Williams (1000000),CAR,WR,6.53,15.7,11.0761334019,11.5544828093,1.0,0.200471698,6100,SD,4.0,0.0
3.8,Devonta,ATL@LA,6100,Freeman,Devonta Freeman,Devonta Freeman (1000000),LA,RB,16.35,15.1,15.108024377,15.7335558202,3.0,0.116113744,6100,ATL,3.0,0.0
25.6,Demaryius,DEN@TEN,6000,Thomas,Demaryius Thomas,Demaryius Thomas (1000000),TEN,WR,16.04,16.8,15.8573575192,16.5179722637,2.0,0.281862745,6000,DEN,3.0,0.0
21.8,Tyler,CIN@CLE,6000,Eifert,Tyler Eifert,Tyler Eifert (1000000),CLE,TE,0.0,14.3,7.45694381588,7.79490514566,5.0,0.085011186,6000,CIN,1.0,0.0
0.0,Alshon,CHI@DET,6000,Jeffery,Alshon Jeffery,Alshon Jeffery (1000000),DET,WR,17.28,0.0,7.64537892545,7.92932387057,1.0,0.170506912,6000,CHI,0.0,0.0
2.0,Jordan,WAS@PHI,5900,Reed,Jordan Reed,Jordan Reed (1000000),PHI,TE,16.97,10.6,13.0357470299,13.5651148452,3.0,0.170081967,5900,WAS,3.0,0.0
8.7,Dak,DAL@NYG,5900,Prescott,Dak Prescott,Dak Prescott (1000000),NYG,QB,18.73,18.4,17.8818669312,18.6244976085,0.0,0.0,5900,DAL,4.0,0.0
7.3,Jay,ARI@MIA,5900,Ajayi,Jay Ajayi,Jay Ajayi (1000000),ARI,RB,0.0,13.9,7.24835797487,7.57686584089,4.0,0.08401084,5900,MIA,4.0,0.0
1.3,Terrelle,CIN@CLE,5900,Pryor,Terrelle Pryor,Terrelle Pryor (1000000),CIN,WR,7.45,14.1,10.6488356752,11.1044886666,1.0,0.261958998,5900,CLE,5.0,0.0
5.3,DeAndre,HOU@IND,5800,Hopkins,DeAndre Hopkins,DeAndre Hopkins (1000000),IND,WR,22.49,15.0,17.7724651044,18.4965256564,1.0,0.266514806,5800,HOU,4.0,0.0
26.2,Jeremy,CIN@CLE,5800,Hill,Jeremy Hill,Jeremy Hill (1000000),CLE,RB,9.63,18.6,13.9599475703,14.5577737873,7.0,0.051454139,5800,CIN,2.0,0.0
