"","2017-11-27","2017-11-28","2017-11-29"
"Furkan Korkmaz_PHI",NA,NA,0
"Nik Stauskas_PHI",NA,NA,0
"Gordon Hayward_BOS",NA,NA,NA
"Jacob Pullen_PHI",NA,NA,0
"James Michael McAdoo_PHI",NA,NA,0
"Jabari Bird_BOS",NA,NA,NA
"Kadeem Allen_BOS",NA,NA,NA
"Gary Payton II_MIL",NA,1,NA
"Rashad Vaughn_MIL",NA,0,NA
"DJ Wilson_MIL",NA,7.5,NA
"Zach Collins_POR",NA,NA,NA
"Jake Layman_POR",NA,NA,NA
"Sterling Brown_MIL",NA,0,NA
"Jason Terry_MIL",NA,12,NA
"Wade Baldwin IV_POR",NA,NA,NA
"Joel Bolomboy_MIL",NA,0,NA
"CJ Wilcox_POR",NA,NA,NA
"Cristiano Felicio_CHI",NA,0,NA
"Kay Felder_CHI",NA,0,NA
"Malik Beasley_DEN",NA,8.5,NA
"Quincy Pondexter_CHI",NA,0,NA
"Richard Jefferson_DEN",NA,0,NA
"Ryan Arcidiacono_CHI",NA,0,NA
"Darrell Arthur_DEN",NA,0,NA
"Torrey Craig_DEN",NA,0,NA
"Tyler Lydon_DEN",NA,0,NA
"Monte Morris_DEN",NA,0,NA
"Cameron Payne_CHI",NA,0,NA
"Ekpe Udoh_UTA",NA,10,NA
"Willie Reed_LAC",2.75,NA,NA
"Jawun Evans_LAC",8.5,NA,NA
"Royce O'Neale_UTA",NA,14.75,NA
"CJ Williams_LAC",11.75,NA,NA
"Brice Johnson_LAC",0,NA,NA
"Tony Bradley_UTA",NA,0,NA
"Jamil Wilson_LAC",0,NA,NA
"Nate Wolters_UTA",NA,0,NA
"Dante Exum_UTA",NA,0,NA
"Eric Griffin_UTA",NA,0,NA
