"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Name.Clean","FreqInd","Actual","ValueWR","TierRank"
"WR","Mike Evans (7395596)","Mike Evans",7395596,7200,"TB@Ari 04:05PM ET","TB","Mike","Evans","Ari",15.24,16,16.28,16,1,0.225806451612903,16.2998262412501,NA,"Mike Evans",1,19,0,4
"QB","Derek Carr (7395352)","Derek Carr",7395352,7200,"Atl@Oak 04:25PM ET","Oak","Derek","Carr","Atl",20.63,18.1,19.77,18.1,0,0,20.3268336612785,NA,"Derek Carr",0,25,0,6
"RB","DeAngelo Williams (7395381)","DeAngelo Williams",7395381,7100,"Cin@Pit 01:00PM ET","Pit","DeAngelo","Williams","Cin",22.74,18.5,22.48,18.5,2,0.25,21.6971601707707,NA,"DeAngelo Williams",1,23.2,0,1
"QB","Kirk Cousins (7395299)","Kirk Cousins",7395299,7000,"Dal@Was 01:00PM ET","Was","Kirk","Cousins","Dal",19.92,19.1,19.26,19.1,0,0,20.4197739037979,NA,"Kirk Cousins",0,22.6,0,5
"WR","T.Y. Hilton (7395623)","T.Y. Hilton",7395623,7000,"Ind@Den 04:25PM ET","Ind","T.Y.","Hilton","Den",13.12,13.9,14.67,13.9,1,0.282608695652174,14.0937886828859,NA,"T.Y. Hilton",0,8.1,0,4
"RB","Adrian Peterson (7395480)","Adrian Peterson",7395480,7000,"GB@Min 08:30PM ET","Min","Adrian","Peterson","GB",16.36,16.3,16.61,16.3,5,0.0588235294117647,17.0700180466048,NA,"Adrian Peterson",0,4.6,0,2
"TE","Rob Gronkowski (7395673)","Rob Gronkowski",7395673,6900,"Mia@NE 01:00PM ET","NE","Rob","Gronkowski","Mia",0,0,0,0,8,0,0,NA,"Rob Gronkowski",0,0,0,0
"QB","Carson Palmer (7395339)","Carson Palmer",7395339,6900,"TB@Ari 04:05PM ET","Ari","Carson","Palmer","TB",22.82,22,21.28,22,0,0,23.4508264615365,NA,"Carson Palmer",0,27.3,0,2
"TE","Jordan Reed (7395655)","Jordan Reed",7395655,6800,"Dal@Was 01:00PM ET","Was","Jordan","Reed","Dal",18.08,15.1,16.33,15.1,2,0.238095238095238,17.4418542326226,NA,"Jordan Reed",1,12,0,1
"WR","Golden Tate (7395559)","Golden Tate",7395559,6800,"Ten@Det 01:00PM ET","Det","Golden","Tate","Ten",16.26,15,15.7,15,2,0.184210526315789,16.3795161691024,NA,"Golden Tate",0,3.3,0,4
"QB","Matt Ryan (7395349)","Matt Ryan",7395349,6800,"Atl@Oak 04:25PM ET","Atl","Matt","Ryan","Oak",17.21,16.1,17.99,16.1,0,0,17.4456950323695,NA,"Matt Ryan",0,31.8,0,0
"RB","C.J. Anderson (7395477)","C.J. Anderson",7395477,6800,"Ind@Den 04:25PM ET","Den","C.J.","Anderson","Ind",19.74,17.6,19.6,17.6,3,0.2,19.5870585009447,NA,"C.J. Anderson",1,18.3,0,1
"QB","Blake Bortles (7395347)","Blake Bortles",7395347,6700,"Jax@SD 04:25PM ET","Jax","Blake","Bortles","SD",19.75,20.2,18.87,20.2,0,0,20.8622566676571,NA,"Blake Bortles",0,24.6,0,3
"WR","Doug Baldwin (7395578)","Doug Baldwin",7395578,6600,"Sea@LA 04:05PM ET","Sea","Doug","Baldwin","LA",16.6,14.3,15.46,14.3,1,0.27906976744186,16.2270291711182,NA,"Doug Baldwin",1,5,0,4
"WR","Kelvin Benjamin (7395496)","Kelvin Benjamin",7395496,6500,"SF@Car 01:00PM ET","Car","Kelvin","Benjamin","SF",16.12,15.4,15.85,15.4,1,0.375,16.4968817646055,NA,"Kelvin Benjamin",1,32.8,0,4
"QB","Joe Flacco (7395330)","Joe Flacco",7395330,6500,"Bal@Cle 01:00PM ET","Bal","Joe","Flacco","Cle",17.63,19.9,18.36,19.9,0,0,19.5351933449738,NA,"Joe Flacco",0,21.2,0,3
"QB","Andy Dalton (7395303)","Andy Dalton",7395303,6400,"Cin@Pit 01:00PM ET","Cin","Andy","Dalton","Pit",19.43,19.6,17.55,19.6,0,0,20.3910663702183,NA,"Andy Dalton",0,22.3,0,4
"WR","Jarvis Landry (7395538)","Jarvis Landry",7395538,6400,"Mia@NE 01:00PM ET","Mia","Jarvis","Landry","NE",17.33,16.9,14.2,16.9,1,0.37037037037037,17.9031748303071,NA,"Jarvis Landry",0,25.7,0,3
"WR","Larry Fitzgerald (7395589)","Larry Fitzgerald",7395589,6400,"TB@Ari 04:05PM ET","Ari","Larry","Fitzgerald","TB",16.63,16.4,17.7,16.4,1,0.256410256410256,17.2692052582658,NA,"Larry Fitzgerald",1,20.1,0,4
"QB","Philip Rivers (7395345)","Philip Rivers",7395345,6400,"Jax@SD 04:25PM ET","SD","Philip","Rivers","Jax",17.1,19.6,18.82,19.6,0,0,19.0935557348429,NA,"Philip Rivers",0,24.8,0,4
"WR","Demaryius Thomas (7395622)","Demaryius Thomas",7395622,6400,"Ind@Den 04:25PM ET","Den","Demaryius","Thomas","Ind",13.81,16.1,14.78,16.1,1,0.28,15.5523318734526,NA,"Demaryius Thomas",0,16,0,4
"WR","Donte Moncrief (7395628)","Donte Moncrief",7395628,6400,"Ind@Den 04:25PM ET","Ind","Donte","Moncrief","Den",11.96,12.3,12.17,12.3,2,0.152173913043478,12.6665072910685,NA,"Donte Moncrief",1,1.9,0,5
"WR","DeSean Jackson (7395499)","DeSean Jackson",7395499,6300,"Dal@Was 01:00PM ET","Was","DeSean","Jackson","Dal",13.45,12.5,13.91,12.5,1,0.261904761904762,13.5939096558525,NA,"DeSean Jackson",1,7,0,5
"QB","Alex Smith (7395318)","Alex Smith",7395318,6300,"KC@Hou 01:00PM ET","KC","Alex","Smith","Hou",16.89,16.6,16.27,16.6,8,0.0222222222222222,17.5116556567357,NA,"Alex Smith",0,5.6,0,8
"RB","Jamaal Charles (7395410)","Jamaal Charles",7395410,6300,"KC@Hou 01:00PM ET","KC","Jamaal","Charles","Hou",0,0,0,0,11,0,0,NA,"Jamaal Charles",0,0,0,0
"WR","Jeremy Maclin (7395543)","Jeremy Maclin",7395543,6300,"KC@Hou 01:00PM ET","KC","Jeremy","Maclin","Hou",14.27,15.7,14.39,15.7,4,0.133333333333333,15.6131651634946,NA,"Jeremy Maclin",1,12.8,0,4
"RB","Mark Ingram (7395395)","Mark Ingram",7395395,6200,"NO@NYG 01:00PM ET","NO","Mark","Ingram","NYG",16.36,16.5,17.8,16.5,6,0.0476190476190476,17.1676818505694,NA,"Mark Ingram",0,8.7,0,2
"WR","Julian Edelman (7395534)","Julian Edelman",7395534,6200,"Mia@NE 01:00PM ET","NE","Julian","Edelman","Mia",17.42,18.5,16.81,18.5,1,0.222222222222222,18.734603698583,NA,"Julian Edelman",1,14.6,0,2
"QB","Jameis Winston (7395343)","Jameis Winston",7395343,6200,"TB@Ari 04:05PM ET","TB","Jameis","Winston","Ari",18.93,16.3,18.52,16.3,0,0,18.5011778461391,NA,"Jameis Winston",0,9.6,0,8
"QB","Brock Osweiler (7395321)","Brock Osweiler",7395321,6100,"KC@Hou 01:00PM ET","Hou","Brock","Osweiler","KC",15.23,15.4,16.1,15.4,0,0,16.0012661141831,NA,"Brock Osweiler",0,12.4,0,0
"RB","Spencer Ware (7395416)","Spencer Ware",7395416,6100,"KC@Hou 01:00PM ET","KC","Spencer","Ware","Hou",16.39,15.3,16.71,15.3,1,0.177777777777778,16.598405172302,NA,"Spencer Ware",1,11.5,0,2
"RB","Devonta Freeman (7395468)","Devonta Freeman",7395468,6100,"Atl@Oak 04:25PM ET","Atl","Devonta","Freeman","Oak",14.91,15.2,17.84,15.2,5,0.105263157894737,15.7254034246735,NA,"Devonta Freeman",0,9.3,0,2
"WR","Michael Crabtree (7395610)","Michael Crabtree",7395610,6100,"Atl@Oak 04:25PM ET","Oak","Michael","Crabtree","Atl",14.67,13.8,15.3,13.8,2,0.24390243902439,14.9081076327628,NA,"Michael Crabtree",1,13.1,0,4
"QB","Tony Romo (7395296)","Tony Romo",7395296,6000,"Dal@Was 01:00PM ET","Dal","Tony","Romo","Was",0,0,0,0,0,0,0,NA,"Tony Romo",0,0,0,0
"RB","Arian Foster (7395400)","Arian Foster",7395400,6000,"Mia@NE 01:00PM ET","Mia","Arian","Foster","NE",15.14,13.4,10.82,13.4,2,0.185185185185185,14.9745096379782,NA,"Arian Foster",0,0.9,0,4
"QB","Marcus Mariota (7395327)","Marcus Mariota",7395327,6000,"Ten@Det 01:00PM ET","Ten","Marcus","Mariota","Det",18.28,19.2,18.46,19.2,0,0,19.5553365173614,NA,"Marcus Mariota",0,17.6,0,5
"WR","Emmanuel Sanders (7395621)","Emmanuel Sanders",7395621,6000,"Ind@Den 04:25PM ET","Den","Emmanuel","Sanders","Ind",14.49,13.7,13.91,13.7,2,0.24,14.7590388576614,NA,"Emmanuel Sanders",0,6.9,0,4
"RB","Eddie Lacy (7395484)","Eddie Lacy",7395484,6000,"GB@Min 08:30PM ET","GB","Eddie","Lacy","Min",12.7,12.9,14.9,12.9,6,0.0540540540540541,13.3715836257852,NA,"Eddie Lacy",0,5,0,5
"QB","Jimmy Garoppolo (7395315)","Jimmy Garoppolo",7395315,5900,"Mia@NE 01:00PM ET","NE","Jimmy","Garoppolo","Mia",16.23,19.5,18.36,19.5,7,0.0277777777777778,18.5602456127848,NA,"Jimmy Garoppolo",0,21.4,0,4
"RB","Doug Martin (7395448)","Doug Martin",7395448,5900,"TB@Ari 04:05PM ET","TB","Doug","Martin","Ari",13.26,12.8,17.14,12.8,3,0.161290322580645,13.6345997735069,NA,"Doug Martin",1,2.3,0,5
"WR","Michael Floyd (7395590)","Michael Floyd",7395590,5900,"TB@Ari 04:05PM ET","Ari","Michael","Floyd","TB",14.33,13.5,15.01,13.5,2,0.205128205128205,14.5722756109243,NA,"Michael Floyd",0,8.8,0,4
"QB","Dak Prescott (7395300)","Dak Prescott",7395300,5800,"Dal@Was 01:00PM ET","Dal","Dak","Prescott","Was",17.94,17.3,15.55,17.3,0,0,18.4381940638066,NA,"Dak Prescott",0,18.3,0,7
"WR","Willie Snead (7395526)","Willie Snead",7395526,5800,"NO@NYG 01:00PM ET","NO","Willie","Snead","NYG",13.56,15.4,15.61,15.4,2,0.214285714285714,15.0712906802445,NA,"Willie Snead",1,16.4,0,4
"RB","DeMarco Murray (7395420)","DeMarco Murray",7395420,5700,"Ten@Det 01:00PM ET","Ten","DeMarco","Murray","Det",14.75,12.2,13.59,12.2,2,0.175,14.1713469224328,NA,"DeMarco Murray",1,21.5,0,6
"RB","Latavius Murray (7395465)","Latavius Murray",7395465,5700,"Atl@Oak 04:25PM ET","Oak","Latavius","Murray","Atl",15.07,13.3,15.95,13.3,6,0.0487804878048781,14.8866967297829,NA,"Latavius Murray",1,22.1,0,4
"TE","Greg Olsen (7395644)","Greg Olsen",7395644,5600,"SF@Car 01:00PM ET","Car","Greg","Olsen","SF",16.71,15,15.01,15,2,0.28125,16.6301083519003,NA,"Greg Olsen",1,26.2,0,1
"RB","Rashad Jennings (7395389)","Rashad Jennings",7395389,5600,"NO@NYG 01:00PM ET","NYG","Rashad","Jennings","NO",15.26,13.7,16.59,13.7,6,0.0714285714285714,15.1878299260044,NA,"Rashad Jennings",0,6,0,4
"QB","Ryan Tannehill (7395314)","Ryan Tannehill",7395314,5600,"Mia@NE 01:00PM ET","Mia","Ryan","Tannehill","NE",15.6,16.8,16.65,16.8,0,0,16.8909552033465,NA,"Ryan Tannehill",0,28.1,0,8
"QB","Sam Bradford (7395361)","Sam Bradford",7395361,5600,"GB@Min 08:30PM ET","Min","Sam","Bradford","GB",14,11.9,14.27,11.9,8,0,13.6071975784896,NA,"Sam Bradford",0,19.1,0,0
