"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
58,936382469,"ezzymoney",0,268,"SG Jimmy Butler C Kevin Love PF Lauri Markkanen G Eric Bledsoe F Otto Porter PG Dwyane Wade UTIL Willie Cauley-Stein SF Markieff Morris",NA,"Hassan Whiteside","C","1.00%",35.5
62,935724502,"ChipotleAddict (17/24)",0,267.5,"SG Jimmy Butler C Kevin Love PF Lauri Markkanen UTIL Donovan Mitchell SF Will Barton G Justin Holiday PG Ricky Rubio F Joe Ingles",NA,"Josh Richardson","SF","0.75%",23
62,935899575,"bw5126 (9/24)",0,267.5,"UTIL Karl-Anthony Towns C Hassan Whiteside PF Kevin Love G Donovan Mitchell SF Justin Holiday SG Gary Harris PG Tim Frazier F Kenneth Faried",NA,"Bogdan Bogdanovic","G","0.75%",11.5
64,935932541,"moklovin (17/20)",0,267.25,"SF LeBron James C Kevin Love PF Derrick Favors G Rodney Hood F Denzel Valentine SG Dwyane Wade UTIL Willie Cauley-Stein PG Garrett Temple",NA,"Ekpe Udoh","UTIL","0.50%",10
64,936225856,"Staneetanator (5/9)",0,267.25,"PF Giannis Antetokounmpo PG Eric Bledsoe SF Otto Porter F Dion Waiters SG Denzel Valentine G Justin Holiday UTIL Robin Lopez C Mason Plumlee",NA,"Jae Crowder","SF","0.50%",1.5
66,935915665,"jmwhsc",0,267,"C Karl-Anthony Towns SF Devin Booker SG Jimmy Butler F Andrew Wiggins G Justin Holiday PF Willie Cauley-Stein PG Tyler Johnson UTIL Garrett Temple",NA,"Khris Middleton","G","0.50%",22
67,935771599,"EmileHeskey (4/24)",0,266.75,"C Karl-Anthony Towns SG Jimmy Butler F Kevin Love PF Lauri Markkanen SF Justin Holiday UTIL Marcin Gortat G Joe Ingles PG George Hill",NA,"Justise Winslow","UTIL","0.38%",12.5
67,936101287,"cheddabisque (1/24)",0,266.75,"UTIL Nikola Jokic SG Bradley Beal F Kevin Love PG Eric Bledsoe SF Justin Holiday G Gary Harris C Robin Lopez PF Kenneth Faried",NA,"Skal Labissiere","PF","0.38%",18.5
69,936128787,"Kobe4MVP (4/24)",0,266.5,"UTIL Nikola Jokic SG Bradley Beal PF Kevin Love PG Eric Bledsoe SF Denzel Valentine F Justin Holiday C Robin Lopez G Garrett Temple",NA,"Josh Jackson","SF","0.25%",1.25
70,935845393,"getoffme2312 (5/12)",0,266.25,"SF LeBron James PF Giannis Antetokounmpo C Kevin Love UTIL Marcin Gortat SG J.R. Smith PG Tim Frazier F Kenneth Faried G Frank Mason III",NA,"Vince Carter","F","0.25%",4.5
70,935854818,"getoffme2312 (7/12)",0,266.25,"C Karl-Anthony Towns UTIL Devin Booker F Otto Porter PF James Johnson SF Denzel Valentine SG Justin Holiday G Gary Harris PG Tim Frazier",NA,"Trey Lyles","PF","0.25%",10
70,935932526,"moklovin (2/20)",0,266.25,"C Karl-Anthony Towns UTIL Nikola Jokic PF Kevin Love G Eric Bledsoe SF Justin Holiday SG Joe Ingles PG Tim Frazier F Kenneth Faried",NA,"Channing Frye","F","0.25%",9.5
73,935771613,"EmileHeskey (18/24)",0,265.25,"PF LeBron James SG Jimmy Butler G Eric Bledsoe PG Kris Dunn F Denzel Valentine UTIL Joe Ingles C Tyson Chandler SF Kyle Korver",NA,"Alec Burks","PG","0.25%",22.5
73,936454646,"Eaglela",0,265.25,"F LeBron James SG Jimmy Butler PG Eric Bledsoe UTIL Kris Dunn C Taj Gibson G Jerian Grant PF Kelly Olynyk SF Jeff Green",NA,"Dragan Bender","F","0.25%",8
73,936468078,"jasonheckler251 (2/2)",0,265.25,"SF LeBron James SG Jimmy Butler G Eric Bledsoe PF Otto Porter F Denzel Valentine UTIL Tyler Ulis PG Tim Frazier C Kenneth Faried",NA,"Alex Len","PF","0.25%",37.5
76,935724501,"ChipotleAddict (16/24)",0,264.75,"SG Bradley Beal G Jimmy Butler PF Kevin Love PG Eric Bledsoe UTIL Derrick Favors C Robin Lopez SF Joe Ingles F Markieff Morris",NA,"Gary Payton II","SG","0.13%",1
