Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Starling Marte,5,OF,4200,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,0.348,1%,0.148,2%,1,1,0,-2%,-1%,0%,6.7,8.2,8.2,0.0,16.3,9.0,2.1,0.0,0.0
Mark Trumbo,,OF,4200,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.343,1%,0.223,-2%,x,x,-,0%,0%,0%,4.7,7.6,7.3,-0.4,14.9,0.0,0.0,0.0,0.0
Whit Merrifield,1,2B,4200,KC,STL,4.28,Martinez,0.254,-14%,R,R,0.308,-6%,0.134,-10%,1,1,0,2%,-1%,0%,9.7,9.2,8.9,1.3,16.6,6.7,1.6,3.0,0.7
Giancarlo Stanton,2,OF,4200,MIA,@WAS,3.08,Scherzer,0.208,-24%,R,R,0.367,-6%,0.282,-7%,2,2,0,5%,-1%,0%,13.3,10.9,10.5,0.6,20.4,7.8,1.9,14.0,3.3
Jonathan Schoop,5,2B,4100,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.354,6%,0.219,11%,3,3,0,-7%,-1%,0%,11.8,9.6,9.1,1.6,16.5,8.2,2.0,3.0,0.7
Mike Moustakas,7,3B,4100,KC,STL,4.28,Martinez,0.336,4%,R,L,0.354,6%,0.231,11%,5,5,1,-1%,-2%,0%,7.6,8.7,8.8,1.0,16.6,8.6,2.1,17.0,4.1
Aledmys Diaz,,SS,4000,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.354,4%,0.202,12%,x,x,-,0%,0%,0%,3.5,6.2,6.2,-0.9,13.4,0.0,0.0,0.0,0.0
Ian Kinsler,3,2B,4000,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.331,-2%,0.148,-5%,1,1,0,-5%,-1%,0%,6.6,7.7,7.7,0.6,14.9,7.6,1.9,0.0,0.0
Adam Eaton,,OF,4000,WAS,MIA,5.42,O'Grady,,-5%,L,L,0.313,-9%,0.063,-53%,x,x,-,0%,0%,0%,10.9,10.6,10.6,3.0,18.2,0.0,0.0,0.0,0.0
Scooter Gennett,10,2B/OF,4000,CIN,SD,5.02,Chacin,0.343,5%,R,L,0.335,8%,0.176,14%,5,5,0,1%,1%,0%,3.8,9.0,9.0,-1.3,19.3,8.0,2.0,7.0,1.8
Josh Harrison,3,2B/3B,3900,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,0.308,-5%,0.113,-9%,2,2,1,-2%,-1%,0%,7.9,7.9,7.8,1.0,14.6,7.2,1.8,8.0,2.1
Alex Presley,,OF,3900,DET,@PIT,3.97,Williams,0.343,4%,R,L,0.285,-1%,0.098,2%,x,x,-,0%,0%,0%,7.2,7.2,7.2,0.3,14.0,0.0,0.0,0.0,0.0
David Freese,4,3B,3900,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,0.323,-5%,0.130,-14%,5,5,0,-3%,-1%,0%,8.5,6.9,6.9,1.3,12.5,6.4,1.6,0.0,0.0
Josh Bell,10,1B,3900,PIT,DET,5.03,Zimmermann,0.325,1%,R,S,0.347,2%,0.202,2%,4,4,0,1%,-1%,0%,5.9,8.3,7.9,0.5,15.3,8.3,2.1,2.0,0.5
Ryan Schimpf,,3B,3900,SD,@CIN,4.48,Adleman,0.360,8%,R,L,0.351,3%,0.303,3%,x,x,-,0%,0%,0%,7.5,6.9,6.9,-0.4,14.2,0.0,0.0,0.0,0.0
Eric Thames,8,1B/OF,3900,MIL,@MIN,4.60,Santana,0.310,-2%,R,L,0.391,5%,0.285,9%,5,1,-3,-9%,1%,0%,6.6,8.1,9.1,0.3,17.8,8.2,2.1,2.0,0.5
Luke Voit,,1B,3900,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.397,1%,0.234,6%,x,x,-,0%,0%,0%,5.8,7.2,7.2,-0.5,14.9,0.0,0.0,4.0,1.0
Cory Spangenberg,1,3B/OF,3900,SD,@CIN,4.48,Adleman,0.360,8%,R,L,0.319,2%,0.140,13%,x,x,-,0%,0%,0%,7.3,7.0,7.0,0.7,13.4,0.0,0.0,0.0,0.0
Jordan Luplow,,OF,3800,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,,-1%,,2%,x,x,-,0%,0%,0%,0.7,0.7,0.7,-0.5,1.8,0.0,0.0,0.0,0.0
Adam Jones,2,OF,3800,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.336,1%,0.197,4%,1,1,0,-7%,-1%,0%,6.5,7.7,7.8,0.1,15.5,8.0,2.1,9.0,2.4
Trey Mancini,2,1B/OF,3800,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.392,4%,0.253,9%,5,5,-1,-7%,0%,0%,7.8,7.9,8.0,-0.5,16.5,7.2,1.9,0.0,0.0
Brandon Belt,,1B/OF,3800,SF,CHC,3.41,Arrieta,0.259,-13%,R,L,0.368,3%,0.211,5%,x,x,-,0%,0%,0%,9.8,8.4,8.4,1.1,15.8,0.0,0.0,0.0,0.0
Ben Revere,4,OF,3800,LAA,BAL,4.71,Bundy,0.336,3%,R,L,0.294,-1%,0.083,9%,x,x,-,0%,0%,0%,9.8,6.3,6.3,0.9,11.7,0.0,0.0,0.0,0.0
Dee Gordon,1,2B,3800,MIA,@WAS,3.08,Scherzer,0.303,-4%,R,L,0.315,0%,0.077,4%,1,1,0,0%,0%,0%,11.3,9.2,8.8,1.5,16.0,8.2,2.2,0.0,0.0
Brian Goodwin,4,OF,3800,WAS,MIA,5.42,O'Grady,,-5%,L,L,0.454,-3%,0.300,-15%,1,1,2,-1%,-1%,0%,9.8,8.0,8.0,-0.7,16.7,7.1,1.9,0.0,0.0
Robbie Grossman,5,OF,3800,MIN,MIL,4.40,Suter,0.295,-2%,L,S,0.342,3%,0.126,-3%,3,3,1,2%,1%,0%,8.4,7.3,7.3,0.9,13.7,7.6,2.0,2.0,0.5
Manuel Margot,5,OF,3800,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.302,-3%,0.147,-1%,1,1,0,1%,0%,0%,11.7,7.4,7.4,-0.2,15.1,8.0,2.1,5.0,1.3
Adam Frazier,0,OF,3800,PIT,DET,5.03,Zimmermann,0.325,1%,R,L,0.322,-1%,0.118,12%,x,x,-,0%,0%,0%,6.8,8.1,8.1,1.0,15.2,0.0,0.0,0.0,0.0
Alex Mejia,,SS,3800,STL,@KC,4.72,Kennedy,0.319,0%,R,R,,-1%,,2%,x,x,-,0%,0%,0%,4.8,4.8,4.8,-4.8,14.3,0.0,0.0,0.0,0.0
Travis Shaw,5,3B,3800,MIL,@MIN,4.60,Santana,0.310,-2%,R,L,0.350,2%,0.213,-2%,3,4,1,-9%,1%,0%,5.5,9.6,9.5,1.0,18.1,7.7,2.0,5.0,1.3
Welington Castillo,0,C,3700,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.312,-4%,0.171,-4%,8,8,0,-7%,0%,0%,9.3,7.2,7.2,-0.3,14.7,5.8,1.6,8.0,2.2
Yangervis Solarte,8,2B,3700,SD,@CIN,4.48,Adleman,0.360,8%,R,S,0.342,3%,0.175,9%,4,4,0,6%,1%,0%,10.4,7.3,7.3,0.4,14.1,8.8,2.4,8.0,2.2
Hunter Renfroe,2,OF,3700,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.292,-7%,0.219,-4%,6,7,0,4%,1%,0%,6.1,7.5,7.2,-0.1,14.4,7.1,1.9,2.0,0.5
Eugenio Suarez,2,3B,3700,CIN,SD,5.02,Chacin,0.282,-8%,R,R,0.318,-3%,0.160,-5%,6,6,0,1%,1%,0%,7.3,6.9,7.7,0.4,15.1,6.5,1.8,2.0,0.5
Brandon Moss,3,OF,3700,KC,STL,4.28,Martinez,0.336,4%,R,L,0.313,-1%,0.237,12%,6,6,1,-1%,-1%,0%,6.5,6.6,6.6,-0.9,14.0,7.4,2.0,14.0,3.8
Chris Davis,6,1B,3700,BAL,@LAA,4.29,Ramirez,0.330,2%,R,L,0.371,6%,0.297,16%,4,4,1,-13%,0%,0%,7.2,7.4,7.4,-1.0,15.8,7.7,2.1,5.0,1.4
Domingo Santana,3,OF,3600,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.335,-4%,0.175,-9%,1,2,3,4%,1%,0%,6.3,8.7,8.6,1.2,15.9,8.7,2.4,4.0,1.1
Jose Osuna,,1B/OF,3600,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,0.300,-2%,0.204,5%,x,x,-,0%,0%,0%,9.1,8.1,8.1,0.8,15.4,0.0,0.0,0.0,0.0
Scott Schebler,,OF,3600,CIN,SD,5.02,Chacin,0.343,5%,R,L,0.334,2%,0.218,2%,x,x,-,0%,0%,0%,3.9,7.6,7.3,-0.7,15.2,0.0,0.0,0.0,0.0
Matt Carpenter,11,1B,3600,STL,@KC,4.72,Kennedy,0.321,0%,R,L,0.383,6%,0.242,18%,1,1,0,2%,-1%,0%,7.1,8.2,8.1,1.5,14.7,9.2,2.6,23.0,6.4
Kennys Vargas,,1B,3600,MIN,MIL,4.40,Suter,0.295,-2%,L,S,0.331,6%,0.159,1%,x,x,-,0%,0%,0%,7.5,7.0,7.0,0.3,13.7,0.0,0.0,0.0,0.0
Alex Dickerson,,OF,3600,SD,@CIN,4.48,Adleman,0.360,8%,R,L,0.341,3%,0.216,13%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Avila,,1B/C,3600,CHC,@SF,4.59,Moore,0.357,6%,L,L,0.253,-14%,0.075,-36%,x,x,-,0%,0%,0%,3.5,7.5,7.5,0.5,14.4,0.0,0.0,0.0,0.0
Joe Mauer,1,1B,3600,MIN,MIL,4.40,Suter,,-7%,L,L,0.312,-4%,0.095,-16%,2,2,1,0%,1%,0%,6.0,7.3,7.2,1.3,13.0,6.9,1.9,4.0,1.1
Marcell Ozuna,,OF,3600,MIA,@WAS,3.08,Scherzer,0.208,-24%,R,R,0.328,-2%,0.178,-3%,4,4,0,4%,-1%,0%,8.7,9.3,9.3,0.3,18.3,6.5,1.8,0.0,0.0
Cameron Maybin,3,OF,3600,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.323,2%,0.110,1%,1,x,0,-3%,0%,0%,3.3,8.5,8.5,-0.3,17.3,7.8,2.2,3.0,0.8
Phillip Ervin,,OF,3600,CIN,SD,5.02,Chacin,0.282,-8%,R,R,,-1%,,2%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wil Myers,10,1B,3600,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.333,0%,0.205,8%,5,5,0,4%,1%,0%,5.7,7.9,8.1,0.7,15.5,9.2,2.6,0.0,0.0
Albert Pujols,2,1B,3600,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.321,1%,0.193,-1%,3,3,0,-3%,-1%,0%,7.9,7.0,6.8,-0.7,14.3,7.5,2.1,0.0,0.0
C.J. Cron,2,1B,3600,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.330,3%,0.182,2%,7,7,-1,-3%,-1%,0%,7.7,6.0,6.0,0.4,11.6,6.7,1.9,0.0,0.0
Orlando Arcia,1,SS,3600,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.293,-2%,0.143,5%,7,9,1,5%,1%,0%,8.8,6.9,6.7,0.3,13.2,6.8,1.9,2.0,0.6
Ben Zobrist,2,2B/OF,3600,CHC,@SF,4.59,Moore,0.326,1%,L,S,0.343,1%,0.136,-11%,5,1,-2,-6%,-1%,0%,6.9,6.9,6.9,0.4,13.5,7.3,2.0,2.0,0.6
Jason Heyward,1,OF,3500,CHC,@SF,4.59,Moore,0.357,6%,L,L,0.288,-6%,0.103,-16%,7,6,0,-3%,-1%,0%,5.1,6.8,6.8,0.6,13.0,7.1,2.0,8.0,2.3
Jayson Werth,1,OF,3500,WAS,MIA,5.42,O'Grady,,2%,L,R,0.414,21%,0.251,38%,x,x,-,0%,0%,0%,8.1,8.1,8.1,0.0,16.2,0.0,0.0,0.0,0.0
Eric Hosmer,9,1B,3500,KC,STL,4.28,Martinez,0.336,4%,R,L,0.366,6%,0.184,16%,3,4,1,0%,-1%,0%,8.0,9.4,8.6,0.9,16.2,9.3,2.7,14.0,4.0
Christian Yelich,4,OF,3500,MIA,@WAS,3.08,Scherzer,0.303,-4%,R,L,0.365,5%,0.172,16%,3,3,0,1%,-1%,0%,7.5,8.5,8.5,0.7,16.2,8.7,2.5,12.0,3.4
Mikie Mahtook,2,OF,3500,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.283,-6%,0.118,-18%,6,6,-1,-6%,-1%,0%,7.5,6.5,6.5,0.9,12.1,6.3,1.8,0.0,0.0
Ruben Tejada,,3B/SS,3500,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.275,-4%,0.066,-10%,x,x,-,0%,0%,0%,3.2,4.4,4.4,0.1,8.7,0.0,0.0,0.0,0.0
Jose Martinez,4,1B/OF,3500,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.332,-1%,0.177,3%,4,6,2,3%,-1%,0%,10.0,7.9,7.9,0.2,15.7,7.3,2.1,8.0,2.3
Hernan Perez,3,3B/OF,3500,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.289,-2%,0.132,-7%,6,x,0,6%,1%,0%,6.3,7.7,7.6,0.2,15.0,7.6,2.2,8.0,2.3
Nick Hundley,,C,3500,SF,CHC,3.41,Arrieta,0.252,-15%,R,R,0.320,0%,0.166,2%,x,x,-,0%,0%,0%,9.7,6.9,6.9,0.4,13.3,0.0,0.0,0.0,0.0
Jonathan Villar,,2B,3500,MIL,@MIN,4.60,Santana,0.310,-2%,R,S,0.322,0%,0.135,-8%,x,x,-,0%,0%,0%,6.0,7.6,7.6,0.1,15.2,0.0,0.0,0.0,0.0
Buster Posey,1,1B/C,3500,SF,CHC,3.41,Arrieta,0.252,-15%,R,R,0.346,-5%,0.135,-16%,4,4,0,-5%,-1%,0%,7.6,8.5,8.3,1.9,14.7,6.2,1.8,0.0,0.0
Hunter Pence,,OF,3500,SF,CHC,3.41,Arrieta,0.252,-15%,R,R,0.327,-4%,0.140,-18%,x,x,-,0%,0%,0%,8.4,6.7,6.7,0.4,12.9,0.0,0.0,0.0,0.0
Seth Smith,1,OF,3500,BAL,@LAA,4.29,Ramirez,0.330,2%,R,L,0.342,3%,0.189,8%,7,7,0,-11%,0%,0%,8.2,7.7,7.7,0.5,14.8,6.6,1.9,9.0,2.6
Carlos Asuaje,6,2B,3500,SD,@CIN,4.48,Adleman,0.360,8%,R,L,0.356,4%,0.137,4%,2,2,0,5%,1%,0%,5.4,6.3,6.3,0.1,12.5,7.5,2.1,10.0,2.9
Austin Hedges,4,C,3400,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.265,2%,0.176,10%,7,8,0,5%,1%,0%,7.6,6.3,6.3,-1.3,14.0,6.9,2.0,3.0,0.9
Matt den Dekker,,OF,3400,DET,@PIT,3.97,Williams,0.343,4%,R,L,0.330,2%,0.205,12%,x,x,-,0%,0%,0%,3.5,3.5,3.5,1.4,5.6,0.0,0.0,0.0,0.0
Zack Cozart,5,SS,3400,CIN,SD,5.02,Chacin,0.282,-8%,R,R,0.335,0%,0.187,-2%,2,2,0,0%,1%,0%,10.1,9.3,9.3,0.9,17.8,7.2,2.1,23.0,6.8
Jorge Soler,,OF,3400,KC,STL,4.28,Martinez,0.254,-14%,R,R,0.305,-1%,0.150,-3%,x,x,-,0%,0%,0%,4.9,4.6,4.6,-0.1,9.2,0.0,0.0,0.0,0.0
Michael A. Taylor,1,OF,3400,WAS,MIA,5.42,O'Grady,,2%,L,R,0.328,7%,0.181,11%,x,x,-,0%,0%,0%,9.2,8.7,8.7,0.1,17.3,0.0,0.0,0.0,0.0
Keon Broxton,1,OF,3400,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.304,-5%,0.183,-6%,8,7,-1,4%,1%,0%,4.7,8.0,7.9,-0.2,16.0,6.6,1.9,21.0,6.2
Jon Jay,1,OF,3400,CHC,@SF,4.59,Moore,0.357,6%,L,L,0.319,1%,0.068,-19%,1,x,1,0%,-1%,0%,6.4,6.1,6.1,1.3,11.0,7.4,2.2,10.0,2.9
Addison Russell,,SS,3400,CHC,@SF,4.59,Moore,0.326,1%,L,R,0.305,0%,0.188,11%,x,x,-,0%,0%,0%,5.6,7.0,7.0,-0.3,14.3,0.0,0.0,0.0,0.0
Jose Iglesias,,SS,3400,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.283,-5%,0.070,-19%,x,x,-,0%,0%,0%,7.7,6.1,6.1,-0.7,12.9,0.0,0.0,0.0,0.0
Miguel Cabrera,4,1B,3400,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.381,-3%,0.214,-4%,4,4,0,-7%,-1%,0%,6.3,7.1,7.2,0.5,13.8,7.8,2.3,0.0,0.0
Yunel Escobar,,3B,3400,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.326,-1%,0.099,0%,x,x,-,0%,0%,0%,7.6,6.3,6.8,0.9,12.7,0.0,0.0,0.0,0.0
Nicholas Castellanos,3,3B,3400,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.312,-3%,0.164,-9%,5,5,0,-7%,-1%,0%,7.0,7.3,7.6,-0.2,15.5,7.0,2.1,0.0,0.0
Jesus Aguilar,3,1B,3400,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.339,0%,0.232,11%,4,5,0,5%,1%,0%,4.2,7.9,7.9,-1.0,16.8,7.9,2.3,2.0,0.6
Kolten Wong,3,2B,3400,STL,@KC,4.72,Kennedy,0.321,0%,R,L,0.325,4%,0.141,16%,7,9,-2,2%,-1%,0%,6.6,7.2,7.2,2.2,12.3,7.6,2.2,22.0,6.5
Eddie Rosario,1,OF,3400,MIN,MIL,4.40,Suter,,-7%,L,L,0.312,-4%,0.140,-20%,5,5,1,0%,1%,0%,4.6,7.5,7.0,-0.9,14.9,6.6,1.9,9.0,2.6
Jose Pirela,6,OF,3400,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.291,-4%,0.169,3%,3,3,0,2%,1%,0%,6.8,8.1,8.1,0.6,15.5,7.5,2.2,30.0,8.8
Adam Lind,,1B,3300,WAS,MIA,5.42,O'Grady,,-5%,L,L,0.241,-19%,0.087,-41%,x,x,-,0%,0%,0%,4.8,7.6,7.6,-0.1,15.4,0.0,0.0,5.0,1.5
Eduardo Escobar,8,3B/SS,3300,MIN,MIL,4.40,Suter,0.295,-2%,L,S,0.326,5%,0.176,16%,4,4,0,2%,1%,0%,6.5,7.1,7.1,0.0,14.2,7.5,2.3,6.0,1.8
Jesse Winker,9,OF,3300,CIN,SD,5.02,Chacin,0.343,5%,R,L,0.392,3%,0.241,9%,7,8,-4,1%,1%,0%,8.0,8.0,8.0,1.6,14.4,7.2,2.2,0.0,0.0
Arismendy Alcantara,,2B/OF,3300,CIN,SD,5.02,Chacin,0.343,5%,R,S,0.225,-3%,0.079,-3%,x,x,-,0%,0%,0%,1.7,3.0,3.0,-1.8,7.8,0.0,0.0,9.0,2.7
Travis Jankowski,,OF,3300,SD,@CIN,4.48,Adleman,0.360,8%,R,L,0.303,8%,0.086,12%,x,x,-,0%,0%,0%,3.4,4.3,4.3,0.2,8.4,0.0,0.0,0.0,0.0
Jefry Marte,0,1B,3300,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.297,-3%,0.184,-3%,x,x,-,0%,0%,0%,5.5,5.1,5.1,-0.5,10.8,0.0,0.0,0.0,0.0
Randal Grichuk,4,OF,3300,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.334,1%,0.245,2%,8,8,0,2%,-1%,0%,4.5,7.5,7.5,-0.5,15.5,7.4,2.2,5.0,1.5
James McCann,1,C,3200,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.253,-14%,0.086,-40%,7,7,0,-6%,-1%,0%,6.6,6.4,6.4,-0.7,13.5,5.0,1.6,8.0,2.5
Matt Szczur,,OF,3200,SD,@CIN,4.48,Adleman,0.339,4%,R,R,0.309,-1%,0.118,-9%,x,x,-,0%,0%,0%,7.1,5.9,5.9,-0.5,12.2,0.0,0.0,0.0,0.0
