"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","Brett Gardner","NYY","LF","CWS","3.12","0.28","0.04","0.21","0.09",".354",".404","1.11","0.11","0.03","0.24","0.73",""
" ","Brett Hayes","TEX","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brian McCann","HOU","C,DH","LAA","3.92","0.5","0.21","0.55","0.01",".247",".344","0.97","0.12","0.01","0.54","0.86",""
" ","Bryan Anderson","OAK","C","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Cameron Maybin","LAA","LF,CF","@HOU","3.64","0.64","0.06","0.46","0.16",".294",".359","1.07","0.15","0.05","0.36","0.7",""
" ","Carlos Beltran","HOU","RF,DH","LAA","3.16","0.38","0.13","0.48","0.01",".272",".329","0.86","0.19","0.01","0.26","0.5",""
" ","Carlos Gomez","TEX","LF,CF,RF","@OAK","4.16","0.67","0.18","0.61","0.19",".239",".319","1","0.22","0.01","0.41","1.18",""
" ","Carlos Ruiz","SEA","C","MIA","3.08","0.31","0.03","0.35","0.02",".209",".296","0.64","0.21","0","0.31","0.32",""
" ","Carlos Santana","CLE","1B,DH","@MIN","4.04","0.77","0.21","0.65","0.08",".282",".382","1.14","0.21","0.03","0.65","0.59",""
" ","Chase Headley","NYY","3B","CWS","4.01","0.61","0.12","0.44","0.04",".309",".370","1.24","0.15","0","0.36","0.58",""
" ","Chase Utley","LAD","2B","ARI","0.18","0.02","0","0.02","0",".187",".236","0.03","0.01","0","0.01","0.08",""
" ","Chris Young","BOS","LF","TB","3.6","0.49","0.11","0.43","0.04",".280",".378","1.01","0.3","0.01","0.55","0.93",""
" ","Chris Carter","NYY","1B","CWS","3.96","0.68","0.41","0.84","0.02",".243",".336","0.96","0.18","0.02","0.53","0.92",""
" ","Chris Iannetta","ARI","C","@LAD","2.64","0.16","0.05","0.22","0.01",".152",".277","0.4","0.13","0","0.44","0.9",""
" ","Cliff Pennington","LAA","2B,SS","@HOU","0.32","0.04","0.01","0.02","0",".229",".293","0.07","0.01","0.01","0.03","0.1",""
" ","Colby Rasmus","TB","LF,CF,RF","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dan Johnson","TB","1B","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Daniel Descalso","ARI","1B,2B,SS,LF","@LAD","0.45","0.07","0.01","0.07","0.01",".212",".351","0.1","0.02","0","0.1","0.14",""
" ","Danny Espinosa","LAA","2B,SS","@HOU","3.51","0.45","0.16","0.4","0.05",".205",".291","0.72","0.09","0.01","0.36","1.12",""
" ","Danny Valencia","SEA","1B,3B,RF","MIA","3.68","0.53","0.09","0.35","0.01",".264",".321","0.97","0.17","0.01","0.31","0.76",""
" ","Darin Mastroianni","TEX","CF,RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Darnell McDonald","CHC","LF,RF","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","David Freese","PIT","1B,3B","@STL","3.15","0.44","0.08","0.36","0",".252",".340","0.79","0.16","0","0.38","1.02",""
" ","Dee Gordon","MIA","2B","@SEA","4.42","0.72","0.03","0.24","0.46",".268",".299","1.19","0.17","0.03","0.18","0.79",""
" ","Dexter Fowler","STL","CF","PIT","3.98","0.58","0.14","0.41","0.1",".280",".366","1.11","0.34","0.05","0.5","0.89",""
" ","Don Kelly","MIA","1B","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dustin Ackley","NYY","1B,2B,LF,CF,RF","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Dustin Pedroia","BOS","2B","TB","3.94","0.65","0.07","0.38","0.03",".329",".414","1.3","0.17","0","0.58","0.62",""
" ","Dusty Brown","OAK","C","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Edwin Encarnacion","CLE","1B,DH","@MIN","3.92","0.61","0.27","0.83","0.02",".299",".375","1.17","0.23","0.01","0.46","0.74",""
" ","Elvis Andrus","TEX","SS","@OAK","3.68","0.48","0.05","0.47","0.19",".289",".353","1.06","0.25","0.05","0.36","0.49",""
" ","Emilio Bonifacio","ATL","LF","SD","0.27","0.04","0","0.02","0.01",".295",".324","0.08","0.01","0","0.01","0.06",""
" ","Eric Patterson","CWS","LF,CF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Sogard","MIL","2B","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Thames","MIL","1B,LF,RF","@CHC","3.73","0.42","0.13","0.66","0.1",".238",".317","0.89","0.21","0.01","0.38","1.13",""
" ","Eric Young","LAA","CF,DH","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Erick Aybar","SD","3B,SS","@ATL","0.41","0.03","0","0.03","0.01",".294",".344","0.12","0.03","0","0.03","0.07",""
" ","Evan Longoria","TB","3B","@BOS","4.03","0.47","0.18","0.68","0.02",".290",".342","1.17","0.21","0.02","0.3","0.91",""
" ","Everth Cabrera","CWS","SS","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Francisco Cervelli","PIT","C","@STL","3.27","0.38","0.04","0.34","0.04",".240",".349","0.78","0.16","0.01","0.5","0.74",""
" ","Franklin Gutierrez","LAD","LF,RF","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Freddie Freeman","ATL","1B","SD","3.73","0.74","0.31","0.62","0.06",".335",".415","1.25","0.27","0.02","0.48","0.74",""
" ","Gaby Sanchez","SEA","1B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","George Kottaras","ATL","C","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Geovany Soto","CWS","C","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Greg Golson","MIL","RF,LF","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Greg Halman","SEA","LF,RF","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Gregor Blanco","ARI","LF,CF,RF","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hank Conger","ARI","C","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hanley Ramirez","BOS","1B","TB","3.98","0.66","0.17","0.87","0.03",".325",".416","1.29","0.28","0.01","0.6","0.92",""
" ","Ichiro Suzuki","MIA","LF,CF,RF","@SEA","0.18","0.02","0","0.01","0.01",".287",".352","0.05","0","0","0.02","0.03",""
" ","Ike Davis","LAD","1B","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jacoby Ellsbury","NYY","CF","CWS","0.46","0.04","0.01","0.04","0.01",".348",".383","0.16","0.02","0","0.02","0.09",""
" ","Jarrod Dyson","SEA","LF,CF,RF","MIA","3.79","0.46","0.02","0.32","0.49",".245",".325","0.93","0.15","0.04","0.4","0.57",""
" ","Jason Bourgeois","ARI","LF,CF,RF","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jason Castro","MIN","C","CLE","3.56","0.38","0.12","0.36","0.01",".188",".283","0.67","0.19","0.02","0.45","2.09",""
" ","Jason Heyward","CHC","CF,RF","MIL","3.86","0.44","0.07","0.33","0.16",".202",".271","0.78","0.18","0.02","0.33","0.62",""
" ","Jason Kipnis","CLE","2B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Wil Myers","SD","1B,RF","@ATL","3.83","0.57","0.24","0.58","0.2",".284",".361","1.09","0.17","0.03","0.46","1",""
" ","Jed Lowrie","OAK","2B","TEX","3.86","0.38","0.07","0.31","0.02",".228",".286","0.88","0.15","0.03","0.29","0.89",""
" ","Jeff Mathis","ARI","C","@LAD","3.76","0.23","0.04","0.43","0.01",".170",".229","0.64","0.15","0.03","0.27","1.29",""
" ","Jeremy Hermida","MIL","RF","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jerry Sands","CWS","1B,LF,RF,DH","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jhonny Peralta","STL","3B,SS","PIT","3.22","0.32","0.07","0.38","0.01",".270",".312","0.87","0.23","0.03","0.18","0.73",""
" ","Joe Mauer","MIN","1B,DH","CLE","3.85","0.42","0.07","0.41","0.01",".216",".312","0.83","0.2","0.02","0.54","1.07",""
" ","John Jaso","PIT","1B","@STL","0.39","0.05","0.01","0.04","0",".274",".359","0.11","0.03","0","0.05","0.07",""
" ","Carlos Corporan","CHC","C","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jon Jay","CHC","LF,CF,RF","MIL","3.02","0.43","0.03","0.2","0.04",".217",".271","0.66","0.15","0.01","0.14","0.68",""
" ","Jonathan Lucroy","TEX","C,1B","@OAK","3.79","0.45","0.13","0.57","0.03",".318",".378","1.2","0.25","0.03","0.36","0.75",""
" ","Jordan Pacheco","ATL","C,3B","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Bell","SD","3B","@ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Hamilton","TEX","LF,RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Leonys Martin","SEA","CF","MIA","3.53","0.35","0.09","0.32","0.21",".221",".295","0.78","0.12","0.01","0.36","1.1",""
" ","Josh Reddick","HOU","RF","LAA","3.28","0.44","0.09","0.32","0.07",".303",".359","0.99","0.15","0.02","0.3","0.38",""
" ","Josh Rodriguez","MIA","SS,3B","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Thole","ARI","C","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kyle Hudson","LAA","LF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kurt Suzuki","ATL","C","SD","2.73","0.26","0.07","0.33","0",".263",".317","0.72","0.17","0","0.17","0.26",""
" ","Leslie Anderson","TB","1B","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Logan Morrison","TB","1B","@BOS","3.71","0.45","0.08","0.45","0.04",".205",".279","0.76","0.19","0.01","0.35","0.89",""
" ","Lonnie Chisenhall","CLE","RF","@MIN","4.37","0.55","0.09","0.69","0.1",".384",".416","1.68","0.26","0.08","0.23","0.6",""
" ","Lou Marson","LAA","C","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lucas May","MIL","C","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Durango","CWS","LF,CF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Martinez","LAA","C","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Valbuena","LAA","1B,3B","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luke Hughes","OAK","3B","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Martin Prado","MIA","3B","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Dominguez","BOS","3B","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Holliday","NYY","1B,LF,DH","CWS","4.18","0.51","0.29","0.83","0.01",".266",".333","1.11","0.28","0.01","0.36","0.56",""
" ","Matt Joyce","OAK","LF,RF","TEX","3.56","0.62","0.23","0.58","0.02",".207",".322","0.74","0.13","0.03","0.58","1.08",""
" ","Matt Kemp","ATL","LF,RF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Tuiasosopo","ATL","3B,LF,1B","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Melky Cabrera","CWS","LF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael Brantley","CLE","LF","@MIN","4.05","0.73","0.11","0.52","0.22",".415",".459","1.68","0.27","0.02","0.33","0.4",""
" ","Miguel Montero","CHC","C","MIL","2.64","0.33","0.12","0.37","0.03",".183",".283","0.48","0.08","0.01","0.35","0.61",""
" ","Mike Baxter","SEA","LF,RF","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Napoli","TEX","1B,DH","@OAK","3.85","0.59","0.24","0.71","0.02",".228",".329","0.88","0.16","0.01","0.54","1.33",""
" ","Giancarlo Stanton","MIA","RF","@SEA","3.92","0.49","0.3","0.74","0.03",".252",".359","0.99","0.18","0","0.65","1.27",""
" ","Mike Trout","LAA","CF","@HOU","3.36","0.74","0.2","0.59","0.16",".308",".436","1.04","0.23","0.05","0.74","0.84",""
" ","Mitch Maier","CHC","CF","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mitch Moreland","BOS","1B","TB","3.68","0.27","0.16","0.67","0.01",".341",".395","1.25","0.2","0.01","0.29","1.47",""
" ","Nelson Cruz","SEA","RF,DH","MIA","3.73","0.55","0.18","0.65","0.01",".269",".345","1","0.19","0","0.41","0.82",""
" ","Nick Markakis","ATL","RF","SD","3.81","0.49","0.12","0.58","0.02",".310",".378","1.18","0.26","0.01","0.39","0.5",""
" ","Nick Swisher","NYY","1B,LF","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Nick Weglarz","ATL","1B,RF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Pablo Sandoval","BOS","3B","TB","0.7","0.08","0.02","0.09","0",".270",".330","0.19","0.04","0","0.06","0.13",""
" ","Peter Bourjos","TB","CF,RF","@BOS","0.7","0.08","0.01","0.05","0.02",".245",".298","0.17","0.03","0.01","0.05","0.18",""
" ","Rajai Davis","OAK","LF,CF","TEX","3.6","0.47","0.1","0.4","0.29",".232",".297","0.84","0.15","0.03","0.31","0.77",""
" ","Reid Brignac","HOU","3B","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Rickie Weeks","TB","LF","@BOS","3.57","0.46","0.1","0.46","0.08",".237",".337","0.85","0.14","0.02","0.49","1.15",""
" ","Robinson Cano","SEA","2B","MIA","3.94","0.53","0.18","0.68","0.02",".279",".354","1.1","0.24","0.01","0.44","0.62",""
" ","Robinson Chirinos","TEX","C","@OAK","0.49","0.06","0.03","0.07","0",".231",".315","0.11","0.04","0","0.05","0.14",""
" ","Ruben Tejada","NYY","3B","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Braun","MIL","LF","@CHC","3.3","0.38","0.26","0.55","0.13",".261",".311","0.86","0.11","0.02","0.22","0.87",""
" ","Ryan Howard","ATL","1B","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Scott Cousins","BOS","CF,RF,LF","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Shane Victorino","CHC","LF,RF","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Shin-Soo Choo","TEX","RF","@OAK","3.9","0.48","0.08","0.4","0.07",".209",".328","0.81","0.21","0.02","0.62","1.04",""
" ","Starlin Castro","NYY","2B","CWS","4.28","0.45","0.17","0.41","0.02",".278",".314","1.19","0.28","0.01","0.21","0.63",""
" ","Todd Frazier","CWS","1B,3B","@NYY","3.94","0.63","0.32","0.73","0.07",".216",".301","0.85","0.11","0.01","0.46","1.23",""
" ","Travis Snider","TEX","LF,RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trayvon Robinson","LAD","LF,CF","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trevor Plouffe","OAK","1B,3B","TEX","3.68","0.34","0.14","0.53","0.02",".246",".299","0.91","0.1","0.02","0.26","0.61",""
" ","Tyler Fers","ATL","C","SD","2.89","0.33","0.14","0.42","0",".301",".358","0.87","0.17","0","0.21","0.7",""
" ","Tyler Greene","ATL","2B,SS","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Will Venable","LAD","RF","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Wilson Ramos","TB","C","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Wily Mo Pena","CLE","LF,DH","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Yadier Molina","STL","C","PIT","3.53","0.28","0.03","0.44","0.01",".277",".323","0.98","0.27","0.01","0.23","0.48",""
" ","Yonder Alonso","OAK","1B","TEX","3.77","0.42","0.09","0.44","0.03",".229",".290","0.86","0.26","0.02","0.31","0.65",""
" ","Yunel Escobar","LAA","3B","@HOU","3.94","0.52","0.05","0.29","0.01",".299",".351","1.18","0.17","0.01","0.29","0.51",""
" ","Matt Angle","MIA","LF,CF","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Lavarnway","OAK","C,1B","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lars Anderson","CHC","LF,1B","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Will Middlebrooks","TEX","3B","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Abraham Almonte","CLE","LF,RF","@MIN","2.88","0.51","0.04","0.29","0.18",".320",".362","0.92","0.2","0.04","0.19","0.51",""
" ","Che-Hsuan Lin","TEX","RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Corey Dickerson","TB","LF,DH","@BOS","4.19","0.49","0.11","0.62","0.01",".233",".277","0.97","0.38","0.03","0.25","1.01",""
" ","Nevin Ashley","TEX","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Stephen Vogt","OAK","C,DH","TEX","3.9","0.55","0.19","0.43","0.01",".248",".300","0.97","0.24","0.02","0.28","0.69",""
" ","Russ Canzler","NYY","1B,LF","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Guyer","CLE","LF,CF,RF","@MIN","3.26","0.38","0.08","0.45","0.05",".337",".411","1.1","0.18","0.01","0.23","0.54",""
" ","Adeiny Hechavarria","MIA","SS","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Moises Sierra","MIA","RF,LF","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eduardo Escobar","MIN","3B,SS","CLE","3.68","0.3","0.06","0.42","0.01",".211",".260","0.78","0.18","0.02","0.22","1.1",""
" ","Osvaldo Martinez","LAD","SS","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Juan Diaz","CWS","SS,3B","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hernan Perez","MIL","2B,3B,CF,RF","@CHC","3.04","0.26","0.11","0.33","0.31",".222",".252","0.68","0.09","0.02","0.11","0.9",""
" ","Avisail Garcia","CWS","LF,RF,DH","@NYY","4.14","0.65","0.14","0.53","0.06",".222",".293","0.92","0.16","0.02","0.38","1.05",""
" ","Manny Pina","MIL","C","@CHC","3.26","0.22","0.12","0.49","0.02",".217",".269","0.71","0.2","0.02","0.21","0.99",""
" ","Chris Parmelee","OAK","1B,RF","TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Oswaldo Arcia","ARI","LF,RF","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jean Segura","SEA","2B,SS","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jeremy Moore","TB","RF","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Derek Norris","TB","C","@BOS","3.22","0.31","0.09","0.32","0.05",".206",".276","0.66","0.13","0.01","0.29","1.12",""
" ","Anthony Recker","ATL","C","SD","0.12","0.01","0.01","0.02","0",".282",".351","0.03","0.01","0","0.01","0.02",""
" ","Jemile Weeks","CHC","2B","MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Collin Cowgill","SD","LF,RF","@ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jermaine Mitchell","MIN","RF,CF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Gimenez","MIN","C","CLE","2.7","0.23","0.05","0.24","0.01",".246",".315","0.66","0.09","0.01","0.26","0.91",""
" ","Kyle Seager","SEA","3B","MIA","3.56","0.46","0.16","0.61","0.02",".287",".384","1.02","0.25","0.01","0.55","0.65",""
" ","Brandon Hicks","LAD","2B","ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Jackson","MIA","2B,SS","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kevin Mattison","MIL","LF,CF","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Bryan Petersen","TEX","LF,CF,RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chris Owings","ARI","SS,CF","@LAD","3.29","0.25","0.03","0.34","0.27",".204",".270","0.67","0.18","0.04","0.29","0.82",""
" ","Zach Lutz","MIA","1B,3B","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Satin","SD","1B","@ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Justin Turner","LAD","3B","ARI","3.94","0.46","0.13","0.48","0.03",".223",".318","0.88","0.18","0.02","0.47","0.97",""
" ","Kirk Nieuwenhuis","MIL","CF,RF","@CHC","0.47","0.03","0.01","0.06","0.01",".189",".291","0.09","0.02","0","0.06","0.2",""
" ","Cesar Puello","TEX","RF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Erik Kratz","CLE","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Sebastian Valle","SEA","C","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael Martinez","CLE","2B,CF,RF","@MIN","0.31","0.05","0","0.03","0.01",".381",".418","0.12","0.02","0","0.02","0.05",""
" ","Tyler Moore","MIA","1B,LF","@SEA","0.46","0.04","0.01","0.05","0",".233",".291","0.11","0.02","0","0.04","0.14",""
" ","Eury Perez","PIT","LF,CF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Bryan LaHair","BOS","1B,RF","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Junior Lake","BOS","LF,RF","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Anthony Rizzo","CHC","1B","MIL","4.15","0.65","0.3","0.77","0.07",".260",".360","1.08","0.24","0.03","0.51","0.8",""
" ","Tony Campana","CWS","CF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matthew Szczur","CHC","LF,CF,RF","MIL","0.18","0.03","0.01","0.02","0",".327",".373","0.06","0.01","0","0.01","0.03",""
" ","Didi Gregorius","NYY","SS","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kristopher Negron","ARI","2B,3B,SS,LF","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Denis Phipps","CWS","RF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jose Altuve","HOU","2B","LAA","4.19","0.74","0.23","0.64","0.24",".314",".362","1.32","0.24","0.06","0.29","0.47",""
" ","Matt Downs","MIA","3B,1B","@SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Marwin Gonzalez","HOU","1B,2B,3B,SS,LF","LAA","3.99","0.51","0.13","0.45","0.08",".258",".304","1.03","0.13","0.02","0.22","0.93",""
" ","Brian Bogusevic","BOS","LF,CF,RF","TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","J.B. Shuck","MIN","LF,CF,RF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Xander Bogaerts","BOS","SS","TB","3.83","0.67","0.1","0.58","0.07",".315",".391","1.21","0.18","0.01","0.47","0.83",""
" ","Martin Maldonado","LAA","C","@HOU","2.64","0.24","0.1","0.28","0.01",".181",".295","0.48","0.07","0","0.39","0.61",""
" ","Eric Farris","MIN","2B","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Caleb Gindl","CWS","RF,LF","@NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brock Kjeldgaard","MIL","LF,1B","@CHC","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael McKenry","TB","C","@BOS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Chase d'Arnaud","ATL","2B,3B,SS,LF","SD","0.15","0.02","0","0.01","0.01",".264",".315","0.04","0.01","0","0.01","0.02",""
" ","Matt Hague","MIN","1B","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Harrison","PIT","2B,3B","@STL","3.49","0.42","0.04","0.4","0.14",".288",".329","1","0.18","0.05","0.16","0.55",""
" ","Jordy Mercer","PIT","SS","@STL","3.15","0.39","0.05","0.35","0.01",".249",".316","0.79","0.13","0.02","0.29","0.51",""
" ","Yamaico Navarro","NYY","2B,LF","CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Starling Marte","PIT","LF,CF","@STL","4.43","0.63","0.1","0.45","0.36",".309",".366","1.37","0.34","0.04","0.29","0.83",""
" ","Ronny Rodriguez","CLE","SS,1B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Tony Cruz","SD","C","@ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
