"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Fernando Rodney","ARI","RP","@SD","0.38","0.37","0.02","0.17","3.41","1.30","0.14","0.32","0.17","0.03","0","0","0.02","0",""
" ","Fernando Salas","NYM","RP","PHI","0.33","0.34","0.01","0","3.41","1.13","0.12","0.28","0.09","0.04","0","0","0.01","0",""
" ","Francisco Rodriguez","DET","RP","@TB","0.38","0.38","0.01","0.2","3.53","1.15","0.15","0.32","0.11","0.06","0","0","0.01","0",""
" ","Jeanmar Gomez","PHI","RP","@NYM","0.32","0.26","0.01","0.06","2.48","1.27","0.09","0.29","0.11","0.04","0","0","0.01","0",""
" ","Jeremy Jeffress","TEX","RP","KC","0.36","0.26","0.01","0.05","3.64","1.31","0.15","0.36","0.11","0.03","0","0","0.01","0",""
" ","Jim Johnson","ATL","RP","WSH","0.38","0.34","0.03","0.14","3.34","1.32","0.14","0.36","0.14","0.03","0","0","0.02","0",""
" ","Joakim Soria","KC","RP","@TEX","0.4","0.42","0.02","0.02","3.48","1.31","0.15","0.37","0.16","0.05","0","0","0.02","0",""
" ","Joaquin Benoit","PHI","RP","@NYM","0.31","0.32","0.01","0.02","3.06","1.18","0.11","0.22","0.15","0.05","0","0","0.01","0",""
" ","Joe Blanton","WSH","RP","@ATL","0.35","0.35","0.03","0.01","3.32","1.07","0.13","0.28","0.09","0.05","0","0","0.03","0",""
" ","Joe Smith","TOR","RP","BOS","0.3","0.29","0.01","0","3.80","1.26","0.13","0.29","0.09","0.04","0","0","0.01","0",""
" ","Jonathan Broxton","STL","RP","@MIL","0.34","0.34","0.01","0","4.62","1.30","0.17","0.3","0.14","0.06","0","0","0.01","0",""
" ","Jorge De La Rosa","ARI","SP,RP","@SD","0.27","0.23","0.01","0","3.25","1.27","0.1","0.24","0.09","0.02","0","0","0.01","0",""
" ","Josh Collmenter","ATL","SP,RP","WSH","0.28","0.19","0.01","0","4.13","1.43","0.13","0.31","0.09","0.04","0","0","0.01","0",""
" ","Luke Gregerson","HOU","RP","LAA","0.35","0.34","0.01","0.01","3.90","1.21","0.15","0.31","0.11","0.05","0","0","0.01","0",""
" ","Marc Rzepczynski","SEA","RP","@OAK","0.25","0.21","0.01","0","3.03","1.28","0.08","0.2","0.12","0.02","0","0","0.01","0",""
" ","Matt Belisle","MIN","RP","CLE","0.32","0.24","0.01","0","3.77","1.38","0.13","0.33","0.1","0.04","0","0","0.01","0",""
" ","Mike Minor","KC","SP,RP","@TEX","0.32","0.28","0.01","0","5.06","1.40","0.18","0.33","0.12","0.04","0","0","0.01","0",""
" ","Neftali Feliz","MIL","RP","STL","0.36","0.36","0.01","0.18","4.41","1.27","0.18","0.32","0.14","0.06","0","0","0.03","0",""
" ","Oliver Perez","WSH","RP","@ATL","0.23","0.26","0.01","0","3.80","1.26","0.1","0.2","0.09","0.03","0","0","0.01","0",""
" ","Peter Moylan","KC","RP","@TEX","0.25","0.21","0.01","0","3.66","1.30","0.1","0.22","0.1","0.03","0","0","0.01","0",""
" ","R.A. Dickey","ATL","SP","WSH","6.25","4.54","0.25","0","4.17","1.39","2.89","6.27","2.38","0.79","0","0","0.5","0",""
" ","Ryan Madson","OAK","RP","SEA","0.37","0.31","0.01","0.12","3.39","1.26","0.14","0.36","0.11","0.04","0","0","0.01","0",""
" ","Santiago Casilla","OAK","RP","SEA","0.35","0.33","0.01","0.03","3.33","1.15","0.13","0.28","0.13","0.04","0","0","0.01","0",""
" ","Scott Feldman","CIN","SP,RP","BAL","5.52","4.03","0.23","0","4.49","1.44","2.76","6.14","1.81","0.95","0","0","0.23","0",""
" ","Tanner Scheppers","TEX","RP","KC","0.2","0.15","0.02","0","5.13","1.41","0.11","0.2","0.09","0.03","0","0","0.01","0",""
" ","Tommy Hunter","TB","RP","DET","0.25","0.18","0.01","0","3.03","1.14","0.08","0.23","0.06","0.02","0","0","0.01","0",""
" ","Tony Sipp","HOU","RP","LAA","0.24","0.23","0.01","0","4.05","1.40","0.11","0.22","0.11","0.04","0","0","0.01","0",""
" ","Travis Wood","KC","RP","@TEX","0.31","0.29","0.01","0","5.61","1.50","0.19","0.31","0.16","0.07","0","0","0.01","0",""
" ","Wade Miley","BAL","SP","@CIN","6.23","5.64","0.25","0","4.19","1.35","2.9","6.26","2.09","1.08","0","0","0.5","0",""
" ","Oliver Drake","MIL","RP","STL","0.17","0.19","0.01","0","4.29","1.62","0.08","0.19","0.09","0.02","0","0","0.01","0",""
" ","Matt Albers","WSH","RP","@ATL","0.14","0.1","0.01","0","3.78","1.22","0.06","0.13","0.04","0","0","0","0","0",""
" ","Matt Bush","TEX","RP","KC","0.31","0.32","0.01","0.06","3.14","1.09","0.11","0.25","0.08","0.03","0","0","0.01","0",""
" ","Alexander Colome","TB","RP","DET","0.4","0.39","0.02","0.2","2.75","1.10","0.12","0.34","0.1","0.04","0","0","0.02","0",""
" ","Danny Farquhar","TB","RP","DET","0.3","0.28","0.01","0","3.80","1.32","0.13","0.27","0.11","0.03","0","0","0.01","0",""
" ","Jhan Marinez","MIL","RP","STL","0.38","0.33","0.02","0","4.19","1.58","0.18","0.42","0.18","0.04","0","0","0.03","0",""
" ","Addison Reed","NYM","RP","PHI","0.41","0.49","0.02","0.05","2.93","1.03","0.13","0.34","0.09","0.05","0","0","0.02","0",""
" ","Zach McAllister","CLE","RP","@MIN","0.31","0.34","0.01","0","3.94","1.34","0.14","0.3","0.12","0.04","0","0","0.01","0",""
" ","Kelvin Herrera","KC","RP","@TEX","0.41","0.44","0.02","0.21","3.13","1.08","0.14","0.33","0.11","0.06","0","0","0.02","0",""
" ","Deolis Guerra","LAA","RP","@HOU","0.28","0.21","0.01","0","4.15","1.25","0.13","0.28","0.07","0.03","0","0","0.01","0",""
" ","Liam Hendriks","OAK","RP","SEA","0.34","0.32","0.01","0","3.80","1.26","0.14","0.34","0.09","0.03","0","0","0.01","0",""
" ","Jerry Blevins","NYM","RP","PHI","0.25","0.29","0.02","0","2.55","1.08","0.07","0.19","0.08","0.02","0","0","0.01","0",""
" ","Sean Doolittle","OAK","RP","SEA","0.31","0.37","0.01","0.05","3.15","1.08","0.11","0.26","0.08","0.04","0","0","0.01","0",""
" ","Brad Peacock","HOU","SP,RP","LAA","0.39","0.35","0.03","0","3.90","1.25","0.17","0.33","0.16","0.05","0","0","0.02","0",""
" ","Shawn Kelley","WSH","RP","@ATL","0.33","0.44","0.03","0.06","3.03","1.02","0.11","0.24","0.09","0.05","0","0","0.01","0",""
" ","Tom Wilhelmsen","ARI","RP","@SD","0.2","0.14","0.01","0","4.12","1.35","0.09","0.19","0.08","0.02","0","0","0.01","0",""
" ","Randall Delgado","ARI","RP","@SD","0.36","0.31","0.02","0.02","3.72","1.33","0.15","0.35","0.13","0.05","0","0","0.02","0",""
" ","J.J. Hoover","ARI","RP","@SD","0.03","0.03","0","0","1.84","0.94","0.01","0.02","0","0","0","0","0","0",""
" ","Arodys Vizcaino","ATL","RP","WSH","0.36","0.39","0.01","0.06","3.33","1.40","0.13","0.31","0.18","0.04","0","0","0.01","0",""
" ","Brad Hand","SD","RP","ARI","0.45","0.47","0.02","0.02","2.88","1.15","0.14","0.35","0.17","0.04","0","0","0.02","0",""
" ","Stephen Strasburg","WSH","SP","@ATL","6.66","7.89","0.51","0","2.90","1.04","2.14","5.22","1.7","0.66","0","0","0.26","0",""
" ","Marco Estrada","TOR","SP","BOS","6.48","5.71","0.5","0","4.02","1.21","2.9","5.72","2.07","1.11","0","0","0.5","0",""
" ","Brandon Kintzler","MIN","RP","CLE","0.41","0.27","0.02","0.13","3.50","1.32","0.16","0.42","0.11","0.05","0","0","0.02","0",""
" ","Jason Grilli","TOR","RP","BOS","0.34","0.4","0.03","0.01","3.71","1.24","0.14","0.28","0.14","0.06","0","0","0.01","0",""
" ","Jared Hughes","MIL","RP","STL","0.31","0.18","0.01","0","4.03","1.47","0.14","0.34","0.12","0.04","0","0","0.01","0",""
" ","Justin Wilson","DET","RP","@TB","0.36","0.43","0.01","0.01","2.97","1.10","0.12","0.27","0.13","0.04","0","0","0.01","0",""
" ","Kevin Siegrist","STL","RP","@MIL","0.35","0.4","0.01","0.01","4.38","1.37","0.17","0.28","0.2","0.07","0","0","0.01","0",""
" ","Trevor Bauer","CLE","SP,RP","@MIN","6.61","6.4","0.26","0","4.77","1.40","3.51","6.74","2.51","0.83","0","0","0.26","0",""
" ","Bryan Shaw","CLE","RP","@MIN","0.36","0.33","0.01","0.01","3.86","1.31","0.15","0.34","0.13","0.04","0","0","0.01","0",""
" ","Brad Brach","BAL","RP","@CIN","0.4","0.54","0.02","0.1","2.96","1.15","0.13","0.3","0.16","0.06","0","0","0.02","0",""
" ","Nick Vincent","SEA","RP","@OAK","0.35","0.37","0.01","0","3.64","1.17","0.14","0.3","0.11","0.04","0","0","0.01","0",""
" ","Ian Krol","ATL","RP","WSH","0.29","0.28","0.01","0","4.71","1.54","0.15","0.3","0.15","0.04","0","0","0.01","0",""
" ","Anthony Cingrani","CIN","RP","BAL","0.37","0.37","0.01","0.01","4.08","1.38","0.17","0.33","0.18","0.07","0","0","0.01","0",""
" ","Aaron Loup","TOR","RP","BOS","0.21","0.23","0.01","0","3.26","1.35","0.08","0.23","0.06","0.02","0","0","0.01","0",""
" ","Sean Gilmartin","NYM","RP","PHI","0.28","0.24","0.01","0","3.53","1.25","0.11","0.27","0.08","0.03","0","0","0.01","0",""
" ","Archie Bradley","ARI","SP","@SD","0.56","0.54","0.02","0","2.83","1.21","0.18","0.47","0.2","0.03","0","0","0.02","0",""
" ","Cody Allen","CLE","RP","@MIN","0.41","0.56","0.02","0.18","2.90","1.16","0.13","0.32","0.15","0.04","0","0","0.02","0",""
" ","Matt Barnes","BOS","RP","@TOR","0.31","0.31","0.03","0","4.03","1.38","0.14","0.27","0.15","0.06","0","0","0.01","0",""
" ","James Paxton","SEA","SP","@OAK","6.39","6.32","0.51","0","3.21","1.22","2.28","5.81","1.96","0.55","0","0","0.26","0",""
" ","Evan Scribner","SEA","RP","@OAK","0.33","0.33","0.01","0","4.11","1.11","0.15","0.3","0.07","0.05","0","0","0.01","0",""
" ","Erasmo Ramirez","TB","RP","DET","5","3.62","0.2","0","3.74","1.20","2.08","4.83","1.17","0.66","0","0","0.2","0",""
" ","Robbie Ross","BOS","RP","@TOR","0.29","0.27","0.01","0","3.89","1.40","0.13","0.28","0.12","0.04","0","0","0.01","0",""
" ","Noah Syndergaard","NYM","SP","PHI","6.55","7.94","0.5","0","2.60","1.04","1.89","5.45","1.35","0.53","0","0","0.25","0",""
" ","Josh Edgin","NYM","RP","PHI","0.1","0.09","0","0","4.18","1.54","0.05","0.1","0.05","0.01","0","0","0.01","0",""
" ","Brandon Maurer","SD","RP","ARI","0.41","0.4","0.02","0.14","3.31","1.16","0.15","0.35","0.12","0.04","0","0","0.02","0",""
" ","Trevor Rosenthal","STL","RP","@MIL","0.31","0.42","0.01","0.05","3.58","1.36","0.12","0.28","0.14","0.04","0","0","0.01","0",""
" ","Xavier Cedeno","TB","RP","DET","0.32","0.29","0.01","0.03","3.16","1.29","0.11","0.3","0.11","0.04","0","0","0.01","0",""
" ","Joe Kelly","BOS","SP,RP","@TOR","0.35","0.31","0.03","0.01","3.70","1.30","0.14","0.31","0.14","0.05","0","0","0.01","0",""
" ","Patrick Corbin","ARI","SP,RP","@SD","6.1","4.47","0.25","0","3.34","1.34","2.27","6.21","1.92","0.6","0","0","0.51","0",""
" ","Heath Hembree","BOS","RP","@TOR","0.22","0.2","0.01","0","3.49","1.23","0.09","0.19","0.08","0.03","0","0","0.01","0",""
" ","Robert Stephenson","CIN","SP","BAL","0.51","0.51","0.02","0","4.93","1.50","0.28","0.5","0.27","0.08","0","0","0.04","0",""
" ","Steven Rodriguez","ATL","RP","WSH","0.12","0.11","0","0","3.25","1.35","0.04","0.11","0.05","0","0","0","0","0",""
" ","Zach Lee","SD","SP,RP","ARI","0.15","0.1","0.01","0","4.29","1.57","0.07","0.16","0.08","0.01","0","0","0.01","0",""
" ","Rafael Montero","NYM","SP,RP","PHI","0.27","0.26","0.01","0","5.14","1.72","0.15","0.31","0.15","0.03","0","0","0.04","0",""
" ","Daniel Norris","DET","SP","@TB","6","5.93","0.48","0","3.84","1.29","2.56","5.52","2.22","0.79","0","0","0.24","0",""
" ","Andrew Chafin","ARI","RP","@SD","0.31","0.27","0.01","0","2.81","1.17","0.1","0.25","0.11","0.03","0","0","0.01","0",""
" ","Vidal Nuno","BAL","RP","@CIN","0.31","0.29","0.01","0","4.14","1.23","0.14","0.31","0.08","0.08","0","0","0.01","0",""
" ","Lance McCullers","HOU","SP","LAA","6.54","6.7","0.5","0","3.58","1.32","2.6","5.82","2.78","0.75","0","0","0.25","0",""
" ","Blake Parker","LAA","RP","@HOU","0.12","0.14","0","0","4.21","1.25","0.06","0.1","0.05","0.02","0","0","0.01","0",""
" ","Mike Hauschild","TEX","SP,RP","KC","0.29","0.23","0.01","0","5.51","1.46","0.18","0.34","0.08","0.05","0","0","0.02","0",""
" ","Michael Lorenzen","CIN","RP","BAL","0.46","0.45","0.02","0.02","3.84","1.29","0.2","0.44","0.15","0.05","0","0","0.02","0",""
" ","Corey Knebel","MIL","RP","STL","0.37","0.4","0.01","0.03","3.48","1.26","0.14","0.31","0.15","0.04","0","0","0.01","0",""
" ","Tyler Duffey","MIN","SP","CLE","0.64","0.51","0.03","0","4.28","1.35","0.3","0.67","0.18","0.12","0","0","0.03","0",""
" ","Dominic Leone","TOR","RP","BOS","0.17","0.17","0.01","0","3.90","1.28","0.07","0.16","0.06","0","0","0","0.01","0",""
" ","Luis Garcia","PHI","RP","@NYM","0.29","0.26","0.01","0","3.16","1.35","0.1","0.24","0.15","0.04","0","0","0.01","0",""
" ","Ben Lively","PHI","SP","@NYM","0.14","0.13","0.01","0","3.59","1.26","0.06","0.12","0.05","0.02","0","0","0.01","0",""
" ","Joely Rodriguez","PHI","RP","@NYM","0.24","0.19","0.01","0","4.14","1.44","0.11","0.24","0.11","0.05","0","0","0.01","0",""
" ","Carlos Martinez","STL","SP","@MIL","6.79","7.06","0.52","0","3.61","1.25","2.72","5.99","2.43","0.85","0","0","0.26","0",""
" ","Yusmeiro Petit","LAA","RP","@HOU","0.19","0.16","0.01","0","4.18","1.24","0.09","0.18","0.06","0.05","0","0","0.01","0",""
" ","Enny Romero","WSH","RP","@ATL","0.2","0.23","0.01","0","4.38","1.59","0.1","0.21","0.1","0.02","0","0","0.01","0",""
" ","Will Harris","HOU","RP","LAA","0.37","0.33","0.01","0.03","2.71","1.04","0.11","0.28","0.11","0.04","0","0","0.01","0",""
" ","Jose Alvarez","LAA","RP","@HOU","0.29","0.25","0.01","0","3.81","1.34","0.12","0.28","0.1","0.06","0","0","0.01","0",""
" ","Carlos Torres","MIL","RP","STL","0.36","0.31","0.01","0.01","4.19","1.44","0.17","0.36","0.16","0.05","0","0","0.01","0",""
" ","Ryan Pressly","MIN","RP","CLE","0.38","0.33","0.02","0.03","4.33","1.38","0.18","0.39","0.13","0.06","0","0","0.03","0",""
" ","Michael Tonkin","MIN","RP","CLE","0.26","0.25","0.01","0","4.29","1.37","0.12","0.26","0.09","0.05","0","0","0.01","0",""
" ","Matt Shoemaker","LAA","SP","@HOU","6.38","5.26","0.51","0","4.38","1.26","3.1","6.37","1.59","1.33","0","0","0.26","0",""
" ","Jayson Aquino","BAL","RP","@CIN","0.21","0.17","0.01","0","4.68","1.37","0.11","0.23","0.06","0.05","0","0","0.01","0",""
" ","Raul Alcantara","OAK","SP","SEA","0.58","0.4","0.02","0","5.06","1.41","0.33","0.64","0.17","0.07","0","0","0.05","0",""
" ","Dan Otero","CLE","RP","@MIN","0.34","0.25","0.01","0","3.76","1.30","0.14","0.37","0.07","0.04","0","0","0.01","0",""
" ","Alex Wilson","DET","RP","@TB","0.4","0.31","0.02","0","3.75","1.23","0.17","0.37","0.12","0.05","0","0","0.02","0",""
" ","Ryan Buchter","SD","RP","ARI","0.35","0.43","0.01","0.01","3.10","1.15","0.12","0.24","0.16","0.04","0","0","0.01","0",""
" ","Lisalverto Bonilla","CIN","SP,RP","BAL","0.13","0.12","0.01","0","4.65","1.44","0.07","0.13","0.05","0.02","0","0","0.01","0",""
" ","Shane Greene","DET","SP,RP","@TB","0.35","0.32","0.01","0","3.95","1.31","0.15","0.32","0.12","0.04","0","0","0.01","0",""
" ","Jose Ramirez","ATL","RP","WSH","0.26","0.23","0.01","0","3.71","1.31","0.11","0.21","0.13","0.03","0","0","0.02","0",""
" ","Kevin Chapman","ATL","RP","WSH","0.19","0.19","0.01","0","3.72","1.53","0.08","0.19","0.1","0.02","0","0","0.01","0",""
" ","Blake Treinen","WSH","RP","@ATL","0.36","0.37","0.01","0.15","3.32","1.34","0.13","0.32","0.16","0.03","0","0","0.01","0",""
" ","Kevin Quackenbush","SD","RP","ARI","0.26","0.24","0.01","0.01","3.60","1.28","0.1","0.24","0.09","0.03","0","0","0.01","0",""
" ","Mike Morin","LAA","RP","@HOU","0.28","0.23","0.01","0","4.97","1.28","0.15","0.28","0.07","0.06","0","0","0.01","0",""
" ","Evan Marshall","SEA","RP","@OAK","0.03","0.02","0","0","1.86","1.23","0.01","0.03","0.01","0.01","0","0","0","0",""
" ","Chase Whitley","TB","P,RP","DET","0.18","0.15","0.01","0","3.52","1.24","0.07","0.17","0.05","0.02","0","0","0.01","0",""
" ","Cameron Bedrosian","LAA","RP","@HOU","0.35","0.38","0.01","0.13","2.92","1.26","0.11","0.3","0.14","0.05","0","0","0.01","0",""
" ","Kenneth Giles","HOU","RP","LAA","0.39","0.48","0.02","0.2","3.44","1.23","0.15","0.31","0.16","0.04","0","0","0.02","0",""
" ","Jose Diaz","TB","RP","DET","0.22","0.2","0.01","0","3.94","1.28","0.1","0.19","0.09","0.01","0","0","0.01","0",""
" ","Hector Neris","PHI","RP","@NYM","0.32","0.26","0.01","0.05","2.48","1.29","0.09","0.29","0.11","0.04","0","0","0.01","0",""
" ","Alexander Claudio","TEX","RP","KC","0.32","0.2","0.01","0","3.35","1.30","0.12","0.33","0.08","0.04","0","0","0.01","0",""
" ","Kyle Ryan","DET","RP","@TB","0.28","0.2","0.01","0","4.44","1.44","0.14","0.29","0.11","0.04","0","0","0.01","0",""
" ","Dario Alvarez","TEX","RP","KC","0.19","0.22","0.01","0","4.40","1.40","0.09","0.2","0.06","0.02","0","0","0.01","0",""
" ","Dan Coulombe","OAK","RP","SEA","0.28","0.26","0.01","0","3.38","1.29","0.11","0.25","0.11","0.03","0","0","0.01","0",""
" ","Raisel Iglesias","CIN","SP,RP","BAL","0.43","0.47","0.02","0.15","3.14","1.11","0.15","0.35","0.13","0.07","0","0","0.02","0",""
" ","Ryan Tepera","TOR","RP","BOS","0.19","0.17","0.01","0","5.07","1.33","0.11","0.18","0.07","0.03","0","0","0.01","0",""
" ","Frankie Montas","OAK","RP","SEA","0.26","0.22","0.01","0","3.70","1.38","0.11","0.25","0.1","0.03","0","0","0.01","0",""
" ","Hansel Robles","NYM","RP","PHI","0.36","0.41","0.03","0","3.49","1.28","0.14","0.29","0.15","0.04","0","0","0.01","0",""
" ","Luke Jackson","ATL","RP","WSH","0.02","0.01","0","0","5.45","1.22","0.01","0.02","0","0","0","0","0","0",""
" ","Michael Feliz","HOU","RP","LAA","0.31","0.33","0.01","0","3.73","1.24","0.13","0.27","0.11","0.03","0","0","0.01","0",""
" ","Jandel Francisco Gustave","HOU","RP","LAA","0.11","0.08","0","0","4.60","1.67","0.06","0.1","0.08","0.01","0","0","0","0",""
" ","Aaron Nola","PHI","SP","@NYM","6.04","5.8","0.48","0","3.23","1.19","2.17","5.5","1.69","0.67","0","0","0.48","0",""
" ","Mychal Antonio Givens","BAL","RP","@CIN","0.38","0.49","0.03","0.01","3.04","1.24","0.13","0.31","0.16","0.06","0","0","0.01","0",""
" ","Roberto Osuna","TOR","RP","BOS","0.4","0.46","0.02","0.22","3.22","1.05","0.14","0.33","0.09","0.05","0","0","0.02","0",""
" ","Keone Kela","TEX","RP","KC","0.3","0.33","0.01","0","3.46","1.23","0.12","0.25","0.11","0.03","0","0","0.01","0",""
" ","Miguel Socolovich","STL","RP","@MIL","0.2","0.2","0.02","0","4.79","1.42","0.11","0.19","0.08","0.03","0","0","0.01","0",""
" ","Tyler Wilson","BAL","SP,RP","@CIN","0.53","0.37","0.02","0","4.89","1.41","0.29","0.6","0.14","0.12","0","0","0.04","0",""
" ","Nick Goody","CLE","RP","@MIN","0.08","0.1","0","0","3.74","1.28","0.03","0.07","0.03","0.02","0","0","0","0",""
" ","James Pazos","SEA","RP","@OAK","0.18","0.19","0.01","0","3.65","1.43","0.07","0.16","0.1","0.02","0","0","0.01","0",""
" ","Scott Alexander","KC","RP","@TEX","0.23","0.17","0.01","0","3.89","1.36","0.1","0.23","0.08","0.02","0","0","0.02","0",""
" ","Tony Zych","SEA","RP","@OAK","0.24","0.26","0.01","0","3.53","1.28","0.09","0.2","0.1","0.02","0","0","0.01","0",""
" ","Ryan Dull","OAK","RP","SEA","0.34","0.34","0.01","0.01","3.47","1.12","0.13","0.29","0.1","0.04","0","0","0.01","0",""
" ","Zach Davies","MIL","SP","STL","5.85","4.71","0.24","0","4.77","1.43","3.1","6.49","1.88","0.79","0","0","0.24","0",""
" ","Joshua Smoker","NYM","RP","PHI","0.23","0.32","0.02","0","3.13","1.23","0.08","0.19","0.09","0.02","0","0","0.01","0",""
" ","Jacob Barnes","MIL","RP","STL","0.28","0.28","0.01","0","3.20","1.23","0.1","0.25","0.1","0.03","0","0","0.01","0",""
" ","Taylor Rogers","MIN","RP","CLE","0.32","0.3","0.01","0","4.00","1.40","0.14","0.34","0.1","0.04","0","0","0.01","0",""
" ","Jose Torres","SD","RP","ARI","0.22","0.22","0.01","0","3.44","1.16","0.08","0.18","0.07","0.04","0","0","0.01","0",""
" ","Jose Leclerc","TEX","RP","KC","0.1","0.12","0","0.01","2.48","1.11","0.03","0.08","0.03","0","0","0","0.01","0",""
" ","Edubray Ramos","PHI","RP","@NYM","0.32","0.32","0.01","0","3.35","1.18","0.12","0.26","0.11","0.04","0","0","0.03","0",""
" ","Seung-Hwan Oh","STL","RP","@MIL","0.39","0.49","0.02","0.18","3.56","1.17","0.15","0.35","0.1","0.07","0","0","0.02","0",""
" ","Joe Biagini","TOR","RP","BOS","0.41","0.33","0.02","0","3.08","1.19","0.14","0.38","0.11","0.04","0","0","0.02","0",""
" ","Matthew Bowman","STL","RP","@MIL","0.25","0.22","0.01","0","3.27","1.13","0.09","0.21","0.07","0.03","0","0","0.01","0",""
" ","Tony Barnette","TEX","RP","KC","0.35","0.28","0.03","0","3.72","1.27","0.14","0.36","0.09","0.04","0","0","0.01","0",""
" ","Edwin Diaz","SEA","RP","@OAK","0.41","0.54","0.02","0.2","3.16","1.17","0.14","0.34","0.14","0.05","0","0","0.02","0",""
" ","Timothy Adleman","CIN","SP","BAL","0.34","0.29","0.01","0","4.55","1.35","0.17","0.36","0.1","0.06","0","0","0.03","0",""
" ","Chris Devenski","HOU","SP,RP","LAA","0.42","0.43","0.02","0","2.97","1.04","0.14","0.33","0.1","0.05","0","0","0.02","0",""
" ","Warwick Saupold","DET","SP,RP","@TB","0.01","0.01","0","0","0.00","0.59","0","0","0.01","0","0","0","0","0",""
" ","Donnie Hart","BAL","RP","@CIN","0.21","0.19","0.02","0","3.09","1.28","0.07","0.2","0.07","0.03","0","0","0.01","0",""
" ","Koda Glover","WSH","RP","@ATL","0.34","0.33","0.03","0.03","3.34","1.10","0.13","0.27","0.1","0.04","0","0","0.01","0",""
" ","Danny Barnes","TOR","RP","BOS","0.2","0.19","0.01","0","3.50","1.17","0.08","0.17","0.06","0.02","0","0","0.01","0",""
" ","Dan Altavilla","SEA","RP","@OAK","0.32","0.33","0.01","0.01","3.44","1.37","0.12","0.31","0.13","0.04","0","0","0.01","0",""
" ","Robby Scott","BOS","RP","@TOR","0.13","0.11","0.01","0","3.59","1.23","0.05","0.12","0.04","0.03","0","0","0.01","0",""
" ","Wandy Peralta","CIN","RP","BAL","0.23","0.23","0.01","0","4.42","1.38","0.11","0.21","0.1","0.05","0","0","0.01","0",""
" ","Austin Pruitt","TB","SP,RP","DET","0.07","0.06","0.01","0","8.15","2.39","0.06","0.14","0.02","0.01","0","0","0","0",""
" ","Justin Haley","MIN","SP,RP","CLE","0.09","0.07","0","0.01","4.50","1.02","0.05","0.07","0.02","0.02","0","0","0","0",""
