"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","Gregor Blanco","ARI","LF,CF,RF","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hank Conger","ARI","C","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Yoenis Cespedes","NYM","LF,CF","ATL","3.91","0.56","0.19","0.62","0.05",".286",".348","1.12","0.14","0.02","0.36","0.84",""
" ","Howie Kendrick","PHI","1B,2B,3B,LF","@CIN","0.69","0.08","0.01","0.05","0.01",".255",".321","0.18","0.03","0","0.06","0.12",""
" ","Humberto Quintero","DET","C","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hunter Pence","SF","RF","@ARI","3.69","0.64","0.16","0.68","0.03",".280",".359","1.03","0.21","0.06","0.46","1.07",""
" ","Ian Desmond","COL","LF,CF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ian Kinsler","DET","2B","@CWS","4.65","0.97","0.23","0.7","0.15",".245",".309","1.14","0.16","0.03","0.39","0.83",""
" ","Ichiro Suzuki","MIA","LF,CF,RF","@WSH","0.69","0.08","0","0.05","0.02",".313",".374","0.22","0.02","0.01","0.07","0.08",""
" ","Ike Davis","LAD","1B","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jared Goedert","TOR","3B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jarrett Hoffpauir","TOR","3B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jarrod Dyson","SEA","LF,CF,RF","@HOU","3.91","0.55","0.04","0.28","0.39",".249",".315","0.97","0.16","0.07","0.35","0.56",""
" ","Jarrod Saltalamacchia","TOR","C,1B","@TB","0.09","0.01","0","0.01","0",".165",".246","0.01","0","0","0.01","0.04",""
" ","Jason Bourgeois","ARI","LF,CF,RF","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jason Castro","MIN","C","KC","3.34","0.39","0.1","0.39","0.03",".202",".315","0.67","0.23","0.03","0.53","1.25",""
" ","Jason Donald","KC","2B,3B,SS","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jason Heyward","CHC","CF,RF","@STL","3.38","0.53","0.05","0.29","0.11",".228",".315","0.77","0.17","0.02","0.41","0.72",""
" ","Wil Myers","SD","1B,RF","@LAD","3.78","0.68","0.22","0.57","0.16",".278",".336","1.05","0.26","0.01","0.32","0.92",""
" ","Jay Bruce","NYM","RF","ATL","3.69","0.31","0.15","0.74","0.05",".293",".330","1.08","0.14","0.05","0.2","0.99",""
" ","Jayson Werth","WSH","LF","MIA","3.3","0.39","0.07","0.48","0.02",".194",".287","0.64","0.13","0","0.41","0.87",""
" ","Jed Lowrie","OAK","2B","LAA","3.64","0.52","0.06","0.44","0.01",".296",".343","1.08","0.18","0.01","0.24","0.71",""
" ","Jeff Mathis","ARI","C","SF","3.49","0.26","0.06","0.29","0.01",".228",".257","0.8","0.14","0.15","0.12","1.09",""
" ","Jeremy Hermida","MIL","RF","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jerry Sands","CWS","1B,LF,RF,DH","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jesus Montero","TOR","1B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jhonny Peralta","STL","3B,SS","CHC","0.69","0.07","0.02","0.1","0",".228",".266","0.16","0.04","0","0.03","0.17",""
" ","Joe Mauer","MIN","1B,DH","KC","3.26","0.29","0.06","0.34","0.03",".260",".374","0.85","0.21","0.02","0.6","0.61",""
" ","Joey Votto","CIN","1B","PHI","3.28","0.82","0.19","0.52","0.04",".323",".463","1.06","0.3","0.01","0.85","0.67",""
" ","Carlos Corporan","CHC","C","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jon Jay","CHC","LF,CF,RF","@STL","2.79","0.35","0.02","0.21","0.03",".247",".303","0.69","0.17","0.02","0.15","0.67",""
" ","Jordan Pacheco","ATL","C,3B","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jose Bautista","TOR","RF,DH","@TB","3.49","0.55","0.18","0.58","0.03",".224",".339","0.78","0.1","0.01","0.58","0.64",""
" ","Jose Iglesias","DET","SS","@CWS","3.76","0.54","0.03","0.28","0.15",".237",".295","0.89","0.1","0.01","0.27","0.49",""
" ","Jose Reyes","NYM","3B,SS","ATL","0.09","0.01","0","0.01","0.01",".264",".311","0.02","0","0","0.01","0.01",""
" ","Jose Tabata","TOR","LF,RF","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Bell","SD","3B","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Donaldson","TOR","3B","@TB","3.61","0.57","0.12","0.5","0.04",".252",".368","0.91","0.12","0.02","0.64","0.6",""
" ","Leonys Martin","SEA","CF","@HOU","3.63","0.53","0.13","0.42","0.17",".241",".307","0.87","0.15","0.03","0.34","1.12",""
" ","Josh Reddick","HOU","RF","SEA","3.5","0.4","0.14","0.35","0.07",".312",".355","1.09","0.16","0.02","0.24","0.59",""
" ","Josh Rodriguez","MIA","SS,3B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Thole","ARI","C","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Justin Ruggiano","SF","LF,CF,RF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Justin Smoak","TOR","1B","@TB","3.43","0.35","0.09","0.37","0.01",".242",".335","0.83","0.1","0.01","0.47","0.86",""
" ","Justin Upton","DET","LF,CF","@CWS","3.15","0.44","0.15","0.39","0.09",".237",".296","0.75","0.14","0.01","0.25","1.2",""
" ","Kelly Johnson","NYM","1B,2B,3B,LF","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kendrys Morales","TOR","1B,RF,DH","@TB","3.59","0.39","0.16","0.74","0",".283",".351","1.01","0.11","0.01","0.35","0.93",""
" ","Kyle Hudson","LAA","LF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kurt Suzuki","ATL","C","@NYM","0.09","0","0","0.01","0",".239",".290","0.02","0","0","0","0.02",""
" ","Kyle Blanks","SF","1B","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Leslie Anderson","TB","1B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Logan Morrison","TB","1B","TOR","2.7","0.46","0.11","0.29","0.05",".239",".308","0.64","0.17","0.01","0.25","0.53",""
" ","Lorenzo Cain","KC","CF,RF","@MIN","4.19","0.38","0.09","0.58","0.13",".286",".343","1.2","0.21","0.02","0.34","0.8",""
" ","Lou Marson","LAA","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lucas Duda","NYM","1B","ATL","3.39","0.3","0.11","0.43","0.01",".244",".308","0.83","0.13","0.01","0.26","1.21",""
" ","Lucas May","MIL","C","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Durango","CWS","LF,CF","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Exposito","DET","C","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Martinez","LAA","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Valbuena","LAA","1B,3B","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luke Hughes","OAK","3B","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mark Reynolds","COL","1B","@MIL","3.6","0.64","0.26","0.49","0.02",".320",".368","1.15","0.37","0","0.25","0.89",""
" ","Martin Prado","MIA","3B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Joyce","OAK","LF,RF","LAA","0.65","0.06","0.02","0.1","0",".271",".393","0.18","0.04","0","0.13","0.14",""
" ","Matt Kemp","ATL","LF,RF","@NYM","3.86","0.28","0.12","0.56","0.02",".221",".253","0.85","0.16","0.01","0.16","1.03",""
" ","Matt Tolbert","PHI","SS,2B","@CIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Tuiasosopo","ATL","3B,LF,1B","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Wieters","WSH","C","MIA","3.22","0.34","0.1","0.56","0.01",".313",".378","1.01","0.32","0.01","0.33","0.71",""
" ","Melky Cabrera","CWS","LF","DET","4.14","0.98","0.16","0.69","0.02",".331",".360","1.37","0.48","0.04","0.19","0.34",""
" ","Michael Morse","SF","1B,LF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael Saunders","PHI","LF,RF","@CIN","3.34","0.56","0.2","0.46","0.02",".292",".373","0.98","0.21","0.02","0.42","0.99",""
" ","Miguel Cabrera","DET","1B","@CWS","3.96","0.7","0.32","0.78","0.01",".337",".398","1.33","0.2","0.01","0.4","0.73",""
" ","Miguel Montero","CHC","C","@STL","3.08","0.42","0.08","0.44","0.01",".186",".305","0.57","0.09","0.01","0.5","0.82",""
" ","Miguel Olivo","SF","C","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Baxter","SEA","LF,RF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Fontenot","WSH","2B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Moustakas","KC","3B","@MIN","4.14","0.58","0.23","0.54","0.01",".228",".301","0.94","0.19","0.01","0.4","0.54",""
" ","Mike Nickeas","TOR","C","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Giancarlo Stanton","MIA","RF","@WSH","3.48","0.54","0.23","0.65","0.02",".270",".356","0.94","0.12","0.01","0.45","1.56",""
" ","Mike Trout","LAA","CF","@OAK","3.36","0.61","0.2","0.7","0.14",".313",".429","1.05","0.23","0.03","0.65","0.72",""
" ","Mitch Maier","CHC","CF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Neil Walker","NYM","2B","ATL","3.59","0.47","0.14","0.6","0.03",".309",".363","1.11","0.13","0.01","0.27","0.54",""
" ","Nelson Cruz","SEA","RF,DH","@HOU","3.78","0.56","0.22","0.6","0.01",".288",".368","1.09","0.16","0.01","0.45","1.12",""
" ","Nick Hundley","SF","C","@ARI","0.09","0.01","0","0.01","0",".237",".313","0.02","0","0","0.01","0.02",""
" ","Nick Markakis","ATL","RF","@NYM","3.43","0.47","0.05","0.49","0.02",".263",".334","0.9","0.36","0.02","0.35","0.53",""
" ","Nick Weglarz","ATL","1B,RF","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Omar Infante","DET","2B","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Pedro Ciriaco","DET","2B,3B,SS","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Peter Bourjos","TB","CF,RF","TOR","0.09","0.01","0","0.01","0",".227",".266","0.02","0.01","0","0","0.02",""
" ","Rajai Davis","OAK","LF,CF","LAA","4.47","0.74","0.12","0.49","0.32",".274",".327","1.22","0.17","0.05","0.33","1.17",""
" ","Ramiro Pena","SF","2B,3B,SS","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ramon Hernandez","KC","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Reid Brignac","HOU","3B","SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Rickie Weeks","TB","LF","TOR","0.09","0.01","0","0.01","0",".284",".335","0.03","0.01","0","0.01","0.02",""
" ","Robinson Cano","SEA","2B","@HOU","4","0.74","0.25","0.75","0.02",".285",".348","1.14","0.24","0.02","0.36","0.59",""
" ","Roger Bernadina","NYM","LF,CF,RF","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ronny Paulino","DET","C","@CWS","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Russell Martin","TOR","C","@TB","3.48","0.33","0.11","0.41","0.02",".251",".342","0.87","0.1","0","0.42","1.23",""
" ","Ryan Braun","MIL","LF","COL","0.68","0.09","0.03","0.1","0.02",".289",".346","0.2","0.04","0","0.06","0.12",""
" ","Ryan Raburn","CIN","LF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Zimmerman","WSH","1B","MIA","3.68","0.4","0.1","0.48","0.02",".224",".282","0.83","0.13","0.01","0.28","0.85",""
" ","Shane Victorino","CHC","LF,RF","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Stephen Drew","WSH","2B,3B,SS","MIA","0.68","0.08","0.02","0.11","0",".235",".326","0.16","0.06","0","0.09","0.17",""
" ","Steve Pearce","TOR","1B,2B,LF,RF","@TB","0.09","0.01","0","0.01","0",".303",".388","0.03","0","0","0.01","0.02",""
" ","Steve Tolleson","KC","2B,3B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Todd Frazier","CWS","1B,3B","DET","3.19","0.85","0.41","0.62","0.07",".297",".359","0.95","0.21","0.01","0.29","0.74",""
" ","Travis Ishikawa","SF","1B,LF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trayvon Robinson","LAD","LF,CF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trevor Plouffe","OAK","1B,3B","LAA","3.68","0.33","0.09","0.4","0.01",".233",".290","0.86","0.19","0.02","0.28","0.93",""
" ","Troy Tuitzki","TOR","SS","@TB","3.78","0.37","0.13","0.43","0.01",".247",".326","0.94","0.13","0.01","0.41","0.9",""
" ","Tyler Fers","ATL","C","@NYM","3.54","0.21","0.11","0.35","0",".277",".337","0.98","0.09","0","0.26","1.42",""
" ","Tyler Greene","ATL","2B,SS","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Victor Martinez","DET","1B,DH","@CWS","3.64","0.41","0.19","0.61","0",".308",".359","1.12","0.2","0.01","0.27","0.55",""
" ","Will Rhymes","WSH","2B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Will Venable","LAD","RF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Wilson Ramos","TB","C","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Yadier Molina","STL","C","CHC","3.72","0.29","0.05","0.45","0.02",".218",".270","0.81","0.2","0.01","0.24","0.55",""
" ","Yonder Alonso","OAK","1B","LAA","0.68","0.09","0.01","0.08","0.01",".199",".256","0.14","0.03","0","0.05","0.13",""
" ","Yunel Escobar","LAA","3B","@OAK","4.37","0.49","0.04","0.29","0.01",".313",".365","1.37","0.22","0.01","0.34","0.58",""
" ","Zack Cozart","CIN","SS","PHI","3.26","0.45","0.19","0.3","0.02",".239",".274","0.78","0.16","0.01","0.14","0.38",""
" ","Matt Angle","MIA","LF,CF","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Lavarnway","OAK","C,1B","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lars Anderson","CHC","LF,1B","@STL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","David Adams","TOR","2B,3B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Corey Dickerson","TB","LF,DH","TOR","3.1","0.51","0.17","0.51","0.02",".249",".290","0.77","0.28","0.02","0.18","0.66",""
" ","Brandon Laird","KC","1B,3B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jose Lobaton","WSH","C","MIA","0.68","0.05","0.01","0.06","0",".239",".343","0.16","0.03","0","0.1","0.13",""
" ","Stephen Vogt","OAK","C,DH","LAA","0.68","0.06","0.02","0.09","0",".225",".274","0.15","0.05","0","0.04","0.15",""
" ","Travis d'Arnaud","NYM","C","ATL","3.63","0.33","0.09","0.39","0.01",".269",".336","0.98","0.15","0.01","0.35","0.6",""
" ","Adeiny Hechavarria","MIA","SS","@WSH","3.29","0.41","0.03","0.35","0.02",".249",".277","0.82","0.11","0.03","0.13","0.69",""
" ","Cheslor Cuthbert","KC","3B","@MIN","0.7","0.05","0.01","0.06","0.01",".303",".350","0.21","0.04","0","0.05","0.13",""
" ","Moises Sierra","MIA","RF,LF","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eduardo Escobar","MIN","3B,SS","KC","0.7","0.05","0.01","0.07","0.01",".272",".310","0.19","0.06","0.01","0.04","0.13",""
" ","Osvaldo Martinez","LAD","SS","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Brandon Barnes","COL","LF,CF,RF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Juan Diaz","CWS","SS,3B","DET","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ezequiel Carrera","TOR","LF,RF","@TB","0.09","0.02","0","0.01","0",".286",".335","0.03","0","0","0.01","0.02",""
" ","Thomas Neal","CIN","LF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hernan Perez","MIL","2B,3B,CF,RF","COL","3.56","0.37","0.08","0.37","0.23",".293",".322","1.04","0.14","0.03","0.15","0.88",""
