"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Own"
" ","Chris Young","KC","SP,RP","@HOU","0.52","0.43","0.02","0","4.80","1.39","0.28","0.51","0.21","0.13","0","0","0.02","0",""
" ","Clayton Richard","SD","SP,RP","SF","6","4.15","0.25","0","3.76","1.46","2.51","6.6","2.17","0.51","0","0","0.5","0",""
" ","Colby Lewis","TEX","SP","OAK","0.85","0.59","0.03","0","4.73","1.30","0.45","0.88","0.23","0.16","0","0","0.03","0",""
" ","Craig Bres","MIN","RP","@CWS","0.26","0.22","0.01","0","4.57","1.48","0.13","0.28","0.1","0.05","0","0","0.01","0",""
" ","Craig Kimbrel","BOS","RP","@DET","0.37","0.49","0.01","0.23","2.75","1.48","0.11","0.25","0.15","0.03","0","0","0.01","0",""
" ","Daniel Hudson","PIT","RP","ATL","0.37","0.37","0.01","0.01","3.54","1.32","0.15","0.36","0.13","0.03","0","0","0.01","0",""
" ","Darren O'Day","BAL","RP","NYY","0.37","0.41","0.01","0.01","3.34","1.20","0.14","0.31","0.14","0.06","0","0","0.01","0",""
" ","David Robertson","CWS","RP","MIN","0.39","0.51","0.02","0.21","3.45","1.22","0.15","0.31","0.16","0.05","0","0","0.02","0",""
" ","Doug Fister","HOU","SP","KC","0.84","0.5","0.03","0","4.58","1.39","0.43","0.95","0.22","0.13","0","0","0.07","0",""
" ","Drew Storen","CIN","RP","@STL","0.36","0.33","0.01","0.04","3.64","1.30","0.15","0.35","0.12","0.03","0","0","0.01","0",""
" ","Dustin McGowan","MIA","RP","@NYM","0.31","0.28","0.01","0","3.18","1.28","0.11","0.23","0.16","0.04","0","0","0.01","0",""
" ","Edinson Volquez","MIA","SP","@NYM","6.27","4.91","0.25","0","3.64","1.32","2.53","5.71","2.57","0.88","0","0","0.5","0",""
" ","Eric O'Flaherty","ATL","RP","@PIT","0.17","0.12","0.01","0","5.10","1.57","0.1","0.19","0.08","0.01","0","0","0.01","0",""
" ","Ervin Santana","MIN","SP","@CWS","6.36","5.68","0.25","0","3.90","1.22","2.75","5.89","1.89","0.96","0","0","0.25","0",""
" ","Fernando Rodney","ARI","RP","CLE","0.4","0.4","0.02","0.15","4.06","1.41","0.18","0.36","0.21","0.04","0","0","0.02","0",""
" ","Fernando Salas","NYM","RP","MIA","0.35","0.32","0.01","0","3.20","1.14","0.12","0.31","0.09","0.04","0","0","0.01","0",""
" ","Francisco Rodriguez","DET","RP","BOS","0.38","0.35","0.01","0.21","3.58","1.19","0.15","0.34","0.11","0.05","0","0","0.01","0",""
" ","Greg Holland","COL","RP","LAD","0.32","0.38","0.01","0.15","4.32","1.47","0.15","0.29","0.18","0.04","0","0","0.01","0",""
" ","J.P. Howell","TOR","RP","@TB","0.28","0.25","0.01","0","4.11","1.42","0.13","0.29","0.11","0.03","0","0","0.02","0",""
" ","Jake Arrieta","CHC","SP","@MIL","6.67","7.29","0.51","0","3.34","1.29","2.47","5.4","2.17","0.76","0","0","0.26","0",""
" ","Jake McGee","COL","RP","LAD","0.33","0.34","0.01","0.01","4.85","1.51","0.18","0.37","0.13","0.05","0","0","0.01","0",""
" ","Javier Lopez","SF","RP","@SD","0.14","0.09","0.01","0","3.39","1.33","0.05","0.13","0.05","0.01","0","0","0.01","0",""
" ","Jeanmar Gomez","PHI","RP","WSH","0.41","0.28","0.02","0.12","4.54","1.46","0.21","0.45","0.14","0.06","0","0","0.02","0",""
" ","Jeremy Hellickson","PHI","SP","WSH","6.14","4.69","0.25","0","4.19","1.48","2.86","6.17","1.78","0.9","0","0","0.49","0",""
" ","Jeremy Jeffress","TEX","RP","OAK","0.38","0.31","0.02","0.02","3.85","1.36","0.16","0.38","0.14","0.04","0","0","0.02","0",""
" ","Martin Perez","TEX","SP","OAK","6.22","4.05","0.26","0","4.69","1.49","3.24","6.71","2.57","0.7","0","0","0.26","0",""
" ","Jim Johnson","ATL","RP","@PIT","0.39","0.36","0.02","0.14","3.39","1.36","0.15","0.4","0.13","0.02","0","0","0.02","0",""
" ","Joakim Soria","KC","RP","@HOU","0.41","0.38","0.02","0.02","3.84","1.34","0.18","0.38","0.16","0.07","0","0","0.02","0",""
" ","Joaquin Benoit","PHI","RP","WSH","0.32","0.33","0.01","0.02","3.42","1.28","0.12","0.25","0.16","0.04","0","0","0.01","0",""
" ","Joe Blanton","LAD","RP","@COL","0.36","0.35","0.03","0.01","5.01","1.45","0.2","0.44","0.09","0.06","0","0","0.01","0",""
" ","Joe Smith","TOR","RP","@TB","0.32","0.3","0.01","0","3.63","1.23","0.13","0.3","0.1","0.03","0","0","0.01","0",""
" ","Johnny Cueto","SF","SP","@SD","7.16","5.86","0.55","0","2.82","1.06","2.24","6.15","1.43","0.61","0","0","0.28","0.28",""
" ","Jonathan Broxton","STL","RP","CIN","0.35","0.36","0.01","0","3.89","1.26","0.15","0.3","0.14","0.05","0","0","0.01","0",""
" ","Jordan Lyles","COL","SP,RP","LAD","0.33","0.22","0.01","0","6.55","1.79","0.24","0.43","0.16","0.07","0","0","0.03","0",""
" ","Julio Teheran","ATL","SP","@PIT","6.32","5.42","0.25","0","3.60","1.28","2.53","6.28","1.8","0.55","0","0","0.25","0",""
" ","Kenley Jansen","LAD","RP","@COL","0.39","0.55","0.01","0.26","3.59","1.12","0.16","0.36","0.08","0.05","0","0","0.01","0",""
" ","Koji Uehara","CHC","RP","@MIL","0.29","0.38","0.02","0.01","3.14","1.03","0.1","0.22","0.08","0.04","0","0","0.01","0",""
" ","Luke Gregerson","HOU","RP","KC","0.37","0.37","0.03","0.03","3.96","1.20","0.16","0.35","0.1","0.05","0","0","0.01","0",""
" ","Marc Rzepczynski","SEA","RP","@LAA","0.24","0.21","0.01","0","3.56","1.42","0.09","0.22","0.12","0.02","0","0","0.01","0",""
" ","Mark Melancon","SF","RP","@SD","0.41","0.35","0.02","0.25","2.43","1.02","0.11","0.34","0.07","0.03","0","0","0.02","0",""
" ","Matt Belisle","MIN","RP","@CWS","0.33","0.28","0.01","0","3.31","1.21","0.12","0.31","0.09","0.04","0","0","0.01","0",""
" ","Mike Dunn","COL","RP","LAD","0.3","0.33","0.04","0","4.75","1.51","0.16","0.31","0.15","0.05","0","0","0.01","0",""
" ","Mike Minor","KC","SP,RP","@HOU","0.32","0.26","0.01","0","4.75","1.39","0.17","0.33","0.12","0.06","0","0","0.01","0",""
" ","Mike Montgomery","CHC","SP,RP","@MIL","0.69","0.67","0.06","0","4.09","1.59","0.31","0.65","0.28","0.1","0","0","0.03","0",""
" ","Neftali Feliz","MIL","RP","CHC","0.37","0.39","0.01","0.17","4.42","1.33","0.18","0.33","0.16","0.07","0","0","0.01","0",""
" ","Oliver Perez","WSH","RP","@PHI","0.25","0.29","0.01","0","4.14","1.23","0.11","0.22","0.09","0.04","0","0","0.01","0",""
" ","Pat Neshek","PHI","RP","WSH","0.31","0.28","0.01","0.01","3.59","1.15","0.12","0.27","0.08","0.05","0","0","0.01","0",""
" ","Peter Moylan","KC","RP","@HOU","0.23","0.18","0.01","0","3.79","1.30","0.1","0.21","0.09","0.04","0","0","0.01","0",""
" ","Rick Porcello","BOS","SP","@DET","6.74","5.43","0.54","0","3.64","1.17","2.73","6.72","1.17","0.69","0","0","0.27","0",""
" ","Justin Nicolino","MIA","SP,RP","@NYM","0.52","0.26","0.02","0","4.00","1.27","0.23","0.53","0.14","0.09","0","0","0.04","0",""
" ","Nathan Karns","KC","SP,RP","@HOU","5.9","5.25","0.24","0","4.75","1.41","3.12","5.85","2.5","1.24","0","0","0.24","0",""
" ","Ryan Madson","OAK","RP","@TEX","0.36","0.32","0.01","0.15","4.01","1.32","0.16","0.36","0.11","0.04","0","0","0.01","0",""
" ","Santiago Casilla","OAK","RP","@TEX","0.35","0.34","0.01","0.04","3.79","1.26","0.15","0.31","0.13","0.05","0","0","0.01","0",""
" ","Scott Feldman","CIN","SP,RP","@STL","5.52","3.65","0.23","0","4.56","1.47","2.8","6.35","1.76","0.59","0","0","0.23","0",""
" ","Sergio Romo","LAD","RP","@COL","0.3","0.29","0.01","0.01","4.94","1.39","0.16","0.36","0.06","0.06","0","0","0.01","0",""
" ","Tommy Hunter","TB","RP","TOR","0.26","0.19","0.01","0","3.43","1.14","0.1","0.23","0.07","0.03","0","0","0.01","0",""
" ","Tony Sipp","HOU","RP","KC","0.27","0.25","0.01","0","3.62","1.25","0.11","0.24","0.09","0.04","0","0","0.01","0",""
" ","Travis Wood","KC","RP","@HOU","0.34","0.29","0.01","0","4.73","1.44","0.18","0.33","0.16","0.08","0","0","0.01","0",""
" ","Tyler Clippard","NYY","RP","@BAL","0.38","0.41","0.03","0","4.19","1.25","0.18","0.33","0.14","0.08","0","0","0.01","0",""
" ","Wade Davis","CHC","RP","@MIL","0.36","0.47","0.01","0.24","2.52","1.07","0.1","0.26","0.13","0.04","0","0","0.01","0",""
" ","Wade LeBlanc","PIT","SP,RP","ATL","0.36","0.31","0.01","0","3.92","1.25","0.16","0.36","0.09","0.04","0","0","0.01","0",""
" ","Wade Miley","BAL","SP","NYY","6.23","4.81","0.25","0","4.53","1.40","3.14","6.55","2.2","0.95","0","0","0.5","0",""
" ","Zach Britton","BAL","RP","NYY","0.43","0.44","0.02","0.22","1.99","1.08","0.1","0.33","0.13","0.03","0","0","0.02","0",""
" ","Oliver Drake","BAL","RP","NYY","0.29","0.33","0.02","0","3.71","1.36","0.12","0.24","0.15","0.04","0","0","0.01","0",""
" ","Pedro Strop","CHC","RP","@MIL","0.31","0.41","0.01","0.01","3.37","1.15","0.12","0.22","0.14","0.04","0","0","0.01","0",""
" ","Junichi Tazawa","MIA","RP","@NYM","0.31","0.3","0.01","0","3.39","1.20","0.12","0.27","0.11","0.06","0","0","0.01","0",""
" ","Dellin Betances","NYY","RP","@BAL","0.44","0.69","0.03","0.02","2.74","1.11","0.13","0.32","0.17","0.05","0","0","0.02","0",""
" ","George Kontos","SF","RP","@SD","0.32","0.21","0.01","0","3.44","1.19","0.12","0.28","0.1","0.03","0","0","0.01","0",""
" ","David Phelps","MIA","SP,RP","@NYM","0.44","0.44","0.02","0","3.06","1.18","0.15","0.35","0.17","0.07","0","0","0.02","0",""
" ","Matt Bush","TEX","RP","OAK","0.42","0.43","0.03","0.02","3.42","1.15","0.16","0.35","0.14","0.05","0","0","0.02","0",""
" ","Alexander Colome","TB","RP","TOR","0.42","0.41","0.02","0.21","3.00","1.12","0.14","0.35","0.12","0.05","0","0","0.02","0",""
" ","Danny Farquhar","TB","RP","TOR","0.34","0.32","0.01","0","3.87","1.54","0.15","0.32","0.12","0.05","0","0","0.01","0",""
" ","Nate Jones","CWS","RP","MIN","0.38","0.46","0.01","0.01","3.06","1.08","0.13","0.29","0.11","0.05","0","0","0.01","0",""
" ","Jhan Marinez","MIL","RP","CHC","0.4","0.36","0.02","0","4.51","1.61","0.2","0.44","0.2","0.05","0","0","0.03","0",""
" ","Jose Quintana","CWS","SP","MIN","6.54","5.97","0.52","0","3.86","1.40","2.81","6.28","1.83","0.88","0","0","0.26","0",""
" ","Addison Reed","NYM","RP","MIA","0.42","0.41","0.02","0.03","2.80","1.09","0.13","0.35","0.11","0.04","0","0","0.02","0",""
" ","Corey Kluber","CLE","SP","@ARI","6.99","7.53","0.54","0","3.45","1.11","2.68","6","1.74","0.69","0","0","0.27","0",""
" ","Zach McAllister","CLE","RP","@ARI","0.33","0.35","0.01","0","3.70","1.32","0.14","0.31","0.12","0.04","0","0","0.01","0",""
" ","Kelvin Herrera","KC","RP","@HOU","0.43","0.43","0.02","0.2","3.05","1.12","0.15","0.36","0.12","0.06","0","0","0.02","0",""
" ","Liam Hendriks","OAK","RP","@TEX","0.36","0.38","0.01","0","3.63","1.20","0.15","0.35","0.08","0.04","0","0","0.01","0",""
" ","Anthony Swarzak","CWS","RP","MIN","0.25","0.22","0.01","0","4.90","1.33","0.14","0.26","0.08","0.05","0","0","0.01","0",""
" ","Jerry Blevins","NYM","RP","MIA","0.24","0.24","0.01","0","3.05","1.16","0.08","0.19","0.09","0.02","0","0","0.01","0",""
" ","Sean Doolittle","OAK","RP","@TEX","0.32","0.4","0.01","0.05","3.54","1.12","0.13","0.28","0.08","0.05","0","0","0.01","0",""
" ","Brad Peacock","HOU","SP,RP","KC","0.44","0.4","0.02","0","4.22","1.31","0.21","0.41","0.17","0.07","0","0","0.02","0",""
" ","Hisashi Iwakuma","SEA","SP","@LAA","6.33","4.37","0.51","0","3.95","1.27","2.78","6.55","1.52","0.8","0","0","0.25","0",""
" ","Shawn Kelley","WSH","RP","@PHI","0.35","0.47","0.03","0.09","3.47","1.05","0.14","0.27","0.1","0.07","0","0","0.01","0",""
" ","Luis Avilan","LAD","RP","@COL","0.28","0.27","0.01","0","5.18","1.56","0.16","0.34","0.1","0.05","0","0","0.01","0",""
" ","Randall Delgado","ARI","RP","CLE","0.38","0.37","0.03","0.02","4.89","1.54","0.21","0.41","0.18","0.07","0","0","0.02","0",""
" ","Cory Gearrin","SF","RP","@SD","0.29","0.25","0.01","0","2.93","1.16","0.09","0.24","0.09","0.03","0","0","0.01","0",""
" ","Arodys Vizcaino","ATL","RP","@PIT","0.36","0.4","0.01","0.07","3.25","1.39","0.13","0.33","0.17","0.03","0","0","0.01","0",""
" ","Brad Hand","SD","RP","SF","0.47","0.51","0.02","0.02","3.14","1.21","0.16","0.39","0.18","0.05","0","0","0.02","0",""
" ","Chris Hatcher","LAD","RP","@COL","0.2","0.2","0.02","0","5.03","1.46","0.11","0.24","0.05","0.03","0","0","0.01","0",""
" ","Dan Jennings","CWS","RP","MIN","0.35","0.28","0.01","0","3.50","1.39","0.14","0.33","0.16","0.04","0","0","0.01","0",""
" ","J.C. Ramirez","LAA","RP","SEA","0.48","0.35","0.04","0","4.05","1.33","0.22","0.48","0.16","0.06","0","0","0.02","0",""
" ","Stephen Strasburg","WSH","SP","@PHI","6.66","8.1","0.51","0","3.28","1.06","2.43","5.53","1.54","0.93","0","0","0.26","0",""
" ","Marco Estrada","TOR","SP","@TB","6.48","5.86","0.5","0","3.91","1.15","2.82","5.38","2.05","0.86","0","0","0.25","0",""
" ","Brandon Kintzler","MIN","RP","@CWS","0.41","0.32","0.02","0.14","3.51","1.25","0.16","0.41","0.1","0.05","0","0","0.02","0",""
" ","Jason Grilli","TOR","RP","@TB","0.33","0.44","0.03","0.01","3.63","1.20","0.13","0.26","0.14","0.05","0","0","0.03","0",""
" ","Jared Hughes","MIL","RP","CHC","0.33","0.19","0.01","0","3.91","1.46","0.14","0.34","0.14","0.05","0","0","0.01","0",""
" ","Tony Watson","PIT","RP","ATL","0.41","0.37","0.02","0.21","2.96","1.65","0.13","0.35","0.11","0.03","0","0","0.02","0",""
" ","Justin Wilson","DET","RP","BOS","0.38","0.4","0.01","0.01","3.37","1.18","0.14","0.33","0.12","0.04","0","0","0.01","0",""
" ","Kevin Siegrist","STL","RP","CIN","0.38","0.46","0.01","0.01","3.54","1.58","0.15","0.3","0.17","0.06","0","0","0.01","0",""
" ","Bryan Shaw","CLE","RP","@ARI","0.35","0.34","0.01","0.01","3.79","1.33","0.15","0.33","0.13","0.04","0","0","0.01","0",""
" ","Juan Nicasio","PIT","SP,RP","ATL","0.42","0.48","0.02","0","3.36","1.28","0.16","0.39","0.15","0.04","0","0","0.02","0",""
" ","Brad Brach","BAL","RP","NYY","0.41","0.47","0.03","0","3.19","1.25","0.15","0.33","0.19","0.06","0","0","0.02","0",""
" ","Nick Vincent","SEA","RP","@LAA","0.37","0.33","0.01","0","3.48","1.22","0.14","0.34","0.12","0.04","0","0","0.01","0",""
" ","Ian Krol","ATL","RP","@PIT","0.32","0.32","0.01","0","3.84","1.41","0.14","0.33","0.12","0.03","0","0","0.01","0",""
" ","Anthony Cingrani","CIN","RP","@STL","0.37","0.34","0.01","0.01","4.06","1.43","0.17","0.33","0.2","0.03","0","0","0.01","0",""
" ","Adam Warren","NYY","RP","@BAL","0.46","0.39","0.02","0","4.05","1.22","0.21","0.42","0.14","0.08","0","0","0.02","0",""
" ","Jake Odorizzi","TB","SP","TOR","5.93","5.26","0.24","0","4.05","1.25","2.67","5.51","1.88","0.85","0","0","0.24","0",""
" ","Sam Dyson","TEX","RP","OAK","0.4","0.35","0.02","0.18","4.78","1.46","0.21","0.42","0.16","0.05","0","0","0.03","0",""
" ","Drew Hutchison","PIT","SP,RP","ATL","0.56","0.53","0.02","0","3.97","1.30","0.25","0.54","0.18","0.07","0","0","0.04","0",""
" ","Sean Gilmartin","NYM","RP","MIA","0.35","0.26","0.01","0","3.85","1.32","0.15","0.35","0.12","0.05","0","0","0.01","0",""
" ","Archie Bradley","ARI","SP","CLE","0.66","0.68","0.03","0","4.20","1.44","0.31","0.64","0.31","0.07","0","0","0.03","0",""
" ","Jarred Cosart","SD","SP","SF","0.67","0.46","0.03","0","4.56","1.54","0.34","0.68","0.35","0.08","0","0","0.05","0",""
" ","Cody Allen","CLE","RP","@ARI","0.42","0.56","0.02","0.19","3.06","1.13","0.14","0.32","0.16","0.04","0","0","0.02","0",""
" ","Bruce Rondon","DET","RP","BOS","0.33","0.38","0.03","0","4.20","1.33","0.15","0.29","0.15","0.04","0","0","0.01","0",""
" ","Casey Fien","SEA","RP","@LAA","0.23","0.18","0.01","0","3.94","1.16","0.1","0.22","0.05","0.03","0","0","0.01","0",""
" ","Evan Scribner","SEA","RP","@LAA","0.33","0.3","0.01","0","3.90","1.14","0.14","0.31","0.07","0.04","0","0","0.01","0",""
" ","Erasmo Ramirez","TB","RP","TOR","0.42","0.31","0.02","0","3.82","1.24","0.18","0.39","0.13","0.05","0","0","0.03","0",""
" ","Alex Wood","LAD","SP,RP","@COL","0.71","0.63","0.06","0","5.38","1.58","0.42","0.93","0.19","0.11","0","0","0.03","0",""
" ","Justin Grimm","CHC","RP","@MIL","0.28","0.37","0.01","0","3.95","1.29","0.12","0.24","0.12","0.05","0","0","0.01","0",""
" ","A.J. Ramos","MIA","RP","@NYM","0.4","0.44","0.02","0.2","2.76","1.26","0.12","0.29","0.21","0.05","0","0","0.02","0",""
" ","Noah Syndergaard","NYM","SP","MIA","6.55","6.76","0.5","0","2.70","1.09","1.96","5.55","1.58","0.55","0","0","0.25","0",""
" ","Josh Edgin","NYM","RP","MIA","0.14","0.12","0.01","0","3.24","1.29","0.05","0.11","0.07","0.02","0","0","0.01","0",""
" ","Brandon Maurer","SD","RP","SF","0.42","0.41","0.02","0.15","3.44","1.19","0.16","0.37","0.13","0.05","0","0","0.02","0",""
" ","Collin McHugh","HOU","SP","KC","0.79","0.67","0.06","0","3.89","1.27","0.34","0.81","0.2","0.1","0","0","0.03","0.03",""
" ","Xavier Cedeno","TB","RP","TOR","0.35","0.33","0.01","0.03","3.20","1.23","0.12","0.29","0.14","0.04","0","0","0.01","0",""
" ","Joe Kelly","BOS","SP,RP","@DET","0.36","0.34","0.01","0.01","3.50","1.31","0.14","0.34","0.13","0.04","0","0","0.01","0",""
" ","Patrick Corbin","ARI","SP,RP","CLE","6.1","4.94","0.25","0","4.89","1.53","3.32","6.97","2.36","0.84","0","0","0.51","0",""
" ","Gerrit Cole","PIT","SP","ATL","6.36","6","0.51","0","3.38","1.25","2.39","6.28","1.67","0.51","0","0","0.25","0",""
" ","A.J. Cole","WSH","SP,RP","@PHI","0.52","0.47","0.02","0","4.61","1.28","0.27","0.51","0.15","0.11","0","0","0.02","0",""
" ","Robert Stephenson","CIN","SP","@STL","0.49","0.45","0.02","0","5.02","1.59","0.27","0.48","0.3","0.06","0","0","0.04","0",""
" ","Steven Rodriguez","ATL","RP","@PIT","0.15","0.14","0.01","0","3.58","1.39","0.06","0.15","0.06","0.02","0","0","0.01","0",""
" ","Tom Layne","NYY","RP","@BAL","0.29","0.27","0.01","0","4.20","1.43","0.14","0.28","0.13","0.04","0","0","0.01","0",""
" ","Rafael Montero","NYM","SP,RP","MIA","0.33","0.25","0.01","0","4.54","1.54","0.17","0.33","0.18","0.04","0","0","0.03","0",""
" ","Daniel Norris","DET","SP","BOS","6","5.8","0.48","0","4.17","1.37","2.78","6.12","2.07","0.78","0","0","0.24","0",""
" ","Andrew Chafin","ARI","RP","CLE","0.34","0.31","0.01","0","4.00","1.36","0.15","0.31","0.15","0.05","0","0","0.01","0",""
" ","Vidal Nuno","BAL","RP","NYY","0.3","0.25","0.01","0","4.18","1.29","0.14","0.31","0.08","0.06","0","0","0.01","0",""
" ","Hector Rondon","CHC","RP","@MIL","0.36","0.41","0.03","0.01","3.16","1.07","0.13","0.29","0.09","0.05","0","0","0.01","0",""
" ","Joshua Fields","LAD","RP","@COL","0.3","0.35","0.01","0","4.86","1.43","0.16","0.34","0.08","0.04","0","0","0.01","0",""
" ","Adam Morgan","PHI","SP,RP","WSH","0.43","0.32","0.02","0","5.04","1.34","0.24","0.46","0.12","0.1","0","0","0.03","0",""
" ","Lance McCullers","HOU","SP","KC","6.54","6.9","0.5","0","3.26","1.26","2.37","5.79","2.47","0.56","0","0","0.25","0",""
" ","Blake Parker","LAA","RP","SEA","0.16","0.18","0.01","0","3.74","1.16","0.07","0.13","0.05","0.02","0","0","0.01","0",""
" ","Scott Oberg","COL","RP","LAD","0.24","0.21","0.01","0","5.40","2.12","0.14","0.26","0.13","0.04","0","0","0.01","0",""
" ","C.J. Edwards","CHC","RP","@MIL","0.35","0.49","0.01","0","3.67","1.21","0.14","0.24","0.18","0.05","0","0","0.01","0",""
" ","Julio Urias","LAD","SP","@COL","0.81","0.78","0.06","0","5.05","1.49","0.45","0.99","0.22","0.1","0","0","0.03","0",""
" ","Ross Stripling","LAD","SP,RP","@COL","0.43","0.35","0.02","0","5.95","1.62","0.28","0.59","0.1","0.07","0","0","0.02","0",""
" ","Sean Manaea","OAK","SP","@TEX","6","5.39","0.48","0","4.47","1.47","2.98","6.05","1.8","0.74","0","0","0.24","0",""
" ","Michael Lorenzen","CIN","RP","@STL","0.46","0.4","0.02","0.02","3.60","1.32","0.18","0.45","0.16","0.03","0","0","0.02","0",""
" ","Corey Knebel","MIL","RP","CHC","0.39","0.44","0.01","0.03","3.82","1.30","0.17","0.32","0.18","0.05","0","0","0.01","0",""
" ","Trevor Williams","PIT","RP","ATL","0.58","0.45","0.02","0","4.51","1.43","0.29","0.65","0.18","0.07","0","0","0.05","0",""
" ","Dillon Overton","SEA","SP,RP","@LAA","0.27","0.19","0.01","0","4.61","1.43","0.14","0.31","0.08","0.06","0","0","0.02","0",""
" ","Rob Zastryzny","CHC","RP","@MIL","0.33","0.3","0.01","0","4.77","1.36","0.17","0.32","0.13","0.07","0","0","0.01","0",""
" ","Mike Mayers","STL","P,RP,SP","CIN","0.27","0.23","0.01","0","4.60","1.39","0.14","0.28","0.09","0.06","0","0","0.02","0",""
" ","Tyler Duffey","MIN","SP","@CWS","0.8","0.75","0.03","0","4.39","1.29","0.39","0.83","0.21","0.14","0","0","0.07","0",""
" ","Luis Garcia","PHI","RP","WSH","0.26","0.23","0.01","0","4.15","1.56","0.12","0.26","0.15","0.04","0","0","0.01","0",""
" ","Jose Urena","MIA","SP,RP","@NYM","0.56","0.39","0.02","0","4.10","1.30","0.26","0.52","0.2","0.08","0","0","0.05","0",""
" ","Ty Blach","SF","P,SP","@SD","0.6","0.36","0.02","0","3.61","1.21","0.24","0.58","0.15","0.07","0","0","0.05","0",""
" ","Joely Rodriguez","PHI","RP","WSH","0.27","0.22","0.01","0","4.62","1.55","0.14","0.29","0.13","0.05","0","0","0.01","0",""
" ","Carlos Martinez","STL","SP","CIN","6.79","7.07","0.52","0","3.18","1.21","2.4","5.98","2.24","0.67","0","0","0.26","0",""
" ","Yusmeiro Petit","LAA","RP","SEA","0.19","0.17","0.01","0","3.54","1.16","0.07","0.18","0.04","0.03","0","0","0.01","0",""
" ","Neil Ramirez","SF","RP","@SD","0.12","0.14","0","0","3.71","1.20","0.05","0.1","0.05","0.01","0","0","0","0",""
" ","Enny Romero","WSH","RP","@PHI","0.24","0.28","0.01","0","4.92","1.74","0.13","0.25","0.11","0.04","0","0","0.01","0",""
" ","Will Harris","HOU","RP","KC","0.37","0.36","0.01","0.01","3.02","1.11","0.12","0.31","0.1","0.04","0","0","0.01","0",""
" ","Jose Alvarez","LAA","RP","SEA","0.33","0.29","0.01","0","3.30","1.26","0.12","0.32","0.1","0.04","0","0","0.01","0",""
" ","Carlos Torres","MIL","RP","CHC","0.41","0.38","0.02","0.02","3.93","1.38","0.18","0.38","0.19","0.06","0","0","0.02","0",""
" ","Ryan Pressly","MIN","RP","@CWS","0.39","0.39","0.02","0.03","3.75","1.27","0.16","0.37","0.13","0.06","0","0","0.02","0",""
" ","Michael Tonkin","MIN","RP","@CWS","0.31","0.33","0.01","0","3.64","1.19","0.13","0.28","0.09","0.05","0","0","0.01","0",""
" ","Buddy Boshers","MIN","RP","@CWS","0.25","0.28","0.01","0","3.80","1.29","0.11","0.23","0.09","0.03","0","0","0.01","0",""
" ","Matt Shoemaker","LAA","SP","SEA","6.38","5.54","0.51","0","3.64","1.21","2.58","6.24","1.46","0.82","0","0","0.26","0",""
" ","Grant Dayton","LAD","RP","@COL","0.36","0.45","0.01","0","4.13","1.27","0.17","0.36","0.09","0.06","0","0","0.01","0",""
" ","Tommy Kahnle","CWS","RP","MIN","0.31","0.35","0.01","0","3.85","1.42","0.13","0.26","0.19","0.04","0","0","0.01","0",""
" ","Dan Otero","CLE","RP","@ARI","0.37","0.26","0.01","0","3.57","1.21","0.15","0.37","0.08","0.04","0","0","0.01","0",""
" ","Michael Ynoa","CWS","SP,RP","MIN","0.33","0.32","0.01","0","4.03","1.40","0.15","0.28","0.18","0.04","0","0","0.01","0",""
