"VBR","Player","Team","Positions","Opp","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","Own"
" ","Dustin Pedroia","BOS","2B","PIT","3.87","0.64","0.11","0.44","0.03",".312",".362","1.21","0.28","0.01","0.31","0.5",""
" ","Dusty Brown","OAK","C","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eduardo Nunez","SF","3B,SS","@ARI","3.71","0.44","0.07","0.35","0.33",".413",".437","1.53","0.19","0.03","0.15","0.59",""
" ","Edwin Encarnacion","CLE","1B,DH","@TEX","3.61","0.55","0.36","0.89","0.02",".238",".377","0.86","0.14","0.01","0.79","0.99",""
" ","Elvis Andrus","TEX","SS","CLE","4","0.34","0.03","0.34","0.14",".223",".302","0.89","0.14","0.03","0.44","0.71",""
" ","Emilio Bonifacio","ATL","LF","@NYM","0.09","0.01","0","0.01","0",".219",".259","0.02","0","0","0.01","0.02",""
" ","Emmanuel Burriss","WSH","2B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Hosmer","KC","1B","@MIN","3.19","0.51","0.11","0.63","0.03",".247",".299","0.79","0.09","0.01","0.23","0.74",""
" ","Eric Sogard","MIL","2B","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Eric Thames","MIL","LF,RF","COL","3.65","0.44","0.17","0.62","0.08",".252",".313","0.92","0.23","0.02","0.28","0.85",""
" ","Eric Young","LAA","CF,DH","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Erick Aybar","SD","3B,SS","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Evan Longoria","TB","3B","NYY","3.82","0.52","0.25","0.66","0.02",".277",".317","1.06","0.22","0.03","0.21","1.28",""
" ","Francisco Cervelli","PIT","C","@BOS","3.39","0.35","0.03","0.34","0.03",".283",".366","0.96","0.14","0.01","0.4","0.68",""
" ","Franklin Gutierrez","LAD","LF,RF","SD","0.09","0.01","0","0.01","0",".175",".244","0.02","0","0","0.01","0.05",""
" ","Freddie Freeman","ATL","1B","@NYM","3.61","0.43","0.17","0.45","0.04",".235",".316","0.85","0.25","0.02","0.39","1.08",""
" ","Gaby Sanchez","SEA","1B","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","George Kottaras","ATL","C","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Gerardo Parra","COL","1B,LF,CF,RF","@MIL","3.94","0.48","0.13","0.41","0.05",".296",".316","1.17","0.25","0.02","0.1","0.53",""
" ","Greg Golson","MIL","RF,LF","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Greg Halman","SEA","LF,RF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Gregor Blanco","ARI","LF,CF,RF","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hank Conger","ARI","C","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Hanley Ramirez","BOS","1B","PIT","3.74","0.5","0.14","0.57","0.07",".280",".354","1.05","0.16","0.01","0.41","0.83",""
" ","Yoenis Cespedes","NYM","LF,CF","ATL","3.91","0.41","0.2","0.76","0.02",".298",".340","1.16","0.15","0.02","0.23","0.84",""
" ","Howie Kendrick","PHI","1B,2B,3B,LF","@CIN","3.63","0.56","0.06","0.29","0.14",".255",".324","0.93","0.18","0.02","0.35","0.58",""
" ","Hunter Pence","SF","RF","@ARI","3.69","0.44","0.1","0.68","0.03",".391",".437","1.44","0.26","0.03","0.31","0.77",""
" ","Ian Desmond","COL","LF,CF","@MIL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ichiro Suzuki","MIA","LF,CF,RF","@WSH","0.09","0.01","0","0.01","0.01",".293",".374","0.03","0","0","0.01","0.01",""
" ","Ike Davis","LAD","1B","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","J.J. Hardy","BAL","SS","TOR","3.62","0.37","0.13","0.47","0",".242",".267","0.88","0.3","0","0.12","0.49",""
" ","Jacoby Ellsbury","NYY","CF","@TB","3.69","0.47","0.05","0.44","0.18",".271",".343","1","0.19","0.04","0.39","0.49",""
" ","James Loney","TEX","1B","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jared Goedert","TOR","3B","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jarrett Hoffpauir","TOR","3B","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jarrod Dyson","SEA","LF,CF,RF","@HOU","3.91","0.55","0.04","0.28","0.39",".250",".315","0.98","0.16","0.07","0.35","0.56",""
" ","Jarrod Saltalamacchia","TOR","C,1B","@BAL","0.09","0.01","0.01","0.02","0",".200",".315","0.02","0","0","0.01","0.04",""
" ","Jason Bourgeois","ARI","LF,CF,RF","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jason Castro","MIN","C","KC","3.15","0.57","0.2","0.37","0.01",".226",".304","0.71","0.1","0.03","0.34","1.24",""
" ","Jason Donald","KC","2B,3B,SS","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jason Kipnis","CLE","2B","@TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Wil Myers","SD","1B,RF","@LAD","3.69","0.4","0.16","0.7","0.15",".240",".319","0.89","0.13","0.01","0.42","1.29",""
" ","Jay Bruce","NYM","RF","ATL","3.69","0.43","0.24","0.74","0.03",".257",".304","0.95","0.25","0.03","0.25","0.73",""
" ","Jayson Werth","WSH","LF","MIA","3.48","0.41","0.07","0.51","0.05",".207",".274","0.72","0.16","0","0.3","1.35",""
" ","Jed Lowrie","OAK","2B","LAA","3.59","0.31","0.04","0.33","0.01",".277",".340","1","0.15","0.02","0.33","0.7",""
" ","Jeff Mathis","ARI","C","SF","3.49","0.43","0.11","0.46","0.01",".213",".267","0.74","0.18","0.09","0.24","0.95",""
" ","Jeremy Hermida","MIL","RF","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jesus Montero","TOR","1B","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Joe Mauer","MIN","1B,DH","KC","3.05","0.44","0.13","0.32","0.01",".296",".379","0.9","0.09","0.02","0.41","0.61",""
" ","Joey Votto","CIN","1B","PHI","3.49","0.57","0.17","0.56","0.07",".290",".395","1.01","0.32","0.01","0.6","0.86",""
" ","John Jaso","PIT","1B","@BOS","0.09","0.01","0","0.01","0",".251",".318","0.02","0.01","0","0.01","0.02",""
" ","Jonathan Lucroy","TEX","C,1B","CLE","3.78","0.39","0.11","0.54","0.02",".265",".339","1","0.19","0.03","0.42","0.97",""
" ","Jordan Pacheco","ATL","C,3B","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Jose Bautista","TOR","RF,DH","@BAL","3.49","0.52","0.13","0.6","0.04",".275",".407","0.96","0.18","0.01","0.76","0.74",""
" ","Jose Reyes","NYM","3B,SS","ATL","0.09","0.01","0","0.01","0",".264",".303","0.02","0","0","0.01","0.01",""
" ","Jose Tabata","TOR","LF,RF","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Bell","SD","3B","@LAD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Donaldson","TOR","3B","@BAL","3.61","0.69","0.19","0.69","0.08",".334",".432","1.21","0.2","0.02","0.6","0.82",""
" ","Josh Hamilton","TEX","LF,RF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Leonys Martin","SEA","CF","@HOU","3.63","0.53","0.13","0.43","0.17",".242",".307","0.88","0.15","0.04","0.33","1.12",""
" ","Josh Reddick","HOU","RF","SEA","3.5","0.4","0.14","0.36","0.07",".311",".355","1.09","0.16","0.02","0.25","0.59",""
" ","Josh Rodriguez","MIA","SS,3B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Josh Thole","ARI","C","SF","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Juan Francisco","BAL","1B,3B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Julio Borbon","BAL","CF","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Justin Ruggiano","SF","LF,CF,RF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Justin Smoak","TOR","1B","@BAL","3.43","0.41","0.22","0.46","0.01",".271",".362","0.93","0.13","0","0.48","1.36",""
" ","Kelly Johnson","NYM","1B,2B,3B,LF","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kendrys Morales","TOR","1B,RF,DH","@BAL","3.59","0.4","0.18","0.47","0",".224",".301","0.8","0.13","0","0.37","0.74",""
" ","Kyle Hudson","LAA","LF","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Kurt Suzuki","ATL","C","@NYM","0.09","0","0","0.01","0",".234",".282","0.02","0","0","0","0.02",""
" ","Kyle Blanks","SF","1B","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Leslie Anderson","TB","1B","NYY","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Logan Morrison","TB","1B","NYY","3.47","0.48","0.17","0.38","0.1",".255",".323","0.88","0.22","0.02","0.32","1.3",""
" ","Lonnie Chisenhall","CLE","RF","@TEX","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lorenzo Cain","KC","CF,RF","@MIN","4.19","0.86","0.22","0.66","0.22",".336",".389","1.41","0.36","0.02","0.34","0.64",""
" ","Lou Marson","LAA","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Lucas Duda","NYM","1B","ATL","3.39","0.3","0.21","0.56","0.01",".280",".343","0.95","0.19","0","0.27","0.62",""
" ","Lucas May","MIL","C","COL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Martinez","LAA","C","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luis Valbuena","LAA","1B,3B","@OAK","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Luke Hughes","OAK","3B","LAA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mark Reynolds","COL","1B","@MIL","0.09","0.02","0","0.01","0",".350",".405","0.03","0.01","0","0.01","0.02",""
" ","Mark Trumbo","BAL","RF,DH","TOR","3.82","0.45","0.38","0.81","0.02",".228",".262","0.87","0.17","0.01","0.18","0.89",""
" ","Martin Prado","MIA","3B","@WSH","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Dominguez","BOS","3B","PIT","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Holliday","NYY","1B,LF","@TB","3.56","0.49","0.13","0.52","0.01",".253",".339","0.9","0.16","0.01","0.41","0.63",""
" ","Matt Joyce","OAK","LF,RF","LAA","3.31","0.51","0.12","0.53","0.02",".223",".353","0.74","0.18","0.02","0.64","1.11",""
" ","Matt Kemp","ATL","LF,RF","@NYM","3.86","0.26","0.12","0.56","0.02",".217",".249","0.84","0.16","0.01","0.16","1.34",""
" ","Matt LaPorta","BAL","1B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Tolbert","PHI","SS,2B","@CIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Tuiasosopo","ATL","3B,LF,1B","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Matt Wieters","WSH","C","MIA","3.63","0.39","0.13","0.61","0.01",".234",".320","0.85","0.15","0.01","0.44","0.65",""
" ","Michael Bourn","BAL","LF,CF,RF","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael Brantley","CLE","LF","@TEX","3.74","0.41","0.14","0.78","0.08",".284",".335","1.06","0.19","0.01","0.27","0.54",""
" ","Michael Morse","SF","1B,LF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Michael Saunders","PHI","LF,RF","@CIN","3.52","0.28","0.16","0.49","0.03",".266",".353","0.94","0.15","0.03","0.46","0.73",""
" ","Miguel Olivo","SF","C","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Baxter","SEA","LF,RF","@HOU","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Carp","BAL","1B,LF","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Mike Fontenot","WSH","2B","MIA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Manny Machado","BAL","3B,SS","TOR","3.96","0.62","0.24","0.48","0.06",".250",".309","0.99","0.34","0.01","0.33","0.46",""
" ","Mike Moustakas","KC","3B","@MIN","4.14","0.47","0.16","0.45","0.01",".260",".308","1.07","0.19","0.01","0.25","0.49",""
" ","Mike Napoli","TEX","1B,DH","CLE","3.35","0.43","0.16","0.64","0.02",".183",".284","0.61","0.1","0.01","0.45","1.87",""
" ","Mike Nickeas","TOR","C","@BAL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Giancarlo Stanton","MIA","RF","@WSH","3.61","0.48","0.15","0.57","0.05",".263",".340","0.95","0.11","0.01","0.41","1.56",""
" ","Mike Trout","LAA","CF","@OAK","3.57","0.65","0.22","0.75","0.15",".313",".429","1.12","0.25","0.03","0.69","0.77",""
" ","Mitch Moreland","BOS","1B","PIT","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Neil Walker","NYM","2B","ATL","3.59","0.27","0.2","0.41","0.02",".267",".328","0.96","0.14","0.01","0.29","0.74",""
" ","Nelson Cruz","SEA","RF,DH","@HOU","3.78","0.56","0.22","0.6","0.02",".289",".368","1.09","0.16","0.01","0.45","1.12",""
" ","Nick Hundley","SF","C","@ARI","0.09","0.01","0","0.01","0",".285",".331","0.03","0","0","0.01","0.02",""
" ","Nick Markakis","ATL","RF","@NYM","3.43","0.32","0.04","0.5","0.01",".201",".277","0.69","0.27","0.01","0.35","0.65",""
" ","Nick Swisher","NYY","1B,LF","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Nick Weglarz","ATL","1B,RF","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Pablo Sandoval","BOS","3B","PIT","3.49","0.41","0.09","0.43","0",".286",".342","1","0.25","0.02","0.28","0.71",""
" ","Paul Janish","BAL","3B,SS","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Pedro Alvarez","BAL","3B,DH","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Peter Bourjos","TB","CF,RF","NYY","0.09","0.01","0","0.01","0",".208",".248","0.02","0","0","0","0.04",""
" ","Rajai Davis","OAK","LF,CF","LAA","3.62","0.45","0.07","0.45","0.47",".262",".327","0.95","0.35","0.03","0.32","1.01",""
" ","Ramiro Pena","SF","2B,3B,SS","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ramon Hernandez","KC","C","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Reid Brignac","HOU","3B","SEA","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Rickie Weeks","TB","LF","NYY","0.09","0.01","0","0.01","0",".267",".319","0.02","0.01","0","0.01","0.04",""
" ","Robert Andino","BAL","2B","TOR","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Robinson Cano","SEA","2B","@HOU","4","0.75","0.25","0.75","0.02",".286",".349","1.15","0.24","0.02","0.36","0.59",""
" ","Robinson Chirinos","TEX","C","CLE","0.09","0.01","0","0.01","0",".170",".281","0.02","0","0","0.01","0.04",""
" ","Roger Bernadina","NYM","LF,CF,RF","ATL","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ruben Tejada","NYY","3B","@TB","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Russell Martin","TOR","C","@BAL","3.48","0.34","0.09","0.49","0.04",".342",".430","1.19","0.1","0","0.49","1.11",""
" ","Ryan Braun","MIL","LF","COL","3.78","0.36","0.14","0.57","0.09",".278",".342","1.05","0.25","0.02","0.35","0.51",""
" ","Ryan Raburn","CIN","LF","PHI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Ryan Zimmerman","WSH","1B","MIA","3.73","0.41","0.1","0.49","0.04",".238",".278","0.89","0.16","0.01","0.2","1.26",""
" ","Scott Cousins","BOS","CF,RF,LF","PIT","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Seth Smith","BAL","LF,RF","TOR","3.34","0.47","0.11","0.57","0",".216",".307","0.72","0.14","0.01","0.41","0.44",""
" ","Shin-Soo Choo","TEX","RF","CLE","3.56","0.33","0.1","0.34","0.07",".189",".312","0.67","0.1","0.02","0.56","1.14",""
" ","Starlin Castro","NYY","2B","@TB","3.75","0.31","0.1","0.43","0.03",".238",".271","0.89","0.14","0.01","0.15","0.69",""
" ","Stephen Drew","WSH","2B,3B,SS","MIA","0.09","0.01","0","0.01","0",".177",".291","0.02","0","0","0.01","0.02",""
" ","Steve Pearce","TOR","1B,2B,LF,RF","@BAL","0.09","0.01","0","0.01","0",".434",".490","0.04","0","0","0.01","0.02",""
" ","Steve Tolleson","KC","2B,3B","@MIN","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Travis Ishikawa","SF","1B,LF","@ARI","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Travis Snider","TEX","LF,RF","CLE","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trayvon Robinson","LAD","LF,CF","SD","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Trevor Plouffe","OAK","1B,3B","LAA","3.54","0.34","0.07","0.43","0.03",".269",".322","0.95","0.27","0.01","0.27","0.73",""
" ","Troy Tuitzki","TOR","SS","@BAL","3.78","0.4","0.16","0.61","0.02",".323",".393","1.22","0.16","0","0.41","1.02",""
" ","Tyler Fers","ATL","C","@NYM","3.54","0.2","0.11","0.35","0",".272",".332","0.96","0.1","0","0.26","1.85",""
" ","Tyler Greene","ATL","2B,SS","@NYM","0","0","0","0","0",".000",".000","0","0","0","0","0",""
" ","Welington Castillo","BAL","C","TOR","3.63","0.38","0.23","0.66","0.02",".261",".315","0.95","0.28","0","0.25","0.64",""
